"","c1","c2","c3","alpha","beta","gamma","sigma","s_m,n1","s_m,n2","s_m,n3","lambda"
"200",0.902764,4.34349,0.611517,0.295455,0.985576,4.25633,0.617317,0.813758,0.51226,14.3435,0.124561
"201",0.946267,4.43027,0.696659,0.298827,0.988327,4.25163,0.641468,0.845468,0.379199,14.0579,0.12683
"202",0.849438,4.10395,0.950088,0.301223,0.981443,4.37633,0.630967,0.817713,0.449658,11.9717,0.141283
"203",1.08334,4.57557,0.239621,0.281902,0.992476,4.15386,0.640629,0.949613,0.651558,18.6115,0.0969023
"204",0.807061,3.19799,1.11256,0.307793,0.995292,4.29929,0.634007,0.705512,0.232997,14.4306,0.143819
"205",0.787143,3.83348,1.0822,0.287977,0.969019,4.19324,0.629371,0.825271,0.28038,14.7634,0.106094
"206",0.900395,4.00167,0.957443,0.293659,0.981659,4.21411,0.633667,0.900029,0.264952,8.34674,0.112557
"207",1.09541,4.12398,0.368175,0.301587,0.992393,4.36264,0.628953,0.780584,0.224481,21.9244,0.125877
"208",1.16427,3.72096,0.0268229,0.295126,0.980304,4.20965,0.628687,0.735934,0.397665,9.14594,0.11844
"209",1.17399,3.55771,0.265334,0.296375,0.988907,4.33624,0.622204,0.660267,0.174488,28.729,0.128341
"210",1.29813,4.4134,0.235804,0.305022,0.994503,4.28162,0.638771,0.655924,0.156307,4.48288,0.108251
"211",0.947046,3.40525,0.715197,0.296199,0.978046,4.23214,0.636364,1.21954,0.352906,16.5805,0.133373
"212",1.30506,4.42802,-0.0845476,0.29056,0.997832,4.30819,0.650546,0.692474,0.14484,11.672,0.0813231
"213",1.06112,3.61093,0.600949,0.275947,0.982683,4.18722,0.633542,0.60576,0.0456455,22.2971,0.105074
"214",1.10318,3.52982,0.763716,0.275998,0.948467,4.30721,0.641016,0.537357,0.129881,14.9347,0.120233
"215",1.27876,3.49678,0.291334,0.285014,0.988254,4.20647,0.642308,0.661435,0.207508,4.45412,0.113389
"216",1.27585,3.43092,0.403301,0.295887,0.976397,4.21001,0.633254,0.62868,0.165309,8.5794,0.121926
"217",1.20184,3.6879,0.387397,0.301382,0.991122,4.09154,0.636948,0.52636,0.138796,11.8513,0.123712
"218",1.3207,3.97441,0.0995274,0.296553,0.982838,4.42682,0.639703,0.866325,0.38483,23.1798,0.114956
"219",0.713144,3.97157,0.970717,0.294731,0.995513,4.32614,0.641959,0.847634,0.595494,4.56864,0.102365
"220",0.695329,4.06472,0.83115,0.29667,0.992678,4.43934,0.647139,0.924807,0.68847,6.61819,0.103219
"221",0.845973,3.35663,0.958652,0.294572,0.987584,4.39021,0.644549,0.638914,0.357246,20.3928,0.114051
"222",0.830224,3.0085,1.02966,0.311055,0.96835,4.26889,0.651227,0.571028,0.188276,17.0899,0.104514
"223",0.940632,2.69884,0.479559,0.294654,0.997373,4.25549,0.635072,0.905343,0.57277,10.5118,0.148018
"224",0.67159,2.76116,0.714225,0.30247,0.972102,4.25539,0.630683,0.547401,0.0746403,5.71574,0.11213
"225",0.527682,2.40205,1.32629,0.297856,0.995345,4.18911,0.633415,0.690619,0.279465,29.8924,0.135174
"226",0.673034,2.31521,0.980485,0.296737,0.988531,4.21335,0.639893,0.808015,0.41396,3.78975,0.130083
"227",0.978969,2.54899,0.345114,0.287581,0.98237,4.28674,0.63645,0.749488,0.347494,23.3493,0.107814
"228",0.773319,2.70879,0.784534,0.296809,0.975907,4.38146,0.646082,0.53723,0.203433,9.52864,0.107312
"229",0.84988,2.90331,0.762062,0.29094,0.985758,4.22228,0.638097,0.983193,0.547362,22.0636,0.111771
"230",1.26527,3.90511,-0.133955,0.281188,0.98514,4.12295,0.636372,0.586434,0.215436,4.48908,0.108387
"231",1.06865,3.04387,0.20227,0.294799,0.974949,4.2249,0.628662,0.783223,0.439042,31.9436,0.117478
"232",0.905983,2.62303,0.561161,0.291501,0.991305,4.2263,0.651435,0.906231,0.665135,2.31138,0.126536
"233",1.0045,2.6314,0.260728,0.295834,0.980035,4.19988,0.642319,0.895881,0.622255,2.3686,0.109369
"234",1.09567,2.85355,-0.0518378,0.292104,0.997085,4.2388,0.630205,0.762683,0.471455,5.57141,0.103507
"235",0.635607,1.78602,1.41124,0.314439,0.999057,4.50015,0.652818,1.35768,0.954669,2.60862,0.118069
"236",0.769314,2.6087,0.221406,0.283133,0.977852,4.33395,0.631427,0.58509,0.0233391,6.79022,0.0993901
"237",0.875842,3.13862,0.282513,0.296798,0.990524,4.16014,0.640688,0.735803,0.0116677,9.69331,0.116765
