"","c1","c2","c3","alpha","beta","gamma","sigma","s_m,n1","s_m,n2","s_m,n3","lambda"
"313",0.649856,3.55103,1.32331,0.297759,0.993955,4.09703,0.644532,0.828345,0.411514,26.8062,0.132673
"314",0.665658,3.26442,1.38371,0.291983,0.994009,4.21529,0.631483,0.71086,0.237573,5.49263,0.131468
"315",0.441748,2.86302,1.43893,0.302979,0.988709,4.0877,0.649994,0.609584,0.137289,9.57963,0.113605
"316",0.741033,3.20407,1.46318,0.292942,0.983659,4.29067,0.618412,1.00593,0.598301,3.35296,0.127656
"317",1.09974,4.59208,-0.00702373,0.283659,0.983713,4.12937,0.633575,0.841102,0.52488,5.70944,0.116337
"318",0.972768,4.1902,0.347949,0.294914,0.987196,4.23635,0.621752,1.05746,0.60666,33.6153,0.12346
"319",1.01084,3.96027,0.279306,0.293865,0.988758,4.17725,0.638541,1.12244,0.952082,2.66721,0.127659
"320",1.15383,4.26555,0.180657,0.296397,0.993726,4.22809,0.648607,1.3483,1.22366,7.33694,0.110448
"321",0.808707,1.96178,0.960448,0.296825,0.976086,4.24142,0.620761,0.564582,0.0782997,10.0432,0.147718
"322",0.8514,2.75787,0.618239,0.280216,0.990385,4.15466,0.64353,1.21119,0.934113,14.0918,0.103932
"323",1.19866,3.30943,0.412401,0.302398,0.983391,4.25784,0.64018,0.601115,0.104342,6.34235,0.136999
"324",1.19811,3.10299,0.522664,0.301966,0.988437,4.20773,0.632438,0.584898,0.290923,18.7087,0.132804
"325",1.04956,3.42281,0.238435,0.291009,0.998727,4.39525,0.630953,0.562625,0.363109,9.59439,0.101983
"326",0.81676,3.24258,0.641673,0.304435,0.99468,4.34418,0.641349,0.760796,0.302651,7.15222,0.110188
"327",0.661665,3.66799,1.02899,0.278666,0.992919,4.07324,0.649911,0.855282,0.419201,30.011,0.121724
"328",0.731346,3.34547,1.18322,0.306446,0.981569,4.45799,0.623717,0.842357,0.637654,3.67638,0.112147
"329",0.830811,3.39403,0.741816,0.297507,0.996406,4.26724,0.645413,0.517036,0.222877,7.89371,0.106593
"330",0.782544,2.50961,0.669046,0.300646,0.970623,4.18505,0.620633,1.01639,0.873082,8.17142,0.134048
"331",0.611647,2.93402,1.20146,0.297358,0.998362,4.17505,0.641321,0.588672,0.200476,8.01543,0.112073
"332",0.848505,2.94819,0.928743,0.304774,0.988664,4.35225,0.628623,0.728537,0.315221,14.434,0.116014
"333",0.671436,3.89359,0.909061,0.297926,0.991514,4.17508,0.640882,1.05352,0.65211,10.1385,0.101895
"334",0.679551,3.95453,0.904836,0.293975,0.973018,4.11328,0.636626,0.756189,0.416741,16.3822,0.103919
"335",0.90333,3.31977,0.812335,0.295948,0.994073,4.29839,0.627263,0.812469,0.439893,19.6246,0.109929
"336",1.07022,3.63685,0.0661923,0.285473,0.988164,4.10126,0.640658,0.685094,0.429495,13.679,0.105448
"337",1.09518,3.42153,0.15396,0.29633,0.992291,4.32098,0.626819,0.758572,0.236169,19.7695,0.0998198
"338",0.864652,3.11293,0.667137,0.279137,0.994319,4.04805,0.641129,0.594496,0.220987,8.82682,0.132886
"339",0.850207,2.5984,0.607564,0.286929,0.965868,4.01026,0.619867,0.757244,0.492909,18.9533,0.133105
"340",0.957853,2.64711,0.495152,0.288142,0.983777,4.06423,0.628016,1.23847,0.615539,15.9301,0.146066
"341",1.15371,3.54047,0.252659,0.291897,0.989799,4.24364,0.623232,0.410638,0.0542287,16.3654,0.11123
"342",0.968893,3.09608,0.656664,0.303635,0.992762,4.19746,0.617325,0.800293,0.510137,10.7942,0.127742
"343",0.791968,2.45271,1.16778,0.296728,0.995252,4.33464,0.6413,0.857196,0.386902,22.8952,0.121242
"344",0.503953,1.87131,1.13377,0.313391,0.976487,4.33666,0.624772,0.899898,0.45126,6.74114,0.109252
"345",0.100639,1.63473,1.64444,0.278538,0.99643,4.12985,0.643212,0.71772,0.206856,11.1049,0.12809
"346",0.145131,2.07228,1.51108,0.305469,0.984044,4.27819,0.615996,0.820954,0.0405658,20.0426,0.10607
"347",0.13818,2.05602,1.80902,0.300627,0.988838,4.19448,0.638732,0.831046,0.465629,2.26958,0.130116
"348",0.261295,2.57242,1.24568,0.289665,0.985602,4.37928,0.623955,1.24086,0.203311,10.0614,0.109072
"349",0.221151,3.25648,1.32096,0.295048,0.978508,4.05765,0.616638,0.815366,0.466151,14.6372,0.134179
"350",0.234558,3.44715,1.68783,0.28492,0.996834,4.22915,0.616311,0.939368,0.0336408,14.3242,0.129713
"351",0.387441,2.60374,1.791,0.295475,0.976515,4.22874,0.644572,0.656424,0.201115,15.3082,0.114059
"352",0.938335,3.16935,-0.398728,0.307669,0.994063,4.32392,0.62518,0.69962,0.345687,15.1796,0.112114
"353",0.886662,3.13673,-0.229147,0.312089,0.989724,4.35017,0.640075,0.699639,0.216431,31.3525,0.103848
"354",0.840085,2.80054,0.62213,0.295038,0.99307,4.37695,0.643339,0.847413,0.660935,3.17216,0.120486
"355",0.860398,3.01176,0.483234,0.292279,0.997243,4.10694,0.636431,0.739362,0.587509,5.86883,0.121417
"356",0.505632,2.50953,1.39281,0.279082,0.970217,4.1722,0.63777,0.85192,0.359517,1.57414,0.123371
"357",0.554371,2.69246,1.6885,0.283445,0.985542,4.0763,0.622533,1.01233,0.594684,2.63029,0.129954
"358",0.958116,3.5705,0.160051,0.306068,0.990464,4.22404,0.651219,0.865124,0.270224,6.90788,0.0991237
"359",0.653868,2.54998,1.37004,0.294468,0.97766,4.16426,0.628248,0.700507,0.210301,13.4527,0.11446
"360",0.686984,2.52693,1.38249,0.298256,0.98468,4.19505,0.626436,0.708732,0.304164,13.2936,0.108918
"361",0.875246,2.4234,1.40222,0.299551,0.985021,4.46874,0.643263,0.85804,0.409946,3.20425,0.117019
"362",0.841369,2.50947,0.883152,0.289921,0.982137,4.03579,0.629714,0.685212,0.268409,1.10086,0.148235
"363",1.05604,3.09265,0.41904,0.280386,0.981574,4.03411,0.639536,0.984192,0.820025,0.93434,0.111359
"364",1.15098,3.04844,0.460603,0.277902,0.975219,4.0017,0.635591,0.917222,0.846002,0.627563,0.110072
"365",1.20888,4.2632,0.485076,0.329356,0.992802,4.57598,0.641675,0.739813,0.100758,23.3756,0.101189
"366",1.0898,3.39658,0.409494,0.287872,0.996976,4.26604,0.640019,0.678162,0.144464,8.51318,0.117473
"367",1.07902,3.49739,0.439772,0.294826,0.98959,4.17828,0.650253,0.879557,0.486947,15.616,0.106995
"368",0.714726,2.81666,0.947644,0.288704,0.987977,4.14002,0.629845,0.60398,0.184369,4.0746,0.116164
"369",0.572481,2.27769,1.23529,0.302099,0.996682,4.21003,0.64036,0.70533,0.418731,4.08257,0.131223
"370",0.840057,3.37863,0.588057,0.293498,0.995701,4.16419,0.624743,0.858009,0.297892,23.8175,0.130676
"371",0.888081,2.64563,0.571925,0.301819,0.990273,4.44266,0.644113,0.710365,0.319207,4.90821,0.102373
"372",0.781594,2.568,1.00957,0.29017,0.995001,4.15107,0.626111,0.654061,0.273079,8.09405,0.144597
"373",1.0884,3.60932,0.322745,0.30162,0.985907,4.3247,0.633135,0.677763,0.420755,11.5652,0.142084
"374",0.867192,2.49422,0.693165,0.297044,0.992264,4.22502,0.645697,0.751446,0.366163,1.1153,0.130854
"375",0.295323,0.743849,1.28383,0.291176,0.966999,4.10676,0.619442,0.872138,0.445317,6.92654,0.132857
"376",0.428599,0.682305,1.37934,0.284544,0.994141,4.18288,0.617158,1.09972,0.983792,3.90339,0.120073
"377",0.870352,1.95122,0.817449,0.29356,0.986788,4.38733,0.640307,0.632424,0.18233,9.83648,0.118876
"378",0.72347,2.15421,1.1043,0.289854,0.982589,4.05852,0.640324,1.52143,0.926502,12.9755,0.12064
"379",0.753508,2.09668,1.13061,0.284219,0.985327,4.09775,0.647957,1.26663,0.837469,9.17643,0.114573
"380",0.690494,2.5328,1.62732,0.296022,0.995999,4.28819,0.635525,0.443288,0.0708753,2.12097,0.111939
"381",0.882607,2.48812,0.783196,0.299246,0.987048,4.21193,0.642598,0.927305,0.316998,4.64422,0.122093
"382",0.81061,2.48657,1.09481,0.296865,0.998835,4.127,0.632038,0.734475,0.0103737,22.1735,0.123742
"383",0.795417,3.28137,0.801816,0.291747,0.959163,4.17643,0.638886,0.509649,0.357658,7.83072,0.12429
"384",0.391246,1.97731,1.78724,0.297653,0.996746,4.22929,0.63215,0.763641,0.00608838,18.0219,0.104314
"385",0.574922,2.68847,1.23207,0.291768,0.959294,4.33045,0.635049,0.798869,0.299086,3.64231,0.123335
"386",0.583177,2.12405,1.13915,0.293587,0.998878,4.04143,0.625226,0.777742,0.228752,16.6355,0.140486
"387",0.967927,3.48379,1.13171,0.298985,0.969864,4.17142,0.628989,0.872,0.146586,12.9497,0.133637
"388",0.987005,3.73651,1.22905,0.290356,0.984865,4.14073,0.638821,0.858596,0.380902,21.8872,0.116686
"389",1.07381,3.91837,-0.0802626,0.291577,0.986974,4.17921,0.617119,0.788362,0.605332,2.09405,0.10952
"390",1.06912,3.55773,0.243934,0.30505,0.997621,4.37824,0.632475,0.604723,0.156687,6.40245,0.124473
"391",0.862049,3.33488,0.729111,0.28554,0.954413,3.95452,0.625103,0.536732,0.156582,12.6369,0.123217
"392",0.61465,2.66552,1.28796,0.313758,0.993318,4.29902,0.655232,0.643196,0.400607,13.8938,0.121064
"393",0.909939,2.82305,0.240589,0.29488,0.998741,4.25997,0.614312,0.756063,0.428354,18.0979,0.106352
"394",1.0367,3.16712,0.253356,0.306891,0.998432,4.4351,0.617802,0.670873,0.182705,11.9398,0.105168
"395",1.02192,3.87699,0.982313,0.279279,0.986943,4.09974,0.640699,0.824282,0.394334,10.1459,0.126748
"396",0.59932,3.35434,1.19154,0.318843,0.988993,4.41388,0.637718,0.844795,0.471147,13.8681,0.134768
"397",0.396247,3.17449,1.35475,0.296326,0.995356,4.17079,0.636581,1.04859,0.683184,10.2366,0.108624
"398",0.505615,3.03553,1.44376,0.298055,0.959893,4.2901,0.6404,0.840277,0.483995,16.4782,0.127239
"399",0.579673,3.26609,1.22637,0.301612,0.991805,4.24499,0.633849,1.00053,0.31399,20.6497,0.111988
"400",0.544635,3.47381,1.02975,0.300196,0.971719,4.25505,0.643027,0.66549,0.375487,14.0443,0.098659
"401",0.816064,3.52282,1.07941,0.304282,0.99415,4.28112,0.625401,0.666021,0.428389,17.4614,0.123576
"402",0.949702,2.76415,0.798006,0.286313,0.994146,4.27095,0.637021,0.907915,0.268747,11.6762,0.104813
"403",0.612066,3.30468,1.43012,0.298099,0.972464,4.15361,0.642978,0.624179,0.214485,18.8356,0.134355
"404",0.615877,3.23837,1.41285,0.298296,0.97391,4.16688,0.641241,0.651787,0.233728,19.4433,0.133833
"405",0.704584,3.27588,0.879586,0.276366,0.991127,3.93506,0.630147,0.564131,0.254915,14.3186,0.124882
"406",0.764663,3.07054,0.995108,0.281455,0.975786,4.12087,0.646445,0.5968,0.267356,19.258,0.123102
"407",1.09164,4.18253,0.638776,0.291629,0.990064,4.18513,0.625089,0.718709,0.185597,10.0994,0.112823
"408",0.797848,3.02043,0.740745,0.27814,0.962866,4.1608,0.646823,0.565866,0.332397,8.01365,0.112175
"409",0.856792,2.63834,0.12002,0.291538,0.988365,4.1764,0.62335,0.734102,0.340303,23.4912,0.130036
"410",0.74991,1.79236,0.232541,0.285594,0.982098,4.02285,0.630615,0.891552,0.329807,10.2886,0.136709
"411",0.74387,2.00361,0.674919,0.291467,0.973933,4.25495,0.626197,0.515132,0.337486,1.90931,0.135968
"412",0.225931,1.24782,1.60921,0.296627,0.99445,4.36698,0.650299,1.40389,1.05148,10.7099,0.113362
"413",0.670273,2.44797,0.405114,0.299186,0.98486,4.22871,0.63281,0.802261,0.505868,11.7174,0.117359
"414",0.672748,2.73834,0.853585,0.301972,0.994286,4.2315,0.638994,0.555573,0.0827885,14.1874,0.137551
"415",0.68091,2.86789,0.890777,0.305464,0.99591,4.22529,0.634879,0.504142,0.0136504,13.374,0.111988
"416",0.5333,2.47956,0.918809,0.292043,0.99428,4.41119,0.630622,0.641098,0.00103217,9.37741,0.11937
"417",0.534442,2.49816,1.12401,0.305058,0.977329,4.17277,0.634537,0.663403,0.367994,18.5966,0.110894
"418",0.470331,2.26242,1.2999,0.300572,0.979708,4.25276,0.63517,0.789015,0.350065,14.533,0.11151
"419",0.160833,2.40742,1.76758,0.287618,0.991388,4.12475,0.6254,0.71418,0.041072,13.18,0.128732
"420",0.212178,2.79821,1.87146,0.273921,0.959174,4.00655,0.636638,0.635306,0.0878604,18.4401,0.119877
"421",0.504953,2.07836,1.23756,0.292282,0.989443,3.99791,0.623424,1.20493,1.01064,4.88683,0.132291
"422",0.801942,2.66991,0.787107,0.297209,0.995147,4.20566,0.611476,0.829085,0.565569,3.00789,0.133098
"423",0.577556,1.64197,1.31939,0.287246,0.976581,4.106,0.631304,0.70687,0.136279,3.91059,0.132432
"424",0.619273,1.84287,1.26996,0.289045,0.964562,4.08262,0.628329,0.669134,0.151115,4.336,0.133193
"425",0.912724,3.10277,0.879272,0.293482,0.998055,4.20472,0.623666,0.837226,0.356924,27.6428,0.120915
"426",0.91316,3.18781,0.429223,0.295561,0.993623,4.25812,0.645013,0.901653,0.640248,1.30821,0.113695
"427",0.771613,3.13503,0.866566,0.298401,0.99534,4.19043,0.645463,0.762083,0.553523,1.22063,0.116447
"428",0.42706,1.47091,2.03615,0.295093,0.98513,4.36276,0.647533,0.638605,0.0356256,1.32136,0.100288
"429",0.774896,3.42763,1.17112,0.287414,0.985417,4.18195,0.613403,1.18918,1.10972,0.247507,0.134308
"430",0.80599,3.65209,1.16252,0.284488,0.982035,4.17698,0.61736,1.01195,0.939009,0.213216,0.126957
"431",0.807242,3.35173,1.20235,0.290832,0.990904,4.04158,0.619037,1.04044,0.988329,0.0251495,0.134033
"432",1.00553,3.78387,0.606857,0.287399,0.971187,4.27028,0.64054,0.675598,0.261382,0.508667,0.103961
"433",0.678108,2.8992,0.941367,0.293005,0.995196,4.1264,0.626363,0.701366,0.467172,0.746666,0.142146
"434",0.79117,3.4639,1.02719,0.288814,0.976979,4.03753,0.629754,0.666603,0.147082,39.5847,0.124338
"435",0.765032,2.93744,0.919238,0.291079,0.996205,4.14808,0.63093,0.822834,0.307432,0.358878,0.124773
"436",0.710351,2.18007,0.600745,0.294631,0.995666,4.11961,0.635849,0.601994,0.156509,0.664364,0.142882
"437",0.801878,2.84362,0.804337,0.288843,0.974866,4.29704,0.619808,0.993328,0.610023,12.9744,0.106687
"438",0.818635,2.96415,0.848621,0.289317,0.972816,4.25695,0.620747,0.857166,0.583119,7.82343,0.101476
"439",0.953435,3.00058,0.169989,0.309896,0.989574,4.29518,0.633068,0.814336,0.56683,6.56497,0.109037
"440",0.888891,2.81647,0.317836,0.312912,0.98611,4.28163,0.633485,0.801281,0.576436,6.31853,0.111861
"441",1.00742,2.8679,0.391766,0.297057,0.988555,4.50035,0.644082,0.822169,0.366235,31.5138,0.105989
"442",1.02091,3.58032,0.272022,0.308816,0.985614,4.44433,0.644144,0.505964,0.156509,9.52235,0.103393
"443",1.0761,3.18312,0.521692,0.309995,0.994667,4.44043,0.63034,0.845232,0.53867,23.3606,0.124958
"444",0.899784,3.47229,0.446787,0.290978,0.981573,4.18524,0.646561,0.691745,0.395679,2.4624,0.0928964
"445",0.791702,4.04531,0.886954,0.306568,0.981853,4.17735,0.622224,0.898346,0.610915,14.2067,0.141998
"446",0.804608,3.98928,1.0566,0.286777,0.996711,4.19334,0.621998,1.02485,0.60237,9.39084,0.109863
"447",0.957281,4.08449,0.925951,0.295226,0.993704,4.38227,0.629461,0.662274,0.117858,7.58381,0.106399
"448",0.756045,3.26665,1.00265,0.296427,0.98214,4.29656,0.638001,0.765667,0.34482,27.1905,0.125141
"449",0.829757,2.95238,0.786667,0.291918,0.992878,4.15619,0.608609,0.845947,0.389142,3.03298,0.122982
"450",0.50985,1.90062,1.07124,0.298629,0.991172,4.21392,0.656785,0.745175,0.136248,10.9189,0.110454
"451",0.722966,2.18983,0.654857,0.295753,0.985238,4.30985,0.618036,0.638267,0.381483,13.463,0.133466
"452",0.870465,2.6668,0.606202,0.299988,0.985645,4.37967,0.635287,0.585282,0.0833509,15.3708,0.11535
"453",0.560624,2.28747,1.18203,0.289059,0.98938,4.19597,0.62191,0.901039,0.365691,8.7953,0.122492
"454",0.604853,2.53074,1.1922,0.295792,0.991368,4.23299,0.626691,0.64961,0.379876,8.2821,0.126198
"455",0.605686,1.99906,1.31752,0.307636,0.985691,4.36324,0.640892,0.664648,0.111482,13.5577,0.109423
"456",0.490632,1.22671,1.47146,0.303996,0.991225,4.29869,0.634218,1.29879,0.732037,20.7447,0.135102
"457",0.849487,1.71774,1.13599,0.295149,0.983178,4.26458,0.630674,0.674621,0.200998,7.94631,0.110362
"458",0.79515,2.76779,1.18794,0.28426,0.988794,4.1284,0.640996,1.19502,0.783224,24.1887,0.124144
"459",0.910885,3.30651,0.930538,0.284759,0.979291,4.12984,0.644056,0.924711,0.554149,5.5252,0.117389
"460",0.963154,3.18094,0.503482,0.30253,0.991934,4.29901,0.633365,0.501777,0.198799,19.2967,0.133921
"461",0.979718,3.52178,0.836299,0.297641,0.979064,4.01682,0.626002,0.893249,0.43983,12.0401,0.151854
"462",1.06804,3.67484,1.07929,0.299531,0.995466,4.48411,0.632456,0.633207,0.0890687,3.38514,0.118274
"463",1.0452,3.54478,1.02092,0.297865,0.995351,4.46555,0.628518,0.625672,0.0664948,2.98397,0.113648
"464",0.775213,3.63945,1.06293,0.292085,0.967979,4.04613,0.62884,0.834547,0.035798,0.680497,0.118644
"465",0.896942,3.15901,0.356331,0.303649,0.989731,4.2918,0.637167,0.822782,0.0299536,19.5216,0.104779
"466",0.865009,2.56111,0.597723,0.276003,0.965872,4.12593,0.619238,0.50436,0.223163,12.328,0.13347
"467",0.80295,2.81722,0.47037,0.287055,0.978915,4.07851,0.638138,0.624509,0.031699,19.8449,0.111317
"468",0.824741,2.95913,0.775493,0.290318,0.985773,4.07199,0.633922,0.614065,0.357281,16.5733,0.113916
"469",0.552502,2.95852,1.50252,0.307538,0.981152,4.3149,0.626436,0.632501,0.272541,12.8695,0.109041
"470",1.15527,2.23649,0.273562,0.292031,0.993298,4.08237,0.639069,0.706401,0.387919,20.5701,0.122668
"471",1.06042,2.55271,-0.478799,0.313732,0.996648,4.48762,0.635954,0.949711,0.108813,10.1207,0.114527
"472",1.03881,2.36089,-0.504826,0.31275,0.991065,4.40711,0.625753,0.712071,0.011864,29.7402,0.121941
"473",1.24626,4.07665,0.941361,0.281607,0.979366,4.05227,0.624443,0.869091,0.573904,1.64605,0.108743
"474",1.33235,4.50112,0.374889,0.304586,0.987461,4.209,0.631169,0.788587,0.273147,2.10407,0.124875
"475",1.27672,4.08073,0.436598,0.288652,0.981596,4.2913,0.612617,0.952222,0.624853,6.12052,0.130699
"476",1.18618,3.52173,0.368506,0.304649,0.99243,4.41124,0.666791,0.718754,0.303756,22.4737,0.0918731
"477",0.891816,2.98491,0.848702,0.300333,0.991604,4.32093,0.606991,0.734589,0.309641,8.58828,0.13593
"478",0.904213,3.53342,0.941079,0.29539,0.986702,4.20451,0.643244,0.719483,0.337028,4.6049,0.116699
"479",0.989305,3.98679,0.756125,0.282734,0.981835,4.10834,0.614628,0.975762,0.218794,24.2083,0.12613
"480",0.858757,3.70964,0.792138,0.296946,0.992199,4.37937,0.65312,0.860652,0.49642,14.4661,0.126296
"481",0.860667,3.69999,0.903242,0.298816,0.992215,4.27402,0.653173,0.887726,0.4673,30.637,0.124876
"482",0.76355,2.77032,0.526305,0.297627,0.994705,4.15827,0.645867,0.615164,0.420867,4.65871,0.129252
"483",0.749533,2.7668,0.575689,0.295345,0.989005,4.21876,0.636545,1.02365,0.369065,16.1217,0.126879
"484",0.480798,1.6741,1.45622,0.298714,0.999316,4.3105,0.641837,0.605395,0.298022,13.7414,0.112943
"485",0.399967,1.39758,1.59933,0.293287,0.999405,4.26048,0.640413,0.690225,0.230749,12.942,0.123029
"486",0.537937,2.66726,1.14942,0.285223,0.95369,4.24186,0.633498,0.639693,0.171047,16.1034,0.113431
"487",0.586163,2.9076,0.86552,0.280747,0.976665,4.14213,0.634064,0.512974,0.087579,13.193,0.111134
"488",0.393442,2.05754,1.31795,0.309465,0.988052,4.10198,0.628481,0.804081,0.419335,9.39142,0.139286
"489",0.484523,2.26136,1.26134,0.28894,0.995507,4.22436,0.611009,0.576845,0.158259,13.2753,0.12937
"490",0.462136,2.36694,1.14214,0.305953,0.976749,4.40843,0.66191,0.925499,0.405208,12.9412,0.106918
"491",0.476947,2.51286,1.17122,0.298827,0.989942,4.28302,0.636831,0.920153,0.57815,16.4293,0.110077
"492",0.70472,2.90852,0.53155,0.283994,0.983622,4.19659,0.62755,0.601864,0.125327,10.5762,0.118387
"493",0.704167,2.8694,0.733206,0.292069,0.98561,4.1195,0.633492,1.00054,0.654162,20.187,0.116716
"494",0.58192,2.8088,1.8979,0.295122,0.999367,4.1015,0.625382,0.536185,0.112503,10.1024,0.135037
"495",0.737854,3.66655,1.33092,0.297696,0.9961,4.16741,0.610229,0.882919,0.363773,20.6744,0.115224
"496",0.671715,3.29232,1.42253,0.292262,0.995881,4.22559,0.606166,0.975943,0.47645,15.4293,0.119181
"497",0.723161,3.28412,1.25321,0.297373,0.979095,4.35733,0.657676,0.623363,0.282364,14.0922,0.120568
"498",1.03311,3.9834,0.65542,0.281517,0.990161,4.19817,0.619908,0.686334,0.216409,15.1599,0.105953
"499",0.770714,2.62984,0.575126,0.30592,0.98283,4.3746,0.649936,0.781638,0.397562,13.3433,0.133831
"500",0.532578,1.23914,0.897268,0.288626,0.990476,4.20573,0.627562,0.847043,0.427949,17.3227,0.0932754
"501",0.948755,3.03442,1.01542,0.307019,0.985516,4.38459,0.630364,0.902395,0.0203,2.06678,0.140635
"502",0.946528,3.33341,0.800507,0.302915,0.995608,4.3139,0.616081,0.719651,0.120922,2.39379,0.10939
"503",0.838762,2.39032,1.07439,0.300832,0.972359,4.17877,0.654132,0.919607,0.207769,27.1554,0.126394
"504",1.28484,3.93769,0.0987418,0.290692,0.9809,4.19203,0.629833,0.896877,0.811227,1.65918,0.0965123
"505",1.03399,3.3872,0.312636,0.278135,0.982245,3.94443,0.629482,0.514585,0.0403063,11.5965,0.136188
"506",0.911254,2.56864,1.09216,0.30514,0.987698,4.49445,0.632249,0.92409,0.529675,9.78289,0.112621
"507",0.876903,2.07501,0.873571,0.288443,0.973237,4.23647,0.63451,1.03943,0.752865,7.49355,0.111633
"508",0.982414,3.29537,0.538269,0.282578,0.986849,4.12363,0.630942,0.778729,0.479164,23.3755,0.128469
"509",0.972998,2.89278,0.63436,0.276942,0.986794,4.12944,0.650034,1.16621,0.998262,7.15388,0.103278
"510",0.829042,2.49109,0.552612,0.280077,0.978855,4.03146,0.64387,1.17282,0.943092,5.95928,0.0960428
"511",0.86921,2.09275,0.707383,0.293869,0.986007,4.27742,0.641676,0.749959,0.461314,8.26969,0.11814
"512",0.916898,2.42995,0.738959,0.284252,0.979478,4.25815,0.625411,0.718324,0.365055,6.12706,0.127296
"513",0.896579,3.01151,0.793072,0.30467,0.985642,4.248,0.653437,0.626429,0.33542,22.3657,0.108976
"514",1.11026,3.77482,0.409999,0.290596,0.989993,4.22632,0.630664,1.13647,0.607709,5.75772,0.118603
"515",1.01716,3.92769,0.670149,0.291117,0.956954,4.20958,0.633459,0.759733,0.445958,27.3105,0.13606
"516",0.854079,3.50595,1.37915,0.313196,0.997635,4.29187,0.627656,0.735508,0.182001,3.00976,0.128521
"517",0.871732,3.01942,0.390053,0.274752,0.975567,4.08201,0.630462,0.719303,0.293473,1.0838,0.0965976
"518",0.963882,2.88264,0.212212,0.290751,0.981352,4.17362,0.643031,0.804943,0.630873,3.16715,0.130899
"519",0.703344,2.45618,1.63033,0.297369,0.986062,4.36656,0.646075,0.591716,0.228845,32.713,0.113191
"520",0.801966,2.6482,1.005,0.298195,0.983894,4.17452,0.624985,0.740388,0.45902,3.67549,0.134074
"521",0.80591,2.44094,0.993868,0.287161,0.979977,4.11837,0.620975,1.25141,0.868817,4.84375,0.138466
"522",0.836084,3.11833,0.427003,0.285624,0.989821,3.9739,0.64136,0.981973,0.869596,2.88711,0.108016
"523",1.1169,3.55634,0.288357,0.291853,0.967025,4.29416,0.626387,0.677219,0.242223,20.1063,0.124981
"524",0.519376,3.27558,1.39276,0.280554,0.996963,3.93533,0.626989,0.891785,0.5468,4.17928,0.127309
"525",0.730619,3.78998,0.138392,0.281956,0.980879,4.25689,0.639534,1.05563,0.190694,11.3221,0.120349
"526",0.560212,3.00519,0.470702,0.297152,0.98418,4.20887,0.635063,0.68916,0.0720158,24.0623,0.117329
"527",0.392648,2.07333,0.876308,0.295273,0.986377,4.21664,0.626065,0.849392,0.432941,7.26399,0.137657
"528",0.672726,2.93367,1.17814,0.285861,0.986799,4.13041,0.623731,0.628187,0.270453,19.6363,0.106546
"529",0.799579,3.17176,0.8294,0.311393,0.987829,4.4701,0.634889,0.778223,0.522905,16.6794,0.11739
"530",0.942428,4.16469,0.490636,0.272393,0.978381,3.96949,0.626958,0.738598,0.509778,6.95008,0.114708
"531",0.864649,3.88918,0.552167,0.297317,0.983334,4.18677,0.624849,1.0313,0.488119,7.78756,0.142411
"532",0.578792,2.90948,0.866565,0.286819,0.992945,4.22798,0.629214,0.969717,0.492749,7.74441,0.0904954
"533",0.855276,4.01456,0.6208,0.300901,0.981707,4.20312,0.636085,0.747553,0.30598,8.91085,0.145148
"534",1.03302,3.85423,0.751549,0.30189,0.994539,4.26821,0.609668,0.757711,0.341568,23.2354,0.111001
"535",0.875977,2.90448,0.881982,0.286503,0.992021,4.19307,0.648168,0.717676,0.3979,9.41275,0.113134
"536",0.727371,1.97043,0.686486,0.303742,0.988147,4.36997,0.630113,0.989104,0.805293,2.48616,0.129553
"537",0.83053,2.00781,0.748526,0.304404,0.99155,4.16343,0.625897,0.806635,0.626597,2.22487,0.129655
"538",0.585441,1.2911,1.16958,0.287251,0.980642,4.134,0.647172,0.88998,0.349611,6.52348,0.0993798
"539",1.01849,2.75819,0.383069,0.307161,0.992673,4.33374,0.642173,0.829709,0.399059,2.66634,0.126275
"540",0.863431,2.93746,0.47988,0.282536,0.970404,4.13854,0.605428,0.679592,0.300249,6.42426,0.12588
"541",0.674684,2.16873,0.93198,0.291322,0.990154,4.21111,0.638103,0.913082,0.621482,18.0699,0.105102
"542",0.632446,2.16686,1.13769,0.28914,0.978713,4.06264,0.622881,0.596021,0.252822,13.8768,0.146526
"543",0.709696,2.93401,0.710307,0.300813,0.983133,4.2983,0.646677,0.908103,0.567476,12.1989,0.0982818
"544",1.06314,3.1247,0.289618,0.291178,0.995432,4.3861,0.643498,0.396616,0.0630061,19.4881,0.0963168
"545",0.677733,3.15234,1.18896,0.303441,0.979533,4.31051,0.632906,1.42343,1.27383,5.37679,0.122542
"546",0.490799,2.72019,1.4119,0.29265,0.991471,4.28239,0.62988,0.687819,0.400079,1.60801,0.115749
"547",0.366254,2.59774,1.50387,0.296523,0.98986,4.16357,0.631324,0.696455,0.460267,3.10831,0.121279
"548",0.46382,3.98034,1.00611,0.29264,0.975463,4.16417,0.633142,0.980922,0.541784,2.72946,0.106921
"549",0.646104,3.83626,0.800149,0.291658,0.991701,4.26444,0.640461,0.953858,0.581987,16.9095,0.120239
"550",0.64822,3.84943,0.731272,0.298902,0.995859,4.21811,0.627562,0.845919,0.417042,19.8928,0.126857
"551",0.527729,2.28354,1.55816,0.30437,0.983674,4.48879,0.643565,0.917957,0.566793,8.06389,0.109282
"552",0.688268,2.52013,0.665943,0.290631,0.992708,4.04875,0.646441,0.628625,0.245063,20.2537,0.107766
