rup_mag,rup_width,rup_rake,rup_hypo_depth,dist_rhypo,dist_rjb,site_vs30,result_type,damping,pga,0.2,1.0,2.0
6.0,10.0000,0.0,10.0,124.6250,124.6250,800.0,MEAN,5,2.75641025e-03,5.75870962e-03,3.44054284e-03,1.93813367e-03
6.0,10.0000,0.0,10.0,145.9080,145.9080,800.0,MEAN,5,2.05901982e-03,4.22898857e-03,2.81563670e-03,1.62203500e-03
6.0,10.0000,0.0,10.0,170.8260,170.8260,800.0,MEAN,5,1.56691382e-03,3.16543359e-03,2.33259746e-03,1.37288382e-03
6.0,10.0000,0.0,10.0,200.0000,200.0000,800.0,MEAN,5,1.21734584e-03,2.42029074e-03,1.95892109e-03,1.17665141e-03
6.5,10.0000,0.0,10.0,10.0000,10.0000,800.0,MEAN,5,1.86520386e-01,4.95600708e-01,8.44312563e-02,3.75487273e-02
6.5,10.0000,0.0,10.0,11.7080,11.7080,800.0,MEAN,5,1.67648890e-01,4.37533082e-01,7.78498496e-02,3.52265682e-02
6.5,10.0000,0.0,10.0,13.7070,13.7070,800.0,MEAN,5,1.48718303e-01,3.80705238e-01,7.11647717e-02,3.28148237e-02
6.5,10.0000,0.0,10.0,16.0480,16.0480,800.0,MEAN,5,1.30025938e-01,3.26076895e-01,6.44377964e-02,3.03242660e-02
6.5,10.0000,0.0,10.0,18.7890,18.7890,800.0,MEAN,5,1.11906221e-01,2.74619312e-01,5.77472118e-02,2.77735917e-02
6.5,10.0000,0.0,10.0,21.9980,21.9980,800.0,MEAN,5,9.46933104e-02,2.27193134e-01,5.11795094e-02,2.51878076e-02
6.5,10.0000,0.0,10.0,25.7540,25.7540,800.0,MEAN,5,7.87008244e-02,1.84492822e-01,4.48271613e-02,2.25987304e-02
6.5,10.0000,0.0,10.0,30.1530,30.1530,800.0,MEAN,5,6.41827906e-02,1.46957090e-01,3.87779808e-02,2.00417491e-02
6.5,10.0000,0.0,10.0,35.3020,35.3020,800.0,MEAN,5,5.13422728e-02,1.14818997e-01,3.31220409e-02,1.75593837e-02
6.5,10.0000,0.0,10.0,41.3310,41.3310,800.0,MEAN,5,4.02817161e-02,8.80140345e-02,2.79318469e-02,1.51929442e-02
6.5,10.0000,0.0,10.0,48.3900,48.3900,800.0,MEAN,5,3.10156933e-02,6.62544611e-02,2.32646930e-02,1.29826130e-02
6.5,10.0000,0.0,10.0,56.6540,56.6540,800.0,MEAN,5,2.34686573e-02,4.90603482e-02,1.91553694e-02,1.09626304e-02
6.5,10.0000,0.0,10.0,66.3290,66.3290,800.0,MEAN,5,1.74888959e-02,3.58216482e-02,1.56129271e-02,9.15754647e-03
6.5,10.0000,0.0,10.0,77.6570,77.6570,800.0,MEAN,5,1.28735856e-02,2.58726323e-02,1.26218408e-02,7.58032415e-03
6.5,10.0000,0.0,10.0,90.9190,90.9190,800.0,MEAN,5,9.39649409e-03,1.85582353e-02,1.01460374e-02,6.23213563e-03
6.5,10.0000,0.0,10.0,106.4460,106.4460,800.0,MEAN,5,6.83096792e-03,1.32792848e-02,8.13328043e-03,5.10288119e-03
6.5,10.0000,0.0,10.0,124.6250,124.6250,800.0,MEAN,5,4.96986724e-03,9.52445987e-03,6.52242223e-03,4.17400318e-03
6.5,10.0000,0.0,10.0,145.9080,145.9080,800.0,MEAN,5,3.63655327e-03,6.88073610e-03,5.24969266e-03,3.42159693e-03
6.5,10.0000,0.0,10.0,170.8260,170.8260,800.0,MEAN,5,2.68863122e-03,5.02942655e-03,4.25372835e-03,2.81944964e-03
6.5,10.0000,0.0,10.0,200.0000,200.0000,800.0,MEAN,5,2.01671263e-03,3.73425599e-03,3.47929550e-03,2.34174948e-03
7.0,10.0000,0.0,10.0,10.0000,10.0000,800.0,MEAN,5,1.96494163e-01,4.96351880e-01,1.04733990e-01,5.06607537e-02
7.0,10.0000,0.0,10.0,11.7080,11.7080,800.0,MEAN,5,1.78364629e-01,4.40300121e-01,9.72451942e-02,4.80495605e-02
7.0,10.0000,0.0,10.0,13.7070,13.7070,800.0,MEAN,5,1.60316558e-01,3.86182527e-01,8.97038023e-02,4.53451097e-02
7.0,10.0000,0.0,10.0,16.0480,16.0480,800.0,MEAN,5,1.42564206e-01,3.34689729e-01,8.21641136e-02,4.25509847e-02
7.0,10.0000,0.0,10.0,18.7890,18.7890,800.0,MEAN,5,1.25338616e-01,2.86470946e-01,7.46909675e-02,3.96763387e-02
7.0,10.0000,0.0,10.0,21.9980,21.9980,800.0,MEAN,5,1.08860783e-01,2.42049022e-01,6.73511538e-02,3.67342205e-02
7.0,10.0000,0.0,10.0,25.7540,25.7540,800.0,MEAN,5,9.33352349e-02,2.01806949e-01,6.02131503e-02,3.37429009e-02
7.0,10.0000,0.0,10.0,30.1530,30.1530,800.0,MEAN,5,7.89273194e-02,1.65942414e-01,5.33387651e-02,3.07236161e-02
7.0,10.0000,0.0,10.0,35.3020,35.3020,800.0,MEAN,5,6.57865750e-02,1.34547137e-01,4.67957561e-02,2.77070651e-02
7.0,10.0000,0.0,10.0,41.3310,41.3310,800.0,MEAN,5,5.40085191e-02,1.07536347e-01,4.06406895e-02,2.47266059e-02
7.0,10.0000,0.0,10.0,48.3900,48.3900,800.0,MEAN,5,4.36505451e-02,8.47171731e-02,3.49264377e-02,2.18215178e-02
7.0,10.0000,0.0,10.0,56.6540,56.6540,800.0,MEAN,5,3.47236410e-02,6.57963822e-02,2.96970242e-02,1.90339240e-02
7.0,10.0000,0.0,10.0,66.3290,66.3290,800.0,MEAN,5,2.71910478e-02,5.04027860e-02,2.49841391e-02,1.64054226e-02
7.0,10.0000,0.0,10.0,77.6570,77.6570,800.0,MEAN,5,2.09731756e-02,3.81173036e-02,2.08055993e-02,1.39739690e-02
7.0,10.0000,0.0,10.0,90.9190,90.9190,800.0,MEAN,5,1.59555791e-02,2.85011762e-02,1.71646035e-02,1.17708519e-02
7.0,10.0000,0.0,10.0,106.4460,106.4460,800.0,MEAN,5,1.19962046e-02,2.11149841e-02,1.40474865e-02,9.81668511e-03
7.0,10.0000,0.0,10.0,124.6250,124.6250,800.0,MEAN,5,8.93857614e-03,1.55422574e-02,1.14254791e-02,8.12006233e-03
7.0,10.0000,0.0,10.0,145.9080,145.9080,800.0,MEAN,5,6.62387230e-03,1.14054897e-02,9.25704591e-03,6.67729705e-03
7.0,10.0000,0.0,10.0,170.8260,170.8260,800.0,MEAN,5,4.90154753e-03,8.37656864e-03,7.49134291e-03,5.47370015e-03
7.0,10.0000,0.0,10.0,200.0000,200.0000,800.0,MEAN,5,3.63777209e-03,6.18248047e-03,6.07297477e-03,4.48654588e-03
7.5,10.0000,0.0,10.0,10.0000,10.0000,800.0,MEAN,5,1.92413693e-01,4.55969353e-01,1.17918616e-01,6.16702188e-02
7.5,10.0000,0.0,10.0,11.7080,11.7080,800.0,MEAN,5,1.75374618e-01,4.04375390e-01,1.09921905e-01,5.89438156e-02
7.5,10.0000,0.0,10.0,13.7070,13.7070,800.0,MEAN,5,1.58703900e-01,3.55598720e-01,1.01975000e-01,5.61408173e-02
7.5,10.0000,0.0,10.0,16.0480,16.0480,800.0,MEAN,5,1.42556820e-01,3.10064430e-01,9.41296335e-02,5.32630616e-02
7.5,10.0000,0.0,10.0,18.7890,18.7890,800.0,MEAN,5,1.27083229e-01,2.68110230e-01,8.64408689e-02,5.03154959e-02
7.5,10.0000,0.0,10.0,21.9980,21.9980,800.0,MEAN,5,1.12406456e-01,2.29932057e-01,7.89578250e-02,4.73038801e-02
7.5,10.0000,0.0,10.0,25.7540,25.7540,800.0,MEAN,5,9.86236454e-02,1.95597895e-01,7.17239826e-02,4.42358005e-02
7.5,10.0000,0.0,10.0,30.1530,30.1530,800.0,MEAN,5,8.57933826e-02,1.65033990e-01,6.47700877e-02,4.11183218e-02
7.5,10.0000,0.0,10.0,35.3020,35.3020,800.0,MEAN,5,7.39653468e-02,1.38114009e-01,5.81290863e-02,3.79651406e-02
7.5,10.0000,0.0,10.0,41.3310,41.3310,800.0,MEAN,5,6.31554118e-02,1.14614964e-01,5.18217141e-02,3.47907081e-02
7.5,10.0000,0.0,10.0,48.3900,48.3900,800.0,MEAN,5,5.33680708e-02,9.42848085e-02,4.58676711e-02,3.16155105e-02
7.5,10.0000,0.0,10.0,56.6540,56.6540,800.0,MEAN,5,4.45953066e-02,7.68511651e-02,4.02843706e-02,2.84655555e-02
7.5,10.0000,0.0,10.0,66.3290,66.3290,800.0,MEAN,5,3.68180061e-02,6.20349433e-02,3.50871330e-02,2.53719088e-02
7.5,10.0000,0.0,10.0,77.6570,77.6570,800.0,MEAN,5,3.00087156e-02,4.95643142e-02,3.02905354e-02,2.23703979e-02
7.5,10.0000,0.0,10.0,90.9190,90.9190,800.0,MEAN,5,2.41328380e-02,3.91828198e-02,2.59091985e-02,1.95007037e-02
7.5,10.0000,0.0,10.0,106.4460,106.4460,800.0,MEAN,5,1.91443887e-02,3.06456414e-02,2.19545376e-02,1.68025026e-02
7.5,10.0000,0.0,10.0,124.6250,124.6250,800.0,MEAN,5,1.49856212e-02,2.37210800e-02,1.84335171e-02,1.43125354e-02
7.5,10.0000,0.0,10.0,145.9080,145.9080,800.0,MEAN,5,1.15859672e-02,1.81885145e-02,1.53459767e-02,1.20607416e-02
7.5,10.0000,0.0,10.0,170.8260,170.8260,800.0,MEAN,5,8.86267743e-03,1.38372394e-02,1.26820538e-02,1.00666445e-02
7.5,10.0000,0.0,10.0,200.0000,200.0000,800.0,MEAN,5,6.72476356e-03,1.04689077e-02,1.04216185e-02,8.33766519e-03
8.0,10.0000,0.0,10.0,10.0000,10.0000,800.0,MEAN,5,1.79612868e-01,3.95914314e-01,1.25681823e-01,7.10317168e-02
