rup_mag,rup_rake,dist_rrup,site_vs30,rup_hypo_depth,result_type,mmi
4,0,0.001,1000,10,TOTAL_STDDEV,0.434165867
5,0,73.78289063,1000,10,TOTAL_STDDEV,0.434165867
5,0,38.80489453,1000,10,TOTAL_STDDEV,0.434165867
5,0,19.75461523,1000,10,TOTAL_STDDEV,0.434165867
5,0,5.973233887,1000,10,TOTAL_STDDEV,0.434165867
5,0,0.001,1000,10,TOTAL_STDDEV,0.434165867
5,0,0.001,1000,10,TOTAL_STDDEV,0.434165867
6,0,166.1086406,1000,10,TOTAL_STDDEV,0.434165867
6,0,87.78128906,1000,10,TOTAL_STDDEV,0.434165867
6,0,46.26599609,1000,10,TOTAL_STDDEV,0.434165867
6,0,23.93341406,1000,10,TOTAL_STDDEV,0.434165867
6,0,10.32215625,1000,10,TOTAL_STDDEV,0.434165867
6,0,0.001,1000,10,TOTAL_STDDEV,0.434165867
7,0,373.682875,1000,10,TOTAL_STDDEV,0.434165867
7,0,197.5575469,1000,10,TOTAL_STDDEV,0.434165867
7,0,104.4200078,1000,10,TOTAL_STDDEV,0.434165867
7,0,55.10516406,1000,10,TOTAL_STDDEV,0.434165867
7,0,28.76558203,1000,10,TOTAL_STDDEV,0.434165867
7,0,13.73541113,1000,10,TOTAL_STDDEV,0.434165867
8,0,840.5925,1000,10,TOTAL_STDDEV,0.434165867
8,0,444.4182188,1000,10,TOTAL_STDDEV,0.434165867
8,0,234.9575313,1000,10,TOTAL_STDDEV,0.434165867
8,0,124.2016172,1000,10,TOTAL_STDDEV,0.434165867
8,0,65.59347656,1000,10,TOTAL_STDDEV,0.434165867
8,0,34.42047656,1000,10,TOTAL_STDDEV,0.434165867
9,0,1890.88625,1000,10,TOTAL_STDDEV,0.434165867
9,0,999.707875,1000,10,TOTAL_STDDEV,0.434165867
9,0,528.5426875,1000,10,TOTAL_STDDEV,0.434165867
9,0,279.4355938,1000,10,TOTAL_STDDEV,0.434165867
9,0,147.7229688,1000,10,TOTAL_STDDEV,0.434165867
9,0,78.05021094,1000,10,TOTAL_STDDEV,0.434165867
9,0,41.08285938,1000,10,TOTAL_STDDEV,0.434165867
4,0,32.49004688,1600,10,TOTAL_STDDEV,0.434165867
4,0,16.05992676,1600,10,TOTAL_STDDEV,0.434165867
4,0,0.001,1600,10,TOTAL_STDDEV,0.434165867
4,0,0.001,1600,10,TOTAL_STDDEV,0.434165867
4,0,0.001,1600,10,TOTAL_STDDEV,0.434165867
4,0,0.001,1600,10,TOTAL_STDDEV,0.434165867
5,0,73.78289063,1600,10,TOTAL_STDDEV,0.434165867
5,0,38.80489453,1600,10,TOTAL_STDDEV,0.434165867
5,0,19.75461523,1600,10,TOTAL_STDDEV,0.434165867
5,0,5.973233887,1600,10,TOTAL_STDDEV,0.434165867
5,0,0.001,1600,10,TOTAL_STDDEV,0.434165867
5,0,0.001,1600,10,TOTAL_STDDEV,0.434165867
6,0,166.1086406,1600,10,TOTAL_STDDEV,0.434165867
6,0,87.78128906,1600,10,TOTAL_STDDEV,0.434165867
6,0,46.26599609,1600,10,TOTAL_STDDEV,0.434165867
6,0,23.93341406,1600,10,TOTAL_STDDEV,0.434165867
6,0,10.32215625,1600,10,TOTAL_STDDEV,0.434165867
6,0,0.001,1600,10,TOTAL_STDDEV,0.434165867
7,0,373.682875,1600,10,TOTAL_STDDEV,0.434165867
7,0,197.5575469,1600,10,TOTAL_STDDEV,0.434165867
7,0,104.4200078,1600,10,TOTAL_STDDEV,0.434165867
7,0,55.10516406,1600,10,TOTAL_STDDEV,0.434165867
7,0,28.76558203,1600,10,TOTAL_STDDEV,0.434165867
7,0,13.73541113,1600,10,TOTAL_STDDEV,0.434165867
8,0,840.5925,1600,10,TOTAL_STDDEV,0.434165867
8,0,444.4182188,1600,10,TOTAL_STDDEV,0.434165867
8,0,234.9575313,1600,10,TOTAL_STDDEV,0.434165867
8,0,124.2016172,1600,10,TOTAL_STDDEV,0.434165867
8,0,65.59347656,1600,10,TOTAL_STDDEV,0.434165867
8,0,34.42047656,1600,10,TOTAL_STDDEV,0.434165867
9,0,1890.88625,1600,10,TOTAL_STDDEV,0.434165867
9,0,999.707875,1600,10,TOTAL_STDDEV,0.434165867
9,0,528.5426875,1600,10,TOTAL_STDDEV,0.434165867
9,0,279.4355938,1600,10,TOTAL_STDDEV,0.434165867
9,0,147.7229688,1600,10,TOTAL_STDDEV,0.434165867
9,0,78.05021094,1600,10,TOTAL_STDDEV,0.434165867
9,0,41.08285938,1600,10,TOTAL_STDDEV,0.434165867
4,0,34.01726563,170,20,TOTAL_STDDEV,0.434165867
4,0,16.97464648,170,20,TOTAL_STDDEV,0.434165867
4,0,0.001,170,20,TOTAL_STDDEV,0.434165867
4,0,0.001,170,20,TOTAL_STDDEV,0.434165867
4,0,0.001,170,20,TOTAL_STDDEV,0.434165867
4,0,0.001,170,20,TOTAL_STDDEV,0.434165867
5,0,77.15785938,170,20,TOTAL_STDDEV,0.434165867
5,0,40.6068125,170,20,TOTAL_STDDEV,0.434165867
5,0,20.77679102,170,20,TOTAL_STDDEV,0.434165867
5,0,7.363568359,170,20,TOTAL_STDDEV,0.434165867
5,0,0.001,170,20,TOTAL_STDDEV,0.434165867
5,0,0.001,170,20,TOTAL_STDDEV,0.434165867
6,0,173.688875,170,20,TOTAL_STDDEV,0.434165867
6,0,91.79235938,170,20,TOTAL_STDDEV,0.434165867
6,0,48.39898828,170,20,TOTAL_STDDEV,0.434165867
6,0,25.10792188,170,20,TOTAL_STDDEV,0.434165867
6,0,11.22122949,170,20,TOTAL_STDDEV,0.434165867
6,0,0.001,170,20,TOTAL_STDDEV,0.434165867
7,0,390.7320313,170,20,TOTAL_STDDEV,0.434165867
7,0,206.5720781,170,20,TOTAL_STDDEV,0.434165867
7,0,109.1883906,170,20,TOTAL_STDDEV,0.434165867
