rup_mag,dist_rhypo,result_type,damping,pgv,pga,0.005,0.01,0.1,0.2,0.25,0.3,0.4,0.5
  3.00,  5.00,MEAN,5.0, 0.2296312E+00, 0.1944979E-01, 0.1944979E-01, 0.2011150E-01, 0.3126547E-01, 0.9670474E-02, 0.5987043E-02, 0.4046146E-02, 0.2089385E-02, 0.1247177E-02,
  3.00, 10.00,MEAN,5.0, 0.8834732E-01, 0.6908596E-02, 0.6908596E-02, 0.7111513E-02, 0.1345685E-01, 0.4423215E-02, 0.2736573E-02, 0.1848554E-02, 0.9379066E-03, 0.5492347E-03,
  3.00, 20.00,MEAN,5.0, 0.3112824E-01, 0.2162324E-02, 0.2162324E-02, 0.2202724E-02, 0.5178772E-02, 0.1895449E-02, 0.1186809E-02, 0.8096084E-03, 0.4083752E-03, 0.2357067E-03,
  3.00, 50.00,MEAN,5.0, 0.6176763E-02, 0.3275993E-03, 0.3275993E-03, 0.3280232E-03, 0.1032030E-02, 0.4967935E-03, 0.3309920E-03, 0.2375543E-03, 0.1260765E-03, 0.7409334E-04,
  4.00,  1.00,MEAN,5.0, 0.1542320E+02, 0.8623984E+00, 0.8623984E+00, 0.8501899E+00, 0.1241650E+01, 0.6708881E+00, 0.4834937E+00, 0.3698372E+00, 0.2174963E+00, 0.1377457E+00,
  4.00,  2.00,MEAN,5.0, 0.7212567E+01, 0.3951291E+00, 0.3951291E+00, 0.3996145E+00, 0.6207063E+00, 0.3232905E+00, 0.2328534E+00, 0.1780460E+00, 0.1065921E+00, 0.6887802E-01,
  4.00,  5.00,MEAN,5.0, 0.2288165E+01, 0.1174967E+00, 0.1174967E+00, 0.1201114E+00, 0.2260313E+00, 0.1204934E+00, 0.8624558E-01, 0.6562179E-01, 0.3874139E-01, 0.2478115E-01,
  4.00, 10.00,MEAN,5.0, 0.8803390E+00, 0.4173501E-01, 0.4173501E-01, 0.4247189E-01, 0.9728526E-01, 0.5511289E-01, 0.3942134E-01, 0.2998049E-01, 0.1739067E-01, 0.1091318E-01,
  4.00, 20.00,MEAN,5.0, 0.3101781E+00, 0.1306266E-01, 0.1306266E-01, 0.1315526E-01, 0.3743954E-01, 0.2361715E-01, 0.1709642E-01, 0.1313051E-01, 0.7572095E-02, 0.4683445E-02,
  4.00, 50.00,MEAN,5.0, 0.6154850E-01, 0.1979036E-02, 0.1979036E-02, 0.1959044E-02, 0.7460979E-02, 0.6190008E-02, 0.4768062E-02, 0.3852739E-02, 0.2337710E-02, 0.1472220E-02,
  5.00,  1.00,MEAN,5.0, 0.8947467E+02, 0.3034305E+01, 0.3034305E+01, 0.2999439E+01, 0.3553501E+01, 0.2726186E+01, 0.2409546E+01, 0.2177603E+01, 0.1724259E+01, 0.1364605E+01,
  5.00,  2.00,MEAN,5.0, 0.4184230E+02, 0.1390242E+01, 0.1390242E+01, 0.1409824E+01, 0.1776411E+01, 0.1313706E+01, 0.1160452E+01, 0.1048336E+01, 0.8450371E+00, 0.6823535E+00,
  5.00,  5.00,MEAN,5.0, 0.1327434E+02, 0.4134062E+00, 0.4134062E+00, 0.4237486E+00, 0.6468833E+00, 0.4896305E+00, 0.4298147E+00, 0.3863816E+00, 0.3071325E+00, 0.2454992E+00,
  5.00, 10.00,MEAN,5.0, 0.5107115E+01, 0.1468425E+00, 0.1468425E+00, 0.1498391E+00, 0.2784225E+00, 0.2239539E+00, 0.1964608E+00, 0.1765252E+00, 0.1378690E+00, 0.1081135E+00,
  5.00, 20.00,MEAN,5.0, 0.1799438E+01, 0.4596030E-01, 0.4596030E-01, 0.4641127E-01, 0.1071489E+00, 0.9596941E-01, 0.8520198E-01, 0.7731251E-01, 0.6002978E-01, 0.4639745E-01,
  5.00, 50.00,MEAN,5.0, 0.3570616E+00, 0.6963138E-02, 0.6963138E-02, 0.6911433E-02, 0.2135272E-01, 0.2515339E-01, 0.2376218E-01, 0.2268494E-01, 0.1853281E-01, 0.1458483E-01,
