rup_mag,rup_rake,rup_dip,rup_ztor,rup_width,rup_hypo_depth,dist_rrup,dist_rjb,dist_rx,site_vs30,site_z2pt5,result_type,damping,pgv,pga,0.010,0.050,0.100,0.150,0.200,0.300,0.500,0.750,1.000,1.500,2.000,3.000,4.000,5.000,7.500,10.000
4.00,-90.00,30.00,0.00,1.13,0.00,60.00,60.00,-60.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.548992E-01,7.334354E-01,7.334354E-01,7.761691E-01,7.681015E-01,7.681675E-01,7.602890E-01,7.265243E-01,6.627804E-01,6.058904E-01,5.789338E-01,5.409737E-01,5.289938E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,80.00,80.00,-80.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.549393E-01,7.336599E-01,7.336599E-01,7.764994E-01,7.684587E-01,7.684985E-01,7.605717E-01,7.267135E-01,6.628678E-01,6.059340E-01,5.789601E-01,5.409842E-01,5.289963E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,100.00,100.00,-100.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.549606E-01,7.337794E-01,7.337794E-01,7.766753E-01,7.686488E-01,7.686747E-01,7.607222E-01,7.268141E-01,6.629142E-01,6.059572E-01,5.789741E-01,5.409897E-01,5.289976E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,120.00,120.00,-120.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.549726E-01,7.338463E-01,7.338463E-01,7.767737E-01,7.687553E-01,7.687733E-01,7.608064E-01,7.268705E-01,6.629402E-01,6.059702E-01,5.789820E-01,5.409928E-01,5.289983E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,0.00,0.00,0.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.271671E-01,7.271671E-01,7.647813E-01,7.560198E-01,7.587509E-01,7.544183E-01,7.263355E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,19.03,19.02,20.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.329902E-01,7.329902E-01,7.751816E-01,7.670660E-01,7.674813E-01,7.600293E-01,7.269026E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,39.02,39.02,40.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.336943E-01,7.336943E-01,7.764491E-01,7.684140E-01,7.685401E-01,7.607062E-01,7.269706E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,59.02,59.02,60.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.338514E-01,7.338514E-01,7.767322E-01,7.687151E-01,7.687764E-01,7.608572E-01,7.269857E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,79.02,79.02,80.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.339112E-01,7.339112E-01,7.768398E-01,7.688296E-01,7.688663E-01,7.609146E-01,7.269914E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,99.01,99.02,100.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.339425E-01,7.339425E-01,7.768964E-01,7.688897E-01,7.689135E-01,7.609447E-01,7.269945E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
