rup_mag,dist_rjb,result_type,damping,0.030,0.040,0.050,0.100,0.310,0.500,1.000,2.000,2.500,4.000
4.00,14.7300,MEAN,5.0,2.213815186e-02,2.844003018e-02,3.021434544e-02,2.760385863e-02,9.247853486e-03,4.206350825e-03,9.489527461e-04,1.816123835e-04,1.074786368e-04,3.701588726e-05
4.00,16.6500,MEAN,5.0,1.845695756e-02,2.406542533e-02,2.581934615e-02,2.420818632e-02,8.304611180e-03,3.801521424e-03,8.620724818e-04,1.642771195e-04,9.687353415e-05,3.310015704e-05
4.00,18.8100,MEAN,5.0,1.534680725e-02,2.031285053e-02,2.201578529e-02,2.118981094e-02,7.450084637e-03,3.432382273e-03,7.827381559e-04,1.484714376e-04,8.724736402e-05,2.956172374e-05
4.00,21.2600,MEAN,5.0,1.273632044e-02,1.710072808e-02,1.872208513e-02,1.851814084e-02,6.677135806e-03,3.096893929e-03,7.103379357e-04,1.340933657e-04,7.850835152e-05,2.635979850e-05
4.00,24.0300,MEAN,5.0,1.054391940e-02,1.434748027e-02,1.588725960e-02,1.615238717e-02,5.977606918e-03,2.791997226e-03,6.443619603e-04,1.210409316e-04,7.060551057e-05,2.348418412e-05
4.00,27.1500,MEAN,5.0,8.698223645e-03,1.201231823e-02,1.342973100e-02,1.405176106e-02,5.346399364e-03,2.515652724e-03,5.841983970e-04,1.093141354e-04,6.345726348e-05,2.090428895e-05
4.00,30.6800,MEAN,5.0,7.156404870e-03,1.001468399e-02,1.131890767e-02,1.220606530e-02,4.776375094e-03,2.264801256e-03,5.294393572e-04,9.856627169e-05,5.701262415e-05,1.859971856e-05
4.00,34.6700,MEAN,5.0,5.866457284e-03,8.318887280e-03,9.508902168e-03,1.056431383e-02,4.262435503e-03,2.037403381e-03,4.796769523e-04,8.887891828e-05,5.119001489e-05,1.652968409e-05
4.00,39.1800,MEAN,5.0,4.790651194e-03,6.880060368e-03,7.952807293e-03,9.128546081e-03,3.798462260e-03,1.831419656e-03,4.342993494e-04,8.011951135e-05,4.594864683e-05,1.468398833e-05
4.00,44.2800,MEAN,5.0,3.895335794e-03,5.661493280e-03,6.619011686e-03,7.860012645e-03,3.381396203e-03,1.643790916e-03,3.931026044e-04,7.219627598e-05,4.122733669e-05,1.304223686e-05
4.00,50.0400,MEAN,5.0,3.157057492e-03,4.640752147e-03,5.489160361e-03,6.756674077e-03,3.010217609e-03,1.476556605e-03,3.559847450e-04,6.516019823e-05,3.706687333e-05,1.161462688e-05
4.00,56.5500,MEAN,5.0,3.010217609e-03,4.396019008e-03,5.214855302e-03,6.536414252e-03,2.970448473e-03,1.463300226e-03,3.542512186e-04,6.499704281e-05,3.698529562e-05,1.157383803e-05
4.00,63.9000,MEAN,5.0,2.852160790e-03,4.135990048e-03,4.922195256e-03,6.295759998e-03,2.924561010e-03,1.448004405e-03,3.522117757e-04,6.482369017e-05,3.688332348e-05,1.152285196e-05
4.00,72.2100,MEAN,5.0,2.683906757e-03,3.860665266e-03,4.610160504e-03,6.034711317e-03,2.874594661e-03,1.430669141e-03,3.500703608e-04,6.461974589e-05,3.677115412e-05,1.147186589e-05
4.00,81.6100,MEAN,5.0,2.505455510e-03,3.571064385e-03,4.281810209e-03,5.753268207e-03,2.818509983e-03,1.411294434e-03,3.475210572e-04,6.439540717e-05,3.664878755e-05,1.142087982e-05
4.00,92.2200,MEAN,5.0,2.317826770e-03,3.269226847e-03,3.939183815e-03,5.450410948e-03,2.757326698e-03,1.388860563e-03,3.447678094e-04,6.414047682e-05,3.650602655e-05,1.135969653e-05
4.00,104.2100,MEAN,5.0,2.009870903e-03,2.818509983e-03,3.403830074e-03,4.790651194e-03,2.470784982e-03,1.251198173e-03,3.124426407e-04,5.834845920e-05,3.322252361e-05,1.031958069e-05
4.00,117.7700,MEAN,5.0,1.546917382e-03,2.179144658e-03,2.628841800e-03,3.660799869e-03,1.872208513e-03,9.484428854e-04,2.374931169e-04,4.455162850e-05,2.540126038e-05,7.881426794e-06
4.00,133.0900,MEAN,5.0,1.175738788e-03,1.661126180e-03,2.001713132e-03,2.771602798e-03,1.413333877e-03,7.170680970e-04,1.803887178e-04,3.399751188e-05,1.940529847e-05,6.015336610e-06
4.00,150.4000,MEAN,5.0,8.803254951e-04,1.245079844e-03,1.500010197e-03,2.078192238e-03,1.062549711e-03,5.406562927e-04,1.367446414e-04,2.593151551e-05,1.480635490e-05,4.585687190e-06
4.00,169.9600,MEAN,5.0,6.485428181e-04,9.157098281e-04,1.104358289e-03,1.539779332e-03,7.951787572e-04,4.062570106e-04,1.035017233e-04,1.975200375e-05,1.129851325e-05,3.492545836e-06
4.00,192.0600,MEAN,5.0,4.688679053e-04,6.595558094e-04,7.975241164e-04,1.126792160e-03,5.918463076e-04,3.041828972e-04,7.816164624e-05,1.503069361e-05,8.607468440e-06,2.655354557e-06
4.00,217.0400,MEAN,5.0,3.319193196e-04,4.638712704e-04,5.627842473e-04,8.120041605e-04,4.378683744e-04,2.267860421e-04,5.890930598e-05,1.143107703e-05,6.552729794e-06,2.015989232e-06
4.00,245.2700,MEAN,5.0,2.294373177e-04,3.175412477e-04,3.870862480e-04,5.757347093e-04,3.218240777e-04,1.682540330e-04,4.428650093e-05,8.679868660e-06,4.981339098e-06,1.528562397e-06
4.00,277.1700,MEAN,5.0,1.543858218e-04,2.108783880e-04,2.587033223e-04,4.006485428e-04,2.346378969e-04,1.242020680e-04,3.320212918e-05,6.582301715e-06,3.783166439e-06,1.156364081e-06
4.00,313.2200,MEAN,5.0,1.008096588e-04,1.352150592e-04,1.673362837e-04,2.729794220e-04,1.696816430e-04,9.110191096e-05,2.482001917e-05,4.983378541e-06,2.867456611e-06,8.728815288e-07
4.00,353.9600,MEAN,5.0,6.358982726e-05,8.345400037e-05,1.043175005e-04,1.815104114e-04,1.214488202e-04,6.638386393e-05,1.847735199e-05,3.766850896e-06,2.170986886e-06,6.573124222e-07
4.00,400.0000,MEAN,5.0,3.857606102e-05,4.928313585e-05,6.235596435e-05,1.175738788e-04,8.597271226e-05,4.799828687e-05,1.370505578e-05,2.840943854e-06,1.639712031e-06,4.935451635e-07
4.20, 1.0000,MEAN,5.0,8.329084494e-02,9.884159648e-02,1.012991251e-01,8.584014847e-02,2.815450819e-02,1.304223686e-02,3.097913650e-03,6.348785512e-04,3.815797524e-04,1.332775886e-04
4.20, 1.1300,MEAN,5.0,8.270960374e-02,9.818897477e-02,1.006668978e-01,8.546285155e-02,2.805253605e-02,1.299125079e-02,3.083637550e-03,6.325331919e-04,3.802541146e-04,1.329716721e-04
4.20, 1.2800,MEAN,5.0,8.203658760e-02,9.742418371e-02,9.992250117e-02,8.500397691e-02,2.793016948e-02,1.293006751e-02,3.067322008e-03,6.296779720e-04,3.787245325e-04,1.324618114e-04
4.20, 1.4400,MEAN,5.0,8.124120490e-02,9.654722330e-02,9.906593519e-02,8.445332735e-02,2.778740848e-02,1.285868701e-02,3.046927579e-03,6.261089470e-04,3.768890339e-04,1.319519507e-04
4.20, 1.6300,MEAN,5.0,8.034385006e-02,9.554789631e-02,9.808700263e-02,8.380070565e-02,2.760385863e-02,1.276691208e-02,3.022454265e-03,6.218261171e-04,3.745436747e-04,1.313401179e-04
4.20, 1.8400,MEAN,5.0,7.933432586e-02,9.442620276e-02,9.697550629e-02,8.304611180e-02,2.739991434e-02,1.266493994e-02,2.995941509e-03,6.168294822e-04,3.717904269e-04,1.305243408e-04
4.20, 2.0800,MEAN,5.0,7.821263231e-02,9.320253707e-02,9.576203781e-02,8.217934860e-02,2.715518120e-02,1.255277058e-02,2.964330145e-03,6.108131259e-04,3.684253462e-04,1.295046193e-04
4.20, 2.3500,MEAN,5.0,7.698896661e-02,9.185650480e-02,9.442620276e-02,8.119021883e-02,2.687985642e-02,1.242020680e-02,2.930679338e-03,6.039809924e-04,3.645504048e-04,1.283829258e-04
4.20, 2.6600,MEAN,5.0,7.567352599e-02,9.042889483e-02,9.298839557e-02,8.009911692e-02,2.656374279e-02,1.226724859e-02,2.892949646e-03,5.961291375e-04,3.600636306e-04,1.270572879e-04
4.20, 3.0100,MEAN,5.0,7.427650766e-02,8.890950992e-02,9.145881345e-02,7.889584565e-02,2.621703751e-02,1.210409316e-02,2.852160790e-03,5.874615055e-04,3.549650236e-04,1.254257337e-04
4.20, 3.4000,MEAN,5.0,7.280810882e-02,8.730854730e-02,8.985785084e-02,7.760079946e-02,2.583974058e-02,1.193074052e-02,2.808312769e-03,5.777741521e-04,3.493565558e-04,1.235902351e-04
4.20, 3.8400,MEAN,5.0,7.127852671e-02,8.564640140e-02,8.817531051e-02,7.621397834e-02,2.543185202e-02,1.174719067e-02,2.762425305e-03,5.673729937e-04,3.430342830e-04,1.215507923e-04
4.20, 4.3400,MEAN,5.0,6.970815573e-02,8.392307222e-02,8.643158689e-02,7.475577672e-02,2.499337181e-02,1.155344360e-02,2.715518120e-03,5.562580303e-04,3.363041217e-04,1.193074052e-04
4.20, 4.9000,MEAN,5.0,6.808679869e-02,8.215895417e-02,8.464707442e-02,7.323639182e-02,2.454469439e-02,1.135969653e-02,2.666571493e-03,5.445312341e-04,3.290640997e-04,1.167581017e-04
4.20, 5.5400,MEAN,5.0,6.643485000e-02,8.034385006e-02,8.280137866e-02,7.166602084e-02,2.406542533e-02,1.114555503e-02,2.617624865e-03,5.323965493e-04,3.215181612e-04,1.141068260e-04
4.20, 6.2600,MEAN,5.0,6.476250688e-02,7.848795709e-02,8.092509127e-02,7.005486101e-02,2.358615626e-02,1.094161075e-02,2.566638794e-03,5.199559480e-04,3.135643342e-04,1.112516061e-04
4.20, 7.0700,MEAN,5.0,6.305957212e-02,7.660147248e-02,7.900801501e-02,6.840291232e-02,2.308649277e-02,1.072746926e-02,2.516672445e-03,5.073114025e-04,3.056105072e-04,1.083963861e-04
4.20, 7.9900,MEAN,5.0,6.134644015e-02,7.466400179e-02,7.705014990e-02,6.672037199e-02,2.258682928e-02,1.050313054e-02,2.465686374e-03,4.944629127e-04,2.973507638e-04,1.053372219e-04
4.20, 9.0300,MEAN,5.0,5.960271654e-02,7.270613668e-02,7.506169315e-02,6.501743724e-02,2.207696857e-02,1.028898905e-02,2.414700304e-03,4.817163951e-04,2.891929925e-04,1.022780576e-04
4.20,10.2100,MEAN,5.0,5.560540860e-02,6.832133461e-02,7.066669386e-02,6.109150980e-02,2.086350009e-02,9.796463606e-03,2.308649277e-03,4.538780005e-04,2.702261742e-04,9.389594763e-05
4.20,11.5400,MEAN,5.0,4.684600167e-02,5.837905084e-02,6.095894602e-02,5.400444599e-02,1.884445170e-02,8.892990435e-03,2.104704995e-03,4.129871719e-04,2.453449718e-04,8.480003263e-05
4.20,13.0400,MEAN,5.0,3.938164094e-02,4.977260213e-02,5.246466665e-02,4.764138437e-02,1.699875594e-02,8.062937206e-03,1.918095976e-03,3.751555075e-04,2.222992678e-04,7.639752820e-05
4.20,14.7300,MEAN,5.0,3.303897375e-02,4.234903024e-02,4.507168642e-02,4.195133889e-02,1.530601840e-02,7.304264475e-03,1.745763058e-03,3.404849795e-04,2.011910346e-04,6.867823711e-05
4.20,16.6500,MEAN,5.0,2.765484470e-02,3.594517978e-02,3.862704709e-02,3.687312626e-02,1.377643628e-02,6.610853915e-03,1.588725960e-03,3.087716436e-04,1.819182999e-04,6.164215936e-05
4.20,18.8100,MEAN,5.0,2.309668998e-02,3.044888137e-02,3.303897375e-02,3.235576041e-02,1.237941794e-02,5.978626639e-03,1.444945241e-03,2.798115555e-04,1.642771195e-04,5.523830889e-05
4.20,21.2600,MEAN,5.0,1.925234026e-02,2.571737401e-02,2.818509983e-02,2.833805804e-02,1.111496339e-02,5.403503763e-03,1.313401179e-03,2.534007709e-04,1.482674933e-04,4.944629127e-05
4.20,24.0300,MEAN,5.0,1.599942896e-02,2.165888279e-02,2.397365040e-02,2.476903310e-02,9.967776803e-03,4.879366957e-03,1.193074052e-03,2.293353456e-04,1.337874493e-04,4.421512043e-05
4.20,27.1500,MEAN,5.0,1.325637836e-02,1.819182999e-02,2.034344217e-02,2.160789672e-02,8.930720127e-03,4.403157057e-03,1.083963861e-03,2.075133074e-04,1.205310709e-04,3.950400751e-05
4.20,30.6800,MEAN,5.0,1.095180797e-02,1.521424347e-02,1.719250301e-02,1.880366284e-02,7.993596150e-03,3.970795179e-03,9.839291905e-04,1.876287398e-04,1.086003304e-04,3.527216364e-05
4.20,34.6700,MEAN,5.0,9.020455612e-03,1.268533437e-02,1.448004405e-02,1.632573981e-02,7.146207656e-03,3.578202435e-03,8.927660963e-04,1.695796708e-04,9.782187506e-05,3.146860278e-05
4.20,39.1800,MEAN,5.0,7.398078845e-03,1.052352497e-02,1.214488202e-02,1.413333877e-02,6.380396876e-03,3.221299941e-03,8.097607734e-04,1.532641282e-04,8.806314115e-05,2.805253605e-05
4.20,44.2800,MEAN,5.0,6.040829645e-03,8.690065874e-03,1.014214916e-02,1.219586809e-02,5.690045480e-03,2.897028532e-03,7.339954724e-04,1.384781678e-04,7.925274815e-05,2.500356902e-05
4.20,50.0400,MEAN,5.0,4.917096649e-03,7.147227377e-03,8.435135521e-03,1.051332776e-02,5.075153468e-03,2.606407929e-03,6.658780821e-04,1.253237615e-04,7.145187935e-05,2.234209614e-05
4.20,56.5500,MEAN,5.0,4.688679053e-03,6.770950176e-03,8.013990578e-03,1.016662248e-02,5.006832133e-03,2.581934615e-03,6.626149736e-04,1.250178451e-04,7.128872392e-05,2.227071564e-05
4.20,63.9000,MEAN,5.0,4.442926193e-03,6.370199661e-03,7.563273714e-03,9.793404442e-03,4.930353028e-03,2.554402137e-03,6.589439765e-04,1.246099566e-04,7.110517407e-05,2.218913793e-05
4.20,72.2100,MEAN,5.0,4.180857790e-03,5.944975833e-03,7.085024371e-03,9.387555320e-03,4.845716150e-03,2.523810495e-03,6.547631187e-04,1.243040401e-04,7.089103257e-05,2.208716579e-05
4.20,81.6100,MEAN,5.0,3.902473844e-03,5.499357576e-03,6.580262272e-03,8.948055391e-03,4.751901780e-03,2.490159688e-03,6.500724002e-04,1.237941794e-04,7.064629943e-05,2.198519365e-05
4.20,92.2200,MEAN,5.0,3.610833520e-03,5.035384333e-03,6.053066302e-03,8.476944099e-03,4.647890196e-03,2.452429996e-03,6.448718210e-04,1.232843187e-04,7.038117186e-05,2.186282708e-05
4.20,104.2100,MEAN,5.0,3.132584178e-03,4.342993494e-03,5.234230008e-03,7.453143801e-03,4.164542247e-03,2.207696857e-03,5.844023413e-04,1.121693553e-04,6.405889911e-05,1.986417311e-05
4.20,117.7700,MEAN,5.0,2.415720025e-03,3.365080660e-03,4.048294006e-03,5.700242694e-03,3.157057492e-03,1.674382559e-03,4.443945914e-04,8.570758469e-05,4.898741664e-05,1.519384904e-05
4.20,133.0900,MEAN,5.0,1.839577427e-03,2.569697959e-03,3.086696714e-03,4.320559623e-03,2.384108662e-03,1.266493994e-03,3.374258153e-04,6.542532580e-05,3.744417025e-05,1.160442967e-05
4.20,150.4000,MEAN,5.0,1.380702792e-03,1.929312912e-03,2.317826770e-03,3.240674648e-03,1.793689964e-03,9.547651582e-04,2.558481023e-04,4.990516591e-05,2.859298840e-05,8.859339628e-06
4.20,169.9600,MEAN,5.0,1.019313524e-03,1.422511370e-03,1.710072808e-03,2.403483368e-03,1.341953378e-03,7.176799298e-04,1.936450962e-04,3.802541146e-05,2.182203822e-05,6.754634634e-06
4.20,192.0600,MEAN,5.0,7.384822467e-04,1.026859462e-03,1.235902351e-03,1.760039157e-03,9.995309282e-04,5.373931842e-04,1.463300226e-04,2.894989089e-05,1.663165623e-05,5.142455081e-06
4.20,217.0400,MEAN,5.0,5.239328615e-04,7.232883976e-04,8.736973059e-04,1.269553158e-03,7.398078845e-04,4.007505150e-04,1.102318846e-04,2.201578529e-05,1.266493994e-05,3.908592173e-06
4.20,245.2700,MEAN,5.0,3.629188506e-04,4.960944670e-04,6.019415496e-04,9.009238676e-04,5.438174291e-04,2.974527359e-04,8.291354802e-05,1.672343116e-05,9.637387066e-06,2.966369588e-06
4.20,277.1700,MEAN,5.0,2.447331389e-04,3.300838211e-04,4.028919299e-04,6.274345849e-04,3.966716293e-04,2.195460200e-04,6.217241450e-05,1.268533437e-05,7.320580018e-06,2.246446271e-06
4.20,313.2200,MEAN,5.0,1.600962617e-04,2.121020537e-04,2.610486815e-04,4.277731324e-04,2.868476332e-04,1.611159831e-04,4.646870475e-05,9.608834866e-06,5.553402810e-06,1.697836151e-06
4.20,353.9600,MEAN,5.0,1.012175474e-04,1.311361736e-04,1.629514817e-04,2.848081904e-04,2.054738645e-04,1.174719067e-04,3.460934473e-05,7.264495340e-06,4.205331104e-06,1.279750372e-06
4.20,400.0000,MEAN,5.0,6.154018722e-05,7.759060225e-05,9.759753635e-05,1.845695756e-04,1.455142455e-04,8.492239920e-05,2.567658516e-05,5.481002590e-06,3.178471642e-06,9.622091245e-07
4.40, 1.0000,MEAN,5.0,1.216527645e-01,1.442905798e-01,1.480635490e-01,1.277710929e-01,4.545918055e-02,2.204637693e-02,5.544225318e-03,1.160442967e-03,6.972855016e-04,2.422858075e-04
4.40, 1.1300,MEAN,5.0,1.207350152e-01,1.432708584e-01,1.471457998e-01,1.271592601e-01,4.528582791e-02,2.195460200e-02,5.517712561e-03,1.156364081e-03,6.949401424e-04,2.416739747e-04
4.40, 1.2800,MEAN,5.0,1.197152938e-01,1.420471927e-01,1.460241062e-01,1.264454551e-01,4.507168642e-02,2.185262986e-02,5.486101197e-03,1.150245753e-03,6.920849224e-04,2.408581975e-04
4.40, 1.4400,MEAN,5.0,1.184916281e-01,1.407215549e-01,1.445964962e-01,1.256296780e-01,4.482695328e-02,2.172006608e-02,5.448371505e-03,1.144127424e-03,6.885158975e-04,2.398384761e-04
4.40, 1.6300,MEAN,5.0,1.170640181e-01,1.391919728e-01,1.431688863e-01,1.246099566e-01,4.452103685e-02,2.155691065e-02,5.404523484e-03,1.135969653e-03,6.841310954e-04,2.386148104e-04
4.40, 1.8400,MEAN,5.0,1.155344360e-01,1.374584464e-01,1.414353599e-01,1.233862909e-01,4.416413436e-02,2.137336080e-02,5.353537414e-03,1.126792160e-03,6.789305162e-04,2.371872005e-04
4.40, 2.0800,MEAN,5.0,1.138009096e-01,1.355209757e-01,1.394978892e-01,1.220606530e-01,4.375624579e-02,2.116941652e-02,5.296433015e-03,1.115575225e-03,6.728121877e-04,2.353517019e-04
4.40, 2.3500,MEAN,5.0,1.119654110e-01,1.334815328e-01,1.374584464e-01,1.205310709e-01,4.327697673e-02,2.093488059e-02,5.233210287e-03,1.102318846e-03,6.655721657e-04,2.332102869e-04
4.40, 2.6600,MEAN,5.0,1.099259682e-01,1.312381457e-01,1.353170314e-01,1.187975445e-01,4.274672160e-02,2.066975302e-02,5.162849510e-03,1.088042747e-03,6.572104501e-04,2.305590113e-04
4.40, 3.0100,MEAN,5.0,1.077845533e-01,1.288927865e-01,1.329716721e-01,1.168600738e-01,4.215528318e-02,2.038423103e-02,5.087390125e-03,1.071727204e-03,6.476250688e-04,2.276018192e-04
4.40, 3.4000,MEAN,5.0,1.055411662e-01,1.264454551e-01,1.305243408e-01,1.149226031e-01,4.151285869e-02,2.007831460e-02,5.007851855e-03,1.053372219e-03,6.370199661e-04,2.242367385e-04
4.40, 3.8400,MEAN,5.0,1.031958069e-01,1.238961516e-01,1.278730651e-01,1.126792160e-01,4.081944813e-02,1.975200375e-02,4.923214978e-03,1.033997512e-03,6.252931699e-04,2.203617972e-04
4.40, 4.3400,MEAN,5.0,1.007688699e-01,1.213468480e-01,1.252217894e-01,1.104358289e-01,4.008524871e-02,1.940529847e-02,4.835518936e-03,1.013399139e-03,6.126486244e-04,2.160789672e-04
4.40, 4.9000,MEAN,5.0,9.830114413e-02,1.185936002e-01,1.225705137e-01,1.080904697e-01,3.932045765e-02,1.905859319e-02,4.745783452e-03,9.915771011e-04,5.991883018e-04,2.113882487e-04
4.40, 5.5400,MEAN,5.0,9.579262945e-02,1.158403524e-01,1.197152938e-01,1.056431383e-01,3.851487774e-02,1.869149348e-02,4.655028246e-03,9.689392858e-04,5.850141741e-04,2.063916138e-04
4.40, 6.2600,MEAN,5.0,9.325352314e-02,1.130871046e-01,1.168600738e-01,1.031958069e-01,3.769910061e-02,1.831419656e-02,4.562233598e-03,9.457916097e-04,5.703301858e-04,2.011910346e-04
4.40, 7.0700,MEAN,5.0,9.067362796e-02,1.102318846e-01,1.140048539e-01,1.006159117e-01,3.686292905e-02,1.794709685e-02,4.468419228e-03,9.221340730e-04,5.553402810e-04,1.956845390e-04
4.40, 7.9900,MEAN,5.0,8.808353558e-02,1.072746926e-01,1.110476618e-01,9.803601656e-02,3.601656028e-02,1.755960272e-02,4.375624579e-03,8.983745641e-04,5.401464320e-04,1.900760712e-04
4.40, 9.0300,MEAN,5.0,8.546285155e-02,1.043175005e-01,1.080904697e-01,9.542552975e-02,3.517019150e-02,1.718230579e-02,4.282829931e-03,8.745130830e-04,5.248506108e-04,1.843656313e-04
4.40,10.2100,MEAN,5.0,7.974221443e-02,9.805641099e-02,1.017274081e-01,8.966410377e-02,3.323272082e-02,1.635633145e-02,4.094181470e-03,8.247506781e-04,4.910978321e-04,1.696816430e-04
4.40,11.5400,MEAN,5.0,6.746476863e-02,8.406583321e-02,8.800195787e-02,7.943629800e-02,3.007158444e-02,1.486753819e-02,3.739318418e-03,7.521465136e-04,4.470458671e-04,1.537739889e-04
4.40,13.0400,MEAN,5.0,5.695144087e-02,7.191075398e-02,7.596924520e-02,7.023841087e-02,2.716537842e-02,1.350111150e-02,3.411987845e-03,6.850488447e-04,4.062570106e-04,1.389880285e-04
4.40,14.7300,MEAN,5.0,4.798808965e-02,6.138722901e-02,6.544572023e-02,6.198886464e-02,2.451410275e-02,1.225705137e-02,3.111170028e-03,6.232537271e-04,3.687312626e-04,1.254257337e-04
4.40,16.6500,MEAN,5.0,4.034017906e-02,5.229131401e-02,5.626822752e-02,5.461627883e-02,2.209736300e-02,1.110476618e-02,2.835845247e-03,5.665572166e-04,3.343666510e-04,1.128831603e-04
4.40,18.8100,MEAN,5.0,3.384455367e-02,4.442926193e-02,4.826341444e-02,4.802887851e-02,1.989476475e-02,1.006363062e-02,2.582954337e-03,5.146533967e-04,3.028572594e-04,1.015744499e-04
4.40,21.2600,MEAN,5.0,2.831766361e-02,3.765831175e-02,4.128851998e-02,4.216548039e-02,1.789611078e-02,9.109171374e-03,2.352497298e-03,4.672363510e-04,2.741011156e-04,9.124467196e-05
4.40,24.0300,MEAN,5.0,2.363714233e-02,3.182550527e-02,3.523137479e-02,3.694450676e-02,1.608100667e-02,8.239349010e-03,2.140395244e-03,4.238981910e-04,2.478942753e-04,8.189382661e-05
