rup_mag,dist_rhypo,result_type,mmi 
4.9,126,MEAN,2.784
4.9,141,MEAN,2.583
4.9,158,MEAN,2.369
4.9,178,MEAN,2.135
4.9,200,MEAN,1.893
4.9,224,MEAN,1.645
4.9,250,MEAN,1.39
5,1.00E-01,MEAN,11.448
5,1,MEAN,8.9
5,2,MEAN,8.129
5,3,MEAN,7.676
5,4,MEAN,7.353
5,5,MEAN,7.101
5,6,MEAN,6.895
5,7,MEAN,6.719
5,8,MEAN,6.566
5,9,MEAN,6.431
5,10,MEAN,6.31
5,11,MEAN,6.199
5,12,MEAN,6.098
5,14,MEAN,5.917
5,16,MEAN,5.759
5,18,MEAN,5.619
5,20,MEAN,5.492
5,22,MEAN,5.377
5,25,MEAN,5.22
5,28,MEAN,5.08
5,32,MEAN,4.911
5,35,MEAN,4.797
5,40,MEAN,4.624
5,45,MEAN,4.468
5,50,MEAN,4.326
5,56,MEAN,4.17
5,63,MEAN,4.004
5,71,MEAN,3.83
5,79,MEAN,3.671
5,89,MEAN,3.488
5,100,MEAN,3.303
5,112,MEAN,3.116
5,126,MEAN,2.914
5,141,MEAN,2.713
5,158,MEAN,2.499
5,178,MEAN,2.265
5,200,MEAN,2.023
5,224,MEAN,1.775
5,250,MEAN,1.52
5.1,1.00E-01,MEAN,11.579
5.1,1,MEAN,9.03
5.1,2,MEAN,8.259
5.1,3,MEAN,7.806
5.1,4,MEAN,7.483
5.1,5,MEAN,7.231
5.1,6,MEAN,7.025
5.1,7,MEAN,6.849
5.1,8,MEAN,6.697
5.1,9,MEAN,6.561
5.1,10,MEAN,6.44
5.1,11,MEAN,6.329
5.1,12,MEAN,6.228
5.1,14,MEAN,6.047
5.1,16,MEAN,5.89
5.1,18,MEAN,5.749
5.1,20,MEAN,5.622
5.1,22,MEAN,5.507
5.1,25,MEAN,5.35
5.1,28,MEAN,5.21
5.1,32,MEAN,5.042
5.1,35,MEAN,4.927
5.1,40,MEAN,4.754
5.1,45,MEAN,4.598
5.1,50,MEAN,4.456
5.1,56,MEAN,4.3
5.1,63,MEAN,4.134
5.1,71,MEAN,3.961
5.1,79,MEAN,3.801
5.1,89,MEAN,3.618
5.1,100,MEAN,3.433
5.1,112,MEAN,3.246
5.1,126,MEAN,3.044
5.1,141,MEAN,2.843
5.1,158,MEAN,2.63
5.1,178,MEAN,2.395
5.1,200,MEAN,2.153
5.1,224,MEAN,1.905
5.1,250,MEAN,1.65
5.2,1.00E-01,MEAN,11.709
5.2,1,MEAN,9.16
5.2,2,MEAN,8.389
5.2,3,MEAN,7.936
5.2,4,MEAN,7.613
5.2,5,MEAN,7.361
5.2,6,MEAN,7.155
5.2,7,MEAN,6.979
5.2,8,MEAN,6.827
5.2,9,MEAN,6.691
5.2,10,MEAN,6.57
5.2,11,MEAN,6.459
5.2,12,MEAN,6.358
5.2,14,MEAN,6.177
5.2,16,MEAN,6.02
5.2,18,MEAN,5.879
5.2,20,MEAN,5.753
5.2,22,MEAN,5.637
5.2,25,MEAN,5.48
5.2,28,MEAN,5.34
5.2,32,MEAN,5.172
5.2,35,MEAN,5.057
5.2,40,MEAN,4.884
5.2,45,MEAN,4.728
5.2,50,MEAN,4.586
5.2,56,MEAN,4.43
5.2,63,MEAN,4.264
5.2,71,MEAN,4.091
5.2,79,MEAN,3.932
5.2,89,MEAN,3.748
5.2,100,MEAN,3.563
5.2,112,MEAN,3.376
5.2,126,MEAN,3.174
5.2,141,MEAN,2.973
5.2,158,MEAN,2.76
5.2,178,MEAN,2.525
5.2,200,MEAN,2.283
5.2,224,MEAN,2.035
5.2,250,MEAN,1.78
5.3,1.00E-01,MEAN,11.839
5.3,1,MEAN,9.29
5.3,2,MEAN,8.519
5.3,3,MEAN,8.066
5.3,4,MEAN,7.743
5.3,5,MEAN,7.491
5.3,6,MEAN,7.285
5.3,7,MEAN,7.109
5.3,8,MEAN,6.957
5.3,9,MEAN,6.821
5.3,10,MEAN,6.7
5.3,11,MEAN,6.589
5.3,12,MEAN,6.488
5.3,14,MEAN,6.308
5.3,16,MEAN,6.15
5.3,18,MEAN,6.009
5.3,20,MEAN,5.883
5.3,22,MEAN,5.767
5.3,25,MEAN,5.61
5.3,28,MEAN,5.47
5.3,32,MEAN,5.302
5.3,35,MEAN,5.187
5.3,40,MEAN,5.014
5.3,45,MEAN,4.858
5.3,50,MEAN,4.716
5.3,56,MEAN,4.56
5.3,63,MEAN,4.394
5.3,71,MEAN,4.221
5.3,79,MEAN,4.062
5.3,89,MEAN,3.879
5.3,100,MEAN,3.693
5.3,112,MEAN,3.506
5.3,126,MEAN,3.304
5.3,141,MEAN,3.103
5.3,158,MEAN,2.89
5.3,178,MEAN,2.655
5.3,200,MEAN,2.413
5.3,224,MEAN,2.165
5.3,250,MEAN,1.91
5.4,1.00E-01,MEAN,11.969
5.4,1,MEAN,9.42
5.4,2,MEAN,8.649
5.4,3,MEAN,8.196
5.4,4,MEAN,7.873
5.4,5,MEAN,7.622
5.4,6,MEAN,7.415
5.4,7,MEAN,7.239
5.4,8,MEAN,7.087
5.4,9,MEAN,6.952
5.4,10,MEAN,6.83
5.4,11,MEAN,6.72
5.4,12,MEAN,6.618
5.4,14,MEAN,6.438
5.4,16,MEAN,6.28
5.4,18,MEAN,6.139
5.4,20,MEAN,6.013
5.4,22,MEAN,5.897
5.4,25,MEAN,5.741
5.4,28,MEAN,5.6
5.4,32,MEAN,5.432
5.4,35,MEAN,5.317
5.4,40,MEAN,5.144
5.4,45,MEAN,4.988
5.4,50,MEAN,4.846
5.4,56,MEAN,4.69
5.4,63,MEAN,4.524
5.4,71,MEAN,4.351
5.4,79,MEAN,4.192
5.4,89,MEAN,4.009
5.4,100,MEAN,3.823
5.4,112,MEAN,3.637
5.4,126,MEAN,3.434
5.4,141,MEAN,3.233
5.4,158,MEAN,3.02
5.4,178,MEAN,2.785
5.4,200,MEAN,2.544
5.4,224,MEAN,2.295
5.4,250,MEAN,2.04
5.5,1.00E-01,MEAN,12.099
5.5,1,MEAN,9.55
5.5,2,MEAN,8.779
5.5,3,MEAN,8.326
5.5,4,MEAN,8.003
5.5,5,MEAN,7.752
5.5,6,MEAN,7.545
5.5,7,MEAN,7.37
5.5,8,MEAN,7.217
5.5,9,MEAN,7.082
5.5,10,MEAN,6.96
5.5,11,MEAN,6.85
5.5,12,MEAN,6.748
5.5,14,MEAN,6.568
5.5,16,MEAN,6.41
5.5,18,MEAN,6.27
5.5,20,MEAN,6.143
5.5,22,MEAN,6.027
5.5,25,MEAN,5.871
5.5,28,MEAN,5.73
5.5,32,MEAN,5.562
5.5,35,MEAN,5.447
5.5,40,MEAN,5.274
5.5,45,MEAN,5.118
5.5,50,MEAN,4.976
5.5,56,MEAN,4.82
5.5,63,MEAN,4.654
5.5,71,MEAN,4.481
5.5,79,MEAN,4.322
5.5,89,MEAN,4.139
5.5,100,MEAN,3.954
5.5,112,MEAN,3.767
5.5,126,MEAN,3.565
5.5,141,MEAN,3.363
5.5,158,MEAN,3.15
5.5,178,MEAN,2.916
5.5,200,MEAN,2.674
5.5,224,MEAN,2.425
5.5,250,MEAN,2.17
5.6,1.00E-01,MEAN,12.229
5.6,1,MEAN,9.68
5.6,2,MEAN,8.909
5.6,3,MEAN,8.456
5.6,4,MEAN,8.133
5.6,5,MEAN,7.882
5.6,6,MEAN,7.675
5.6,7,MEAN,7.5
5.6,8,MEAN,7.347
5.6,9,MEAN,7.212
5.6,10,MEAN,7.09
5.6,11,MEAN,6.98
5.6,12,MEAN,6.878
5.6,14,MEAN,6.698
5.6,16,MEAN,6.54
5.6,18,MEAN,6.4
5.6,20,MEAN,6.273
5.6,22,MEAN,6.157
5.6,25,MEAN,6.001
5.6,28,MEAN,5.86
5.6,32,MEAN,5.692
5.6,35,MEAN,5.578
5.6,40,MEAN,5.404
5.6,45,MEAN,5.249
5.6,50,MEAN,5.106
5.6,56,MEAN,4.95
5.6,63,MEAN,4.784
5.6,71,MEAN,4.611
5.6,79,MEAN,4.452
5.6,89,MEAN,4.269
5.6,100,MEAN,4.084
5.6,112,MEAN,3.897
5.6,126,MEAN,3.695
5.6,141,MEAN,3.493
5.6,158,MEAN,3.28
5.6,178,MEAN,3.046
5.6,200,MEAN,2.804
5.6,224,MEAN,2.555
5.6,250,MEAN,2.3
5.7,1.00E-01,MEAN,12.359
5.7,1,MEAN,9.811
5.7,2,MEAN,9.04
5.7,3,MEAN,8.586
5.7,4,MEAN,8.263
5.7,5,MEAN,8.012
5.7,6,MEAN,7.805
5.7,7,MEAN,7.63
5.7,8,MEAN,7.477
5.7,9,MEAN,7.342
5.7,10,MEAN,7.22
5.7,11,MEAN,7.11
5.7,12,MEAN,7.009
5.7,14,MEAN,6.828
5.7,16,MEAN,6.67
5.7,18,MEAN,6.53
5.7,20,MEAN,6.403
5.7,22,MEAN,6.287
5.7,25,MEAN,6.131
5.7,28,MEAN,5.99
5.7,32,MEAN,5.822
5.7,35,MEAN,5.708
5.7,40,MEAN,5.534
5.7,45,MEAN,5.379
5.7,50,MEAN,5.237
5.7,56,MEAN,5.08
5.7,63,MEAN,4.914
5.7,71,MEAN,4.741
5.7,79,MEAN,4.582
5.7,89,MEAN,4.399
5.7,100,MEAN,4.214
5.7,112,MEAN,4.027
5.7,126,MEAN,3.825
5.7,141,MEAN,3.623
5.7,158,MEAN,3.41
5.7,178,MEAN,3.176
5.7,200,MEAN,2.934
5.7,224,MEAN,2.685
5.7,250,MEAN,2.43
5.8,1.00E-01,MEAN,12.489
5.8,1,MEAN,9.941
5.8,2,MEAN,9.17
5.8,3,MEAN,8.717
5.8,4,MEAN,8.394
5.8,5,MEAN,8.142
5.8,6,MEAN,7.935
5.8,7,MEAN,7.76
5.8,8,MEAN,7.607
5.8,9,MEAN,7.472
5.8,10,MEAN,7.35
5.8,11,MEAN,7.24
5.8,12,MEAN,7.139
5.8,14,MEAN,6.958
5.8,16,MEAN,6.8
5.8,18,MEAN,6.66
5.8,20,MEAN,6.533
5.8,22,MEAN,6.418
5.8,25,MEAN,6.261
5.8,28,MEAN,6.12
5.8,32,MEAN,5.952
5.8,35,MEAN,5.838
5.8,40,MEAN,5.665
5.8,45,MEAN,5.509
5.8,50,MEAN,5.367
5.8,56,MEAN,5.211
5.8,63,MEAN,5.044
5.8,71,MEAN,4.871
5.8,79,MEAN,4.712
5.8,89,MEAN,4.529
5.8,100,MEAN,4.344
5.8,112,MEAN,4.157
5.8,126,MEAN,3.955
5.8,141,MEAN,3.753
5.8,158,MEAN,3.54
5.8,178,MEAN,3.306
5.8,200,MEAN,3.064
5.8,224,MEAN,2.815
5.8,250,MEAN,2.56
5.9,1.00E-01,MEAN,12.619
5.9,1,MEAN,10.071
5.9,2,MEAN,9.3
5.9,3,MEAN,8.847
5.9,4,MEAN,8.524
5.9,5,MEAN,8.272
5.9,6,MEAN,8.065
5.9,7,MEAN,7.89
5.9,8,MEAN,7.737
5.9,9,MEAN,7.602
5.9,10,MEAN,7.481
5.9,11,MEAN,7.37
5.9,12,MEAN,7.269
5.9,14,MEAN,7.088
5.9,16,MEAN,6.93
5.9,18,MEAN,6.79
5.9,20,MEAN,6.663
5.9,22,MEAN,6.548
5.9,25,MEAN,6.391
5.9,28,MEAN,6.25
5.9,32,MEAN,6.082
5.9,35,MEAN,5.968
5.9,40,MEAN,5.795
5.9,45,MEAN,5.639
5.9,50,MEAN,5.497
5.9,56,MEAN,5.341
5.9,63,MEAN,5.175
5.9,71,MEAN,5.001
5.9,79,MEAN,4.842
5.9,89,MEAN,4.659
5.9,100,MEAN,4.474
5.9,112,MEAN,4.287
5.9,126,MEAN,4.085
5.9,141,MEAN,3.884
5.9,158,MEAN,3.67
5.9,178,MEAN,3.436
5.9,200,MEAN,3.194
5.9,224,MEAN,2.946
5.9,250,MEAN,2.691
6,1.00E-01,MEAN,12.749
6,1,MEAN,10.201
6,2,MEAN,9.43
6,3,MEAN,8.977
6,4,MEAN,8.654
6,5,MEAN,8.402
6,6,MEAN,8.196
6,7,MEAN,8.02
6,8,MEAN,7.867
6,9,MEAN,7.732
6,10,MEAN,7.611
6,11,MEAN,7.5
6,12,MEAN,7.399
6,14,MEAN,7.218
6,16,MEAN,7.06
6,18,MEAN,6.92
6,20,MEAN,6.793
6,22,MEAN,6.678
6,25,MEAN,6.521
6,28,MEAN,6.381
6,32,MEAN,6.212
6,35,MEAN,6.098
6,40,MEAN,5.925
6,45,MEAN,5.769
6,50,MEAN,5.627
6,56,MEAN,5.471
6,63,MEAN,5.305
6,71,MEAN,5.131
6,79,MEAN,4.972
6,89,MEAN,4.789
6,100,MEAN,4.604
6,112,MEAN,4.417
6,126,MEAN,4.215
6,141,MEAN,4.014
6,158,MEAN,3.8
6,178,MEAN,3.566
6,200,MEAN,3.324
6,224,MEAN,3.076
6,250,MEAN,2.821
6.1,1.00E-01,MEAN,12.88
6.1,1,MEAN,10.331
6.1,2,MEAN,9.56
6.1,3,MEAN,9.107
6.1,4,MEAN,8.784
6.1,5,MEAN,8.532
6.1,6,MEAN,8.326
6.1,7,MEAN,8.15
6.1,8,MEAN,7.998
6.1,9,MEAN,7.862
6.1,10,MEAN,7.741
6.1,11,MEAN,7.63
6.1,12,MEAN,7.529
6.1,14,MEAN,7.348
6.1,16,MEAN,7.191
6.1,18,MEAN,7.05
6.1,20,MEAN,6.923
6.1,22,MEAN,6.808
6.1,25,MEAN,6.651
6.1,28,MEAN,6.511
6.1,32,MEAN,6.343
6.1,35,MEAN,6.228
6.1,40,MEAN,6.055
6.1,45,MEAN,5.899
6.1,50,MEAN,5.757
6.1,56,MEAN,5.601
6.1,63,MEAN,5.435
6.1,71,MEAN,5.262
6.1,79,MEAN,5.102
6.1,89,MEAN,4.919
6.1,100,MEAN,4.734
6.1,112,MEAN,4.547
6.1,126,MEAN,4.345
6.1,141,MEAN,4.144
6.1,158,MEAN,3.931
6.1,178,MEAN,3.696
6.1,200,MEAN,3.454
6.1,224,MEAN,3.206
6.1,250,MEAN,2.951
6.2,1.00E-01,MEAN,13.01
6.2,1,MEAN,10.461
6.2,2,MEAN,9.69
6.2,3,MEAN,9.237
6.2,4,MEAN,8.914
6.2,5,MEAN,8.662
6.2,6,MEAN,8.456
6.2,7,MEAN,8.28
6.2,8,MEAN,8.128
6.2,9,MEAN,7.992
6.2,10,MEAN,7.871
6.2,11,MEAN,7.76
6.2,12,MEAN,7.659
6.2,14,MEAN,7.478
6.2,16,MEAN,7.321
6.2,18,MEAN,7.18
6.2,20,MEAN,7.054
6.2,22,MEAN,6.938
6.2,25,MEAN,6.781
6.2,28,MEAN,6.641
6.2,32,MEAN,6.473
6.2,35,MEAN,6.358
6.2,40,MEAN,6.185
6.2,45,MEAN,6.029
6.2,50,MEAN,5.887
6.2,56,MEAN,5.731
6.2,63,MEAN,5.565
6.2,71,MEAN,5.392
6.2,79,MEAN,5.233
6.2,89,MEAN,5.049
6.2,100,MEAN,4.864
6.2,112,MEAN,4.677
6.2,126,MEAN,4.475
6.2,141,MEAN,4.274
6.2,158,MEAN,4.061
6.2,178,MEAN,3.826
6.2,200,MEAN,3.584
6.2,224,MEAN,3.336
6.2,250,MEAN,3.081
6.3,1.00E-01,MEAN,13.14
6.3,1,MEAN,10.591
6.3,2,MEAN,9.82
6.3,3,MEAN,9.367
6.3,4,MEAN,9.044
6.3,5,MEAN,8.792
6.3,6,MEAN,8.586
6.3,7,MEAN,8.41
6.3,8,MEAN,8.258
6.3,9,MEAN,8.122
6.3,10,MEAN,8.001
6.3,11,MEAN,7.89
6.3,12,MEAN,7.789
6.3,14,MEAN,7.609
6.3,16,MEAN,7.451
6.3,18,MEAN,7.31
6.3,20,MEAN,7.184
6.3,22,MEAN,7.068
6.3,25,MEAN,6.911
6.3,28,MEAN,6.771
6.3,32,MEAN,6.603
6.3,35,MEAN,6.488
6.3,40,MEAN,6.315
6.3,45,MEAN,6.159
6.3,50,MEAN,6.017
6.3,56,MEAN,5.861
6.3,63,MEAN,5.695
6.3,71,MEAN,5.522
6.3,79,MEAN,5.363
6.3,89,MEAN,5.18
6.3,100,MEAN,4.994
6.3,112,MEAN,4.807
6.3,126,MEAN,4.605
6.3,141,MEAN,4.404
6.3,158,MEAN,4.191
6.3,178,MEAN,3.956
6.3,200,MEAN,3.714
6.3,224,MEAN,3.466
6.3,250,MEAN,3.211
6.4,1.00E-01,MEAN,13.27
6.4,1,MEAN,10.721
6.4,2,MEAN,9.95
6.4,3,MEAN,9.497
6.4,4,MEAN,9.174
6.4,5,MEAN,8.923
6.4,6,MEAN,8.716
6.4,7,MEAN,8.54
6.4,8,MEAN,8.388
6.4,9,MEAN,8.253
6.4,10,MEAN,8.131
6.4,11,MEAN,8.021
6.4,12,MEAN,7.919
6.4,14,MEAN,7.739
6.4,16,MEAN,7.581
6.4,18,MEAN,7.44
6.4,20,MEAN,7.314
6.4,22,MEAN,7.198
6.4,25,MEAN,7.042
6.4,28,MEAN,6.901
6.4,32,MEAN,6.733
6.4,35,MEAN,6.618
6.4,40,MEAN,6.445
6.4,45,MEAN,6.289
6.4,50,MEAN,6.147
6.4,56,MEAN,5.991
6.4,63,MEAN,5.825
6.4,71,MEAN,5.652
6.4,79,MEAN,5.493
6.4,89,MEAN,5.31
6.4,100,MEAN,5.124
6.4,112,MEAN,4.938
6.4,126,MEAN,4.735
6.4,141,MEAN,4.534
6.4,158,MEAN,4.321
6.4,178,MEAN,4.086
6.4,200,MEAN,3.845
6.4,224,MEAN,3.596
6.4,250,MEAN,3.341
6.5,1.00E-01,MEAN,13.4
6.5,1,MEAN,10.851
6.5,2,MEAN,10.08
6.5,3,MEAN,9.627
6.5,4,MEAN,9.304
6.5,5,MEAN,9.053
6.5,6,MEAN,8.846
6.5,7,MEAN,8.671
6.5,8,MEAN,8.518
6.5,9,MEAN,8.383
6.5,10,MEAN,8.261
6.5,11,MEAN,8.151
6.5,12,MEAN,8.049
6.5,14,MEAN,7.869
6.5,16,MEAN,7.711
6.5,18,MEAN,7.571
6.5,20,MEAN,7.444
6.5,22,MEAN,7.328
6.5,25,MEAN,7.172
6.5,28,MEAN,7.031
6.5,32,MEAN,6.863
6.5,35,MEAN,6.748
6.5,40,MEAN,6.575
6.5,45,MEAN,6.419
6.5,50,MEAN,6.277
6.5,56,MEAN,6.121
6.5,63,MEAN,5.955
6.5,71,MEAN,5.782
6.5,79,MEAN,5.623
6.5,89,MEAN,5.44
6.5,100,MEAN,5.255
6.5,112,MEAN,5.068
6.5,126,MEAN,4.866
6.5,141,MEAN,4.664
6.5,158,MEAN,4.451
6.5,178,MEAN,4.217
6.5,200,MEAN,3.975
6.5,224,MEAN,3.726
6.5,250,MEAN,3.471
6.6,1.00E-01,MEAN,13.53
6.6,1,MEAN,10.981
6.6,2,MEAN,10.21
6.6,3,MEAN,9.757
6.6,4,MEAN,9.434
6.6,5,MEAN,9.183
6.6,6,MEAN,8.976
6.6,7,MEAN,8.801
6.6,8,MEAN,8.648
6.6,9,MEAN,8.513
6.6,10,MEAN,8.391
6.6,11,MEAN,8.281
6.6,12,MEAN,8.179
6.6,14,MEAN,7.999
6.6,16,MEAN,7.841
6.6,18,MEAN,7.701
6.6,20,MEAN,7.574
6.6,22,MEAN,7.458
6.6,25,MEAN,7.302
6.6,28,MEAN,7.161
6.6,32,MEAN,6.993
6.6,35,MEAN,6.879
6.6,40,MEAN,6.705
6.6,45,MEAN,6.55
6.6,50,MEAN,6.407
6.6,56,MEAN,6.251
6.6,63,MEAN,6.085
6.6,71,MEAN,5.912
6.6,79,MEAN,5.753
6.6,89,MEAN,5.57
6.6,100,MEAN,5.385
6.6,112,MEAN,5.198
6.6,126,MEAN,4.996
6.6,141,MEAN,4.794
6.6,158,MEAN,4.581
6.6,178,MEAN,4.347
6.6,200,MEAN,4.105
6.6,224,MEAN,3.856
6.6,250,MEAN,3.601
6.7,1.00E-01,MEAN,13.66
6.7,1,MEAN,11.112
6.7,2,MEAN,10.341
6.7,3,MEAN,9.887
6.7,4,MEAN,9.564
6.7,5,MEAN,9.313
6.7,6,MEAN,9.106
6.7,7,MEAN,8.931
6.7,8,MEAN,8.778
6.7,9,MEAN,8.643
6.7,10,MEAN,8.521
6.7,11,MEAN,8.411
6.7,12,MEAN,8.31
6.7,14,MEAN,8.129
6.7,16,MEAN,7.971
6.7,18,MEAN,7.831
6.7,20,MEAN,7.704
6.7,22,MEAN,7.588
6.7,25,MEAN,7.432
6.7,28,MEAN,7.291
6.7,32,MEAN,7.123
6.7,35,MEAN,7.009
6.7,40,MEAN,6.835
6.7,45,MEAN,6.68
6.7,50,MEAN,6.538
6.7,56,MEAN,6.381
6.7,63,MEAN,6.215
6.7,71,MEAN,6.042
6.7,79,MEAN,5.883
6.7,89,MEAN,5.7
6.7,100,MEAN,5.515
6.7,112,MEAN,5.328
6.7,126,MEAN,5.126
6.7,141,MEAN,4.924
6.7,158,MEAN,4.711
6.7,178,MEAN,4.477
6.7,200,MEAN,4.235
6.7,224,MEAN,3.986
6.7,250,MEAN,3.731
6.8,1.00E-01,MEAN,13.79
6.8,1,MEAN,11.242
6.8,2,MEAN,10.471
6.8,3,MEAN,10.018
6.8,4,MEAN,9.695
6.8,5,MEAN,9.443
6.8,6,MEAN,9.236
6.8,7,MEAN,9.061
6.8,8,MEAN,8.908
6.8,9,MEAN,8.773
6.8,10,MEAN,8.651
6.8,11,MEAN,8.541
6.8,12,MEAN,8.44
6.8,14,MEAN,8.259
6.8,16,MEAN,8.101
6.8,18,MEAN,7.961
6.8,20,MEAN,7.834
6.8,22,MEAN,7.719
6.8,25,MEAN,7.562
6.8,28,MEAN,7.421
6.8,32,MEAN,7.253
6.8,35,MEAN,7.139
6.8,40,MEAN,6.966
6.8,45,MEAN,6.81
6.8,50,MEAN,6.668
6.8,56,MEAN,6.512
6.8,63,MEAN,6.345
6.8,71,MEAN,6.172
6.8,79,MEAN,6.013
6.8,89,MEAN,5.83
6.8,100,MEAN,5.645
6.8,112,MEAN,5.458
6.8,126,MEAN,5.256
6.8,141,MEAN,5.054
6.8,158,MEAN,4.841
