rup_mag,dist_rjb,result_type,damping,pga,0.1,0.2,0.3,0.5,1,2
6,87.5,MEAN,5,0.0416024,0.0911182,0.0837769,0.0627942,0.0340953,0.0101401,0.0028168
6,92.5,MEAN,5,0.0394472,0.0863979,0.0794369,0.0594393,0.0321902,0.0095326,0.0026387
6,97.5,MEAN,5,0.037459,0.0820432,0.0754331,0.0563545,0.0304478,0.0089820,0.0024790
6.5,2.5,MEAN,5,0.589319,1.2907357,1.1867428,0.9457045,0.5628203,0.1944640,0.0619591
6.5,7.5,MEAN,5,0.4424443,0.9690484,0.8909734,0.7130694,0.4249248,0.1460219,0.0462721
6.5,12.5,MEAN,5,0.3374046,0.7389888,0.6794494,0.5460139,0.3258109,0.1114174,0.0351410
6.5,17.5,MEAN,5,0.2712554,0.5941078,0.5462413,0.4404641,0.2632132,0.0897438,0.0282435
6.5,22.5,MEAN,5,0.2267638,0.4966616,0.4566462,0.3692864,0.2210218,0.0752409,0.0236719
6.5,27.5,MEAN,5,0.1947895,0.4266311,0.3922579,0.3180228,0.1906481,0.0648634,0.0204271
6.5,32.5,MEAN,5,0.1706104,0.3736736,0.3435671,0.2791842,0.1676435,0.0570436,0.0179988
6.5,37.5,MEAN,5,0.1516098,0.3320582,0.3053046,0.2486126,0.1495394,0.0509162,0.0161073
6.5,42.5,MEAN,5,0.1362321,0.2983777,0.2743378,0.2238322,0.1348661,0.0459682,0.0145877
6.5,47.5,MEAN,5,0.1234954,0.2704817,0.2486893,0.2032784,0.1226954,0.0418770,0.0133366
6.5,52.5,MEAN,5,0.1138507,0.2493576,0.2292672,0.1872284,0.1127726,0.0383204,0.0121582
6.5,57.5,MEAN,5,0.1064718,0.2331963,0.2144080,0.1745118,0.1045463,0.0351907,0.0110528
6.5,62.5,MEAN,5,0.0999143,0.2188340,0.2012028,0.1632756,0.0973457,0.0324944,0.0101173
6.5,67.5,MEAN,5,0.0940353,0.2059577,0.1893640,0.1532552,0.0909794,0.0301447,0.0093154
6.5,72.5,MEAN,5,0.0887253,0.1943275,0.1786707,0.1442483,0.0853024,0.0280774,0.0086203
6.5,77.5,MEAN,5,0.0838984,0.1837555,0.1689505,0.1360979,0.0802028,0.0262431,0.0080121
6.5,82.5,MEAN,5,0.0794864,0.1740924,0.1600660,0.1286793,0.0755926,0.0246038,0.0074754
6.5,87.5,MEAN,5,0.0754343,0.1652175,0.1519061,0.1218923,0.0714015,0.0231293,0.0069985
6.5,92.5,MEAN,5,0.071697,0.1570320,0.1443801,0.1156552,0.0675726,0.0217956,0.0065718
6.5,97.5,MEAN,5,0.0682372,0.1494542,0.1374129,0.1099007,0.0640594,0.0205831,0.0061878
7,2.5,MEAN,5,0.9553222,2.0923617,1.9237828,1.6165228,1.0205356,0.3768428,0.1283236
7,7.5,MEAN,5,0.729387,1.5975150,1.4688052,1.2395332,0.7835568,0.2877656,0.0974587
7,12.5,MEAN,5,0.5650862,1.2376608,1.1379440,0.9642605,0.6103633,0.2230684,0.0751933
7,17.5,MEAN,5,0.4599744,1.0074432,0.9262747,0.7875765,0.4992545,0.1819203,0.0611895
7,22.5,MEAN,5,0.3883567,0.8505850,0.7820545,0.6668796,0.4234004,0.1540398,0.0517955
7,27.5,MEAN,5,0.3363312,0.7366378,0.6772878,0.5790110,0.3682078,0.1338822,0.0450619
7,32.5,MEAN,5,0.2966258,0.6496744,0.5973310,0.5118246,0.3260238,0.1185584,0.0399806
7,37.5,MEAN,5,0.2651729,0.5807859,0.5339927,0.4585133,0.2925611,0.1064583,0.0359937
7,42.5,MEAN,5,0.2395353,0.5246341,0.4823650,0.4149919,0.2652480,0.0966206,0.0327701
7,47.5,MEAN,5,0.2181645,0.4778274,0.4393294,0.3786618,0.2424491,0.0884363,0.0301011
7,52.5,MEAN,5,0.2019823,0.4423849,0.4067425,0.3502484,0.2237897,0.0812698,0.0275580
7,57.5,MEAN,5,0.1896239,0.4153174,0.3818558,0.3277255,0.2082697,0.0749218,0.0251496
7,62.5,MEAN,5,0.1785788,0.3911259,0.3596134,0.3077161,0.1946157,0.0694275,0.0231030
7,67.5,MEAN,5,0.1686241,0.3693233,0.3395674,0.2897815,0.1824864,0.0646192,0.0213418
7,72.5,MEAN,5,0.1595887,0.3495337,0.3213722,0.2735852,0.1716228,0.0603716,0.0198098
7,77.5,MEAN,5,0.1513378,0.3314624,0.3047569,0.2588643,0.1618238,0.0565888,0.0184647
7,82.5,MEAN,5,0.1437637,0.3148735,0.2895045,0.2454097,0.1529306,0.0531960,0.0172741
7,87.5,MEAN,5,0.1367792,0.2995759,0.2754394,0.2330526,0.1448161,0.0501343,0.0162127
7,92.5,MEAN,5,0.1303126,0.2854128,0.2624174,0.2216549,0.1373773,0.0473560,0.0152605
7,97.5,MEAN,5,0.1243045,0.2722536,0.2503185,0.2111024,0.1305291,0.0448227,0.0144014
7.5,2.5,MEAN,5,1.4993025,3.0011632,3.0011632,2.7216306,1.7921897,0.6939565,0.2478036
7.5,7.5,MEAN,5,1.2024236,2.6335669,2.4213839,2.1222937,1.3993497,0.5389034,0.1913911
7.5,12.5,MEAN,5,0.9464082,2.0728378,1.9058322,1.6772817,1.1074102,0.4243991,0.1500185
7.5,17.5,MEAN,5,0.7799898,1.7083459,1.5707067,1.3870621,0.9171358,0.3504363,0.1236043
7.5,22.5,MEAN,5,0.6651016,1.4567159,1.3393503,1.1861851,0.7855338,0.2996833,0.1056699
