rup_mag,rup_rake,rup_dip,dist_rrup,dist_rjb,result_type,damping,pga,0.1,0.2,0.3,0.5,1,2
6.3,90,60,10,6,MEAN,5,0.27725884,0.48558331,0.61743093,0.53730047,0.34546003,0.16402335,5.44E-02
6.3,90,60,10,7,MEAN,5,0.26132154,0.45767111,0.58193988,0.50641549,0.32560238,0.15681219,5.30E-02
6.3,90,60,10,8,MEAN,5,0.24630029,0.43136337,0.54848897,0.47730586,0.30688617,0.14991805,5.16E-02
6.3,90,60,10,9,MEAN,5,0.23214252,0.40656784,0.51696086,0.44986945,0.28924581,0.14332701,5.03E-02
6.8,90,60,10,0,MEAN,5,0.55584145,0.87645227,1.1717267,1.092471,0.79001445,0.39227572,0.13387784
6.8,90,60,10,1,MEAN,5,0.51619422,0.81393641,1.0881494,1.0145469,0.73366404,0.37083787,0.12966156
6.8,90,60,10,2,MEAN,5,0.47937495,0.7558797,1.0105336,0.94218093,0.68133301,0.35057157,0.12557806
6.8,90,60,10,3,MEAN,5,0.44518194,0.70196408,0.93845391,0.87497675,0.63273472,0.33141285,0.12162317
6.8,90,60,10,4,MEAN,5,0.41342786,0.65189421,0.87151563,0.81256616,0.58760279,0.31330118,0.11779287
6.8,90,60,10,5,MEAN,5,0.38393876,0.60539567,0.80935186,0.7546072,0.54569006,0.29617929,0.11408316
6.8,90,60,10,6,MEAN,5,0.35655308,0.56221384,0.7516222,0.70078236,0.50676692,0.27999309,0.11049028
6.8,90,60,10,7,MEAN,5,0.3311207,0.52211207,0.69801027,0.65079671,0.4706201,0.2646915,0.10701059
6.8,90,60,10,8,MEAN,5,0.30750242,0.4848707,0.64822233,0.60437649,0.43705156,0.25022611,0.10364045
6.8,90,60,10,9,MEAN,5,0.2855688,0.4502857,0.60198575,0.56126738,0.40587741,0.23655127,0.10037645
7.3,90,60,10,0,MEAN,5,0.70389968,1.0094949,1.3831991,1.3577657,1.0722123,0.59293491,0.2290988
7.3,90,60,10,1,MEAN,5,0.65369171,0.93748933,1.2845379,1.2609185,0.99573332,0.56053102,0.2218837
7.3,90,60,10,2,MEAN,5,0.60706496,0.87061983,1.192914,1.1709794,0.92470932,0.52989805,0.21489581
7.3,90,60,10,3,MEAN,5,0.56376404,0.80851996,1.1078254,1.0874554,0.85875136,0.50093913,0.20812802
7.3,90,60,10,4,MEAN,5,0.5235517,0.7508496,1.0288061,1.009889,0.79749811,0.47356287,0.20157334
7.3,90,60,10,5,MEAN,5,0.48620766,0.6972928,0.95542312,0.93785536,0.74061388,0.44768265,0.19522512
7.3,90,60,10,6,MEAN,5,0.4515273,0.64755607,0.88727438,0.8709597,0.68778718,0.42321682,0.18907683
7.3,90,60,10,7,MEAN,5,0.41932061,0.601367,0.82398665,0.80883563,0.6387285,0.40008804,0.18312214
7.3,90,60,10,8,MEAN,5,0.38941118,0.55847245,0.76521301,0.75114274,0.59316903,0.37822327,0.17735501
7.3,90,60,10,9,MEAN,5,0.36163518,0.5186376,0.71063173,0.69756502,0.55085933,0.35755336,0.17176948
7.8,90,60,10,0,MEAN,5,0.84912086,1.1302123,1.5542634,1.5742867,1.3052722,0.76396251,0.31342357
7.8,90,60,10,1,MEAN,5,0.78855449,1.0495962,1.4434004,1.4619956,1.2121694,0.72221196,0.30355281
7.8,90,60,10,2,MEAN,5,0.73230821,0.97473025,1.340445,1.3577139,1.1257074,0.68274313,0.29399288
7.8,90,60,10,3,MEAN,5,0.68007392,0.90520436,1.2448334,1.2608705,1.0454125,0.64543122,0.28473404
7.8,90,60,10,4,MEAN,5,0.63156539,0.84063768,1.1560415,1.1709347,0.9708451,0.61015844,0.27576679
7.8,90,60,10,5,MEAN,5,0.58651692,0.78067642,1.073583,1.0874139,0.90159637,0.57681334,0.26708195
7.8,90,60,10,6,MEAN,5,0.54468167,0.7249921,0.99700618,1.0098505,0.83728701,0.54529047,0.25867066
7.8,90,60,10,7,MEAN,5,0.50583041,0.67327964,0.9258914,0.9378196,0.77756476,0.51549041,0.25052419
7.8,90,60,10,8,MEAN,5,0.4697504,0.62525576,0.85984915,0.8709265,0.72210234,0.4873189,0.24263436
7.8,90,60,10,9,MEAN,5,0.43624389,0.5806573,0.79851758,0.80880481,0.670596,0.46068692,0.23499295
5.8,90,60,15,0,MEAN,5,0.16645941,0.3217898,0.38571909,0.30805722,0.17695189,6.71E-02,1.71E-02
5.8,90,60,15,1,MEAN,5,0.16280472,0.31472477,0.37725049,0.3012937,0.17306684,6.60E-02,1.70E-02
5.8,90,60,15,2,MEAN,5,0.15923029,0.30781487,0.3689678,0.29467869,0.16926709,6.49E-02,1.68E-02
5.8,90,60,15,3,MEAN,5,0.1557343,0.30105665,0.36086693,0.28820887,0.16555074,6.38E-02,1.67E-02
