"","c1","c2","c3","alpha","beta","gamma","s_m,r","s_r1","s_r2","lambda"
"48",0.60136,1.03419,0.659647,0.161101,0.864115,1.51424,0.542687,0.598906,0.434362,0.139943
"49",0.583573,1.07152,0.697355,0.173691,0.882908,1.59333,0.537447,0.614095,0.340007,0.139941
"50",0.591173,1.09689,0.736718,0.194273,0.885772,1.72398,0.500225,0.629737,0.379712,0.128593
"51",0.694807,1.2892,0.488098,0.215687,0.871286,1.73796,0.501383,0.642989,0.424273,0.125655
"52",0.649662,1.25715,0.530002,0.167146,0.787827,1.56712,0.49235,0.608968,0.413765,0.127623
"53",0.702096,1.28684,0.481017,0.160149,0.660282,1.6195,0.410274,0.616099,0.408123,0.0930996
"54",0.666564,1.27594,0.801152,0.10885,0.668189,1.57172,0.470282,0.614195,0.36101,0.0971663
"55",0.639925,1.19853,0.771666,0.159888,0.722414,1.68299,0.49597,0.603505,0.331354,0.0845433
"56",0.543468,1.25306,0.826103,0.232037,0.934184,1.55216,0.407309,0.597156,0.450253,0.111871
"57",0.594271,1.32264,0.557866,0.153529,0.766691,1.5191,0.516193,0.640016,0.283909,0.131275
"58",0.728291,1.38534,0.694234,0.0941846,0.709909,1.54994,0.433069,0.630788,0.36141,0.141252
"59",0.421458,1.29202,0.921783,0.166291,0.868482,1.40379,0.516235,0.626751,0.343855,0.086202
"60",0.552669,1.30568,0.84981,0.190657,0.873222,1.61554,0.571907,0.624379,0.329771,0.114808
"61",0.266555,1.05174,0.945095,0.208988,0.944953,1.66325,0.514981,0.597887,0.570662,0.120948
"62",0.248263,0.927711,0.885741,0.0796677,0.624649,1.47613,0.490938,0.651178,0.236983,0.113141
"63",0.624741,1.19805,0.411285,0.109877,0.734356,1.40421,0.41361,0.622596,0.31219,0.104671
"64",0.44491,1.16092,0.593002,0.131725,0.609603,1.68777,0.543203,0.636664,0.358857,0.104606
"65",0.495534,1.11895,0.873932,0.188101,0.827008,1.59492,0.358525,0.600209,0.461555,0.104659
"66",0.635248,1.29642,1.24846,0.133849,0.783367,1.53695,0.538639,0.613125,0.394914,0.117669
"67",0.593956,1.30605,1.31741,0.110834,0.673982,1.50483,0.483532,0.625016,0.350544,0.128715
"68",0.410188,1.0376,0.954819,0.19752,0.900545,1.61304,0.522926,0.633055,0.380813,0.108579
"69",0.334075,0.863668,1.43097,0.153599,0.753236,1.55114,0.491582,0.626707,0.409844,0.129298
"70",0.418958,0.964249,1.19715,0.12038,0.661771,1.49594,0.420293,0.639207,0.327957,0.131739
"71",0.723934,1.43214,0.556489,0.160036,0.719686,1.53773,0.550431,0.609669,0.463601,0.112559
"72",0.696126,1.34619,0.552066,0.128106,0.799842,1.65641,0.549065,0.598961,0.380597,0.137777
"73",0.35029,1.20517,1.227,0.154229,0.744759,1.35128,0.486737,0.630387,0.38544,0.100009
"74",0.505168,1.18088,1.16244,0.109052,0.778575,1.42101,0.547093,0.621753,0.305273,0.139894
"75",0.436716,1.14472,1.41451,0.121479,0.740145,1.39405,0.622824,0.630525,0.411283,0.118053
"76",0.59724,1.43782,0.831436,0.18255,0.731204,1.57078,0.428867,0.624394,0.433559,0.102627
"77",0.658071,1.2974,1.0151,0.161362,0.886419,1.61046,0.509265,0.606037,0.368264,0.138716
"78",0.59728,1.24347,0.88306,0.158869,0.646333,1.72178,0.411408,0.62015,0.5294,0.105148
"79",0.593235,1.15718,1.23988,0.159383,0.792191,1.71387,0.477566,0.641754,0.31127,0.111475
"80",0.55018,1.15016,1.09843,0.160585,0.743722,1.47317,0.478237,0.616026,0.341647,0.118658
"81",0.600979,1.25403,1.18484,0.131221,0.627303,1.64465,0.648588,0.622064,0.395879,0.109439
"82",0.661841,1.23193,1.01011,0.121723,0.596297,1.44781,0.686461,0.656329,0.341993,0.125952
"83",0.825355,1.38771,0.764945,0.11588,0.75325,1.62346,0.486285,0.623303,0.22679,0.120075
"84",0.496006,1.30279,1.15687,0.127445,0.629666,1.45773,0.637502,0.640713,0.428919,0.101986
"85",0.493309,1.36511,1.16338,0.136194,0.661808,1.50539,0.561937,0.632957,0.436624,0.0982458
"86",0.431963,1.21076,1.2479,0.163716,0.790547,1.78866,0.392101,0.603879,0.423546,0.120213
"87",0.638922,1.23864,0.833352,0.143406,0.851567,1.39948,0.566562,0.625473,0.329228,0.123434
"88",0.74275,1.11278,0.622705,0.199645,0.844359,1.58397,0.47002,0.64389,0.234047,0.126741
"89",0.634372,1.28345,0.425854,0.1676,0.7704,1.67664,0.534808,0.624893,0.349107,0.128325
"90",0.708225,1.4567,0.887956,0.138534,0.880062,1.4084,0.420613,0.632006,0.359207,0.101369
"91",0.574151,1.39616,1.1517,0.170305,0.750259,1.7546,0.491096,0.667701,0.224313,0.135584
"92",0.60564,1.09856,1.26535,0.155415,0.800375,1.50322,0.482606,0.642965,0.341897,0.148086
"93",0.477662,1.10819,0.981862,0.10964,0.663946,1.47678,0.445573,0.613494,0.382421,0.110552
"94",0.451946,1.15896,0.881656,0.175391,0.761953,1.68334,0.40805,0.618708,0.382661,0.132758
"95",0.522879,1.24042,1.05261,0.211474,0.841601,1.67637,0.457517,0.631331,0.437991,0.112427
"96",0.583164,1.30854,0.959937,0.103877,0.729957,1.47106,0.492445,0.606132,0.337877,0.122248
"97",0.62148,1.48363,0.794873,0.128768,0.807215,1.43859,0.521794,0.622805,0.370758,0.110584
"98",0.630916,1.61279,0.687222,0.146569,0.714119,1.55291,0.566244,0.633896,0.357969,0.130179
"99",0.55551,1.28805,0.718001,0.211311,0.916671,1.69497,0.471327,0.609002,0.422126,0.122865
"100",0.542364,1.24891,0.933039,0.0919354,0.617307,1.57697,0.448891,0.625164,0.340618,0.12086
"101",0.421023,1.18573,1.07056,0.0836091,0.550825,1.68245,0.615401,0.611457,0.312118,0.110609
"102",0.363116,1.03011,1.10937,0.177632,0.968897,1.5884,0.462017,0.618422,0.338095,0.124042
"103",0.356336,1.1836,1.19756,0.226866,0.979379,1.57716,0.419535,0.624808,0.35358,0.118486
"104",0.578911,1.32834,0.787049,0.155589,0.780433,1.76158,0.600572,0.608701,0.433189,0.0983966
"105",0.653946,1.52576,0.625931,0.15647,0.78773,1.36316,0.46008,0.623797,0.369109,0.13179
"106",0.750447,1.37534,0.247832,0.118736,0.808303,1.33727,0.500734,0.616323,0.347873,0.122219
"107",0.517186,0.982945,0.858881,0.0616994,0.464093,1.55362,0.479742,0.651736,0.231711,0.120299
"108",0.537678,1.09921,0.956608,0.104773,0.508554,1.7178,0.426792,0.603766,0.475307,0.127235
"109",0.51787,1.00856,1.2109,0.0666239,0.399343,1.84807,0.563049,0.625245,0.285014,0.0971628
"110",0.562609,0.979195,1.17169,0.0464685,0.354129,1.86439,0.53898,0.626658,0.30409,0.107386
"111",0.666435,1.20091,0.99444,0.0424709,0.357703,1.70396,0.511996,0.620393,0.275365,0.107443
"112",0.64755,1.25366,0.404387,0.119756,0.586043,1.45624,0.494245,0.644235,0.257027,0.143473
"113",0.804098,1.31126,0.25528,0.107072,0.67431,1.57495,0.470002,0.662365,0.278415,0.113646
"114",0.386041,0.824441,1.20319,0.229406,0.973899,1.61652,0.567489,0.597501,0.56934,0.108805
"115",0.692597,1.14546,0.785397,0.197685,0.908727,1.58675,0.633315,0.618399,0.356372,0.123211
"116",0.657663,1.06188,0.806455,0.187551,0.919626,1.58527,0.624331,0.622103,0.329506,0.125084
"117",0.658267,1.11183,0.88589,0.159137,0.875227,1.60055,0.577263,0.618865,0.346089,0.12581
"118",0.3865,1.00258,1.04352,0.13051,0.711389,1.51256,0.387397,0.624992,0.31179,0.110036
"119",0.400459,1.1311,0.967544,0.147866,0.868791,1.62961,0.540308,0.613093,0.378955,0.126405
"120",0.209449,0.8942,1.18159,0.119292,0.734667,1.40333,0.612976,0.618061,0.420968,0.115341
"121",0.123818,0.87826,1.28708,0.136389,0.826123,1.42589,0.412091,0.59395,0.406319,0.131636
"122",0.245214,0.907032,1.36927,0.162564,0.813544,1.48732,0.550901,0.603797,0.479685,0.104493
"123",0.201986,1.01474,1.44901,0.102091,0.759618,1.3938,0.434717,0.605654,0.356188,0.0941911
"124",0.20431,1.03506,1.4347,0.114569,0.752269,1.42973,0.435735,0.606756,0.362605,0.0906405
"125",0.619063,1.37316,0.65996,0.193894,0.850146,1.72991,0.471159,0.626563,0.388719,0.123966
"126",0.517972,1.26676,0.702463,0.145573,0.642855,1.7684,0.471382,0.61709,0.307729,0.113733
"127",0.404306,1.21251,1.26348,0.185364,0.885517,1.46048,0.521749,0.618758,0.433104,0.130213
"128",0.545042,1.20106,0.590135,0.164669,0.929429,1.57788,0.452174,0.616558,0.357652,0.105553
"129",0.348202,1.09725,1.0368,0.119236,0.668348,1.39995,0.579317,0.626044,0.418073,0.132089
"130",0.406554,1.0606,1.4471,0.15301,0.770876,1.61612,0.54676,0.605207,0.412419,0.115122
"131",0.36579,0.927358,1.56901,0.124097,0.589903,1.56201,0.472389,0.602638,0.460591,0.12066
"132",0.372117,0.936073,1.64885,0.161071,0.795207,1.70372,0.557754,0.61302,0.343644,0.117727
"133",0.329581,0.8861,1.53392,0.169652,0.850029,1.46316,0.651825,0.604569,0.47189,0.145328
"134",0.417395,1.21857,1.14515,0.081994,0.489912,1.58058,0.473287,0.607968,0.382907,0.0958779
"135",0.402937,1.26735,1.13761,0.121931,0.588847,1.55978,0.54523,0.649114,0.333998,0.129788
"136",0.311056,1.05309,1.53291,0.147449,0.844095,1.56367,0.476399,0.662036,0.270015,0.139805
"137",0.593088,1.31767,1.17022,0.0878509,0.532525,1.56954,0.492278,0.60827,0.402379,0.12512
"138",0.58043,1.30782,1.22719,0.17046,0.97484,1.53494,0.64773,0.644814,0.303579,0.130209
"139",0.507475,1.37658,0.982506,0.189217,0.910872,1.58664,0.453589,0.641118,0.308163,0.0906106
"140",0.5917,1.21679,1.03056,0.0858105,0.707547,1.40736,0.570165,0.614433,0.369727,0.14677
"141",0.583454,1.29953,0.977795,0.106266,0.679258,1.16634,0.546928,0.608124,0.348767,0.133279
"142",0.653775,1.25467,0.661242,0.164418,0.772842,1.6043,0.570725,0.606709,0.360545,0.111473
"143",0.782448,1.36204,0.60359,0.186844,0.848193,1.56623,0.483457,0.631073,0.422985,0.138821
"144",0.888755,1.40978,0.5676,0.101066,0.603168,1.72942,0.599312,0.640791,0.279425,0.118995
"145",0.920551,1.3648,0.575203,0.0983367,0.797572,1.3295,0.409003,0.637643,0.327654,0.14417
"146",0.762998,1.30387,0.344161,0.10596,0.812131,1.27682,0.585804,0.652339,0.276091,0.123365
"147",0.85806,1.51642,0.359378,0.120878,0.718717,1.4012,0.533372,0.63915,0.269465,0.141868
"148",0.809644,1.39264,0.524191,0.109025,0.703683,1.48477,0.566769,0.631198,0.292419,0.143837
"149",0.769114,1.34704,0.555289,0.104486,0.716048,1.49667,0.527593,0.633694,0.322909,0.115457
"150",0.590512,1.24602,0.738959,0.14302,0.79969,1.43233,0.460494,0.609659,0.420082,0.131459
"151",0.826297,1.59093,0.688606,0.137391,0.741836,1.5076,0.577168,0.610652,0.318885,0.100384
"152",0.833272,1.50256,0.910165,0.122355,0.747921,1.71054,0.477756,0.602192,0.373182,0.0910024
"153",0.798311,1.54359,0.714996,0.173361,0.680231,1.68831,0.50634,0.609726,0.457658,0.0841406
"154",0.57205,1.31281,0.855416,0.124133,0.82509,1.51303,0.501445,0.61191,0.399889,0.147155
"155",0.320884,1.10661,1.36975,0.128396,0.715411,1.40876,0.595372,0.621834,0.338892,0.0992283
"156",0.392001,1.07442,1.08224,0.136803,0.741322,1.5735,0.353851,0.618488,0.380597,0.12736
"157",0.590969,1.27978,0.953292,0.159942,0.770174,1.73507,0.639208,0.630709,0.358317,0.119201
"158",0.634753,1.21757,0.864947,0.179557,0.894942,1.47144,0.410775,0.615036,0.413946,0.094766
"159",0.578286,1.19342,0.909953,0.162577,0.860735,1.47024,0.410593,0.61418,0.396691,0.0936993
"160",0.572432,1.21184,0.774517,0.180878,0.770746,1.81066,0.508331,0.610281,0.367313,0.0962467
"161",0.578676,1.27317,0.919151,0.205172,0.886994,1.66851,0.504746,0.600755,0.550676,0.124688
"162",0.382222,1.22611,1.14912,0.123243,0.663869,1.33547,0.521424,0.672061,0.261191,0.118176
"163",0.228289,0.858212,0.942036,0.162191,0.835484,1.41535,0.46806,0.619259,0.297326,0.143306
"164",0.185398,0.967746,0.939725,0.192515,0.813879,1.56984,0.491562,0.64501,0.327536,0.116219
"165",0.296439,0.986939,0.716039,0.193173,0.866599,1.81581,0.446566,0.630907,0.472174,0.11085
"166",0.364591,1.07408,0.646294,0.139858,0.879996,1.54702,0.457531,0.590579,0.491372,0.116399
"167",0.516389,0.905477,0.376239,0.172907,0.738133,1.59394,0.669388,0.650407,0.287273,0.132784
"168",0.470435,0.785162,0.579016,0.184775,0.854963,1.69271,0.567744,0.628405,0.28888,0.119991
"169",0.514443,0.912293,0.702533,0.173363,0.744091,1.45786,0.539042,0.597913,0.466348,0.121263
"170",0.831696,1.28148,0.642895,0.1319,0.964459,1.33193,0.47894,0.62046,0.332539,0.1247
"171",0.572304,1.36091,0.956268,0.178563,0.715043,1.98218,0.456699,0.628866,0.439147,0.118415
"172",0.574163,1.42301,0.885738,0.183829,0.686744,1.93829,0.435708,0.638607,0.42169,0.118243
"173",0.629565,1.35492,0.560025,0.141332,0.791886,1.3127,0.582972,0.595598,0.406245,0.100314
"174",0.793293,1.46054,0.582936,0.128575,0.555581,1.81605,0.435064,0.611145,0.392782,0.0969142
"175",0.744744,1.32083,0.692721,0.14163,0.644749,1.6187,0.401812,0.631137,0.360418,0.113692
"176",0.574675,1.24117,1.04855,0.209326,0.961493,1.6334,0.637416,0.616037,0.397648,0.118484
"177",0.588776,1.25247,0.989404,0.194504,0.889188,1.67893,0.501854,0.621417,0.378458,0.0928654
"178",0.405478,1.07927,1.03486,0.149646,0.697276,1.47928,0.460759,0.625158,0.38038,0.150119
"179",0.196047,0.979501,0.996443,0.206719,0.963403,1.56726,0.488191,0.623923,0.376004,0.108396
"180",0.103683,0.801206,1.13065,0.152183,0.827581,1.63037,0.613168,0.620206,0.367329,0.120874
"181",0.447488,1.06416,0.46194,0.11297,0.797502,1.3363,0.469654,0.615817,0.368991,0.107431
"182",0.290235,0.852421,1.27466,0.170184,0.748818,1.72028,0.568284,0.641594,0.337627,0.110667
"183",0.280945,1.03281,1.33034,0.172344,0.757017,1.61659,0.409504,0.588641,0.432835,0.108399
"184",0.234094,0.979791,1.17134,0.216803,0.910021,1.72967,0.678098,0.630742,0.371604,0.124315
"185",0.0772895,0.862499,1.58512,0.187374,0.909741,1.76875,0.453263,0.600658,0.395633,0.111657
"186",0.295431,0.798967,1.07501,0.147831,0.723314,1.52829,0.556149,0.641441,0.319329,0.127938
"187",0.318866,1.01624,0.993229,0.183402,0.850049,1.53211,0.513563,0.636523,0.329769,0.144807
"188",0.532582,1.27634,0.823033,0.208307,0.868126,1.87112,0.430633,0.626925,0.362302,0.104386
"189",0.251378,1.08888,0.936436,0.122435,0.805377,1.4036,0.590491,0.624606,0.32031,0.136356
"190",0.230112,1.04868,1.51722,0.158224,0.662013,1.77112,0.495357,0.648686,0.339628,0.0956916
"191",0.207668,1.00951,1.06173,0.131877,0.830824,1.27041,0.505635,0.604528,0.360852,0.125356
"192",0.255389,1.17113,1.17154,0.211219,0.83827,1.76645,0.533422,0.63301,0.416118,0.108438
"193",0.157421,1.08104,1.07961,0.190568,0.850473,1.62628,0.55407,0.636297,0.362443,0.118586
"194",-0.0135189,1.02644,1.098,0.193996,0.8376,1.50853,0.620372,0.628273,0.412911,0.12651
"195",0.0884028,0.98543,0.821229,0.205432,0.95367,1.59517,0.484291,0.590455,0.474896,0.116664
"196",0.118815,0.858961,0.858575,0.122728,0.685269,1.52628,0.821843,0.655461,0.217695,0.127755
"197",0.136444,0.86956,0.763275,0.120636,0.702515,1.50001,0.802034,0.653239,0.204936,0.128143
"198",0.221913,0.878323,0.45312,0.160421,0.744771,1.40083,0.518606,0.633855,0.417505,0.106232
"199",0.122017,0.898622,1.22134,0.125295,0.828938,1.45582,0.48153,0.64695,0.269965,0.156045
"200",0.262891,1.02767,1.13258,0.189767,0.885119,1.50412,0.50654,0.648715,0.254006,0.118714
"201",0.218763,1.0525,1.27216,0.194528,0.858579,1.57245,0.474089,0.643259,0.252707,0.125056
"202",0.407593,1.1977,0.923884,0.171258,0.813444,1.55117,0.552381,0.657809,0.339293,0.14248
"203",0.325425,0.926886,1.16491,0.161184,0.890927,1.62895,0.387696,0.62962,0.225685,0.111224
"204",0.3459,1.04264,1.03079,0.145034,0.767382,1.49399,0.67075,0.661992,0.304216,0.137719
"205",0.312916,1.17645,1.15134,0.155274,0.810036,1.54364,0.401016,0.58689,0.492828,0.102407
"206",0.0653278,0.944268,1.58928,0.144792,0.794812,1.54309,0.662106,0.649641,0.279122,0.142091
"207",0.125822,1.03903,1.51457,0.129958,0.683101,1.418,0.473975,0.623543,0.310339,0.114019
"208",0.348139,1.16644,1.32685,0.138444,0.735102,1.52351,0.563716,0.625943,0.353767,0.0977901
"209",0.28927,1.11022,1.52977,0.160531,0.742148,1.5496,0.447851,0.608384,0.394199,0.122735
"210",0.245874,0.933131,1.36772,0.126542,0.802842,1.39199,0.552948,0.637366,0.292801,0.106953
"211",0.315516,0.974861,1.09981,0.159129,0.72633,1.6414,0.449091,0.605357,0.481906,0.136267
"212",0.429374,1.14786,0.91881,0.123702,0.78234,1.43089,0.576516,0.637419,0.250689,0.105091
"213",0.400235,1.09902,0.578787,0.157126,0.662241,1.69117,0.357807,0.660297,0.296643,0.135213
"214",0.313084,0.835923,0.594302,0.109643,0.835759,1.1896,0.724396,0.608909,0.26083,0.124891
"215",0.265862,0.971097,1.02984,0.14419,0.643294,1.83342,0.383082,0.641524,0.368639,0.116898
"216",0.401205,1.09104,0.937904,0.138787,0.870289,1.28538,0.62821,0.630107,0.374285,0.111116
"217",0.427717,0.986986,0.857819,0.133738,0.624191,1.62479,0.514615,0.617489,0.377233,0.123056
"218",0.470634,1.02796,0.866896,0.139274,0.749446,1.68245,0.469891,0.603775,0.426727,0.106791
"219",0.433699,0.980814,0.845728,0.14562,0.612545,1.70664,0.470548,0.623906,0.412507,0.103536
"220",0.341515,0.929067,0.981262,0.151233,0.783417,1.64384,0.486812,0.621193,0.383249,0.0947838
"221",0.430878,1.00618,0.928439,0.177116,0.785271,1.66627,0.424328,0.626136,0.339553,0.133998
"222",0.245765,0.844649,1.21793,0.0931328,0.707932,1.42433,0.554953,0.614754,0.298961,0.111811
"223",0.422608,0.914752,1.12625,0.121858,0.68306,1.39818,0.469592,0.629159,0.371837,0.122336
"224",0.227291,0.946038,1.25797,0.149029,0.684423,1.65645,0.554656,0.620023,0.484145,0.114507
"225",0.298599,1.02742,1.06545,0.170302,0.88445,1.34049,0.559261,0.603914,0.377657,0.10211
"226",0.305947,0.939739,1.4854,0.153657,0.911252,1.6266,0.513717,0.630516,0.372749,0.128234
"227",0.279779,1.00922,1.60473,0.173992,0.914384,1.51059,0.402084,0.624165,0.348543,0.144464
"228",0.160283,0.897678,1.66194,0.0827639,0.628498,1.44516,0.706932,0.615586,0.233615,0.112824
"229",0.182091,0.855558,1.52561,0.0874002,0.648484,1.49728,0.526015,0.607284,0.25885,0.114297
"230",0.388046,1.27372,0.775105,0.176335,0.750463,1.5709,0.541373,0.651406,0.370622,0.138763
"231",0.416006,1.22422,0.441187,0.154537,0.912006,1.53532,0.553942,0.62438,0.309174,0.112271
"232",0.421562,1.13442,0.595336,0.200252,0.936434,1.55844,0.520414,0.629548,0.333004,0.114746
"233",0.45214,1.15975,0.509356,0.173198,0.966666,1.47401,0.494704,0.626856,0.426055,0.145216
"234",0.564848,1.31442,0.169311,0.199536,0.809948,1.47111,0.555077,0.629194,0.290137,0.103846
"235",0.538992,1.1378,0.515572,0.0932721,0.842279,1.27402,0.591147,0.634277,0.307417,0.143266
"236",0.471223,1.21721,0.457911,0.151391,0.856802,1.34844,0.421134,0.626301,0.288359,0.113238
"237",0.470389,1.08217,1.17685,0.154085,0.780584,1.73948,0.499356,0.614703,0.411776,0.137525
"238",0.799892,1.24079,0.641002,0.144997,0.946836,1.48057,0.434586,0.598942,0.346861,0.103956
"239",0.859165,1.31801,0.502706,0.141029,0.929078,1.52056,0.444279,0.611492,0.416527,0.111083
"240",0.532867,1.16129,0.757168,0.166923,0.670991,1.77863,0.51373,0.60884,0.44209,0.0956241
"241",0.484334,1.15427,0.535749,0.12601,0.74102,1.24344,0.607273,0.595988,0.436431,0.101868
"242",0.410706,1.00461,1.07633,0.104102,0.565154,1.53389,0.394415,0.613139,0.398387,0.137961
"243",0.653532,1.02807,0.830677,0.155662,0.642872,1.8054,0.543427,0.621676,0.408513,0.121456
"244",0.657875,1.05177,0.782839,0.210467,0.910588,1.50704,0.544457,0.627338,0.399031,0.125589
"245",0.232482,0.750724,1.21953,0.0740071,0.539029,1.54929,0.426845,0.643207,0.27735,0.11446
"246",0.608316,0.930442,1.06246,0.112177,0.623191,1.69116,0.715743,0.623221,0.346102,0.125627
"247",0.5062,0.893523,1.1937,0.120615,0.770138,1.42271,0.656007,0.611066,0.310001,0.104792
"248",0.614868,1.06548,0.678491,0.162494,0.808085,1.74104,0.435226,0.59807,0.372917,0.123272
"249",0.62404,1.03912,0.720259,0.160609,0.784157,1.74219,0.430165,0.596246,0.361894,0.125545
"250",0.615471,1.21329,0.720877,0.180172,0.722198,1.49361,0.505868,0.63159,0.496936,0.114083
"251",0.486756,1.10805,1.04169,0.169893,0.699384,1.54157,0.560147,0.608969,0.474851,0.0873524
"252",0.384483,0.886604,1.16947,0.145345,0.798156,1.64155,0.476803,0.587993,0.400632,0.124964
"253",0.516637,1.03152,1.28717,0.250356,0.880992,1.64942,0.665637,0.623013,0.518176,0.104841
"254",0.264007,0.941911,1.56254,0.191638,0.898313,1.84228,0.36463,0.599857,0.445914,0.136931
"255",0.265031,1.09906,1.29702,0.147876,0.601374,1.48705,0.727466,0.635118,0.397686,0.110108
"256",0.200354,1.07031,1.47495,0.103459,0.61035,1.40742,0.636224,0.630157,0.391932,0.120128
"257",0.445735,1.16992,1.11686,0.167596,0.814406,1.83513,0.47357,0.641087,0.277646,0.122104
"258",0.377312,1.19255,0.971584,0.198963,0.885745,1.45513,0.558317,0.650701,0.383085,0.156751
"259",0.382631,1.21751,1.2718,0.113764,0.601222,1.62384,0.449257,0.610132,0.295107,0.0899503
"260",0.347136,0.929418,1.69092,0.105687,0.630624,1.6145,0.57615,0.661477,0.31341,0.123918
"261",0.377998,0.974982,1.43219,0.142507,0.687056,1.70894,0.439953,0.629812,0.327349,0.140451
