rup_mag,rup_ztor,dist_rrup,site_vs30,result_type,damping,rsd595,rsd575
4.5,5.0,10.0,800.0,MEAN,5,2.938819663,0.887671267
4.5,5.0,20.0,800.0,MEAN,5,4.667134954,1.597240752
4.5,5.0,50.0,800.0,MEAN,5,8.741405776,3.534661945
5.5,5.0,1.0,180.0,MEAN,5,4.113370212,1.128828443
5.5,5.0,10.0,180.0,MEAN,5,7.988401911,2.686944206
5.5,5.0,20.0,180.0,MEAN,5,11.129090573,4.080143142
5.5,5.0,50.0,180.0,MEAN,5,17.451169623,7.177808301
5.5,5.0,1.0,360.0,MEAN,5,3.232209975,0.923271107
5.5,5.0,10.0,360.0,MEAN,5,6.277137969,2.197657197
5.5,5.0,20.0,360.0,MEAN,5,8.745032834,3.337157475
5.5,5.0,50.0,360.0,MEAN,5,13.712805223,5.870744185
5.5,5.0,1.0,500.0,MEAN,5,2.883233454,0.839374302
5.5,5.0,10.0,500.0,MEAN,5,5.599405463,1.997958089
5.5,5.0,20.0,500.0,MEAN,5,7.800845682,3.033913013
5.5,5.0,50.0,500.0,MEAN,5,12.232255663,5.337275006
5.5,5.0,1.0,800.0,MEAN,5,2.448425413,0.732421145
5.5,5.0,10.0,800.0,MEAN,5,4.754983198,1.743378070
5.5,5.0,20.0,800.0,MEAN,5,6.624433682,2.647331516
5.5,5.0,50.0,800.0,MEAN,5,10.387561776,4.657198894
6.5,5.0,1.0,180.0,MEAN,5,8.650333732,3.153373993
6.5,5.0,10.0,180.0,MEAN,5,12.925160856,5.277133306
6.5,5.0,20.0,180.0,MEAN,5,15.796398256,6.762594501
6.5,5.0,50.0,180.0,MEAN,5,20.737522908,9.457334647
6.5,5.0,1.0,360.0,MEAN,5,6.797271710,2.579151080
6.5,5.0,10.0,360.0,MEAN,5,10.156351530,4.316178194
6.5,5.0,20.0,360.0,MEAN,5,12.412516593,5.531139963
6.5,5.0,50.0,360.0,MEAN,5,16.295160645,7.735173476
6.5,5.0,1.0,500.0,MEAN,5,6.063381199,2.344785969
6.5,5.0,10.0,500.0,MEAN,5,9.059786564,3.923971011
6.5,5.0,20.0,500.0,MEAN,5,11.072357109,5.028530310
6.5,5.0,50.0,500.0,MEAN,5,14.535798317,7.032285304
6.5,5.0,1.0,800.0,MEAN,5,5.148988748,2.046013108
6.5,5.0,10.0,800.0,MEAN,5,7.693519103,3.423978234
6.5,5.0,20.0,800.0,MEAN,5,9.402582536,4.387794478
6.5,5.0,50.0,800.0,MEAN,5,12.343717066,6.136230811
7.5,5.0,1.0,180.0,MEAN,5,18.191475560,8.808927168
7.5,5.0,10.0,180.0,MEAN,5,20.912791446,10.364240486
7.5,5.0,20.0,180.0,MEAN,5,22.421077108,11.208598029
7.5,5.0,50.0,180.0,MEAN,5,24.642752644,12.460792330
7.5,5.0,1.0,360.0,MEAN,5,14.294523889,7.204839664
7.5,5.0,10.0,360.0,MEAN,5,16.432883409,8.476933629
7.5,5.0,20.0,360.0,MEAN,5,17.618066291,9.167535401
7.5,5.0,50.0,360.0,MEAN,5,19.363817697,10.191707698
7.5,5.0,1.0,500.0,MEAN,5,12.751167100,6.550142443
7.5,5.0,10.0,500.0,MEAN,5,14.658651376,7.706642386
7.5,5.0,20.0,500.0,MEAN,5,15.715871965,8.334489805
7.5,5.0,50.0,500.0,MEAN,5,17.273137395,9.265596497
7.5,5.0,1.0,800.0,MEAN,5,10.828218410,5.715522641
7.5,5.0,10.0,800.0,MEAN,5,12.448043183,6.724661248
7.5,5.0,20.0,800.0,MEAN,5,13.345828880,7.272508285
7.5,5.0,50.0,800.0,MEAN,5,14.668249806,8.084973270
4.5,10.0,1.0,180.0,MEAN,5,1.629686213,0.311264467
4.5,10.0,10.0,180.0,MEAN,5,4.113628935,1.053824697
4.5,10.0,20.0,180.0,MEAN,5,6.532847740,1.896210698
4.5,10.0,50.0,180.0,MEAN,5,12.235830661,4.196276474
4.5,10.0,1.0,360.0,MEAN,5,1.280577182,0.254583849
4.5,10.0,10.0,360.0,MEAN,5,3.232413275,0.861925389
4.5,10.0,20.0,360.0,MEAN,5,5.133390514,1.550914633
4.5,10.0,50.0,360.0,MEAN,5,9.614688656,3.432143166
4.5,10.0,1.0,500.0,MEAN,5,1.142315320,0.231450046
4.5,10.0,10.0,500.0,MEAN,5,2.883414804,0.783603013
4.5,10.0,20.0,500.0,MEAN,5,4.579146584,1.409984432
4.5,10.0,50.0,500.0,MEAN,5,8.576606161,3.120267441
4.5,10.0,1.0,800.0,MEAN,5,0.970047657,0.201958658
4.5,10.0,10.0,800.0,MEAN,5,2.448579414,0.683756240
4.5,10.0,20.0,800.0,MEAN,5,3.888585175,1.230324076
4.5,10.0,50.0,800.0,MEAN,5,7.283205059,2.722682654
5.5,10.0,1.0,180.0,MEAN,5,3.427196895,0.869515011
5.5,10.0,10.0,180.0,MEAN,5,6.655813802,2.069701854
5.5,10.0,20.0,180.0,MEAN,5,9.272587366,3.142856412
5.5,10.0,50.0,180.0,MEAN,5,14.540046548,5.528928779
5.5,10.0,1.0,360.0,MEAN,5,2.693027717,0.711178118
5.5,10.0,10.0,360.0,MEAN,5,5.230014964,1.692813407
5.5,10.0,20.0,360.0,MEAN,5,7.286227068,2.570548729
5.5,10.0,50.0,360.0,MEAN,5,11.425298737,4.522122230
5.5,10.0,1.0,500.0,MEAN,5,2.402265839,0.646554009
5.5,10.0,10.0,500.0,MEAN,5,4.665338647,1.538988994
5.5,10.0,20.0,500.0,MEAN,5,6.499544832,2.336965306
5.5,10.0,50.0,500.0,MEAN,5,10.191727579,4.111201099
5.5,10.0,1.0,800.0,MEAN,5,2.039990456,0.564170033
5.5,10.0,10.0,800.0,MEAN,5,3.961778983,1.342890863
5.5,10.0,20.0,800.0,MEAN,5,5.519376419,2.039188954
5.5,10.0,50.0,800.0,MEAN,5,8.654756960,3.587351447
6.5,10.0,1.0,180.0,MEAN,5,7.207325231,2.428983819
6.5,10.0,10.0,180.0,MEAN,5,10.769045545,4.064875096
6.5,10.0,20.0,180.0,MEAN,5,13.161316457,5.209097511
6.5,10.0,50.0,180.0,MEAN,5,17.278185640,7.284804429
6.5,10.0,1.0,360.0,MEAN,5,5.663382409,1.986670866
6.5,10.0,10.0,360.0,MEAN,5,8.462116133,3.324669708
6.5,10.0,20.0,360.0,MEAN,5,10.341918218,4.260531577
6.5,10.0,50.0,360.0,MEAN,5,13.576877620,5.958256539
6.5,10.0,1.0,500.0,MEAN,5,5.051916105,1.806143893
6.5,10.0,10.0,500.0,MEAN,5,7.548475043,3.022559999
6.5,10.0,20.0,500.0,MEAN,5,9.225317915,3.873380951
6.5,10.0,50.0,500.0,MEAN,5,12.111003945,5.416835191
6.5,10.0,1.0,800.0,MEAN,5,4.290058357,1.576004858
6.5,10.0,10.0,800.0,MEAN,5,6.410121974,2.637425103
6.5,10.0,20.0,800.0,MEAN,5,7.834087383,3.379834366
6.5,10.0,50.0,800.0,MEAN,5,10.284595509,4.726621512
7.5,10.0,1.0,180.0,MEAN,5,15.156858087,6.785348520
7.5,10.0,10.0,180.0,MEAN,5,17.424216694,7.983376692
7.5,10.0,20.0,180.0,MEAN,5,18.680897146,8.633769197
7.5,10.0,50.0,180.0,MEAN,5,20.531963087,9.598310575
7.5,10.0,1.0,360.0,MEAN,5,11.909977797,5.549750522
7.5,10.0,10.0,360.0,MEAN,5,13.691626112,6.529620231
7.5,10.0,20.0,360.0,MEAN,5,14.679102289,7.061577600
7.5,10.0,50.0,360.0,MEAN,5,16.133635553,7.850477978
7.5,10.0,1.0,500.0,MEAN,5,10.624076620,5.045449744
7.5,10.0,10.0,500.0,MEAN,5,12.213363227,5.936279585
7.5,10.0,20.0,500.0,MEAN,5,13.094223187,6.419898471
7.5,10.0,50.0,500.0,MEAN,5,14.391712830,7.137112190
7.5,10.0,1.0,800.0,MEAN,5,9.021905300,4.402558036
7.5,10.0,10.0,800.0,MEAN,5,10.371518427,5.179878250
7.5,10.0,20.0,800.0,MEAN,5,11.119539684,5.601874370
7.5,10.0,50.0,800.0,MEAN,5,12.221360492,6.227700646
