rup_mag,dist_rrup,damping,site_backarc,rup_hypo_depth,site_vs30,result_type,5.000,2.000,1.000,0.500,0.303,0.200,0.100,pga
7.25,100.0,5.0,1.0,20.0,760.0,MEAN,0.012878916409476587,0.04853771468006402,0.08799932166101271,0.1462444267312601,0.17692097514253805,0.18033470943510777,0.14550547144839102,0.07870083214808445
7.25,125.9,5.0,1.0,20.0,760.0,MEAN,0.010974363079020728,0.039845503990716666,0.06970747062841079,0.11129594065748814,0.1304005203546416,0.12998083555804615,0.10265481494271383,0.058033574934237595
7.25,158.5,5.0,1.0,20.0,760.0,MEAN,0.009312779590021228,0.03241748543736509,0.05449784437849761,0.083383347142344,0.09453210407269835,0.09221027652784418,0.07142978195731288,0.04244038592369491
7.25,199.5,5.0,1.0,20.0,760.0,MEAN,0.007875521553815256,0.026030309052135513,0.041694553213145934,0.06064281104324731,0.06629477857811696,0.06344235918777129,0.048604818353928644,0.030702894791320184
7.25,251.2,5.0,1.0,20.0,760.0,MEAN,0.006579294467549803,0.020463472133890666,0.03084461291461655,0.04205129012677426,0.044043246538934606,0.04151254165798451,0.03200216237382192,0.021957319656671595
7.25,316.2,5.0,1.0,20.0,760.0,MEAN,0.005211698990352372,0.015127923665548272,0.021265682447045305,0.027025847661812277,0.027050750853976277,0.02515818604570982,0.019664337726332907,0.014834719004101408
7.25,398.1,5.0,1.0,20.0,760.0,MEAN,0.003758195121193062,0.009999523938572005,0.01283155602259982,0.014916925626996513,0.014144230475920104,0.013049062896175505,0.0106458250397178,0.009084045993288437
7.25,501.2,5.0,1.0,20.0,760.0,MEAN,0.0026204707982871492,0.006345696901277802,0.00738208980887769,0.007842947798551082,0.007054712576863011,0.006460696269075114,0.0054938819646404595,0.005344158428862346
7.25,631.0,5.0,1.0,20.0,760.0,MEAN,0.0017182221939009061,0.003686203646682176,0.00377032965893651,0.0035398048863546435,0.0029653729690927223,0.002728219598594939,0.0025251043172479478,0.0029388628865841047
7.25,794.3,5.0,1.0,20.0,760.0,MEAN,0.0010562806509691704,0.0019551465882019677,0.001710721542867999,0.0013850942437908505,0.001073443830852027,0.0009971932369578207,0.0010386741527984753,0.0015048018775788822
7.5,10.0,5.0,1.0,20.0,760.0,MEAN,0.042892298965555235,0.18423804833395865,0.3741789262732087,0.7373595754412176,1.046114747163,1.2458889224810432,1.3124395958388773,0.5996244379896938
7.5,12.6,5.0,1.0,20.0,760.0,MEAN,0.04116037515029139,0.17517790347953557,0.3534103990593614,0.6902069441855739,0.9704637650094003,1.1446674265831522,1.186531642288405,0.5449784437849761
7.5,15.9,5.0,1.0,20.0,760.0,MEAN,0.03936219644275262,0.16572167890220962,0.3321079901920328,0.6426571214337737,0.8949099245273557,1.0451516834493595,1.0662997918332333,0.49246948391629247
7.5,20.0,5.0,1.0,20.0,760.0,MEAN,0.03746962308229007,0.15601965902152798,0.3100839762483906,0.5942638666582046,0.8197460344328853,0.9479366712537288,0.9516545413540726,0.44195629527940394
7.5,25.1,5.0,1.0,20.0,760.0,MEAN,0.03482405374606287,0.14278392772107187,0.28007821146017836,0.529394377393253,0.7197461068354873,0.8182373963673472,0.8009019008678192,0.37504149778200124
7.5,31.6,5.0,1.0,20.0,760.0,MEAN,0.032090709892834565,0.12929428368445628,0.2500802094570542,0.4654567410495998,0.6227006576953698,0.6954714789487423,0.6626425573302176,0.3135301602422474
7.5,39.8,5.0,1.0,20.0,760.0,MEAN,0.029119192296873014,0.1149421521289646,0.2190681922283346,0.3993735736374918,0.5244200944754751,0.5744858344602267,0.530248348348841,0.25484688198271876
7.5,50.1,5.0,1.0,20.0,760.0,MEAN,0.026012334160680998,0.10047993013502253,0.1878794691503864,0.33487237665306696,0.43050611478041273,0.46140184247989746,0.4123626523918152,0.20145559079120876
