rup_mag,rup_hypo_depth,dist_rjb,site_vs30,site_vs30measured,site_region,result_type,damping,pgv,pga,0.1,0.073,0.2,0.5,1.0,2.0,5.0
4.0,5.0,120.0,600.0,1.0,2,MEAN,5,6.72096345e-03,1.36595521e-04,2.57807662e-04,2.14327327e-04,3.35622023e-04,1.70543885e-04,6.16699773e-05,1.46611059e-05,2.55636386e-06
4.0,5.0,20.0,600.0,1.0,4,MEAN,5,1.94861340e-01,7.09850384e-03,1.87383826e-02,1.61365567e-02,1.45681219e-02,3.81423270e-03,9.01591588e-04,1.93170012e-04,3.82024644e-05
4.0,5.0,60.0,600.0,1.0,4,MEAN,5,2.84379594e-02,7.95541903e-04,1.80482130e-03,1.47561793e-03,1.91924585e-03,6.97501550e-04,1.99872859e-04,4.36903987e-05,7.92722661e-06
4.0,5.0,120.0,600.0,1.0,4,MEAN,5,6.72096345e-03,1.36595521e-04,2.57807662e-04,2.14327327e-04,3.35622023e-04,1.70543885e-04,6.16699773e-05,1.46611059e-05,2.55636386e-06
4.0,5.0,20.0,900.0,1.0,0,MEAN,5,1.56972099e-01,5.95547056e-03,1.61524641e-02,1.39133388e-02,1.22966168e-02,3.00282822e-03,6.92277498e-04,1.50561547e-04,3.20171287e-05
4.0,5.0,60.0,900.0,1.0,0,MEAN,5,2.29084239e-02,6.67440139e-04,1.55575388e-03,1.27231432e-03,1.61999130e-03,5.49121541e-04,1.53470246e-04,3.40533913e-05,6.64373461e-06
4.0,5.0,120.0,900.0,1.0,0,MEAN,5,5.41412545e-03,1.14600290e-04,2.22229907e-04,1.84798328e-04,2.83290834e-04,1.34263961e-04,4.73526352e-05,1.14272332e-05,2.14246468e-06
4.0,5.0,20.0,900.0,1.0,2,MEAN,5,1.56972099e-01,5.95547056e-03,1.61524641e-02,1.39133388e-02,1.22966168e-02,3.00282822e-03,6.92277498e-04,1.50561547e-04,3.20171287e-05
4.0,5.0,60.0,900.0,1.0,2,MEAN,5,2.29084239e-02,6.67440139e-04,1.55575388e-03,1.27231432e-03,1.61999130e-03,5.49121541e-04,1.53470246e-04,3.40533913e-05,6.64373461e-06
4.0,5.0,120.0,900.0,1.0,2,MEAN,5,5.41412545e-03,1.14600290e-04,2.22229907e-04,1.84798328e-04,2.83290834e-04,1.34263961e-04,4.73526352e-05,1.14272332e-05,2.14246468e-06
4.0,5.0,20.0,900.0,1.0,4,MEAN,5,1.56972099e-01,5.95547056e-03,1.61524641e-02,1.39133388e-02,1.22966168e-02,3.00282822e-03,6.92277498e-04,1.50561547e-04,3.20171287e-05
4.0,5.0,60.0,900.0,1.0,4,MEAN,5,2.29084239e-02,6.67440139e-04,1.55575388e-03,1.27231432e-03,1.61999130e-03,5.49121541e-04,1.53470246e-04,3.40533913e-05,6.64373461e-06
4.0,5.0,120.0,900.0,1.0,4,MEAN,5,5.41412545e-03,1.14600290e-04,2.22229907e-04,1.84798328e-04,2.83290834e-04,1.34263961e-04,4.73526352e-05,1.14272332e-05,2.14246468e-06
4.0,5.0,20.0,300.0,0.0,0,MEAN,5,2.87167649e-01,9.66305445e-03,2.47039573e-02,2.12829383e-02,1.96644179e-02,5.87912654e-03,1.41525948e-03,3.09856585e-04,5.75381970e-05
4.0,5.0,60.0,300.0,0.0,0,MEAN,5,4.19090926e-02,1.08295563e-03,2.37940644e-03,1.94623214e-03,2.59064638e-03,1.07510480e-03,3.13747336e-04,7.00820875e-05,1.19395001e-05
4.0,5.0,120.0,300.0,0.0,0,MEAN,5,9.90470081e-03,1.85944811e-04,3.39883628e-04,2.82682071e-04,4.53031060e-04,2.62870455e-04,9.68054953e-05,2.35173158e-05,3.85023767e-06
4.0,5.0,20.0,300.0,0.0,2,MEAN,5,2.87167649e-01,9.66305445e-03,2.47039573e-02,2.12829383e-02,1.96644179e-02,5.87912654e-03,1.41525948e-03,3.09856585e-04,5.75381970e-05
4.0,5.0,60.0,300.0,0.0,2,MEAN,5,4.19090926e-02,1.08295563e-03,2.37940644e-03,1.94623214e-03,2.59064638e-03,1.07510480e-03,3.13747336e-04,7.00820875e-05,1.19395001e-05
4.0,5.0,120.0,300.0,0.0,2,MEAN,5,9.90470081e-03,1.85944811e-04,3.39883628e-04,2.82682071e-04,4.53031060e-04,2.62870455e-04,9.68054953e-05,2.35173158e-05,3.85023767e-06
4.0,5.0,20.0,300.0,0.0,4,MEAN,5,2.87167649e-01,9.66305445e-03,2.47039573e-02,2.12829383e-02,1.96644179e-02,5.87912654e-03,1.41525948e-03,3.09856585e-04,5.75381970e-05
4.0,5.0,60.0,300.0,0.0,4,MEAN,5,4.19090926e-02,1.08295563e-03,2.37940644e-03,1.94623214e-03,2.59064638e-03,1.07510480e-03,3.13747336e-04,7.00820875e-05,1.19395001e-05
4.0,5.0,120.0,300.0,0.0,4,MEAN,5,9.90470081e-03,1.85944811e-04,3.39883628e-04,2.82682071e-04,4.53031060e-04,2.62870455e-04,9.68054953e-05,2.35173158e-05,3.85023767e-06
4.0,5.0,20.0,600.0,0.0,0,MEAN,5,2.11988160e-01,7.86756133e-03,2.08791056e-02,1.79343865e-02,1.62365493e-02,4.20672238e-03,9.66543549e-04,2.06584018e-04,4.14790509e-05
4.0,5.0,60.0,600.0,0.0,0,MEAN,5,3.09374383e-02,8.81731539e-04,2.01100892e-03,1.64002164e-03,2.13904923e-03,7.69275399e-04,2.14271988e-04,4.67243232e-05,8.60713678e-06
4.0,5.0,120.0,600.0,0.0,0,MEAN,5,7.31168469e-03,1.51394387e-04,2.87260300e-04,2.38206277e-04,3.74059441e-04,1.88093081e-04,6.61127716e-05,1.56791943e-05,2.77562059e-06
4.0,5.0,20.0,600.0,0.0,2,MEAN,5,2.11988160e-01,7.86756133e-03,2.08791056e-02,1.79343865e-02,1.62365493e-02,4.20672238e-03,9.66543549e-04,2.06584018e-04,4.14790509e-05
4.0,5.0,60.0,600.0,0.0,2,MEAN,5,3.09374383e-02,8.81731539e-04,2.01100892e-03,1.64002164e-03,2.13904923e-03,7.69275399e-04,2.14271988e-04,4.67243232e-05,8.60713678e-06
4.0,5.0,120.0,600.0,0.0,2,MEAN,5,7.31168469e-03,1.51394387e-04,2.87260300e-04,2.38206277e-04,3.74059441e-04,1.88093081e-04,6.61127716e-05,1.56791943e-05,2.77562059e-06
4.0,5.0,20.0,600.0,0.0,4,MEAN,5,2.11988160e-01,7.86756133e-03,2.08791056e-02,1.79343865e-02,1.62365493e-02,4.20672238e-03,9.66543549e-04,2.06584018e-04,4.14790509e-05
4.0,5.0,60.0,600.0,0.0,4,MEAN,5,3.09374383e-02,8.81731539e-04,2.01100892e-03,1.64002164e-03,2.13904923e-03,7.69275399e-04,2.14271988e-04,4.67243232e-05,8.60713678e-06
4.0,5.0,120.0,600.0,0.0,4,MEAN,5,7.31168469e-03,1.51394387e-04,2.87260300e-04,2.38206277e-04,3.74059441e-04,1.88093081e-04,6.61127716e-05,1.56791943e-05,2.77562059e-06
4.0,5.0,20.0,900.0,0.0,0,MEAN,5,1.77500493e-01,6.97618559e-03,1.89224631e-02,1.62254761e-02,1.45155084e-02,3.45866472e-03,7.73291201e-04,1.62969329e-04,3.42522881e-05
4.0,5.0,60.0,900.0,0.0,0,MEAN,5,2.59043267e-02,7.81833480e-04,1.82255135e-03,1.48374922e-03,1.91231440e-03,6.32479503e-04,1.71430085e-04,3.68597323e-05,7.10754279e-06
4.0,5.0,120.0,900.0,0.0,0,MEAN,5,6.12217038e-03,1.34241768e-04,2.60340291e-04,2.15508363e-04,3.34409908e-04,1.54645551e-04,5.28940725e-05,1.23689518e-05,2.29203307e-06
4.0,5.0,20.0,900.0,0.0,2,MEAN,5,1.77500493e-01,6.97618559e-03,1.89224631e-02,1.62254761e-02,1.45155084e-02,3.45866472e-03,7.73291201e-04,1.62969329e-04,3.42522881e-05
4.0,5.0,60.0,900.0,0.0,2,MEAN,5,2.59043267e-02,7.81833480e-04,1.82255135e-03,1.48374922e-03,1.91231440e-03,6.32479503e-04,1.71430085e-04,3.68597323e-05,7.10754279e-06
4.0,5.0,120.0,900.0,0.0,2,MEAN,5,6.12217038e-03,1.34241768e-04,2.60340291e-04,2.15508363e-04,3.34409908e-04,1.54645551e-04,5.28940725e-05,1.23689518e-05,2.29203307e-06
4.0,5.0,20.0,900.0,0.0,4,MEAN,5,1.77500493e-01,6.97618559e-03,1.89224631e-02,1.62254761e-02,1.45155084e-02,3.45866472e-03,7.73291201e-04,1.62969329e-04,3.42522881e-05
4.0,5.0,60.0,900.0,0.0,4,MEAN,5,2.59043267e-02,7.81833480e-04,1.82255135e-03,1.48374922e-03,1.91231440e-03,6.32479503e-04,1.71430085e-04,3.68597323e-05,7.10754279e-06
4.0,5.0,120.0,900.0,0.0,4,MEAN,5,6.12217038e-03,1.34241768e-04,2.60340291e-04,2.15508363e-04,3.34409908e-04,1.54645551e-04,5.28940725e-05,1.23689518e-05,2.29203307e-06
4.0,15.0,20.0,300.0,1.0,0,MEAN,5,2.68948404e-01,9.10309879e-03,2.28907902e-02,1.96560392e-02,1.86024185e-02,5.52094634e-03,1.36597726e-03,2.85007557e-04,4.96578824e-05
4.0,15.0,60.0,300.0,1.0,0,MEAN,5,4.24857136e-02,1.11237179e-03,2.41397850e-03,1.97546200e-03,2.64638446e-03,1.07842825e-03,3.21748837e-04,6.85735348e-05,1.10085283e-05
4.0,15.0,120.0,300.0,1.0,0,MEAN,5,1.01305509e-02,1.92945809e-04,3.48598515e-04,2.90131623e-04,4.67178093e-04,2.65776031e-04,9.99691519e-05,2.31692277e-05,3.57579303e-06
4.0,15.0,20.0,300.0,1.0,2,MEAN,5,2.68948404e-01,9.10309879e-03,2.28907902e-02,1.96560392e-02,1.86024185e-02,5.52094634e-03,1.36597726e-03,2.85007557e-04,4.96578824e-05
4.0,15.0,60.0,300.0,1.0,2,MEAN,5,4.24857136e-02,1.11237179e-03,2.41397850e-03,1.97546200e-03,2.64638446e-03,1.07842825e-03,3.21748837e-04,6.85735348e-05,1.10085283e-05
4.0,15.0,120.0,300.0,1.0,2,MEAN,5,1.01305509e-02,1.92945809e-04,3.48598515e-04,2.90131623e-04,4.67178093e-04,2.65776031e-04,9.99691519e-05,2.31692277e-05,3.57579303e-06
4.0,15.0,20.0,300.0,1.0,4,MEAN,5,2.68948404e-01,9.10309879e-03,2.28907902e-02,1.96560392e-02,1.86024185e-02,5.52094634e-03,1.36597726e-03,2.85007557e-04,4.96578824e-05
4.0,15.0,60.0,300.0,1.0,4,MEAN,5,4.24857136e-02,1.11237179e-03,2.41397850e-03,1.97546200e-03,2.64638446e-03,1.07842825e-03,3.21748837e-04,6.85735348e-05,1.10085283e-05
4.0,15.0,120.0,300.0,1.0,4,MEAN,5,1.01305509e-02,1.92945809e-04,3.48598515e-04,2.90131623e-04,4.67178093e-04,2.65776031e-04,9.99691519e-05,2.31692277e-05,3.57579303e-06
4.0,15.0,20.0,600.0,1.0,0,MEAN,5,1.85840497e-01,6.74276084e-03,1.77586003e-02,1.52559239e-02,1.39225482e-02,3.66804909e-03,8.69584639e-04,1.86141592e-04,3.67158256e-05
4.0,15.0,60.0,600.0,1.0,0,MEAN,5,2.93571779e-02,8.23945462e-04,1.87275664e-03,1.53324368e-03,1.98062501e-03,7.16494517e-04,2.04826139e-04,4.47861351e-05,8.13943702e-06
4.0,15.0,120.0,600.0,1.0,0,MEAN,5,7.00010332e-03,1.42916986e-04,2.70441590e-04,2.25184022e-04,3.49648597e-04,1.76578338e-04,6.36406196e-05,1.51320793e-05,2.64385405e-06
4.0,15.0,20.0,600.0,1.0,2,MEAN,5,1.85840497e-01,6.74276084e-03,1.77586003e-02,1.52559239e-02,1.39225482e-02,3.66804909e-03,8.69584639e-04,1.86141592e-04,3.67158256e-05
4.0,15.0,60.0,600.0,1.0,2,MEAN,5,2.93571779e-02,8.23945462e-04,1.87275664e-03,1.53324368e-03,1.98062501e-03,7.16494517e-04,2.04826139e-04,4.47861351e-05,8.13943702e-06
4.0,15.0,120.0,600.0,1.0,2,MEAN,5,7.00010332e-03,1.42916986e-04,2.70441590e-04,2.25184022e-04,3.49648597e-04,1.76578338e-04,6.36406196e-05,1.51320793e-05,2.64385405e-06
4.0,15.0,20.0,600.0,1.0,4,MEAN,5,1.85840497e-01,6.74276084e-03,1.77586003e-02,1.52559239e-02,1.39225482e-02,3.66804909e-03,8.69584639e-04,1.86141592e-04,3.67158256e-05
4.0,15.0,60.0,600.0,1.0,4,MEAN,5,2.93571779e-02,8.23945462e-04,1.87275664e-03,1.53324368e-03,1.98062501e-03,7.16494517e-04,2.04826139e-04,4.47861351e-05,8.13943702e-06
4.0,15.0,120.0,600.0,1.0,4,MEAN,5,7.00010332e-03,1.42916986e-04,2.70441590e-04,2.25184022e-04,3.49648597e-04,1.76578338e-04,6.36406196e-05,1.51320793e-05,2.64385405e-06
4.0,15.0,20.0,900.0,1.0,0,MEAN,5,1.49705287e-01,5.65701091e-03,1.53078929e-02,1.31540354e-02,1.17517029e-02,2.88774236e-03,6.67701303e-04,1.45083420e-04,3.07711907e-05
4.0,15.0,60.0,900.0,1.0,0,MEAN,5,2.36489076e-02,6.91270028e-04,1.61431406e-03,1.32200067e-03,1.67180003e-03,5.64074120e-04,1.57273569e-04,3.49074358e-05,6.82158617e-06
4.0,15.0,120.0,900.0,1.0,0,MEAN,5,5.63898879e-03,1.19903845e-04,2.33120338e-04,1.94159240e-04,2.95130342e-04,1.39014700e-04,4.88657719e-05,1.17943217e-05,2.21578939e-06
4.0,15.0,20.0,900.0,1.0,2,MEAN,5,1.49705287e-01,5.65701091e-03,1.53078929e-02,1.31540354e-02,1.17517029e-02,2.88774236e-03,6.67701303e-04,1.45083420e-04,3.07711907e-05
4.0,15.0,60.0,900.0,1.0,2,MEAN,5,2.36489076e-02,6.91270028e-04,1.61431406e-03,1.32200067e-03,1.67180003e-03,5.64074120e-04,1.57273569e-04,3.49074358e-05,6.82158617e-06
4.0,15.0,120.0,900.0,1.0,2,MEAN,5,5.63898879e-03,1.19903845e-04,2.33120338e-04,1.94159240e-04,2.95130342e-04,1.39014700e-04,4.88657719e-05,1.17943217e-05,2.21578939e-06
4.0,15.0,20.0,900.0,1.0,4,MEAN,5,1.49705287e-01,5.65701091e-03,1.53078929e-02,1.31540354e-02,1.17517029e-02,2.88774236e-03,6.67701303e-04,1.45083420e-04,3.07711907e-05
4.0,15.0,60.0,900.0,1.0,4,MEAN,5,2.36489076e-02,6.91270028e-04,1.61431406e-03,1.32200067e-03,1.67180003e-03,5.64074120e-04,1.57273569e-04,3.49074358e-05,6.82158617e-06
4.0,15.0,120.0,900.0,1.0,4,MEAN,5,5.63898879e-03,1.19903845e-04,2.33120338e-04,1.94159240e-04,2.95130342e-04,1.39014700e-04,4.88657719e-05,1.17943217e-05,2.21578939e-06
4.0,15.0,20.0,300.0,0.0,0,MEAN,5,2.73873610e-01,9.17878846e-03,2.34122503e-02,2.01214481e-02,1.87930063e-02,5.65380418e-03,1.36501707e-03,2.98582566e-04,5.52991133e-05
4.0,15.0,60.0,300.0,0.0,0,MEAN,5,4.32637472e-02,1.12162084e-03,2.46896976e-03,2.02223630e-03,2.67349752e-03,1.10437990e-03,3.21522671e-04,7.18397162e-05,1.22591183e-05
4.0,15.0,120.0,300.0,0.0,0,MEAN,5,1.03160699e-02,1.94550098e-04,3.56539709e-04,2.97001258e-04,4.71964482e-04,2.72171751e-04,9.98988807e-05,2.42727861e-05,3.98200999e-06
4.0,15.0,20.0,300.0,0.0,2,MEAN,5,2.73873610e-01,9.17878846e-03,2.34122503e-02,2.01214481e-02,1.87930063e-02,5.65380418e-03,1.36501707e-03,2.98582566e-04,5.52991133e-05
4.0,15.0,60.0,300.0,0.0,2,MEAN,5,4.32637472e-02,1.12162084e-03,2.46896976e-03,2.02223630e-03,2.67349752e-03,1.10437990e-03,3.21522671e-04,7.18397162e-05,1.22591183e-05
4.0,15.0,120.0,300.0,0.0,2,MEAN,5,1.03160699e-02,1.94550098e-04,3.56539709e-04,2.97001258e-04,4.71964482e-04,2.72171751e-04,9.98988807e-05,2.42727861e-05,3.98200999e-06
4.0,15.0,20.0,300.0,0.0,4,MEAN,5,2.73873610e-01,9.17878846e-03,2.34122503e-02,2.01214481e-02,1.87930063e-02,5.65380418e-03,1.36501707e-03,2.98582566e-04,5.52991133e-05
4.0,15.0,60.0,300.0,0.0,4,MEAN,5,4.32637472e-02,1.12162084e-03,2.46896976e-03,2.02223630e-03,2.67349752e-03,1.10437990e-03,3.21522671e-04,7.18397162e-05,1.22591183e-05
4.0,15.0,120.0,300.0,0.0,4,MEAN,5,1.03160699e-02,1.94550098e-04,3.56539709e-04,2.97001258e-04,4.71964482e-04,2.72171751e-04,9.98988807e-05,2.42727861e-05,3.98200999e-06
4.0,15.0,20.0,600.0,0.0,0,MEAN,5,2.02174454e-01,7.47327686e-03,1.97873903e-02,1.69556393e-02,1.55170408e-02,4.04549628e-03,9.32230774e-04,1.99067534e-04,3.98649047e-05
4.0,15.0,60.0,600.0,0.0,0,MEAN,5,3.19374491e-02,9.13212362e-04,2.08670537e-03,1.70406768e-03,2.20745789e-03,7.90222767e-04,2.19582110e-04,4.78961492e-05,8.83754826e-06
4.0,15.0,120.0,600.0,0.0,0,MEAN,5,7.61535881e-03,1.58400725e-04,3.01337561e-04,2.50272554e-04,3.89692421e-04,1.94748487e-04,6.82253818e-05,1.61828728e-05,2.87061472e-06
4.0,15.0,20.0,600.0,0.0,2,MEAN,5,2.02174454e-01,7.47327686e-03,1.97873903e-02,1.69556393e-02,1.55170408e-02,4.04549628e-03,9.32230774e-04,1.99067534e-04,3.98649047e-05
4.0,15.0,60.0,600.0,0.0,2,MEAN,5,3.19374491e-02,9.13212362e-04,2.08670537e-03,1.70406768e-03,2.20745789e-03,7.90222767e-04,2.19582110e-04,4.78961492e-05,8.83754826e-06
4.0,15.0,120.0,600.0,0.0,2,MEAN,5,7.61535881e-03,1.58400725e-04,3.01337561e-04,2.50272554e-04,3.89692421e-04,1.94748487e-04,6.82253818e-05,1.61828728e-05,2.87061472e-06
4.0,15.0,20.0,600.0,0.0,4,MEAN,5,2.02174454e-01,7.47327686e-03,1.97873903e-02,1.69556393e-02,1.55170408e-02,4.04549628e-03,9.32230774e-04,1.99067534e-04,3.98649047e-05
4.0,15.0,60.0,600.0,0.0,4,MEAN,5,3.19374491e-02,9.13212362e-04,2.08670537e-03,1.70406768e-03,2.20745789e-03,7.90222767e-04,2.19582110e-04,4.78961492e-05,8.83754826e-06
4.0,15.0,120.0,600.0,0.0,4,MEAN,5,7.61535881e-03,1.58400725e-04,3.01337561e-04,2.50272554e-04,3.89692421e-04,1.94748487e-04,6.82253818e-05,1.61828728e-05,2.87061472e-06
4.0,15.0,20.0,900.0,0.0,0,MEAN,5,1.69283347e-01,6.62657259e-03,1.79330557e-02,1.53399907e-02,1.38722663e-02,3.32610855e-03,7.45838979e-04,1.57039749e-04,3.29193695e-05
4.0,15.0,60.0,900.0,0.0,0,MEAN,5,2.67416489e-02,8.09747602e-04,1.89115407e-03,1.54169252e-03,1.97347188e-03,6.49701919e-04,1.75678492e-04,3.77841585e-05,7.29781041e-06
4.0,15.0,120.0,900.0,0.0,0,MEAN,5,6.37644075e-03,1.40454304e-04,2.73098331e-04,2.26424883e-04,3.48385824e-04,1.60117464e-04,5.45842838e-05,1.27662921e-05,2.37047667e-06
4.0,15.0,20.0,900.0,0.0,2,MEAN,5,1.69283347e-01,6.62657259e-03,1.79330557e-02,1.53399907e-02,1.38722663e-02,3.32610855e-03,7.45838979e-04,1.57039749e-04,3.29193695e-05
4.0,15.0,60.0,900.0,0.0,2,MEAN,5,2.67416489e-02,8.09747602e-04,1.89115407e-03,1.54169252e-03,1.97347188e-03,6.49701919e-04,1.75678492e-04,3.77841585e-05,7.29781041e-06
4.0,15.0,120.0,900.0,0.0,2,MEAN,5,6.37644075e-03,1.40454304e-04,2.73098331e-04,2.26424883e-04,3.48385824e-04,1.60117464e-04,5.45842838e-05,1.27662921e-05,2.37047667e-06
4.0,15.0,20.0,900.0,0.0,4,MEAN,5,1.69283347e-01,6.62657259e-03,1.79330557e-02,1.53399907e-02,1.38722663e-02,3.32610855e-03,7.45838979e-04,1.57039749e-04,3.29193695e-05
4.0,15.0,60.0,900.0,0.0,4,MEAN,5,2.67416489e-02,8.09747602e-04,1.89115407e-03,1.54169252e-03,1.97347188e-03,6.49701919e-04,1.75678492e-04,3.77841585e-05,7.29781041e-06
4.0,15.0,120.0,900.0,0.0,4,MEAN,5,6.37644075e-03,1.40454304e-04,2.73098331e-04,2.26424883e-04,3.48385824e-04,1.60117464e-04,5.45842838e-05,1.27662921e-05,2.37047667e-06
4.0,25.0,20.0,300.0,1.0,0,MEAN,5,2.52056708e-01,8.48374502e-03,2.12653518e-02,1.82008926e-02,1.74802870e-02,5.23284563e-03,1.30000143e-03,2.70917462e-04,4.70343764e-05
4.0,25.0,60.0,300.0,1.0,0,MEAN,5,4.46146079e-02,1.17405825e-03,2.55525610e-03,2.09539467e-03,2.77785350e-03,1.12395834e-03,3.34092082e-04,7.12337727e-05,1.14644581e-05
4.0,25.0,120.0,300.0,1.0,0,MEAN,5,1.07935053e-02,2.07051918e-04,3.75623328e-04,3.13377128e-04,4.98026457e-04,2.80596627e-04,1.04992994e-04,2.43385610e-05,3.76810645e-06
4.0,25.0,20.0,300.0,1.0,2,MEAN,5,2.52056708e-01,8.48374502e-03,2.12653518e-02,1.82008926e-02,1.74802870e-02,5.23284563e-03,1.30000143e-03,2.70917462e-04,4.70343764e-05
4.0,25.0,60.0,300.0,1.0,2,MEAN,5,4.46146079e-02,1.17405825e-03,2.55525610e-03,2.09539467e-03,2.77785350e-03,1.12395834e-03,3.34092082e-04,7.12337727e-05,1.14644581e-05
4.0,25.0,120.0,300.0,1.0,2,MEAN,5,1.07935053e-02,2.07051918e-04,3.75623328e-04,3.13377128e-04,4.98026457e-04,2.80596627e-04,1.04992994e-04,2.43385610e-05,3.76810645e-06
4.0,25.0,20.0,300.0,1.0,4,MEAN,5,2.52056708e-01,8.48374502e-03,2.12653518e-02,1.82008926e-02,1.74802870e-02,5.23284563e-03,1.30000143e-03,2.70917462e-04,4.70343764e-05
4.0,25.0,60.0,300.0,1.0,4,MEAN,5,4.46146079e-02,1.17405825e-03,2.55525610e-03,2.09539467e-03,2.77785350e-03,1.12395834e-03,3.34092082e-04,7.12337727e-05,1.14644581e-05
4.0,25.0,120.0,300.0,1.0,4,MEAN,5,1.07935053e-02,2.07051918e-04,3.75623328e-04,3.13377128e-04,4.98026457e-04,2.80596627e-04,1.04992994e-04,2.43385610e-05,3.76810645e-06
4.0,25.0,20.0,600.0,1.0,0,MEAN,5,1.74168514e-01,6.28399900e-03,1.64975905e-02,1.41265201e-02,1.30827149e-02,3.47663852e-03,8.27584261e-04,1.76939195e-04,3.47760693e-05
4.0,25.0,60.0,600.0,1.0,0,MEAN,5,3.08282212e-02,8.69637268e-04,1.98235934e-03,1.62632874e-03,2.07901995e-03,7.46744150e-04,2.12683880e-04,4.65235659e-05,8.47654033e-06
4.0,25.0,120.0,600.0,1.0,0,MEAN,5,7.45819780e-03,1.53365529e-04,2.91407351e-04,2.43225889e-04,3.72736338e-04,1.86424960e-04,6.68388104e-05,1.58957838e-05,2.78604589e-06
4.0,25.0,20.0,600.0,1.0,2,MEAN,5,1.74168514e-01,6.28399900e-03,1.64975905e-02,1.41265201e-02,1.30827149e-02,3.47663852e-03,8.27584261e-04,1.76939195e-04,3.47760693e-05
4.0,25.0,60.0,600.0,1.0,2,MEAN,5,3.08282212e-02,8.69637268e-04,1.98235934e-03,1.62632874e-03,2.07901995e-03,7.46744150e-04,2.12683880e-04,4.65235659e-05,8.47654033e-06
4.0,25.0,120.0,600.0,1.0,2,MEAN,5,7.45819780e-03,1.53365529e-04,2.91407351e-04,2.43225889e-04,3.72736338e-04,1.86424960e-04,6.68388104e-05,1.58957838e-05,2.78604589e-06
4.0,25.0,20.0,600.0,1.0,4,MEAN,5,1.74168514e-01,6.28399900e-03,1.64975905e-02,1.41265201e-02,1.30827149e-02,3.47663852e-03,8.27584261e-04,1.76939195e-04,3.47760693e-05
4.0,25.0,60.0,600.0,1.0,4,MEAN,5,3.08282212e-02,8.69637268e-04,1.98235934e-03,1.62632874e-03,2.07901995e-03,7.46744150e-04,2.12683880e-04,4.65235659e-05,8.47654033e-06
