rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,pgv,pga,0.01,0.02,0.025,0.03,0.04,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.75,1,1.5,2,2.5,3,4,5,7.5,10
7.6,28,323.23,1150,MEAN,5,0.5944063163,0.0062942711,0.0065844694,0.0070588872,0.0071048375,0.0073462090,0.0078056719,0.0087795308,0.0109400067,0.0125543653,0.0139502414,0.0153459794,0.0146828313,0.0124441803,0.0115812217,0.0110976469,0.0095849518,0.0089901688,0.0080536231,0.0061699619,0.0059229468,0.0043722586,0.0027937760,0.0020020726,0.0009792232,0.0005951897
7.6,28,323.23,760,MEAN,5,0.6357629587,0.0077362020,0.0080928807,0.0086044064,0.0086103428,0.0088367314,0.0093312624,0.0104477481,0.0131379143,0.0153475346,0.0174903509,0.0197735101,0.0195240618,0.0169636659,0.0161443863,0.0142891068,0.0111810780,0.0094274836,0.0080536231,0.0061699619,0.0059229468,0.0043722586,0.0027937760,0.0020020726,0.0009792232,0.0005951897
7.8,28,323.23,1350,MEAN,5,0.7293340441,0.0065821271,0.0070162335,0.0077807804,0.0079374889,0.0082381148,0.0087852675,0.0098301733,0.0117531781,0.0134351039,0.0148280173,0.0161883612,0.0153471818,0.0136870804,0.0135984212,0.0130697686,0.0113221737,0.0106514960,0.0095705512,0.0073541251,0.0070809128,0.0052427619,0.0033600734,0.0024151266,0.0011847989,0.0007223060
7.8,28,323.23,1150,MEAN,5,0.7293340441,0.0071292683,0.0074579642,0.0080193402,0.0080957937,0.0083959809,0.0089479044,0.0100945099,0.0126163695,0.0145215995,0.0161846869,0.0178574759,0.0171371326,0.0145679192,0.0135984212,0.0130697686,0.0113221737,0.0106514960,0.0095705512,0.0073541251,0.0070809128,0.0052427619,0.0033600734,0.0024151266,0.0011847989,0.0007223060
7.8,28,323.23,760,MEAN,5,0.7800784699,0.0087624855,0.0091664812,0.0097751473,0.0098112812,0.0100994986,0.0106967402,0.0120125891,0.0151510676,0.0177524507,0.0202918247,0.0230096087,0.0227875964,0.0198587058,0.0189563908,0.0168283710,0.0132075893,0.0111696239,0.0095705512,0.0073541251,0.0070809128,0.0052427619,0.0033600734,0.0024151266,0.0011847989,0.0007223060
7.2,28,323.23,1350,MEAN,5,0.3152029204,0.0030840524,0.0032875400,0.0035715463,0.0036326701,0.0037591059,0.0039971047,0.0044593318,0.0053157201,0.0060581746,0.0066553738,0.0072340249,0.0068292078,0.0060652915,0.0059982063,0.0057385378,0.0049421956,0.0046197815,0.0041232237,0.0031575952,0.0030302992,0.0021792512,0.0013472382,0.0009274888,0.0004438533,0.0002525221
7.2,28,323.23,1150,MEAN,5,0.3152029204,0.0033404151,0.0034945182,0.0036810504,0.0037051198,0.0038311412,0.0040711009,0.0045792447,0.0057061237,0.0065480986,0.0072642983,0.0079798952,0.0076257023,0.0064556264,0.0059982063,0.0057385378,0.0049421956,0.0046197815,0.0041232237,0.0031575952,0.0030302992,0.0021792512,0.0013472382,0.0009274888,0.0004438533,0.0002525221
7.2,28,323.23,760,MEAN,5,0.3371336000,0.0041056582,0.0042950642,0.0044870038,0.0044902296,0.0046084675,0.0048667830,0.0054493567,0.0068525154,0.0080049582,0.0091077368,0.0102822072,0.0101400526,0.0088001850,0.0083615841,0.0073888258,0.0057651907,0.0048445046,0.0041232237,0.0031575952,0.0030302992,0.0021792512,0.0013472382,0.0009274888,0.0004438533,0.0002525221
7.6,80,323.23,1350,MEAN,5,1.5882103889,0.0197744210,0.0196496161,0.0218956483,0.0226198589,0.0237742439,0.0259768938,0.0293205265,0.0356395136,0.0404595314,0.0453971680,0.0458843367,0.0433697907,0.0412059895,0.0376068030,0.0350660383,0.0270474937,0.0221321571,0.0127600866,0.0081067145,0.0059229468,0.0043722586,0.0027937760,0.0020020726,0.0009792232,0.0005951897
7.6,80,323.23,1150,MEAN,5,1.5882103889,0.0214181753,0.0208867243,0.0225669720,0.0230709879,0.0242298269,0.0264577901,0.0301089651,0.0382569945,0.0437314899,0.0495507210,0.0506152802,0.0484280347,0.0438578212,0.0376068030,0.0350660383,0.0270474937,0.0221321571,0.0127600866,0.0081067145,0.0059229468,0.0043722586,0.0027937760,0.0020020726,0.0009792232,0.0005951897
7.6,80,323.23,760,MEAN,5,1.6987123254,0.0263247845,0.0256715854,0.0275079332,0.0279596985,0.0291459816,0.0316288701,0.0358300333,0.0459430355,0.0534611300,0.0621250538,0.0652184999,0.0643957503,0.0597861339,0.0524244137,0.0451503253,0.0315515553,0.0232087465,0.0127600866,0.0081067145,0.0059229468,0.0043722586,0.0027937760,0.0020020726,0.0009792232,0.0005951897
7.8,80,323.23,1350,MEAN,5,1.9487274512,0.0223976931,0.0222563315,0.0248748347,0.0257747921,0.0271715789,0.0297781878,0.0337120912,0.0411006396,0.0467994279,0.0526685474,0.0533936881,0.0506192461,0.0482382537,0.0441570984,0.0412974941,0.0319497091,0.0262220419,0.0151634935,0.0096625868,0.0070809128,0.0052427619,0.0033600734,0.0024151266,0.0011847989,0.0007223060
7.8,80,323.23,1150,MEAN,5,1.9487274512,0.0242595076,0.0236575543,0.0256375007,0.0262888429,0.0276922647,0.0303294554,0.0346186205,0.0441192032,0.0505840933,0.0574873855,0.0588988898,0.0565229983,0.0513426502,0.0441570984,0.0412974941,0.0319497091,0.0262220419,0.0151634935,0.0096625868,0.0070809128,0.0052427619,0.0033600734,0.0024151266,0.0011847989,0.0007223060
7.8,80,323.23,760,MEAN,5,2.0843128614,0.0298170268,0.0290771744,0.0312507436,0.0318594124,0.0333109370,0.0362572384,0.0411965779,0.0529829943,0.0618383410,0.0720757810,0.0758920472,0.0751597893,0.0699893081,0.0615556179,0.0531738224,0.0372701081,0.0274975784,0.0151634935,0.0096625868,0.0070809128,0.0052427619,0.0033600734,0.0024151266,0.0011847989,0.0007223060
7.2,80,323.23,1350,MEAN,5,0.8421992483,0.0104944279,0.0104284699,0.0114180865,0.0117960878,0.0123985699,0.0135484245,0.0152930571,0.0185889716,0.0211028591,0.0236396319,0.0238598130,0.0225246142,0.0213762953,0.0194775101,0.0181324733,0.0139462365,0.0113730600,0.0065327978,0.0041487651,0.0030302992,0.0021792512,0.0013472382,0.0009274888,0.0004438533,0.0002525221
7.2,80,323.23,1150,MEAN,5,0.8421992483,0.0113667801,0.0110850296,0.0117681667,0.0120313482,0.0126361622,0.0137992392,0.0157042925,0.0199542056,0.0228094453,0.0258025083,0.0263198994,0.0251516731,0.0227519773,0.0194775101,0.0181324733,0.0139462365,0.0113730600,0.0065327978,0.0041487651,0.0030302992,0.0021792512,0.0013472382,0.0009274888,0.0004438533,0.0002525221
7.2,80,323.23,760,MEAN,5,0.9007964269,0.0139707530,0.0136244574,0.0143447665,0.0145807743,0.0151999993,0.0164962509,0.0186882984,0.0239631155,0.0278842253,0.0323503308,0.0339135602,0.0334446953,0.0310150555,0.0271519238,0.0233470077,0.0162686221,0.0119262874,0.0065327978,0.0041487651,0.0030302992,0.0021792512,0.0013472382,0.0009274888,0.0004438533,0.0002525221
