rup_mag,rup_dip,rup_rake,rup_ztor,dist_rrup,dist_rjb,dist_rx,site_vs30,site_vs30measured,site_z1pt0,result_type,damping,0.01,0.02,0.03,0.04,0.05,0.075,0.1,0.12,0.15,0.17,0.2,0.25,0.3,0.4,0.5,0.75,1,1.5,2,3,4,5,7.5,10
3.5,90,-70,5,100,99.87,99.87,180,0,5,INTER_EVENT_STDDEV,5,0.39983,0.40243,0.40612,0.4093,0.41219,0.41764,0.42162,0.42411,0.42721,0.42892,0.43105,0.43389,0.43613,0.43948,0.44181,0.44585,0.44837,0.45149,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,100,99.87,99.87,180,0,10,INTER_EVENT_STDDEV,5,0.39983,0.40243,0.40612,0.4093,0.41219,0.41764,0.42162,0.42411,0.42721,0.42892,0.43105,0.43389,0.43613,0.43948,0.44181,0.44585,0.44837,0.45149,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,100,99.87,99.87,180,0,23.5,INTER_EVENT_STDDEV,5,0.39983,0.40243,0.40612,0.4093,0.41219,0.41764,0.42162,0.42411,0.42721,0.42892,0.43105,0.43389,0.43613,0.43948,0.44181,0.44585,0.44837,0.45149,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,100,99.87,99.87,760,0,5,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.41789,0.42189,0.42439,0.42749,0.42919,0.43129,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,100,99.87,99.87,760,0,10,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.41789,0.42189,0.42439,0.42749,0.42919,0.43129,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,100,99.87,99.87,760,0,23.5,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.41789,0.42189,0.42439,0.42749,0.42919,0.43129,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,100,99.87,99.87,1500,0,5,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,100,99.87,99.87,1500,0,10,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,100,99.87,99.87,1500,0,23.5,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,20,300,299.97,299.97,180,0,5,INTER_EVENT_STDDEV,5,0.39998,0.40258,0.40628,0.40948,0.41238,0.41787,0.42187,0.42437,0.42747,0.42917,0.43127,0.43408,0.43628,0.43958,0.44189,0.44589,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,20,300,299.97,299.97,180,0,10,INTER_EVENT_STDDEV,5,0.39998,0.40258,0.40628,0.40948,0.41238,0.41787,0.42187,0.42437,0.42747,0.42917,0.43127,0.43408,0.43628,0.43958,0.44189,0.44589,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,20,300,299.97,299.97,180,0,23.5,INTER_EVENT_STDDEV,5,0.39998,0.40258,0.40628,0.40948,0.41238,0.41787,0.42187,0.42437,0.42747,0.42917,0.43127,0.43408,0.43628,0.43958,0.44189,0.44589,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,20,300,299.97,299.97,760,0,5,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,20,300,299.97,299.97,760,0,10,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,20,300,299.97,299.97,760,0,23.5,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,20,300,299.97,299.97,1500,0,5,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,20,300,299.97,299.97,1500,0,10,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,20,300,299.97,299.97,1500,0,23.5,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
6,90,-70,0,0,0,0,180,0,5,INTER_EVENT_STDDEV,5,0.19047,0.19248,0.18894,0.1819,0.17279,0.14584,0.12757,0.11858,0.11347,0.11391,0.1186,0.13014,0.14316,0.1683,0.19253,0.24305,0.27984,0.32486,0.35515,0.3742,0.37993,0.3818,0.38397,0.38533
6,90,-70,0,0,0,0,180,0,10,INTER_EVENT_STDDEV,5,0.19047,0.19248,0.18894,0.1819,0.17279,0.14584,0.12757,0.11858,0.11347,0.11391,0.1186,0.13014,0.14316,0.1683,0.19253,0.24305,0.27984,0.32486,0.35515,0.3742,0.37993,0.3818,0.38397,0.38533
6,90,-70,0,0,0,0,180,0,23.5,INTER_EVENT_STDDEV,5,0.19047,0.19248,0.18894,0.1819,0.17279,0.14584,0.12757,0.11858,0.11347,0.11391,0.1186,0.13014,0.14316,0.1683,0.19253,0.24305,0.27984,0.32486,0.35515,0.3742,0.37993,0.3818,0.38397,0.38533
6,90,-70,0,0,0,0,760,0,5,INTER_EVENT_STDDEV,5,0.30482,0.30839,0.31305,0.31668,0.31939,0.32379,0.32778,0.33095,0.33519,0.33771,0.34107,0.34571,0.34942,0.35471,0.35846,0.36458,0.36823,0.37232,0.37428,0.37759,0.38029,0.3818,0.38397,0.38533
6,90,-70,0,0,0,0,760,0,10,INTER_EVENT_STDDEV,5,0.30482,0.30839,0.31305,0.31668,0.31939,0.32379,0.32778,0.33095,0.33519,0.33771,0.34107,0.34571,0.34942,0.35471,0.35846,0.36458,0.36823,0.37232,0.37428,0.37759,0.38029,0.3818,0.38397,0.38533
6,90,-70,0,0,0,0,760,0,23.5,INTER_EVENT_STDDEV,5,0.30482,0.30839,0.31305,0.31668,0.31939,0.32379,0.32778,0.33095,0.33519,0.33771,0.34107,0.34571,0.34942,0.35471,0.35846,0.36458,0.36823,0.37232,0.37428,0.37759,0.38029,0.3818,0.38397,0.38533
6,90,-70,0,0,0,0,1500,0,5,INTER_EVENT_STDDEV,5,0.30667,0.31,0.3147,0.3189,0.3226,0.32963,0.33483,0.33807,0.34203,0.3442,0.3469,0.3505,0.35337,0.35753,0.36057,0.36563,0.36887,0.37283,0.37533,0.37847,0.3804,0.3818,0.38397,0.38533
6,90,-70,0,0,0,0,1500,0,10,INTER_EVENT_STDDEV,5,0.30667,0.31,0.3147,0.3189,0.3226,0.32963,0.33483,0.33807,0.34203,0.3442,0.3469,0.3505,0.35337,0.35753,0.36057,0.36563,0.36887,0.37283,0.37533,0.37847,0.3804,0.3818,0.38397,0.38533
6,90,-70,0,0,0,0,1500,0,23.5,INTER_EVENT_STDDEV,5,0.30667,0.31,0.3147,0.3189,0.3226,0.32963,0.33483,0.33807,0.34203,0.3442,0.3469,0.3505,0.35337,0.35753,0.36057,0.36563,0.36887,0.37283,0.37533,0.37847,0.3804,0.3818,0.38397,0.38533
6,90,-70,0,5,0,0,180,0,5,INTER_EVENT_STDDEV,5,0.21235,0.21511,0.21227,0.20619,0.19847,0.17704,0.16497,0.15977,0.1577,0.15904,0.16424,0.17552,0.18741,0.20906,0.229,0.26976,0.29946,0.33537,0.35952,0.37511,0.38003,0.3818,0.38397,0.38533
6,90,-70,0,5,0,0,180,0,10,INTER_EVENT_STDDEV,5,0.21235,0.21511,0.21227,0.20619,0.19847,0.17704,0.16497,0.15977,0.1577,0.15904,0.16424,0.17552,0.18741,0.20906,0.229,0.26976,0.29946,0.33537,0.35952,0.37511,0.38003,0.3818,0.38397,0.38533
6,90,-70,0,5,0,0,180,0,23.5,INTER_EVENT_STDDEV,5,0.21235,0.21511,0.21227,0.20619,0.19847,0.17704,0.16497,0.15977,0.1577,0.15904,0.16424,0.17552,0.18741,0.20906,0.229,0.26976,0.29946,0.33537,0.35952,0.37511,0.38003,0.3818,0.38397,0.38533
6,90,-70,0,5,0,0,760,0,5,INTER_EVENT_STDDEV,5,0.30517,0.3087,0.31335,0.31708,0.31994,0.32478,0.32905,0.33229,0.33651,0.33898,0.34224,0.3467,0.35025,0.35532,0.35891,0.36481,0.36837,0.37243,0.37451,0.37777,0.38031,0.3818,0.38397,0.38533
6,90,-70,0,5,0,0,760,0,10,INTER_EVENT_STDDEV,5,0.30517,0.3087,0.31335,0.31708,0.31994,0.32478,0.32905,0.33229,0.33651,0.33898,0.34224,0.3467,0.35025,0.35532,0.35891,0.36481,0.36837,0.37243,0.37451,0.37777,0.38031,0.3818,0.38397,0.38533
6,90,-70,0,5,0,0,760,0,23.5,INTER_EVENT_STDDEV,5,0.30517,0.3087,0.31335,0.31708,0.31994,0.32478,0.32905,0.33229,0.33651,0.33898,0.34224,0.3467,0.35025,0.35532,0.35891,0.36481,0.36837,0.37243,0.37451,0.37777,0.38031,0.3818,0.38397,0.38533
6,90,-70,0,5,0,0,1500,0,5,INTER_EVENT_STDDEV,5,0.30667,0.31,0.3147,0.3189,0.3226,0.32963,0.33483,0.33807,0.34203,0.3442,0.3469,0.3505,0.35337,0.35753,0.36057,0.36563,0.36887,0.37283,0.37533,0.37847,0.3804,0.3818,0.38397,0.38533
6,90,-70,0,5,0,0,1500,0,10,INTER_EVENT_STDDEV,5,0.30667,0.31,0.3147,0.3189,0.3226,0.32963,0.33483,0.33807,0.34203,0.3442,0.3469,0.3505,0.35337,0.35753,0.36057,0.36563,0.36887,0.37283,0.37533,0.37847,0.3804,0.3818,0.38397,0.38533
6,90,-70,0,5,0,0,1500,0,23.5,INTER_EVENT_STDDEV,5,0.30667,0.31,0.3147,0.3189,0.3226,0.32963,0.33483,0.33807,0.34203,0.3442,0.3469,0.3505,0.35337,0.35753,0.36057,0.36563,0.36887,0.37283,0.37533,0.37847,0.3804,0.3818,0.38397,0.38533
6,90,-70,0,10,8.66,8.66,180,0,5,INTER_EVENT_STDDEV,5,0.23156,0.23477,0.23289,0.2281,0.22201,0.20594,0.19885,0.19649,0.1966,0.19849,0.20374,0.21424,0.22477,0.2431,0.25936,0.29193,0.31562,0.34401,0.36312,0.37586,0.38011,0.3818,0.38397,0.38533
6,90,-70,0,10,8.66,8.66,180,0,10,INTER_EVENT_STDDEV,5,0.23156,0.23477,0.23289,0.2281,0.22201,0.20594,0.19885,0.19649,0.1966,0.19849,0.20374,0.21424,0.22477,0.2431,0.25936,0.29193,0.31562,0.34401,0.36312,0.37586,0.38011,0.3818,0.38397,0.38533
6,90,-70,0,10,8.66,8.66,180,0,23.5,INTER_EVENT_STDDEV,5,0.23156,0.23477,0.23289,0.2281,0.22201,0.20594,0.19885,0.19649,0.1966,0.19849,0.20374,0.21424,0.22477,0.2431,0.25936,0.29193,0.31562,0.34401,0.36312,0.37586,0.38011,0.3818,0.38397,0.38533
6,90,-70,0,10,8.66,8.66,760,0,5,INTER_EVENT_STDDEV,5,0.30547,0.30897,0.31363,0.31743,0.32045,0.3257,0.3302,0.33348,0.33768,0.3401,0.34324,0.34754,0.35095,0.35583,0.3593,0.365,0.36849,0.37252,0.3747,0.37793,0.38033,0.3818,0.38397,0.38533
6,90,-70,0,10,8.66,8.66,760,0,10,INTER_EVENT_STDDEV,5,0.30547,0.30897,0.31363,0.31743,0.32045,0.3257,0.3302,0.33348,0.33768,0.3401,0.34324,0.34754,0.35095,0.35583,0.3593,0.365,0.36849,0.37252,0.3747,0.37793,0.38033,0.3818,0.38397,0.38533
6,90,-70,0,10,8.66,8.66,760,0,23.5,INTER_EVENT_STDDEV,5,0.30547,0.30897,0.31363,0.31743,0.32045,0.3257,0.3302,0.33348,0.33768,0.3401,0.34324,0.34754,0.35095,0.35583,0.3593,0.365,0.36849,0.37252,0.3747,0.37793,0.38033,0.3818,0.38397,0.38533
6,90,-70,0,10,8.66,8.66,1500,0,5,INTER_EVENT_STDDEV,5,0.30667,0.31,0.3147,0.3189,0.3226,0.32963,0.33483,0.33807,0.34203,0.3442,0.3469,0.3505,0.35337,0.35753,0.36057,0.36563,0.36887,0.37283,0.37533,0.37847,0.3804,0.3818,0.38397,0.38533
6,90,-70,0,10,8.66,8.66,1500,0,10,INTER_EVENT_STDDEV,5,0.30667,0.31,0.3147,0.3189,0.3226,0.32963,0.33483,0.33807,0.34203,0.3442,0.3469,0.3505,0.35337,0.35753,0.36057,0.36563,0.36887,0.37283,0.37533,0.37847,0.3804,0.3818,0.38397,0.38533
6,90,-70,0,10,8.66,8.66,1500,0,23.5,INTER_EVENT_STDDEV,5,0.30667,0.31,0.3147,0.3189,0.3226,0.32963,0.33483,0.33807,0.34203,0.3442,0.3469,0.3505,0.35337,0.35753,0.36057,0.36563,0.36887,0.37283,0.37533,0.37847,0.3804,0.3818,0.38397,0.38533
6,90,-70,5,50,49.75,49.75,180,0,5,INTER_EVENT_STDDEV,5,0.28386,0.28743,0.28992,0.29099,0.29158,0.29259,0.29621,0.299,0.3026,0.30478,0.3082,0.31374,0.3186,0.32635,0.33268,0.34486,0.35365,0.36428,0.37162,0.37771,0.38032,0.3818,0.38397,0.38533
6,90,-70,5,50,49.75,49.75,180,0,10,INTER_EVENT_STDDEV,5,0.28386,0.28743,0.28992,0.29099,0.29158,0.29259,0.29621,0.299,0.3026,0.30478,0.3082,0.31374,0.3186,0.32635,0.33268,0.34486,0.35365,0.36428,0.37162,0.37771,0.38032,0.3818,0.38397,0.38533
