id,lon,lat,taxonomy,number,structural,nonstructural,contents,night,NAME_1,NAME_2,NAME_3,NAME_4
a42,81.96382,30.06117,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Humla,Thehe
a43,82.93882,29.08617,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Dolpa,Phoksundo
a44,80.98882,28.78617,Wood,2,11340,19845,5670,10,Far-Western,Seti,Kailali,RamsikharJhala
a45,84.73882,28.48617,Wood,2,11340,19845,5670,10,West,Gandaki,Gorkha,Prok
a46,87.06382,27.73617,Wood,2,11340,19845,5670,10,East,Koshi,Sankhuwasabha,Makalu
a47,83.16382,29.23617,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Dolpa,Tinje
a48,84.06382,28.41117,Wood,2,11340,19845,5670,10,West,Gandaki,Kaski,Parche
a50,82.63882,29.76117,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Mugu,Mugu
a51,83.46382,29.08617,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Dolpa,Chharka
a52,83.98882,28.41117,Wood,2,11340,19845,5670,10,West,Gandaki,Kaski,Machhapuchchhre
a53,85.03882,28.33617,Wood,2,11340,19845,5670,10,West,Gandaki,Gorkha,Kerauja
a54,87.06382,27.66117,Wood,2,11340,19845,5670,10,East,Koshi,Sankhuwasabha,Yafu
a55,81.88882,30.06117,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Humla,Bargaun
a56,83.91382,29.31117,Wood,2,11340,19845,5670,10,West,Dhaualagiri,Mustang,Chhonhup
a57,83.23882,29.01117,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Dolpa,Dho
a58,83.98882,28.78617,Wood,2,11340,19845,5670,10,West,Gandaki,Manang,TankiManang
a59,82.11382,30.13617,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Humla,Kharpunath
a60,83.68882,28.93617,Wood,2,11340,19845,5670,10,West,Dhaualagiri,Mustang,Chhusang
a61,83.91382,28.86117,Wood,2,11340,19845,5670,10,West,Dhaualagiri,Mustang,Chhusang
a62,83.91382,28.71117,Wood,2,11340,19845,5670,10,West,Gandaki,Manang,Khangsar
a63,83.91382,28.48617,Wood,2,11340,19845,5670,10,West,Gandaki,Kaski,Lwangghale
a64,81.13882,29.83617,Wood,2,11340,19845,5670,10,Far-Western,Seti,Bajhang,Kanda
a65,83.08882,29.23617,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Dolpa,Phoksundo
a66,82.93882,28.86117,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Dolpa,Dunai
a67,84.06382,29.16117,Wood,2,11340,19845,5670,10,West,Dhaualagiri,Mustang,Chhoser
a68,83.23882,28.93617,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Dolpa,Mukot
a69,84.58882,27.43617,Wood,2,11340,19845,5670,10,Central,Narayani,Parsa,Royal Chitawan Natio
a70,87.13882,27.66117,Wood,2,11340,19845,5670,10,East,Koshi,Sankhuwasabha,Makalu
a71,81.81382,30.28617,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Humla,Limi
a72,82.78882,29.08617,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Tripurakot
a73,82.63882,27.73617,Wood,3,11340,19845,5670,15,Mid-Western,Rapti,Dang,Gobardiya
a74,82.71382,29.16117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Kaigaun
a75,84.51382,28.48617,Wood,3,11340,19845,5670,15,West,Gandaki,Manang,Dharapani
a76,83.01382,29.16117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Phoksundo
a77,81.36382,28.56117,Wood,3,11340,19845,5670,15,Mid-Western,Bheri,Bardiya,Royal Bardiya Nation
a78,83.23882,29.23617,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Tinje
a79,84.13882,29.23617,Wood,3,11340,19845,5670,15,West,Dhaualagiri,Mustang,Chhoser
a81,82.03882,30.21117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Humla,Kharpunath
a82,83.01382,29.01117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Lawan
a83,82.63882,29.31117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Kaigaun
a84,83.98882,29.08617,Wood,3,11340,19845,5670,15,West,Dhaualagiri,Mustang,Surkhang
a85,88.03882,27.58617,Wood,3,11340,19845,5670,15,East,Mechi,Taplejung,Yamfudin
a86,81.96382,30.28617,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Humla,Thehe
a87,82.78882,29.23617,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Phoksundo
a88,83.31382,29.01117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Chharka
a89,84.96382,28.41117,Wood,3,11340,19845,5670,15,West,Gandaki,Gorkha,Chumchet
a90,82.78882,29.31117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Kaigaun
a91,83.46382,29.01117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Chharka
a92,81.51382,29.98617,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Humla,Muchu
a93,83.16382,29.53617,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Saldang
a94,83.61382,28.93617,Wood,3,11340,19845,5670,15,West,Dhaualagiri,Mustang,Chhusang
a95,87.13882,27.73617,Wood,3,11340,19845,5670,15,East,Koshi,Sankhuwasabha,Makalu
a96,81.43882,30.06117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Humla,Muchu
a97,83.91382,28.41117,Wood,3,11340,19845,5670,15,West,Gandaki,Kaski,Lwangghale
a98,81.51382,30.28617,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Humla,Limi
a99,82.18882,29.98617,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Humla,Kharpunath
a100,82.56382,29.16117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Kaigaun
a101,83.68882,28.63617,Wood,3,11340,19845,5670,15,West,Dhaualagiri,Mustang,Kunjo
a102,87.58882,27.81117,Wood,3,11340,19845,5670,15,East,Koshi,Sankhuwasabha,Chepuwa
a103,83.08882,29.31117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Saldang
a104,87.51382,27.58617,Wood,3,11340,19845,5670,15,East,Mechi,Taplejung,Nalbu
a105,82.93882,29.61117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Bhijer
a106,84.28882,28.48617,Wood,3,11340,19845,5670,15,West,Gandaki,Manang,Chame
a107,87.13882,27.81117,Wood,3,11340,19845,5670,15,East,Koshi,Sankhuwasabha,Makalu
a108,81.58882,30.13617,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Humla,Muchu
a109,81.96382,30.13617,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Humla,Thehe
a110,81.66382,30.13617,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Humla,Khagalgaun
a111,81.58882,28.33617,Wood,3,11340,19845,5670,15,Mid-Western,Bheri,Bardiya,Royal Bardiya Nation
a112,87.21382,27.73617,Wood,3,11340,19845,5670,15,East,Koshi,Sankhuwasabha,Makalu
a113,81.43882,28.56117,Wood,3,11340,19845,5670,15,Mid-Western,Bheri,Surkhet,Hariharpur
a114,82.86382,29.23617,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Phoksundo
a115,83.38882,29.01117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Chharka
a116,84.58882,28.41117,Wood,3,11340,19845,5670,15,West,Gandaki,Lamjung,Faleni
a118,80.38882,29.01117,Wood,3,11340,19845,5670,15,Far-Western,Mahakali,Kanchanpur,Jhalari
a119,81.96382,28.11117,Wood,3,11340,19845,5670,15,Mid-Western,Bheri,Banke,Kanchanapur
a120,85.86382,28.11117,Wood,3,11340,19845,5670,15,Central,Bagmati,Sindhupalchok,Gumba
a121,81.28882,30.06117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Humla,Muchu
a122,82.86382,29.61117,Wood,3,11340,19845,5670,15,Mid-Western,Karnali,Dolpa,Bhijer
a123,83.98882,29.31117,Wood,3,11340,19845,5670,15,West,Dhaualagiri,Mustang,Chhonhup
a124,83.01382,29.31117,Wood,4,11340,19845,5670,20,Mid-Western,Karnali,Dolpa,Bhijer
a125,83.46382,28.93617,Wood,4,11340,19845,5670,20,Mid-Western,Karnali,Dolpa,Chharka
a126,86.76382,27.96117,Wood,4,11340,19845,5670,20,East,Sagarmatha,Solukhumbu,Khumjung
a127,85.71382,28.18617,Wood,4,11340,19845,5670,20,Central,Bagmati,Rasuwa,Langtang
a128,84.66382,28.33617,Wood,4,11340,19845,5670,20,West,Gandaki,Lamjung,Dhodeni
a129,82.86382,29.31117,Wood,4,11340,19845,5670,20,Mid-Western,Karnali,Dolpa,Phoksundo
a130,82.63882,29.16117,Wood,4,11340,19845,5670,20,Mid-Western,Karnali,Dolpa,Kaigaun
a131,84.13882,28.71117,Wood,4,11340,19845,5670,20,West,Gandaki,Manang,Nar
a132,83.76382,28.71117,Wood,4,11340,19845,5670,20,West,Dhaualagiri,Mustang,Jomsom
a133,87.06382,27.58617,Wood,4,11340,19845,5670,20,East,Koshi,Sankhuwasabha,Tamku
a134,82.86382,29.38617,Wood,4,11340,19845,5670,20,Mid-Western,Karnali,Dolpa,Bhijer
a135,86.83882,27.81117,Wood,4,11340,19845,5670,20,East,Sagarmatha,Solukhumbu,Chaurikharka
a136,80.83882,28.86117,Wood,4,11340,19845,5670,20,Far-Western,Seti,Kailali,Khairala
a137,83.08882,29.01117,Wood,4,11340,19845,5670,20,Mid-Western,Karnali,Dolpa,Lawan
a138,83.38882,29.08617,Wood,4,11340,19845,5670,20,Mid-Western,Karnali,Dolpa,Chharka
a139,81.43882,28.48617,Wood,4,11340,19845,5670,20,Mid-Western,Bheri,Bardiya,Royal Bardiya Nation
a140,81.51382,30.36117,Wood,4,11340,19845,5670,20,Mid-Western,Karnali,Humla,Limi
a141,84.06382,29.23617,Wood,4,11340,19845,5670,20,West,Dhaualagiri,Mustang,Chhoser
a142,82.78882,29.16117,Wood,4,11340,19845,5670,20,Mid-Western,Karnali,Dolpa,Phoksundo
a143,84.21382,28.41117,Wood,4,11340,19845,5670,20,West,Gandaki,Kaski,Namarjung
a144,80.76382,28.86117,Wood,4,11340,19845,5670,20,Far-Western,Seti,Kailali,Khairala
a145,83.91382,28.78617,Wood,4,11340,19845,5670,20,West,Dhaualagiri,Mustang,Muktinath
a146,83.31382,29.16117,Wood,4,11340,19845,5670,20,Mid-Western,Karnali,Dolpa,Chharka
a147,81.58882,29.76117,Wood,5,11340,19845,5670,24,Far-Western,Seti,Bajura,Bichhaiyan
a148,82.71382,27.73617,Wood,5,11340,19845,5670,24,West,Lumbini,Kapilbastu,Gugauli
a149,80.98882,28.86117,Wood,5,11340,19845,5670,24,Far-Western,Seti,Kailali,Pandaun
a150,81.96382,30.21117,Wood,5,11340,19845,5670,24,Mid-Western,Karnali,Humla,Thehe
a151,85.11382,28.41117,Wood,5,11340,19845,5670,24,West,Gandaki,Gorkha,Kerauja
a152,81.36382,29.83617,Wood,5,11340,19845,5670,24,Far-Western,Seti,Bajhang,Kanda
a153,83.76382,28.93617,Wood,5,11340,19845,5670,24,West,Dhaualagiri,Mustang,Chhusang
a154,83.01382,29.53617,Wood,5,11340,19845,5670,24,Mid-Western,Karnali,Dolpa,Bhijer
a155,81.73882,29.91117,Wood,5,11340,19845,5670,24,Mid-Western,Karnali,Humla,Syada
a156,87.43882,27.66117,Wood,5,11340,19845,5670,24,East,Koshi,Sankhuwasabha,Pawakhola
a157,88.03882,27.51117,Wood,5,11340,19845,5670,24,East,Mechi,Taplejung,Yamfudin
a158,81.73882,30.13617,Wood,5,11340,19845,5670,24,Mid-Western,Karnali,Humla,Khagalgaun
a159,83.53882,28.93617,Wood,5,11340,19845,5670,24,Mid-Western,Karnali,Dolpa,Chharka
a160,86.53882,27.73617,Wood,5,11340,19845,5670,24,Central,Janakpur,Ramechhap,Gumdel
a161,82.33882,29.98617,Wood,5,11340,19845,5670,24,Mid-Western,Karnali,Humla,Shreemastha
a162,81.88882,29.46117,Wood,5,11340,19845,5670,24,Mid-Western,Karnali,Mugu,Gumtha
a163,86.61382,27.96117,Wood,5,11340,19845,5670,24,East,Sagarmatha,Solukhumbu,Namche
a164,86.91382,27.66117,Wood,5,11340,19845,5670,24,East,Sagarmatha,Solukhumbu,Chheskam
a165,84.51382,28.63617,Wood,5,11340,19845,5670,24,West,Gandaki,Manang,Thoche
a166,82.41382,29.76117,Wood,5,11340,19845,5670,24,Mid-Western,Karnali,Mugu,Mugu
a167,85.03882,28.41117,Wood,5,11340,19845,5670,24,West,Gandaki,Gorkha,Kerauja
a168,82.41382,29.83617,Wood,5,11340,19845,5670,24,Mid-Western,Karnali,Humla,Mimi
a169,84.81382,28.41117,Wood,6,11340,19845,5670,29,West,Gandaki,Gorkha,Sirdibas
a170,81.66382,29.98617,Wood,6,11340,19845,5670,29,Mid-Western,Karnali,Humla,Khagalgaun
a171,81.36382,30.13617,Wood,6,11340,19845,5670,29,Mid-Western,Karnali,Humla,Muchu
a172,83.16382,29.38617,Wood,6,11340,19845,5670,29,Mid-Western,Karnali,Dolpa,Saldang
a173,84.06382,29.08617,Wood,6,11340,19845,5670,29,West,Dhaualagiri,Mustang,Surkhang
a174,84.21382,28.33617,Wood,6,11340,19845,5670,29,West,Gandaki,Lamjung,Pasagaun
a175,82.93882,29.31117,Wood,6,11340,19845,5670,29,Mid-Western,Karnali,Dolpa,Bhijer
a176,83.31382,28.63617,Wood,6,11340,19845,5670,29,West,Dhaualagiri,Myagdi,Mudi
a177,85.18882,28.26117,Wood,6,11340,19845,5670,29,Central,Bagmati,Dhading,Tipling
a178,87.51382,27.81117,Wood,6,11340,19845,5670,29,East,Koshi,Sankhuwasabha,Chepuwa
a179,82.93882,29.23617,Wood,6,11340,19845,5670,29,Mid-Western,Karnali,Dolpa,Phoksundo
a180,83.23882,29.46117,Wood,6,11340,19845,5670,29,Mid-Western,Karnali,Dolpa,Tinje
a181,81.43882,28.41117,Wood,6,11340,19845,5670,29,Mid-Western,Bheri,Bardiya,Royal Bardiya Nation
a182,82.03882,30.06117,Wood,6,11340,19845,5670,29,Mid-Western,Karnali,Humla,Kharpunath
a183,82.03882,30.13617,Wood,6,11340,19845,5670,29,Mid-Western,Karnali,Humla,Thehe
a184,81.58882,29.83617,Wood,6,11340,19845,5670,29,Far-Western,Seti,Bajura,Bichhaiyan
a185,84.58882,28.71117,Wood,6,11340,19845,5670,29,West,Gandaki,Gorkha,Samagaun
a186,83.76382,28.56117,Wood,6,11340,19845,5670,29,West,Dhaualagiri,Myagdi,Narchyang
a187,86.46382,27.88617,Wood,6,11340,19845,5670,29,Central,Janakpur,Dolakha,GauriSankar
a188,83.16382,29.08617,Wood,6,11340,19845,5670,29,Mid-Western,Karnali,Dolpa,Dho
a189,81.13882,28.71117,Wood,6,11340,19845,5670,29,Far-Western,Seti,Kailali,Chauha
a190,87.51382,27.66117,Wood,7,11340,19845,5670,34,East,Koshi,Sankhuwasabha,Pawakhola
a191,84.66382,27.43617,Wood,7,11340,19845,5670,34,Central,Narayani,Chitawan,Royal Chitawan Natio
a192,86.61382,27.81117,Wood,7,11340,19845,5670,34,East,Sagarmatha,Solukhumbu,Namche
a193,83.01382,29.38617,Wood,7,11340,19845,5670,34,Mid-Western,Karnali,Dolpa,Saldang
a194,82.71382,29.23617,Wood,7,11340,19845,5670,34,Mid-Western,Karnali,Dolpa,Kaigaun
a195,83.76382,28.63617,Wood,7,11340,19845,5670,34,West,Dhaualagiri,Myagdi,Narchyang
a196,82.03882,27.96117,Wood,7,11340,19845,5670,34,Mid-Western,Bheri,Banke,Khaskusma
a197,83.16382,28.93617,Wood,7,11340,19845,5670,34,Mid-Western,Karnali,Dolpa,Mukot
a198,85.71382,28.11117,Wood,7,11340,19845,5670,34,Central,Bagmati,Sindhupalchok,Gloche
a199,85.78882,28.11117,Wood,7,11340,19845,5670,34,Central,Bagmati,Sindhupalchok,Gumba
a200,84.96382,28.26117,Wood,7,11340,19845,5670,34,West,Gandaki,Gorkha,Kerauja
a201,84.73882,27.43617,Wood,7,11340,19845,5670,34,Central,Narayani,Parsa,Royal Chitawan Natio
a202,83.76382,28.41117,Wood,7,11340,19845,5670,34,West,Gandaki,Kaski,Ghandruk
a203,86.68882,27.96117,Wood,7,11340,19845,5670,34,East,Sagarmatha,Solukhumbu,Khumjung
a204,82.63882,27.96117,Wood,7,11340,19845,5670,34,Mid-Western,Rapti,Dang,Kabhre
a205,83.98882,28.93617,Wood,7,11340,19845,5670,34,West,Dhaualagiri,Mustang,Surkhang
a206,85.63882,28.11117,Wood,7,11340,19845,5670,34,Central,Bagmati,Sindhupalchok,Motang
a207,81.58882,30.28617,Wood,7,11340,19845,5670,34,Mid-Western,Karnali,Humla,Limi
a208,86.76382,27.73617,Wood,7,11340,19845,5670,34,East,Sagarmatha,Solukhumbu,Chaurikharka
a209,84.58882,28.26117,Wood,7,11340,19845,5670,34,West,Gandaki,Lamjung,Dudhpokhari
a210,83.76382,28.48617,Wood,7,11340,19845,5670,34,West,Dhaualagiri,Myagdi,Narchyang
a211,86.61382,27.88617,Wood,7,11340,19845,5670,34,East,Sagarmatha,Solukhumbu,Namche
a212,83.31382,29.31117,Wood,8,11340,19845,5670,39,Mid-Western,Karnali,Dolpa,Tinje
a213,84.96382,28.33617,Wood,8,11340,19845,5670,39,West,Gandaki,Gorkha,Kerauja
a214,82.86382,29.08617,Wood,8,11340,19845,5670,39,Mid-Western,Karnali,Dolpa,Phoksundo
a215,83.53882,28.63617,Wood,8,11340,19845,5670,39,West,Dhaualagiri,Myagdi,Kuinemangale
a216,82.56382,29.68617,Wood,8,11340,19845,5670,39,Mid-Western,Karnali,Mugu,Mugu
a217,81.36382,30.06117,Wood,8,11340,19845,5670,39,Mid-Western,Karnali,Humla,Muchu
a218,82.86382,29.53617,Wood,8,11340,19845,5670,39,Mid-Western,Karnali,Dolpa,Bhijer
a219,87.28882,27.73617,Wood,8,11340,19845,5670,39,East,Koshi,Sankhuwasabha,Makalu
a220,81.73882,30.36117,Wood,8,11340,19845,5670,39,Mid-Western,Karnali,Humla,Limi
a221,82.18882,29.91117,Wood,8,11340,19845,5670,39,Mid-Western,Karnali,Humla,Shreemastha
a222,84.36382,28.63617,Wood,8,11340,19845,5670,39,West,Gandaki,Manang,Thoche
a223,84.28882,28.41117,Wood,8,11340,19845,5670,39,West,Gandaki,Lamjung,Khudi
a224,82.93882,27.73617,Wood,8,11340,19845,5670,39,West,Lumbini,Kapilbastu,Barakulpur
a225,81.28882,29.98617,Wood,8,11340,19845,5670,39,Far-Western,Seti,Bajhang,Kanda
a226,86.98882,27.58617,Wood,8,11340,19845,5670,39,East,Koshi,Sankhuwasabha,Bala
a227,82.78882,29.53617,Wood,8,11340,19845,5670,39,Mid-Western,Karnali,Mugu,Dolphu
a228,83.01382,29.46117,Wood,8,11340,19845,5670,39,Mid-Western,Karnali,Dolpa,Bhijer
a229,83.98882,29.01117,Wood,8,11340,19845,5670,39,West,Dhaualagiri,Mustang,Surkhang
a230,82.41382,29.46117,Wood,8,11340,19845,5670,39,Mid-Western,Karnali,Mugu,Kimari
a231,83.23882,29.16117,Wood,8,11340,19845,5670,39,Mid-Western,Karnali,Dolpa,Dho
a232,85.03882,28.26117,Wood,8,11340,19845,5670,39,Central,Bagmati,Dhading,Lapa
a233,85.11382,28.63617,Wood,8,11340,19845,5670,39,West,Gandaki,Gorkha,Chhaikampar
a234,82.71382,28.93617,Wood,9,11340,19845,5670,44,Mid-Western,Karnali,Dolpa,Suhun
a235,82.71382,29.68617,Wood,9,11340,19845,5670,44,Mid-Western,Karnali,Mugu,Dolphu
a236,82.71382,28.86117,Wood,9,11340,19845,5670,44,Mid-Western,Karnali,Dolpa,Majhfal
a237,82.48882,29.31117,Wood,9,11340,19845,5670,44,Mid-Western,Karnali,Jumla,Patarasi
a238,81.28882,29.91117,Wood,9,11340,19845,5670,44,Far-Western,Seti,Bajhang,Kanda
a239,82.41382,29.91117,Wood,9,11340,19845,5670,44,Mid-Western,Karnali,Humla,Mimi
a240,83.91382,28.93617,Wood,9,11340,19845,5670,44,West,Dhaualagiri,Mustang,Chhusang
a241,84.43882,28.48617,Wood,9,11340,19845,5670,44,West,Gandaki,Lamjung,Ghermu
a242,84.43882,27.51117,Wood,9,11340,19845,5670,44,Central,Narayani,Chitawan,Royal Chitawan Natio
a243,82.33882,29.76117,Wood,9,11340,19845,5670,44,Mid-Western,Karnali,Humla,Mimi
a244,82.33882,29.68617,Wood,9,11340,19845,5670,44,Mid-Western,Karnali,Mugu,Mangri
a245,80.98882,28.93617,Wood,9,11340,19845,5670,44,Mid-Western,Bheri,Surkhet,Lagaam
a246,81.06382,29.91117,Wood,9,11340,19845,5670,44,Far-Western,Seti,Bajhang,Kanda
a247,82.56382,29.91117,Wood,9,11340,19845,5670,44,Mid-Western,Karnali,Mugu,Mugu
a248,81.36382,29.91117,Wood,9,11340,19845,5670,44,Far-Western,Seti,Bajhang,Kanda
a249,83.83882,28.41117,Wood,9,11340,19845,5670,44,West,Gandaki,Kaski,Lumle
a250,84.13882,28.33617,Wood,9,11340,19845,5670,44,West,Gandaki,Kaski,Namarjung
a251,81.51382,30.13617,Wood,9,11340,19845,5670,44,Mid-Western,Karnali,Humla,Muchu
a252,82.56382,29.46117,Wood,9,11340,19845,5670,44,Mid-Western,Karnali,Mugu,Dolphu
a253,87.21382,27.66117,Wood,10,11340,19845,5670,49,East,Koshi,Sankhuwasabha,Makalu
a254,83.01382,28.78617,Wood,10,11340,19845,5670,49,Mid-Western,Rapti,Rukum,Ranmamaikot
a255,81.66382,30.21117,Wood,10,11340,19845,5670,49,Mid-Western,Karnali,Humla,Limi
a256,82.63882,29.23617,Wood,10,11340,19845,5670,49,Mid-Western,Karnali,Dolpa,Kaigaun
a257,84.58882,28.63617,Wood,10,11340,19845,5670,49,West,Gandaki,Gorkha,Samagaun
a258,82.26382,29.16117,Wood,10,11340,19845,5670,49,Mid-Western,Karnali,Jumla,Guthichaur
a259,83.08882,28.93617,Wood,10,11340,19845,5670,49,Mid-Western,Karnali,Dolpa,Mukot
a260,82.41382,29.01117,Wood,10,11340,19845,5670,49,Mid-Western,Karnali,Dolpa,Sarmi
a261,87.96382,27.51117,Wood,10,11340,19845,5670,49,East,Mechi,Taplejung,Yamfudin
a262,87.96382,27.73617,Wood,10,11340,19845,5670,49,East,Mechi,Taplejung,Lelep
a263,87.43882,27.51117,Wood,10,11340,19845,5670,49,East,Koshi,Sankhuwasabha,Num
a264,82.41382,29.38617,Wood,10,11340,19845,5670,49,Mid-Western,Karnali,Jumla,Patarasi
a265,80.98882,29.98617,Wood,10,11340,19845,5670,49,Far-Western,Mahakali,Darchula,Ghusa
a266,87.43882,27.36117,Wood,10,11340,19845,5670,49,East,Koshi,Sankhuwasabha,Siddhapokhari
a267,82.71382,29.61117,Wood,10,11340,19845,5670,49,Mid-Western,Karnali,Mugu,Dolphu
a268,84.51382,28.33617,Wood,10,11340,19845,5670,49,West,Gandaki,Lamjung,Bhulbhule
a269,87.96382,27.58617,Wood,10,11340,19845,5670,49,East,Mechi,Taplejung,Tapethok
a270,83.23882,28.86117,Wood,10,11340,19845,5670,49,Mid-Western,Karnali,Dolpa,Mukot
