rup_mag,dist_rhypo,rup_hypo_depth,result_type,mmi 
5.4,40,10,TOTAL_STDDEV,0.365
5.4,45,10,TOTAL_STDDEV,0.365
5.4,50,10,TOTAL_STDDEV,0.365
5.4,56,10,TOTAL_STDDEV,0.365
5.4,63,10,TOTAL_STDDEV,0.365
5.4,71,10,TOTAL_STDDEV,0.365
5.4,79,10,TOTAL_STDDEV,0.365
5.4,89,10,TOTAL_STDDEV,0.365
5.4,100,10,TOTAL_STDDEV,0.365
5.4,112,10,TOTAL_STDDEV,0.365
5.4,126,10,TOTAL_STDDEV,0.365
5.4,141,10,TOTAL_STDDEV,0.365
5.4,158,10,TOTAL_STDDEV,0.365
5.4,178,10,TOTAL_STDDEV,0.365
5.4,200,10,TOTAL_STDDEV,0.365
5.4,224,10,TOTAL_STDDEV,0.365
5.4,250,10,TOTAL_STDDEV,0.365
5.5,1.00E-01,10,TOTAL_STDDEV,0.365
5.5,1,10,TOTAL_STDDEV,0.365
5.5,2,10,TOTAL_STDDEV,0.365
5.5,3,10,TOTAL_STDDEV,0.365
5.5,4,10,TOTAL_STDDEV,0.365
5.5,5,10,TOTAL_STDDEV,0.365
5.5,6,10,TOTAL_STDDEV,0.365
5.5,7,10,TOTAL_STDDEV,0.365
5.5,8,10,TOTAL_STDDEV,0.365
5.5,9,10,TOTAL_STDDEV,0.365
5.5,10,10,TOTAL_STDDEV,0.365
5.5,11,10,TOTAL_STDDEV,0.365
5.5,12,10,TOTAL_STDDEV,0.365
5.5,14,10,TOTAL_STDDEV,0.365
5.5,16,10,TOTAL_STDDEV,0.365
5.5,18,10,TOTAL_STDDEV,0.365
5.5,20,10,TOTAL_STDDEV,0.365
5.5,22,10,TOTAL_STDDEV,0.365
5.5,25,10,TOTAL_STDDEV,0.365
5.5,28,10,TOTAL_STDDEV,0.365
5.5,32,10,TOTAL_STDDEV,0.365
5.5,35,10,TOTAL_STDDEV,0.365
5.5,40,10,TOTAL_STDDEV,0.365
5.5,45,10,TOTAL_STDDEV,0.365
5.5,50,10,TOTAL_STDDEV,0.365
5.5,56,10,TOTAL_STDDEV,0.365
5.5,63,10,TOTAL_STDDEV,0.365
5.5,71,10,TOTAL_STDDEV,0.365
5.5,79,10,TOTAL_STDDEV,0.365
5.5,89,10,TOTAL_STDDEV,0.365
5.5,100,10,TOTAL_STDDEV,0.365
5.5,112,10,TOTAL_STDDEV,0.365
5.5,126,10,TOTAL_STDDEV,0.365
5.5,141,10,TOTAL_STDDEV,0.365
5.5,158,10,TOTAL_STDDEV,0.365
5.5,178,10,TOTAL_STDDEV,0.365
5.5,200,10,TOTAL_STDDEV,0.365
5.5,224,10,TOTAL_STDDEV,0.365
5.5,250,10,TOTAL_STDDEV,0.365
5.6,1.00E-01,10,TOTAL_STDDEV,0.365
5.6,1,10,TOTAL_STDDEV,0.365
5.6,2,10,TOTAL_STDDEV,0.365
5.6,3,10,TOTAL_STDDEV,0.365
5.6,4,10,TOTAL_STDDEV,0.365
5.6,5,10,TOTAL_STDDEV,0.365
5.6,6,10,TOTAL_STDDEV,0.365
5.6,7,10,TOTAL_STDDEV,0.365
5.6,8,10,TOTAL_STDDEV,0.365
5.6,9,10,TOTAL_STDDEV,0.365
5.6,10,10,TOTAL_STDDEV,0.365
5.6,11,10,TOTAL_STDDEV,0.365
5.6,12,10,TOTAL_STDDEV,0.365
5.6,14,10,TOTAL_STDDEV,0.365
5.6,16,10,TOTAL_STDDEV,0.365
5.6,18,10,TOTAL_STDDEV,0.365
5.6,20,10,TOTAL_STDDEV,0.365
5.6,22,10,TOTAL_STDDEV,0.365
5.6,25,10,TOTAL_STDDEV,0.365
5.6,28,10,TOTAL_STDDEV,0.365
5.6,32,10,TOTAL_STDDEV,0.365
5.6,35,10,TOTAL_STDDEV,0.365
5.6,40,10,TOTAL_STDDEV,0.365
5.6,45,10,TOTAL_STDDEV,0.365
5.6,50,10,TOTAL_STDDEV,0.365
5.6,56,10,TOTAL_STDDEV,0.365
5.6,63,10,TOTAL_STDDEV,0.365
5.6,71,10,TOTAL_STDDEV,0.365
5.6,79,10,TOTAL_STDDEV,0.365
5.6,89,10,TOTAL_STDDEV,0.365
5.6,100,10,TOTAL_STDDEV,0.365
5.6,112,10,TOTAL_STDDEV,0.365
5.6,126,10,TOTAL_STDDEV,0.365
5.6,141,10,TOTAL_STDDEV,0.365
5.6,158,10,TOTAL_STDDEV,0.365
5.6,178,10,TOTAL_STDDEV,0.365
5.6,200,10,TOTAL_STDDEV,0.365
5.6,224,10,TOTAL_STDDEV,0.365
5.6,250,10,TOTAL_STDDEV,0.365
5.7,1.00E-01,10,TOTAL_STDDEV,0.365
5.7,1,10,TOTAL_STDDEV,0.365
5.7,2,10,TOTAL_STDDEV,0.365
5.7,3,10,TOTAL_STDDEV,0.365
5.7,4,10,TOTAL_STDDEV,0.365
5.7,5,10,TOTAL_STDDEV,0.365
5.7,6,10,TOTAL_STDDEV,0.365
5.7,7,10,TOTAL_STDDEV,0.365
5.7,8,10,TOTAL_STDDEV,0.365
5.7,9,10,TOTAL_STDDEV,0.365
5.7,10,10,TOTAL_STDDEV,0.365
5.7,11,10,TOTAL_STDDEV,0.365
5.7,12,10,TOTAL_STDDEV,0.365
5.7,14,10,TOTAL_STDDEV,0.365
5.7,16,10,TOTAL_STDDEV,0.365
5.7,18,10,TOTAL_STDDEV,0.365
5.7,20,10,TOTAL_STDDEV,0.365
5.7,22,10,TOTAL_STDDEV,0.365
5.7,25,10,TOTAL_STDDEV,0.365
5.7,28,10,TOTAL_STDDEV,0.365
5.7,32,10,TOTAL_STDDEV,0.365
5.7,35,10,TOTAL_STDDEV,0.365
5.7,40,10,TOTAL_STDDEV,0.365
5.7,45,10,TOTAL_STDDEV,0.365
5.7,50,10,TOTAL_STDDEV,0.365
5.7,56,10,TOTAL_STDDEV,0.365
5.7,63,10,TOTAL_STDDEV,0.365
5.7,71,10,TOTAL_STDDEV,0.365
5.7,79,10,TOTAL_STDDEV,0.365
5.7,89,10,TOTAL_STDDEV,0.365
5.7,100,10,TOTAL_STDDEV,0.365
5.7,112,10,TOTAL_STDDEV,0.365
5.7,126,10,TOTAL_STDDEV,0.365
5.7,141,10,TOTAL_STDDEV,0.365
5.7,158,10,TOTAL_STDDEV,0.365
5.7,178,10,TOTAL_STDDEV,0.365
5.7,200,10,TOTAL_STDDEV,0.365
5.7,224,10,TOTAL_STDDEV,0.365
5.7,250,10,TOTAL_STDDEV,0.365
5.8,1.00E-01,10,TOTAL_STDDEV,0.365
5.8,1,10,TOTAL_STDDEV,0.365
5.8,2,10,TOTAL_STDDEV,0.365
5.8,3,10,TOTAL_STDDEV,0.365
5.8,4,10,TOTAL_STDDEV,0.365
5.8,5,10,TOTAL_STDDEV,0.365
5.8,6,10,TOTAL_STDDEV,0.365
5.8,7,10,TOTAL_STDDEV,0.365
5.8,8,10,TOTAL_STDDEV,0.365
5.8,9,10,TOTAL_STDDEV,0.365
5.8,10,10,TOTAL_STDDEV,0.365
5.8,11,10,TOTAL_STDDEV,0.365
5.8,12,10,TOTAL_STDDEV,0.365
5.8,14,10,TOTAL_STDDEV,0.365
5.8,16,10,TOTAL_STDDEV,0.365
5.8,18,10,TOTAL_STDDEV,0.365
5.8,20,10,TOTAL_STDDEV,0.365
5.8,22,10,TOTAL_STDDEV,0.365
5.8,25,10,TOTAL_STDDEV,0.365
5.8,28,10,TOTAL_STDDEV,0.365
5.8,32,10,TOTAL_STDDEV,0.365
5.8,35,10,TOTAL_STDDEV,0.365
5.8,40,10,TOTAL_STDDEV,0.365
5.8,45,10,TOTAL_STDDEV,0.365
5.8,50,10,TOTAL_STDDEV,0.365
5.8,56,10,TOTAL_STDDEV,0.365
5.8,63,10,TOTAL_STDDEV,0.365
5.8,71,10,TOTAL_STDDEV,0.365
5.8,79,10,TOTAL_STDDEV,0.365
5.8,89,10,TOTAL_STDDEV,0.365
5.8,100,10,TOTAL_STDDEV,0.365
5.8,112,10,TOTAL_STDDEV,0.365
5.8,126,10,TOTAL_STDDEV,0.365
5.8,141,10,TOTAL_STDDEV,0.365
5.8,158,10,TOTAL_STDDEV,0.365
5.8,178,10,TOTAL_STDDEV,0.365
5.8,200,10,TOTAL_STDDEV,0.365
5.8,224,10,TOTAL_STDDEV,0.365
5.8,250,10,TOTAL_STDDEV,0.365
5.9,1.00E-01,10,TOTAL_STDDEV,0.365
5.9,1,10,TOTAL_STDDEV,0.365
5.9,2,10,TOTAL_STDDEV,0.365
5.9,3,10,TOTAL_STDDEV,0.365
5.9,4,10,TOTAL_STDDEV,0.365
5.9,5,10,TOTAL_STDDEV,0.365
5.9,6,10,TOTAL_STDDEV,0.365
5.9,7,10,TOTAL_STDDEV,0.365
5.9,8,10,TOTAL_STDDEV,0.365
5.9,9,10,TOTAL_STDDEV,0.365
5.9,10,10,TOTAL_STDDEV,0.365
5.9,11,10,TOTAL_STDDEV,0.365
5.9,12,10,TOTAL_STDDEV,0.365
5.9,14,10,TOTAL_STDDEV,0.365
5.9,16,10,TOTAL_STDDEV,0.365
5.9,18,10,TOTAL_STDDEV,0.365
5.9,20,10,TOTAL_STDDEV,0.365
5.9,22,10,TOTAL_STDDEV,0.365
5.9,25,10,TOTAL_STDDEV,0.365
5.9,28,10,TOTAL_STDDEV,0.365
5.9,32,10,TOTAL_STDDEV,0.365
5.9,35,10,TOTAL_STDDEV,0.365
5.9,40,10,TOTAL_STDDEV,0.365
5.9,45,10,TOTAL_STDDEV,0.365
5.9,50,10,TOTAL_STDDEV,0.365
5.9,56,10,TOTAL_STDDEV,0.365
5.9,63,10,TOTAL_STDDEV,0.365
5.9,71,10,TOTAL_STDDEV,0.365
5.9,79,10,TOTAL_STDDEV,0.365
5.9,89,10,TOTAL_STDDEV,0.365
5.9,100,10,TOTAL_STDDEV,0.365
5.9,112,10,TOTAL_STDDEV,0.365
5.9,126,10,TOTAL_STDDEV,0.365
