ZTOR,Delta sigma,kappa,Geometric spreading,Q,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
1,3,2,3,2,71,5,0.01,6.32625196,0.2913977,-0.16310585,-1.8873687,-0.00710807,0.00083818,2.11377172,0.37198138,1.22653447,-1.2692431
1,3,2,3,3,72,5,0.01,4.75156207,0.40083371,-0.14224565,-1.66714592,-0.00568788,0.00057094,1.24279438,0.44267654,1.15690457,-1.14519783
1,3,3,1,1,73,5,0.01,7.22633497,0.19029898,-0.19507292,-1.99096681,-0.00755716,0.00091197,2.58976715,0.34908408,0.32459748,-0.30078129
1,3,3,1,2,74,5,0.01,6.34696257,0.22840346,-0.18546708,-1.83088484,-0.00684884,0.00077976,1.97052544,0.38248601,0.26102009,-0.23199345
1,3,3,1,3,75,5,0.01,5.04344766,0.32027555,-0.16797525,-1.65256328,-0.00543878,0.00052938,1.25170356,0.44300967,0.20079729,-0.1034765
1,3,3,2,1,76,5,0.01,7.37188312,0.18749937,-0.19572673,-2.02486852,-0.00758881,0.00091011,2.74928095,0.34099339,0.56506782,-0.48565921
1,3,3,2,2,77,5,0.01,6.46517475,0.2255636,-0.18608349,-1.85808889,-0.00688358,0.00077827,2.08674393,0.37450996,0.49554259,-0.417031
1,3,3,2,3,78,5,0.01,5.12930592,0.31772978,-0.16849405,-1.67235143,-0.00547713,0.00052835,1.31677088,0.43563031,0.42821662,-0.28817422
1,3,3,3,1,79,5,0.01,6.98281589,0.20708966,-0.19290121,-1.95593301,-0.00753073,0.00090748,2.37179753,0.36159737,1.27573249,-1.28779921
1,3,3,3,2,80,5,0.01,6.14372342,0.24510438,-0.18337834,-1.80548353,-0.00681767,0.00077465,1.81888442,0.39432452,1.22092029,-1.21895941
1,3,3,3,3,81,5,0.01,4.88128887,0.33652796,-0.16602122,-1.63648125,-0.00540307,0.00052372,1.16965909,0.45362358,1.16981403,-1.09106147
2,1,1,1,1,82,5,0.01,10.17009577,0.31169909,-0.13763213,-3.13554249,-0.00636039,0.00082925,10.99312038,0.17867973,0.87942157,-0.02327901
2,1,1,1,2,83,5,0.01,8.24375032,0.36156935,-0.12552079,-2.73499507,-0.00576114,0.00070887,8.8895219,0.20091038,0.6743149,-0.07944652
2,1,1,1,3,84,5,0.01,5.29027476,0.47643394,-0.10304512,-2.17671006,-0.0047006,0.00048608,5.35371296,0.26154654,0.40765188,-0.13047112
2,1,1,2,1,85,5,0.01,10.28745774,0.31191422,-0.1377048,-3.16798901,-0.00639837,0.00082832,11.09826156,0.1771918,1.11721966,-0.20630662
2,1,1,2,2,86,5,0.01,8.41329704,0.36147233,-0.12573087,-2.77911793,-0.00579312,0.00070716,9.11299149,0.19771015,0.92043081,-0.26024951
2,1,1,2,3,87,5,0.01,5.47985402,0.47486907,-0.10354473,-2.22326116,-0.00472994,0.00048388,5.64077849,0.25477672,0.65722429,-0.31225603
2,1,1,3,1,88,5,0.01,9.47202855,0.32477266,-0.13551178,-2.98884865,-0.00638017,0.00082946,9.8726442,0.19087191,1.7599824,-1.03845639
2,1,1,3,2,89,5,0.01,7.66229332,0.37634232,-0.12326824,-2.61749258,-0.00576811,0.00070787,7.92151748,0.2146429,1.56973297,-1.0842898
2,1,1,3,3,90,5,0.01,4.8875661,0.49410938,-0.10055507,-2.10547024,-0.00468862,0.00048312,4.73088758,0.27773246,1.33186568,-1.12309838
2,1,2,1,1,91,5,0.01,9.13207749,0.26699562,-0.15446489,-2.87366096,-0.00628703,0.00077528,11.1094525,0.18196185,0.85626407,-0.06080097
2,1,2,1,2,92,5,0.01,7.21387086,0.31180728,-0.14362175,-2.48117246,-0.00572443,0.00065807,8.49597694,0.21049169,0.66542918,-0.09246034
2,1,2,1,3,93,5,0.01,4.64379736,0.41575003,-0.1239108,-2.01879578,-0.00466049,0.00044269,4.96153471,0.27543428,0.43532545,-0.05965834
2,1,2,2,1,94,5,0.01,9.2324759,0.26715512,-0.15451541,-2.90211309,-0.00632722,0.00077462,11.19018294,0.18060584,1.09152528,-0.24481812
2,1,2,2,2,95,5,0.01,7.38044103,0.31157211,-0.1438473,-2.52436898,-0.00575685,0.00065643,8.73206458,0.20686277,0.91091695,-0.27348516
2,1,2,2,3,96,5,0.01,4.81728917,0.41413288,-0.12439463,-2.06144005,-0.00469152,0.0004407,5.22577865,0.26851151,0.68191569,-0.24202292
2,1,2,3,1,97,5,0.01,8.38734278,0.28019449,-0.15225095,-2.71669351,-0.00631271,0.00077611,9.79901305,0.19627856,1.73157403,-1.0794236
2,1,2,3,2,98,5,0.01,6.64064198,0.32705293,-0.14129053,-2.36650675,-0.0057312,0.0006571,7.47636175,0.22598889,1.56304266,-1.09686273
2,1,2,3,3,99,5,0.01,4.2772581,0.43330749,-0.12148095,-1.95601401,-0.00464526,0.00043937,4.39691205,0.29160099,1.36628777,-1.05135193
2,1,3,1,1,100,5,0.01,8.59265055,0.2282562,-0.16855102,-2.72033383,-0.00618285,0.00073687,10.4170736,0.19087335,0.82062454,-0.04975857
2,1,3,1,2,101,5,0.01,6.87731623,0.27011825,-0.15859852,-2.37427861,-0.00560441,0.00062239,7.96809409,0.21997049,0.64790691,-0.05938462
2,1,3,1,3,102,5,0.01,4.63290772,0.36448531,-0.14084325,-1.97977531,-0.00451475,0.00041666,4.82811072,0.2809396,0.44222834,-0.0079593
2,1,3,2,1,103,5,0.01,8.7088454,0.22833954,-0.16863599,-2.75231877,-0.00622137,0.00073601,10.53585253,0.18902945,1.05818676,-0.23293404
2,1,3,2,2,104,5,0.01,7.04632425,0.26971383,-0.15885572,-2.41777836,-0.00563659,0.00062071,8.21586007,0.21589123,0.89375487,-0.24047758
2,1,3,2,3,105,5,0.01,4.79982084,0.362858,-0.14131699,-2.02084503,-0.0045466,0.00041477,5.07970595,0.27407163,0.68760456,-0.19054035
2,1,3,3,1,106,5,0.01,7.88072436,0.24207151,-0.16626779,-2.57184383,-0.00620535,0.00073745,9.13587204,0.20613927,1.70028868,-1.06541337
2,1,3,3,2,107,5,0.01,6.33203535,0.28581126,-0.1562262,-2.26685899,-0.00560847,0.00062116,6.99467401,0.23603707,1.55008192,-1.06191499
2,1,3,3,3,108,5,0.01,4.27941998,0.38197796,-0.13844066,-1.92000821,-0.00449826,0.00041319,4.29034411,0.29688807,1.37563543,-0.9993582
2,2,1,1,1,109,5,0.01,12.97242076,0.3278479,-0.14915003,-3.56529799,-0.00711738,0.00094185,13.53001045,0.15943535,1.14228273,0.01122423
2,2,1,1,2,110,5,0.01,10.35186346,0.36481038,-0.13639926,-2.98804115,-0.00657961,0.00082439,10.61176475,0.18191315,0.84651874,-0.08673633
