Weighting Option,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
updated,1,5,0.2,6.9262719,-0.08731801,-0.19720996,-1.54567068,-0.00834616,0.00096132,5.49488107,0.19373362,0.75294,-0.88450998
updated,2,5,0.2,8.19084091,-0.14768108,-0.22665774,-1.48527633,-0.00678068,0.00071726,5.41308112,0.18260245,0.55432831,-0.73041599
updated,3,5,0.2,8.32429045,-0.08448163,-0.229568,-1.49534221,-0.00438124,0.00032232,5.09630829,0.19968199,0.60268436,-0.57802343
updated,1,5,0.3,7.51820867,-0.18298325,-0.23639168,-1.51449253,-0.00773963,0.00069664,5.35961802,0.20363566,0.94076483,-0.70037302
updated,2,5,0.3,8.83140051,-0.26678413,-0.27332101,-1.42823966,-0.00607691,0.0004599,5.26875158,0.18710889,0.78300816,-0.66562441
updated,3,5,0.3,9.24487439,-0.24135422,-0.28288701,-1.45434618,-0.00387463,0.0001691,5.23063732,0.1929086,0.82851589,-0.63219774
updated,1,5,0.4,8.08173416,-0.26642407,-0.26864198,-1.51836838,-0.00728675,0.00055211,5.50075889,0.20454442,1.0738381,-0.5911474
updated,2,5,0.4,9.15727825,-0.34224468,-0.30560056,-1.39377303,-0.00578334,0.0003405,5.40142515,0.18158763,0.95706599,-0.64310276
updated,3,5,0.4,9.50764142,-0.3117859,-0.31433081,-1.42261366,-0.00384501,0.0001227,5.51687298,0.18061809,0.9948988,-0.67548666
updated,1,5,0.5,8.52022832,-0.32204583,-0.29292226,-1.54630068,-0.00692546,0.00046954,5.75763275,0.20289142,1.17647581,-0.52326384
updated,2,5,0.5,9.19833641,-0.37333814,-0.32624074,-1.37369086,-0.00563259,0.00028597,5.5490364,0.17600053,1.06915924,-0.62676678
updated,3,5,0.5,9.41686809,-0.32701738,-0.33258956,-1.40374497,-0.0038493,0.00010334,5.73455862,0.17215,1.10443926,-0.69632024
updated,1,5,0.75,9.10890556,-0.39336406,-0.3311191,-1.6226155,-0.00644542,0.00041922,6.41001846,0.19743087,1.31093868,-0.41766512
updated,2,5,0.75,8.73253937,-0.36437585,-0.35129382,-1.34757218,-0.00549461,0.00027309,5.79949936,0.16755655,1.20588796,-0.59802218
updated,3,5,0.75,8.5808713,-0.27061633,-0.35045297,-1.37720911,-0.00403104,0.00012847,6.00813591,0.16309396,1.23980816,-0.68484762
updated,1,5,1,9.10873493,-0.41589303,-0.35150479,-1.64401188,-0.00652201,0.00046406,6.82797617,0.19229408,1.35453363,-0.3357105
updated,2,5,1,7.94753107,-0.31555764,-0.35973011,-1.31471801,-0.00572405,0.00033664,5.98160107,0.16000646,1.26098694,-0.57406941
updated,3,5,1,7.49142434,-0.18056295,-0.35263007,-1.34600463,-0.00443979,0.00020248,6.15195103,0.15783284,1.29646063,-0.65326575
updated,1,5,1.5,8.65517066,-0.35930446,-0.36782358,-1.72606219,-0.00667534,0.00053444,7.73485341,0.18659938,1.46320402,-0.27160018
updated,2,5,1.5,6.1992412,-0.15772119,-0.35781042,-1.28023324,-0.00603638,0.00042473,6.04114505,0.15991666,1.34906369,-0.59177149
updated,3,5,1.5,5.30198361,0.03300385,-0.34136271,-1.30768085,-0.00509022,0.00031246,6.14857688,0.16035921,1.38017473,-0.63404765
updated,1,5,2,8.07094699,-0.22360542,-0.36714606,-1.89014,-0.00640089,0.00054465,8.9003154,0.1816027,1.5654384,-0.19889852
updated,2,5,2,4.48526231,0.03013268,-0.34553962,-1.28179194,-0.00595937,0.00045905,5.90160655,0.16822814,1.3737383,-0.57919987
updated,3,5,2,3.31206019,0.25451467,-0.32274754,-1.3071516,-0.00522674,0.00036626,5.98903347,0.16936801,1.40173936,-0.60209634
updated,1,5,3,6.16773493,0.07943079,-0.34802487,-2.069177,-0.00616257,0.00055526,9.98812439,0.18061467,1.69177222,-0.12745913
updated,2,5,3,1.37672501,0.37826803,-0.31415326,-1.27917708,-0.00596039,0.00050075,5.37467338,0.18857154,1.42949489,-0.58892128
updated,3,5,3,-0.10146265,0.63426274,-0.28397695,-1.29671421,-0.00549751,0.00044228,5.42200445,0.18954831,1.44860233,-0.60034686
updated,1,5,4,2.30094379,0.32176412,-0.32164345,-1.68040267,-0.00647883,0.00065271,6.59393201,0.21641125,1.35378251,-0.10979313
updated,2,5,4,-1.23632875,0.65283223,-0.28382337,-1.25451883,-0.00611881,0.00057465,4.65526161,0.2060686,1.40096917,-0.54133217
updated,3,5,4,-2.82817785,0.91460876,-0.25057212,-1.26308033,-0.00581747,0.00053727,4.6519339,0.20691896,1.41130635,-0.54733259
updated,1,5,5,-0.40875759,0.54833901,-0.29510067,-1.52409126,-0.00664452,0.00072189,4.95188963,0.24406285,1.17663583,-0.04049635
updated,2,5,5,-3.31406726,0.87543324,-0.25740274,-1.25415558,-0.00625568,0.00063739,4.01469472,0.2259041,1.37853244,-0.47318117
updated,3,5,5,-4.88998026,1.1286642,-0.22371503,-1.25849623,-0.00605051,0.00061323,3.99710255,0.2260187,1.38536291,-0.47811616
updated,1,5,7.5,-4.64337951,1.01819024,-0.2413102,-1.50640231,-0.00650073,0.0007598,3.61823155,0.28528061,1.07285703,0.11408032
updated,2,5,7.5,-6.62383671,1.27309429,-0.21151631,-1.3591055,-0.00620396,0.00069176,3.31485166,0.26233053,1.42761926,-0.3465355
updated,3,5,7.5,-7.98754131,1.48625063,-0.18085266,-1.35644506,-0.00613112,0.00068335,3.29806827,0.26019596,1.42905845,-0.3490591
updated,1,5,10,-7.25675331,1.36381896,-0.20193627,-1.61166577,-0.00608822,0.00072944,3.49807623,0.29665816,1.08970983,0.23322565
updated,2,5,10,-8.54726422,1.53540878,-0.18223427,-1.50265355,-0.00589236,0.0006794,3.3598688,0.27253334,1.50366191,-0.24435027
updated,3,5,10,-9.63572579,1.70352912,-0.15650558,-1.49512701,-0.0058823,0.00067726,3.36505798,0.26810415,1.50143373,-0.24536889
