Weighting Option,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
original,5,5,0.1,4.9514351500E+00,3.8777107000E-01,-1.2932142000E-01,-1.5250959200E+00,-4.5459500000E-03,4.9472000000E-04,7.4250499000E-01,4.9336211000E-01,4.5954832000E-01,-8.6249057000E-01
original,1,5,0.15,5.4768328000E+00,4.2203660000E-02,-1.6065566000E-01,-1.4826965800E+00,-7.9391400000E-03,1.0409200000E-03,3.7180001000E+00,2.4638932000E-01,-1.8827391000E-01,-2.5597124000E-01
original,2,5,0.15,6.3510264400E+00,7.4381350000E-02,-1.7402088000E-01,-1.5318444800E+00,-7.0687000000E-03,8.8662000000E-04,4.2588860600E+00,2.2665842000E-01,-9.0874570000E-02,-3.2553284000E-01
original,3,5,0.15,5.9881183000E+00,1.0757913000E-01,-1.7398972000E-01,-1.4047298200E+00,-7.1449800000E-03,8.5840000000E-04,1.1364048700E+00,4.0819386000E-01,2.7739150000E-02,-5.1040747000E-01
original,4,5,0.15,6.3049335400E+00,9.2667850000E-02,-1.7765787000E-01,-1.3937894600E+00,-6.7261000000E-03,7.5443000000E-04,1.2992794300E+00,3.8745916000E-01,1.4079272000E-01,-4.9949070000E-01
original,5,5,0.15,5.7081533400E+00,2.4820818000E-01,-1.6338055000E-01,-1.4417285300E+00,-4.4094300000E-03,3.9748000000E-04,6.1469600000E-01,5.1052474000E-01,3.9876359000E-01,-6.1559195000E-01
original,1,5,0.2,5.6979700700E+00,-1.8766260000E-02,-1.7882376000E-01,-1.4042457200E+00,-8.1452900000E-03,9.3056000000E-04,4.0115904200E+00,2.3188191000E-01,-1.4004695000E-01,-9.5972110000E-02
original,2,5,0.2,6.9415191300E+00,-3.0006200000E-02,-2.0356255000E-01,-1.4548672200E+00,-7.0029700000E-03,7.4134000000E-04,4.5350728200E+00,2.1537754000E-01,-4.5296100000E-02,-1.8923982000E-01
original,3,5,0.2,6.2108819600E+00,3.9179240000E-02,-1.9806145000E-01,-1.3177803100E+00,-7.0168500000E-03,7.1225000000E-04,8.6633068000E-01,4.4348297000E-01,8.8089370000E-02,-3.9494110000E-01
original,4,5,0.2,6.6676110900E+00,1.7898940000E-02,-2.0410206000E-01,-1.3407665600E+00,-6.4302100000E-03,6.1327000000E-04,8.6457561000E-01,4.4591383000E-01,3.2964696000E-01,-5.5591540000E-01
original,5,5,0.2,6.5306288200E+00,1.1565836000E-01,-1.9993793000E-01,-1.3955776400E+00,-4.3034100000E-03,2.9989000000E-04,-5.5335679000E-01,5.2289347000E-01,5.0049905000E-01,-5.6906958000E-01
original,1,5,0.3,6.1250497100E+00,-1.1190782000E-01,-2.1572069000E-01,-1.3332344700E+00,-7.6260500000E-03,6.7794000000E-04,4.0672789800E+00,2.3023835000E-01,-1.4371040000E-02,1.1458992000E-01
original,2,5,0.3,7.3940320800E+00,-1.4775358000E-01,-2.5034843000E-01,-1.3299162700E+00,-6.2565300000E-03,4.5624000000E-04,3.6877401100E+00,2.4158235000E-01,-8.8631800000E-03,5.0991270000E-02
