Model,Weighting Option,Branch,Damping (%),Period,Weight,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,sd1,se1,se2,se3,se4,se5,se6,se7,se8,se9,se10,1,2,3,4,5,6,7,8,9,10,N,Neq,Nst,c
'5-branches',original,1,5,0.05,0.101,6.24861217,-0.00257254,-0.17933608,-1.70011629,-0.0067346,0.00094932,5.14644973,0.22391528,0.20956686,-0.71315411,0.2359,0.63143,0.04975,0.00718,0.14362,0.00031,4.00E-05,1.09038,0.02441,0.1714,0.12948,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,0.05,0.244,6.79882228,0.05749589,-0.17867448,-1.74718518,-0.00660405,0.00091293,5.51679467,0.2039365,0.35746954,-0.82913635,0.2301,0.61153,0.04814,0.00699,0.13905,0.0003,4.00E-05,1.07468,0.022,0.16816,0.12629,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,0.05,0.309,7.85121564,0.1318352,-0.16656347,-2.00044465,-0.00685382,0.00096098,6.23574991,0.20430806,0.56129426,-0.87127526,0.2121,0.63005,0.04482,0.00645,0.14668,0.00028,4.00E-05,1.05307,0.0189,0.16435,0.11631,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,0.05,0.244,7.54109538,0.10924126,-0.1661689,-1.79813788,-0.00660908,0.00089759,5.75747387,0.19522206,0.41472484,-0.87242685,0.2267,0.60669,0.04731,0.00688,0.13825,0.00029,4.00E-05,1.06536,0.02071,0.16698,0.1244,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,0.05,0.101,7.08152554,0.24314266,-0.14429062,-1.80279055,-0.0050466,0.00064207,5.42363954,0.21946445,0.5976149,-1.07120797,0.2147,0.59209,0.04533,0.00653,0.13569,0.00028,4.00E-05,1.00019,0.02111,0.15883,0.11778,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,0.075,0.101,6.14604842,0.00570189,-0.17145203,-1.65315962,-0.006775,0.00101236,5.07737555,0.21231315,0.02122158,-0.65519636,0.2464,0.62835,0.05152,0.00748,0.14114,0.00032,4.00E-05,1.10124,0.02481,0.17522,0.13532,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,0.075,0.244,7.12903355,0.02680376,-0.17726409,-1.73289688,-0.00664238,0.00096373,5.6632654,0.1906772,0.13632147,-0.66498221,0.2409,0.62592,0.05009,0.00731,0.14148,0.00031,4.00E-05,1.12565,0.02225,0.1748,0.13233,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,0.075,0.309,7.49423149,0.09772938,-0.16803166,-1.82164627,-0.00682723,0.00097515,5.68824255,0.20018926,0.31142228,-0.78147088,0.2151,0.57957,0.045,0.00653,0.13227,0.00028,4.00E-05,0.9974,0.0197,0.15869,0.11804,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,0.075,0.244,7.72117318,0.06792925,-0.17260327,-1.73219948,-0.00662977,0.00087582,5.77286448,0.18481835,0.22715297,-0.61443342,0.2304,0.59631,0.04781,0.00699,0.13463,0.0003,4.00E-05,1.08567,0.02096,0.16719,0.1266,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,0.075,0.101,6.73704694,0.21914413,-0.15091075,-1.6768582,-0.00469641,0.00056448,4.6943354,0.23110456,0.61362993,-1.06732174,0.2179,0.55365,0.04584,0.00663,0.12404,0.00028,4.00E-05,0.90732,0.02251,0.15329,0.11964,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,0.1,0.101,5.96247073,0.00434367,-0.16625145,-1.5809864,-0.007232,0.00106394,5.32220622,0.19480723,-0.10489252,-0.52918485,0.255,0.63833,0.05295,0.00774,0.14259,0.00033,4.00E-05,1.20429,0.02557,0.18067,0.14021,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,0.1,0.244,7.21355035,0.00340389,-0.17807472,-1.68421625,-0.00690005,0.00098425,6.01722616,0.17253269,0.04225704,-0.55190916,0.2497,0.64121,0.05159,0.00757,0.14439,0.00032,4.00E-05,1.23183,0.02264,0.18115,0.13729,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,0.1,0.309,7.38906507,0.06109287,-0.17251312,-1.71312316,-0.00704625,0.00097245,5.66906697,0.19046586,0.22166245,-0.68036522,0.2215,0.57549,0.04605,0.00672,0.13009,0.00029,4.00E-05,1.0476,0.02068,0.16072,0.12165,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,0.1,0.244,8.05261383,0.00612651,-0.1828008,-1.69235736,-0.0067703,0.00086053,5.96720661,0.17592769,0.22981038,-0.52549238,0.2451,0.63257,0.05072,0.00743,0.14267,0.00031,4.00E-05,1.20354,0.02234,0.17815,0.13474,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,0.1,0.101,6.6211774,0.19697949,-0.15832586,-1.60489333,-0.00461114,0.00050923,4.56716689,0.22947304,0.55235867,-0.87914313,0.2261,0.55979,0.04742,0.00687,0.12438,0.00029,4.00E-05,0.93826,0.02395,0.15684,0.12422,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,0.15,0.101,5.98836739,-0.04400837,-0.17386087,-1.46334464,-0.00794427,0.00104792,5.56072487,0.17553737,-0.17146196,-0.30219271,0.234,0.56903,0.04821,0.00709,0.12577,0.0003,4.00E-05,1.18974,0.024,0.16388,0.12885,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,0.15,0.244,7.63756166,-0.08162954,-0.19790384,-1.58160603,-0.00713123,0.0008979,6.36438207,0.15468491,-0.00508065,-0.36087815,0.2356,0.59503,0.04838,0.00713,0.13316,0.0003,4.00E-05,1.25918,0.02172,0.1701,0.12967,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,0.15,0.309,7.76072361,-0.03348599,-0.19448421,-1.60882653,-0.00720787,0.00087924,5.95628201,0.17438431,0.28049759,-0.58230885,0.2127,0.54505,0.04397,0.00645,0.12266,0.00027,3.00E-05,1.08893,0.02025,0.15401,0.11695,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,0.15,0.244,8.31953663,-0.08862992,-0.20491267,-1.58239822,-0.00679263,0.00077312,5.93298946,0.17103209,0.36641928,-0.55359233,0.2375,0.5994,0.04899,0.0072,0.13422,0.0003,4.00E-05,1.21281,0.02267,0.17055,0.13064,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,0.15,0.101,7.43278038,0.04786321,-0.19312869,-1.52085168,-0.00451834,0.00041918,4.87079653,0.2085339,0.49433285,-0.63350064,0.2258,0.55086,0.04698,0.00686,0.12191,0.00029,4.00E-05,1.01588,0.02393,0.15663,0.12417,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,0.2,0.101,6.29044483,-0.10223098,-0.19156917,-1.41115869,-0.00816233,0.00093811,5.73338373,0.16814524,-0.09282805,-0.14313557,0.1982,0.48157,0.04075,0.006,0.10638,0.00025,3.00E-05,1.06493,0.02075,0.13904,0.10915,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,0.2,0.244,8.17114409,-0.17960762,-0.22637799,-1.50265725,-0.00706992,0.00075287,6.36488546,0.15070025,0.04154527,-0.22619406,0.2063,0.51358,0.04228,0.00624,0.11433,0.00026,3.00E-05,1.14258,0.01975,0.14774,0.11362,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,0.2,0.309,8.15843683,-0.12328979,-0.22180196,-1.52807251,-0.00709156,0.00073446,5.88887231,0.17210192,0.35078658,-0.46849133,0.1928,0.48553,0.03979,0.00584,0.10864,0.00025,3.00E-05,1.01227,0.01909,0.13823,0.10609,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,0.2,0.244,8.61417488,-0.1722672,-0.23223137,-1.49765615,-0.00652628,0.00063681,5.5993936,0.17721041,0.52667657,-0.61190426,0.2121,0.52153,0.04375,0.00643,0.11575,0.00027,3.00E-05,1.07152,0.02143,0.14953,0.11674,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,0.2,0.101,8.27881914,-0.08793664,-0.22997426,-1.47584798,-0.00441064,0.00032385,4.97623836,0.2020124,0.60384528,-0.60046256,0.2056,0.4996,0.04268,0.00624,0.11042,0.00026,3.00E-05,0.96269,0.0221,0.14263,0.1131,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,0.3,0.101,6.85790847,-0.20149668,-0.22905801,-1.36461498,-0.00767379,0.00068832,5.69790757,0.16971533,0.05799359,0.07061588,0.1722,0.41866,0.03542,0.00522,0.0925,0.00022,3.00E-05,0.9536,0.01871,0.1208,0.09485,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,0.3,0.244,8.79239552,-0.29603343,-0.27285029,-1.42375499,-0.00631284,0.00046906,6.00819966,0.15878668,0.13170806,-0.00234073,0.1863,0.45517,0.03822,0.00564,0.1007,0.00024,3.00E-05,1.02865,0.01901,0.13151,0.10263,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,0.3,0.309,8.77329754,-0.2463853,-0.26924205,-1.45364988,-0.00651679,0.00047536,5.62129284,0.17919291,0.48018741,-0.24680812,0.1776,0.441,0.03668,0.00538,0.09823,0.00023,3.00E-05,0.93682,0.01865,0.1259,0.09771,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,0.3,0.244,9.23734777,-0.3008883,-0.27998152,-1.43497783,-0.0058498,0.00040825,5.39491807,0.18296995,0.79017972,-0.62319911,0.187,0.45509,0.03861,0.00567,0.10064,0.00024,3.00E-05,0.95146,0.01987,0.13072,0.10294,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,0.3,0.101,9.17848616,-0.24145339,-0.28285451,-1.43526148,-0.00392303,0.0001706,5.09537525,0.19574461,0.81079346,-0.62143053,0.1901,0.46118,0.03938,0.00577,0.10187,0.00024,3.00E-05,0.92809,0.02072,0.13204,0.1046,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,0.4,0.101,7.35455094,-0.28963049,-0.26006556,-1.34569969,-0.00731431,0.00056071,5.87940433,0.16387617,0.18971823,0.14421191,0.1696,0.41447,0.03485,0.00514,0.09173,0.00022,3.00E-05,0.97736,0.0185,0.11958,0.09342,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,0.4,0.244,9.08582526,-0.3635226,-0.30457164,-1.3835756,-0.00589843,0.00033274,6.00958517,0.15724969,0.2271819,0.08725897,0.1804,0.43856,0.03699,0.00546,0.09682,0.00023,3.00E-05,1.01952,0.01885,0.12699,0.09942,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,0.4,0.309,8.93762248,-0.31269715,-0.29954509,-1.39494048,-0.00627647,0.00036406,5.63430345,0.17462792,0.57810007,-0.16404213,0.1783,0.43686,0.03675,0.0054,0.09682,0.00023,3.00E-05,0.96715,0.01921,0.12552,0.09817,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,0.4,0.244,9.45677837,-0.36863844,-0.31033866,-1.39798151,-0.0056012,0.00031489,5.54004264,0.17643889,0.96874338,-0.64758926,0.1781,0.43315,0.03671,0.0054,0.09574,0.00023,3.00E-05,0.9457,0.01916,0.12471,0.09807,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,0.4,0.101,9.46006665,-0.31395223,-0.31450134,-1.40540272,-0.00386989,0.00012423,5.40501323,0.18234652,0.97431038,-0.66703161,0.1838,0.44704,0.03794,0.00557,0.09883,0.00023,3.00E-05,0.9554,0.01991,0.12846,0.10118,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,0.5,0.101,7.67787493,-0.350701,-0.28352469,-1.33780243,-0.00701371,0.00048786,6.05170723,0.15867326,0.27825086,0.18164292,0.1734,0.42592,0.03558,0.00525,0.09442,0.00022,3.00E-05,1.02964,0.01886,0.12283,0.0955,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,0.5,0.244,9.18279514,-0.39620983,-0.32615308,-1.36729584,-0.00559334,0.00026013,6.13304701,0.15363069,0.30580002,0.12335305,0.1817,0.44327,0.03722,0.0055,0.09798,0.00023,3.00E-05,1.05675,0.01909,0.12831,0.10012,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,0.5,0.309,8.95417533,-0.34287336,-0.31966783,-1.371183,-0.00619496,0.00031133,5.82202978,0.16738413,0.65572092,-0.0857673,0.1805,0.44304,0.03714,0.00547,0.09822,0.00023,3.00E-05,1.0193,0.0195,0.1275,0.09942,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,0.5,0.244,9.44731954,-0.39587377,-0.33011941,-1.37744967,-0.00545641,0.0002675,5.67096183,0.17141303,1.08382945,-0.65050059,0.1788,0.43554,0.0368,0.00542,0.09631,0.00023,3.00E-05,0.97999,0.01933,0.12552,0.09846,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,0.5,0.101,9.37898852,-0.32948725,-0.33278284,-1.38889298,-0.00386091,0.00010475,5.64140908,0.17327741,1.08564906,-0.69155164,0.1842,0.44972,0.03794,0.00558,0.09954,0.00023,3.00E-05,1.00041,0.01985,0.12944,0.10144,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,0.75,0.101,8.05002421,-0.44139176,-0.32208103,-1.33040205,-0.00662278,0.00043925,6.41409984,0.14905541,0.3972961,0.22633967,0.1795,0.44716,0.03678,0.00543,0.09955,0.00023,3.00E-05,1.1291,0.01935,0.12866,0.09888,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,0.75,0.244,8.79204344,-0.39355778,-0.35324168,-1.33783445,-0.00533236,0.00022702,6.31625149,0.14786103,0.38820783,0.20101596,0.1858,0.45504,0.03803,0.00562,0.10067,0.00024,3.00E-05,1.12995,0.01976,0.13174,0.10242,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,0.75,0.309,8.48255085,-0.3445753,-0.3448625,-1.32852331,-0.00613969,0.00030594,6.20850013,0.15199906,0.71521476,0.03784061,0.1806,0.44256,0.037,0.00547,0.09797,0.00023,3.00E-05,1.09474,0.0195,0.12797,0.09953,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,0.75,0.244,8.83976135,-0.3746751,-0.35265395,-1.34424565,-0.00545045,0.00026966,5.85512678,0.16447696,1.21555161,-0.61749678,0.1789,0.43654,0.03675,0.00542,0.09657,0.00023,3.00E-05,1.02766,0.01955,0.12598,0.09852,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,0.75,0.101,8.55003627,-0.27248447,-0.35059267,-1.36536817,-0.00404761,0.00013027,5.93190403,0.16391658,1.22471133,-0.67924922,0.1915,0.47131,0.03935,0.0058,0.10459,0.00024,3.00E-05,1.10243,0.02065,0.13562,0.10543,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,1,0.101,8.01676799,-0.48779062,-0.34496996,-1.3034136,-0.0066469,0.00047439,6.67057299,0.14005441,0.43166433,0.26533014,0.1809,0.45065,0.03699,0.00547,0.10025,0.00023,3.00E-05,1.19031,0.01954,0.12996,0.0997,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,1,0.244,8.09628371,-0.35477181,-0.36387146,-1.30350925,-0.00553876,0.00028489,6.51445066,0.14047454,0.41784705,0.25563092,0.19,0.46486,0.03882,0.00575,0.10273,0.00024,3.00E-05,1.20793,0.02043,0.13487,0.1048,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,1,0.309,7.72515246,-0.30197542,-0.35369725,-1.29414681,-0.00624862,0.00036292,6.50218739,0.14048677,0.72347847,0.10312853,0.183,0.44685,0.03737,0.00554,0.09869,0.00023,3.00E-05,1.16799,0.0198,0.12971,0.10089,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,1,0.244,8.0128172,-0.32158228,-0.36021717,-1.31124429,-0.00571701,0.00033502,5.99250588,0.15857124,1.26838097,-0.58454242,0.1844,0.44935,0.03783,0.00558,0.0993,0.00023,3.00E-05,1.10047,0.0204,0.12996,0.10162,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,1,0.101,7.46264551,-0.18213998,-0.35270847,-1.33547037,-0.00444867,0.00020417,6.08653856,0.15834868,1.28312585,-0.65084007,0.2012,0.49613,0.04131,0.00609,0.11012,0.00026,3.00E-05,1.20628,0.02195,0.14291,0.11084,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,1.5,0.101,7.3958096,-0.48022905,-0.36713671,-1.26123199,-0.00679137,0.00053109,6.79960333,0.13627675,0.47929932,0.29183137,0.1906,0.47582,0.03894,0.00577,0.10589,0.00024,3.00E-05,1.31458,0.02113,0.13723,0.10505,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,1.5,0.244,6.40973428,-0.20865784,-0.36404443,-1.25922143,-0.00592854,0.00038637,6.61213116,0.13778642,0.47517576,0.26883541,0.206,0.50527,0.04207,0.00623,0.11173,0.00026,3.00E-05,1.37214,0.02283,0.14656,0.11363,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,1.5,0.309,6.02402113,-0.15549072,-0.35268484,-1.25627423,-0.00627173,0.00044139,6.67843108,0.1347135,0.7634573,0.0704693,0.1993,0.4873,0.04066,0.00603,0.1076,0.00025,3.00E-05,1.33443,0.02199,0.14158,0.10994,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,1.5,0.244,6.24186558,-0.16183364,-0.35752158,-1.27799583,-0.00607617,0.0004293,6.02218491,0.15961191,1.35521884,-0.59658295,0.2026,0.49739,0.04159,0.00613,0.11024,0.00026,3.00E-05,1.25469,0.02311,0.14344,0.1116,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,1.5,0.101,5.28199904,0.03126932,-0.34147044,-1.29930241,-0.00509761,0.0003139,6.10096011,0.16056778,1.37013887,-0.63291826,0.2218,0.5523,0.04559,0.00672,0.12304,0.00028,4.00E-05,1.38357,0.02507,0.15844,0.12213,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,2,0.101,6.43720321,-0.39549488,-0.37230413,-1.25081844,-0.00658557,0.0005453,6.66307984,0.1415161,0.47620902,0.3213966,0.1917,0.47964,0.03922,0.0058,0.10688,0.00024,3.00E-05,1.31966,0.02167,0.13805,0.10561,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,2,0.244,4.6931796,-0.02749495,-0.35267475,-1.24751196,-0.00588881,0.00043418,6.4404372,0.14389177,0.47702371,0.2856201,0.2104,0.51613,0.04302,0.00637,0.11422,0.00027,3.00E-05,1.39165,0.02382,0.14948,0.11599,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,2,0.309,4.33921036,0.02246749,-0.34139435,-1.2503727,-0.00604907,0.00046896,6.52665225,0.14046887,0.7647688,0.06580919,0.2042,0.50027,0.04172,0.00618,0.11062,0.00026,3.00E-05,1.35695,0.0229,0.14507,0.1126,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,2,0.244,4.54071786,0.02510465,-0.34510186,-1.28314945,-0.00600037,0.000466,5.88071475,0.1684289,1.38181717,-0.5857849,0.2079,0.51616,0.04281,0.0063,0.11493,0.00027,3.00E-05,1.2787,0.02417,0.14788,0.11443,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,2,0.101,3.29173284,0.2528084,-0.32283929,-1.2988789,-0.00523267,0.00036789,5.94178134,0.16959977,1.39240116,-0.60252315,0.225,0.56577,0.04638,0.00682,0.12652,0.00029,4.00E-05,1.39545,0.02604,0.16128,0.1238,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,3,0.101,4.15915787,-0.1609751,-0.36178636,-1.22752543,-0.00643262,0.00056408,6.12953013,0.15642255,0.49865642,0.32437514,0.2041,0.50277,0.04188,0.00618,0.11154,0.00026,3.00E-05,1.33574,0.02411,0.14495,0.11245,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,3,0.244,1.5491623,0.31545139,-0.32193751,-1.22682835,-0.00592702,0.00049224,5.81646373,0.16184351,0.51302302,0.26482884,0.2191,0.52721,0.04495,0.00664,0.11597,0.00028,3.00E-05,1.35211,0.02596,0.153,0.12077,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,3,0.309,1.29095886,0.35429629,-0.31187418,-1.23714978,-0.00588296,0.00050014,5.91906647,0.15811489,0.81010514,0.01001141,0.2156,0.51941,0.0442,0.00653,0.11427,0.00027,3.00E-05,1.33609,0.02516,0.15083,0.11886,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,3,0.244,1.44409945,0.37243475,-0.3134549,-1.28395197,-0.00601625,0.00051254,5.34040521,0.18962095,1.43960774,-0.59872013,0.2171,0.53555,0.04494,0.00658,0.11904,0.00028,4.00E-05,1.24498,0.02631,0.1527,0.11939,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,3,0.101,-0.12429188,0.63237562,-0.28406862,-1.28752829,-0.00550464,0.00044405,5.37075862,0.1899168,1.43854092,-0.60099795,0.227,0.56321,0.04703,0.00688,0.12543,0.00029,4.00E-05,1.31128,0.02753,0.16024,0.12485,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,4,0.101,1.90583501,0.07054462,-0.34134521,-1.19670517,-0.00648624,0.00062287,5.47295782,0.16800221,0.45961837,0.37466194,0.2054,0.48113,0.04212,0.00622,0.10471,0.00026,3.00E-05,1.21222,0.02499,0.14061,0.11322,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,4,0.244,-1.08172842,0.59073781,-0.29151827,-1.19881329,-0.00610257,0.00057238,5.06465642,0.177079,0.48209799,0.3067171,0.2122,0.48324,0.04353,0.00643,0.10385,0.00027,3.00E-05,1.15022,0.02594,0.14213,0.11701,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,4,0.309,-1.24406874,0.61648982,-0.2828884,-1.21135764,-0.00608309,0.0005777,5.21516687,0.17151702,0.78967584,0.04245627,0.2093,0.47854,0.0429,0.00634,0.10301,0.00026,3.00E-05,1.15013,0.0251,0.14079,0.11545,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,4,0.244,-1.17102204,0.6472458,-0.28276053,-1.26022309,-0.00619407,0.00059029,4.61525969,0.20754213,1.41115501,-0.55199105,0.21,0.49073,0.04353,0.00637,0.10674,0.00027,3.00E-05,1.04732,0.02621,0.1418,0.1156,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,4,0.101,-2.8482083,0.91265281,-0.25066485,-1.25447249,-0.00582443,0.00053911,4.60835326,0.20728393,1.40183661,-0.54830798,0.2146,0.50046,0.04446,0.00651,0.10878,0.00027,3.00E-05,1.07163,0.02686,0.14472,0.11812,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,5,0.101,-0.07565463,0.28509361,-0.31905883,-1.19107288,-0.0065396,0.0006741,4.79850766,0.18504272,0.43138021,0.44085333,0.2033,0.45662,0.04175,0.00616,0.09748,0.00026,3.00E-05,1.05265,0.02524,0.13457,0.1121,0,0,0,0,0,0,0,0,0,0,320,1,1,10
