lon,lat,unit,susc_cat,gwd,vs30,cti
-76.55919139,3.373773939,TQplp,n,3.0,425.0,3.2086256
-76.56076021,3.383609155,TQplp,n,3.0,555.0,2.8913753
-76.55973577,3.378821336,TQplp,n,3.0,425.0,2.7554243
-76.55401734,3.372589709,TQplp,n,3.0,425.0,8.900974
-76.5609317,3.383949605,TQplp,n,3.0,555.0,2.8913753
-76.55437077,3.369315537,TQplp,n,3.0,425.0,8.900974
-76.55605828,3.37552213,TQplp,n,3.0,425.0,3.19538
-76.56057988,3.378574955,TQplp,n,3.0,425.0,8.589801
-76.55877295,3.374758503,TQplp,n,3.0,425.0,3.2086256
-76.55557782,3.372228965,TQplp,n,3.0,425.0,8.900974
-76.55080579999998,3.370978608,TQplp,n,3.0,425.0,10.442077
-76.55514076,3.36993064,TQplp,n,3.0,425.0,8.900974
-76.55891379,3.374203393,TQplp,n,3.0,425.0,3.2086256
-76.56116252,3.38357218,TQplp,n,3.0,555.0,2.8913753
-76.55717051,3.37359232,TQplp,n,3.0,425.0,3.2086256
-76.49502283,3.499037186,Q5,h,0.2,210.0,6.832836
-76.49685719,3.490429397,Q5,h,0.2,270.0,5.734233
-76.49473246,3.495347868,Q5,h,0.2,270.0,6.1396933
-76.50047444,3.490699546,Q5,h,0.2,270.0,6.8328457
-76.49237077,3.496871117,Q5,h,0.2,210.0,17.51185
-76.49245643,3.4946863930000003,Q5,h,0.2,270.0,17.51185
-76.48632719,3.494144947,Q5,h,0.2,210.0,6.427376
-76.51256009,3.4863365230000003,Q5,h,0.2,270.0,8.56745
-76.49500867,3.494959404,Q5,h,0.2,270.0,6.1396933
-76.50191911,3.4917633610000003,Q5,h,0.2,270.0,6.8328457
-76.49568955,3.4958327060000003,Q5,h,0.2,270.0,6.1396933
-76.4931389,3.495612087,Q5,h,0.2,270.0,17.51185
-76.49820907,3.493620922,Q5,h,0.2,270.0,6.8328457
-76.4946582,3.499542791,Q5,h,0.2,210.0,6.832836
-76.48957523,3.495600133,Q5,h,0.2,270.0,6.427376
-76.4963825,3.49460829,Q5,h,0.2,270.0,6.1396933
-76.48661297,3.493099589,Q5,h,0.2,210.0,17.57059
-76.49816962,3.494485113,Q5,h,0.2,270.0,6.832841
-76.51149334,3.4857644960000003,Q5,h,0.2,270.0,8.56745
-76.49319198,3.498076142,Q5,h,0.2,210.0,8.219129
-76.49111661,3.497148087,Q5,h,0.2,210.0,17.51185
-76.49400848,3.495198629,Q5,h,0.2,270.0,6.1396933
-76.49078169,3.49288081,Q5,h,0.2,270.0,7.813677
-76.4958579,3.49753094,Q5,h,0.2,270.0,6.1396933
-76.5109417,3.485275408,Q5,h,0.2,270.0,6.1397076
-76.49963202,3.489631554,Q5,h,0.2,270.0,6.8328457
-76.49555775,3.496075238,Q5,h,0.2,210.0,6.1396933
-76.49725516,3.4895351810000004,Q5,h,0.2,270.0,6.139703
-76.49029087,3.49427209,Q5,h,0.2,270.0,17.51185
-76.50291301,3.4923699910000003,Q5,h,0.2,270.0,5.734233
-76.49227892,3.494929332,Q5,h,0.2,270.0,17.51185
-76.48971145,3.494295757,Q5,h,0.2,270.0,17.51185
-76.49740645,3.494577135,Q5,h,0.2,270.0,6.1396933
-76.48922285,3.4965370160000004,Q5,h,0.2,210.0,6.427376
-76.49357317,3.494667659,Q5,h,0.2,270.0,17.51185
-76.49738752,3.490828892,Q5,h,0.2,270.0,5.734233
-76.49565030000002,3.488267636,Q5,h,0.2,270.0,6.139703
