rup_mag,rup_rake,dist_rjb,site_vs30,result_type,damping,pgv,pga,0.10,0.20,0.50,1.00,2.00,3.00
4.5,90.0,100.0,570.0,MEAN,5.0,4.45488567e-02,1.33342917e-03,2.74853814e-03,3.51188520e-03,1.27314194e-03,3.24691867e-04,8.11063408e-05,3.32353490e-05,
4.5,90.0,0.0,300.0,MEAN,5.0,4.79851677e+00,1.58531230e-01,3.39335151e-01,2.72027417e-01,9.29916763e-02,2.47872769e-02,4.89960835e-03,1.73961963e-03,
4.5,90.0,20.0,300.0,MEAN,5.0,6.86345123e-01,2.24217975e-02,5.21563030e-02,4.77782048e-02,1.51286217e-02,3.99996401e-03,9.63612224e-04,3.94003851e-04,
4.5,90.0,50.0,300.0,MEAN,5.0,1.80250428e-01,5.33968834e-03,1.14123906e-02,1.31156207e-02,4.91785784e-03,1.35602885e-03,3.22776911e-04,1.26384099e-04,
4.5,90.0,100.0,300.0,MEAN,5.0,6.35794202e-02,1.66074499e-03,3.11913209e-03,4.19910090e-03,2.00165316e-03,5.89095507e-04,1.37849695e-04,5.15991140e-05,
4.5,90.0,0.0,150.0,MEAN,5.0,6.09080951e+00,1.51807710e-01,2.99580023e-01,2.61534314e-01,1.08177783e-01,4.35706279e-02,9.21784427e-03,3.30642213e-03,
4.5,90.0,20.0,150.0,MEAN,5.0,8.71185327e-01,2.14708593e-02,4.60458824e-02,4.59352229e-02,1.75992177e-02,7.03106453e-03,1.81288519e-03,7.48866610e-04,
4.5,90.0,50.0,150.0,MEAN,5.0,2.28793828e-01,5.11322506e-03,1.00753613e-02,1.26097028e-02,5.72097396e-03,2.38360303e-03,6.07254107e-04,2.40212962e-04,
4.5,90.0,100.0,150.0,MEAN,5.0,8.07020493e-02,1.59031059e-03,2.75370725e-03,4.03712606e-03,2.32853530e-03,1.03550145e-03,2.59342569e-04,9.80722737e-05,
4.5,-90.0,0.0,850.0,MEAN,5.0,2.21331337e+00,7.26280577e-02,1.64690690e-01,1.26949174e-01,3.67797503e-02,1.02639829e-02,2.14940060e-03,8.45426778e-04,
4.5,-90.0,20.0,850.0,MEAN,5.0,3.16576331e-01,1.02721186e-02,2.53131971e-02,2.22970305e-02,5.98362081e-03,1.65631595e-03,4.22725358e-04,1.91479448e-04,
4.5,-90.0,50.0,850.0,MEAN,5.0,8.31404164e-02,2.44627631e-03,5.53881461e-03,6.12076985e-03,1.94509434e-03,5.61508103e-04,1.41598437e-04,6.14206118e-05,
4.5,-90.0,100.0,850.0,MEAN,5.0,2.93259745e-02,7.60838625e-04,1.51381905e-03,1.95962743e-03,7.91687022e-04,2.43934266e-04,6.04730410e-05,2.50763281e-05,
4.5,-90.0,0.0,570.0,MEAN,5.0,2.93292466e+00,9.97285328e-02,2.35453445e-01,1.74822722e-01,4.72489081e-02,1.25259772e-02,2.70193792e-03,1.13427406e-03,
4.5,-90.0,20.0,570.0,MEAN,5.0,4.19504324e-01,1.41050628e-02,3.61895348e-02,3.07054190e-02,7.68682624e-03,2.02133774e-03,5.31393577e-04,2.56900037e-04,
4.5,-90.0,50.0,570.0,MEAN,5.0,1.10171737e-01,3.35908125e-03,7.91868066e-03,8.42896111e-03,2.49875497e-03,6.85254235e-04,1.77998548e-04,8.24054885e-05,
4.5,-90.0,100.0,570.0,MEAN,5.0,3.88606851e-02,1.04473839e-03,2.16426266e-03,2.69861861e-03,1.01703647e-03,2.97692923e-04,7.60185897e-05,3.36438698e-05,
4.5,-90.0,0.0,300.0,MEAN,5.0,4.18582345e+00,1.24208818e-01,2.67200367e-01,2.09032530e-01,7.42854531e-02,2.27261526e-02,4.59225892e-03,1.76100261e-03,
4.5,-90.0,20.0,300.0,MEAN,5.0,5.98709903e-01,1.75674217e-02,4.10690824e-02,3.67139429e-02,1.20853453e-02,3.66735696e-03,9.03165419e-04,3.98846850e-04,
4.5,-90.0,50.0,300.0,MEAN,5.0,1.57235351e-01,4.18363232e-03,8.98638103e-03,1.00783642e-02,3.92858063e-03,1.24327164e-03,3.02529313e-04,1.27937582e-04,
4.5,-90.0,100.0,300.0,MEAN,5.0,5.54613521e-02,1.30118951e-03,2.45607694e-03,3.22669199e-03,1.59900023e-03,5.40110736e-04,1.29202468e-04,5.22333577e-05,
4.5,-90.0,0.0,150.0,MEAN,5.0,5.31311122e+00,1.18940957e-01,2.35896257e-01,2.00969373e-01,8.64167197e-02,3.99476208e-02,8.63961454e-03,3.34706387e-03,
4.5,-90.0,20.0,150.0,MEAN,5.0,7.59948990e-01,1.68223640e-02,3.62575955e-02,3.52977504e-02,1.40589558e-02,6.44641386e-03,1.69916401e-03,7.58071495e-04,
4.5,-90.0,50.0,150.0,MEAN,5.0,1.99580541e-01,4.00619892e-03,7.93357313e-03,9.68960448e-03,4.57014175e-03,2.18540045e-03,5.69161428e-04,2.43165601e-04,
4.5,-90.0,100.0,150.0,MEAN,5.0,7.03976972e-02,1.24600433e-03,2.16833294e-03,3.10222655e-03,1.86012670e-03,9.49396902e-04,2.43074168e-04,9.92777542e-05,
5.5,0.0,0.0,850.0,MEAN,5.0,9.61114922e+00,1.88881171e-01,3.59244397e-01,3.88703083e-01,2.05139424e-01,7.43865177e-02,2.02697171e-02,8.51759921e-03,
5.5,0.0,20.0,850.0,MEAN,5.0,1.79904879e+00,3.48000060e-02,6.97740290e-02,7.95175389e-02,3.87929887e-02,1.42645080e-02,5.06117000e-03,2.55843332e-03,
5.5,0.0,50.0,850.0,MEAN,5.0,5.68463589e-01,1.00184618e-02,1.83049441e-02,2.42483379e-02,1.38140859e-02,5.35684392e-03,1.99053559e-03,1.01869182e-03,
5.5,0.0,100.0,850.0,MEAN,5.0,2.31604699e-01,3.61448064e-03,5.77301074e-03,8.42645227e-03,6.03243110e-03,2.51812283e-03,9.63178447e-04,4.93121671e-04,
5.5,0.0,0.0,570.0,MEAN,5.0,1.27360079e+01,2.59360399e-01,5.13601169e-01,5.35286124e-01,2.63531256e-01,9.07799478e-02,2.54803675e-02,1.14277097e-02,
5.5,0.0,20.0,570.0,MEAN,5.0,2.38397086e+00,4.77853002e-02,9.97538810e-02,1.09504239e-01,4.98352039e-02,1.74081451e-02,6.36222355e-03,3.43254392e-03,
5.5,0.0,50.0,570.0,MEAN,5.0,7.53287313e-01,1.37567564e-02,2.61700412e-02,3.33925800e-02,1.77461911e-02,6.53739449e-03,2.50223414e-03,1.36673658e-03,
5.5,0.0,100.0,570.0,MEAN,5.0,3.06905992e-01,4.96319002e-03,8.25350399e-03,1.16041348e-02,7.74953012e-03,3.07307112e-03,1.21077865e-03,6.61600901e-04,
5.5,0.0,0.0,300.0,MEAN,5.0,1.81766280e+01,3.23025395e-01,5.82851614e-01,6.40032438e-01,4.14327855e-01,1.64704031e-01,4.33068591e-02,1.77419439e-02,
5.5,0.0,20.0,300.0,MEAN,5.0,3.40236531e+00,5.95151207e-02,1.13204008e-01,1.30932340e-01,7.83516668e-02,3.15839757e-02,1.08133417e-02,5.32915194e-03,
5.5,0.0,50.0,300.0,MEAN,5.0,1.07507968e+00,1.71336167e-02,2.96986293e-02,3.99269352e-02,2.79008320e-02,1.18609368e-02,4.25283904e-03,2.12190931e-03,
5.5,0.0,100.0,300.0,MEAN,5.0,4.38011353e-01,6.18150042e-03,9.36634964e-03,1.38748650e-02,1.21839293e-02,5.57553968e-03,2.05785967e-03,1.02715998e-03,
5.5,0.0,0.0,150.0,MEAN,5.0,2.30717916e+01,3.09325459e-01,5.14567086e-01,6.15344021e-01,4.81990115e-01,2.89513773e-01,8.14750596e-02,3.37213692e-02,
5.5,0.0,20.0,150.0,MEAN,5.0,4.31865928e+00,5.69910055e-02,9.99414857e-02,1.25881796e-01,9.11469707e-02,5.55177424e-02,2.03436055e-02,1.01288958e-02,
5.5,0.0,50.0,150.0,MEAN,5.0,1.36461032e+00,1.64069573e-02,2.62192585e-02,3.83868057e-02,3.24572076e-02,2.08489406e-02,8.00104929e-03,4.03302410e-03,
5.5,0.0,100.0,150.0,MEAN,5.0,5.55972572e-01,5.91933478e-03,8.26902616e-03,1.33396601e-02,1.41736391e-02,9.80058299e-03,3.87154005e-03,1.95227992e-03,
5.5,90.0,0.0,850.0,MEAN,5.0,1.04139723e+01,2.34044137e-01,4.59692696e-01,4.96940949e-01,2.37946287e-01,7.85997073e-02,1.94519295e-02,7.25756110e-03,
5.5,90.0,20.0,850.0,MEAN,5.0,1.94932405e+00,4.31209598e-02,8.92835400e-02,1.01659912e-01,4.49969461e-02,1.50724377e-02,4.85697564e-03,2.17995537e-03,
5.5,90.0,50.0,850.0,MEAN,5.0,6.15947579e-01,1.24139544e-02,2.34231881e-02,3.10005055e-02,1.60232996e-02,5.66025104e-03,1.91022685e-03,8.67993189e-04,
5.5,90.0,100.0,850.0,MEAN,5.0,2.50950732e-01,4.47873125e-03,7.38720184e-03,1.07728736e-02,6.99716589e-03,2.66074718e-03,9.24318735e-04,4.20172465e-04,
5.5,90.0,0.0,570.0,MEAN,5.0,1.37998517e+01,3.21375501e-01,6.57209153e-01,6.84341355e-01,3.05676415e-01,9.59216473e-02,2.44523547e-02,9.73716884e-03,
5.5,90.0,20.0,570.0,MEAN,5.0,2.58310489e+00,5.92111395e-02,1.27646056e-01,1.39996678e-01,5.78050844e-02,1.83941277e-02,6.10553781e-03,2.92475575e-03,
5.5,90.0,50.0,570.0,MEAN,5.0,8.16209702e-01,1.70461045e-02,3.34874444e-02,4.26910439e-02,2.05842455e-02,6.90766700e-03,2.40128079e-03,1.16455048e-03,
5.5,90.0,100.0,570.0,MEAN,5.0,3.32541971e-01,6.14992760e-03,1.05612656e-02,1.48354104e-02,8.98887147e-03,3.24712727e-03,1.16192944e-03,5.63727976e-04,
5.5,90.0,0.0,300.0,MEAN,5.0,1.96949290e+01,4.00263295e-01,7.45822710e-01,8.18255222e-01,4.80589117e-01,1.74032728e-01,4.15596314e-02,1.51173163e-02,
5.5,90.0,20.0,300.0,MEAN,5.0,3.68656624e+00,7.37456519e-02,1.44856972e-01,1.67391627e-01,9.08820343e-02,3.33728654e-02,1.03770743e-02,4.54079194e-03,
5.5,90.0,50.0,300.0,MEAN,5.0,1.16488151e+00,2.12303986e-02,3.80026609e-02,5.10449491e-02,3.23628644e-02,1.25327303e-02,4.08125702e-03,1.80800787e-03,
5.5,90.0,100.0,300.0,MEAN,5.0,4.74598615e-01,7.65954554e-03,1.19852740e-02,1.77384458e-02,1.41324407e-02,5.89133353e-03,1.97483473e-03,8.75208624e-04,
5.5,90.0,0.0,150.0,MEAN,5.0,2.49989875e+01,3.83287597e-01,6.58445151e-01,7.86692093e-01,5.59072244e-01,3.05911588e-01,7.81879249e-02,2.87328497e-02,
5.5,90.0,20.0,150.0,MEAN,5.0,4.67939861e+00,7.06180009e-02,1.27886117e-01,1.60934713e-01,1.05723624e-01,5.86622204e-02,1.95228369e-02,8.63049297e-03,
5.5,90.0,50.0,150.0,MEAN,5.0,1.47859677e+00,2.03299892e-02,3.35504235e-02,4.90759567e-02,3.76479171e-02,2.20298070e-02,7.67824465e-03,3.43640480e-03,
5.5,90.0,100.0,150.0,MEAN,5.0,6.02413183e-01,7.33469405e-03,1.05811279e-02,1.70542084e-02,1.64403542e-02,1.03556797e-02,3.71534165e-03,1.66347236e-03,
5.5,-90.0,0.0,850.0,MEAN,5.0,9.08427578e+00,1.83372990e-01,3.61972689e-01,3.81861598e-01,1.90080967e-01,7.20639443e-02,1.82317219e-02,7.34676927e-03,
5.5,-90.0,20.0,850.0,MEAN,5.0,1.70042676e+00,3.37851630e-02,7.03039298e-02,7.81179666e-02,3.59453519e-02,1.38191267e-02,4.55230053e-03,2.20675085e-03,
5.5,-90.0,50.0,850.0,MEAN,5.0,5.37300993e-01,9.72630193e-03,1.84439615e-02,2.38215477e-02,1.28000496e-02,5.18958695e-03,1.79039949e-03,8.78662350e-04,
5.5,-90.0,100.0,850.0,MEAN,5.0,2.18908365e-01,3.50907461e-03,5.81685403e-03,8.27813997e-03,5.58961468e-03,2.43949937e-03,8.66336787e-04,4.25337122e-04,
5.5,-90.0,0.0,570.0,MEAN,5.0,1.20378329e+01,2.51796893e-01,5.17501727e-01,5.25864660e-01,2.44186490e-01,8.79455215e-02,2.29184735e-02,9.85685574e-03,
5.5,-90.0,20.0,570.0,MEAN,5.0,2.25328399e+00,4.63917782e-02,1.00511465e-01,1.07576876e-01,4.61770027e-02,1.68646098e-02,5.72254116e-03,2.96070613e-03,
5.5,-90.0,50.0,570.0,MEAN,5.0,7.11992867e-01,1.33555798e-02,2.63687903e-02,3.28048439e-02,1.64435148e-02,6.33327714e-03,2.25064991e-03,1.17886485e-03,
5.5,-90.0,100.0,570.0,MEAN,5.0,2.90081717e-01,4.81845273e-03,8.31618545e-03,1.13998927e-02,7.18066838e-03,2.97712048e-03,1.08904232e-03,5.70657183e-04,
5.5,-90.0,0.0,300.0,MEAN,5.0,1.71802037e+01,3.13605280e-01,5.87278097e-01,6.28767355e-01,3.83913719e-01,1.59561470e-01,3.89526212e-02,1.53031347e-02,
5.5,-90.0,20.0,300.0,MEAN,5.0,3.21585110e+00,5.77795319e-02,1.14063738e-01,1.28627826e-01,7.26001870e-02,3.05978279e-02,9.72612675e-03,4.59660625e-03,
5.5,-90.0,50.0,300.0,MEAN,5.0,1.01614490e+00,1.66339636e-02,2.99241764e-02,3.92241892e-02,2.58527445e-02,1.14906023e-02,3.82524227e-03,1.83023147e-03,
5.5,-90.0,100.0,300.0,MEAN,5.0,4.14000015e-01,6.00123458e-03,9.43748264e-03,1.36306562e-02,1.12895562e-02,5.40145436e-03,1.85095455e-03,8.85966475e-04,
5.5,-90.0,0.0,150.0,MEAN,5.0,2.18070194e+01,3.00304864e-01,5.18474980e-01,6.04513474e-01,4.46609166e-01,2.80474271e-01,7.32832442e-02,2.90860268e-02,
5.5,-90.0,20.0,150.0,MEAN,5.0,4.08191476e+00,5.53290252e-02,1.00700494e-01,1.23666176e-01,8.44562394e-02,5.37843095e-02,1.82981812e-02,8.73657688e-03,
5.5,-90.0,50.0,150.0,MEAN,5.0,1.28980377e+00,1.59284951e-02,2.64183814e-02,3.77111672e-02,3.00746550e-02,2.01979733e-02,7.19659307e-03,3.47864425e-03,
5.5,-90.0,100.0,150.0,MEAN,5.0,5.25494720e-01,5.74671425e-03,8.33182550e-03,1.31048714e-02,1.31332095e-02,9.49457896e-03,3.48228054e-03,1.68391935e-03,
6.5,0.0,0.0,850.0,MEAN,5.0,3.11295557e+01,3.41927950e-01,5.86853578e-01,7.67155305e-01,5.93232570e-01,3.03682900e-01,1.10714731e-01,5.31373390e-02,
6.5,0.0,20.0,850.0,MEAN,5.0,7.62557561e+00,8.20654420e-02,1.44032137e-01,1.82791515e-01,1.30400097e-01,6.92019305e-02,3.50970771e-02,2.11673962e-02,
6.5,0.0,50.0,850.0,MEAN,5.0,2.89906732e+00,2.85600054e-02,4.53042331e-02,6.19205920e-02,5.08673527e-02,2.87878849e-02,1.62072314e-02,1.04619562e-02,
6.5,0.0,100.0,850.0,MEAN,5.0,1.36429243e+00,1.19525606e-02,1.64873009e-02,2.33557178e-02,2.38323416e-02,1.46429578e-02,8.88544337e-03,6.00462144e-03,
6.5,0.0,0.0,570.0,MEAN,5.0,4.12506620e+01,4.69515142e-01,8.39007334e-01,1.05645571e+00,7.62093025e-01,3.70609066e-01,1.39175698e-01,7.12921647e-02,
6.5,0.0,20.0,570.0,MEAN,5.0,1.01048677e+01,1.12687388e-01,2.05918518e-01,2.51723657e-01,1.67517782e-01,8.44527722e-02,4.41193342e-02,2.83994179e-02,
6.5,0.0,50.0,570.0,MEAN,5.0,3.84163678e+00,3.92169022e-02,6.47701321e-02,8.52713424e-02,6.53464706e-02,3.51322090e-02,2.03735557e-02,1.40363729e-02,
6.5,0.0,100.0,570.0,MEAN,5.0,1.80786281e+00,1.64125459e-02,2.35714101e-02,3.21633458e-02,3.06160893e-02,1.78699983e-02,1.11695867e-02,8.05615164e-03,
6.5,0.0,0.0,300.0,MEAN,5.0,5.88722891e+01,5.84766659e-01,9.52133306e-01,1.26318597e+00,1.19817426e+00,6.72404078e-01,2.36545346e-01,1.10683734e-01,
6.5,0.0,20.0,300.0,MEAN,5.0,1.44215066e+01,1.40348674e-01,2.33683153e-01,3.00981659e-01,2.63374009e-01,1.53224499e-01,7.49859589e-02,4.40911513e-02,
6.5,0.0,50.0,300.0,MEAN,5.0,5.48272294e+00,4.88434447e-02,7.35032907e-02,1.01957482e-01,1.02738717e-01,6.37411299e-02,3.46272364e-02,2.17919903e-02,
6.5,0.0,100.0,300.0,MEAN,5.0,2.58015306e+00,2.04413208e-02,2.67496167e-02,3.84571610e-02,4.81350819e-02,3.24219261e-02,1.89840165e-02,1.25074747e-02,
6.5,0.0,0.0,150.0,MEAN,5.0,7.47272367e+01,5.59965929e-01,8.40585235e-01,1.21446022e+00,1.39384341e+00,1.18193975e+00,4.45022949e-01,2.10371935e-01,
6.5,0.0,20.0,150.0,MEAN,5.0,1.83053751e+01,1.34396300e-01,2.06305783e-01,2.89371684e-01,3.06384588e-01,2.69335258e-01,1.41074315e-01,8.38022037e-02,
6.5,0.0,50.0,150.0,MEAN,5.0,6.95927984e+00,4.67719294e-02,6.48919437e-02,9.80246048e-02,1.19516574e-01,1.12043008e-01,6.51457115e-02,4.14191228e-02,
6.5,0.0,100.0,150.0,MEAN,5.0,3.27501634e+00,1.95743772e-02,2.36157403e-02,3.69737261e-02,5.59958337e-02,5.69906763e-02,3.57154481e-02,2.37724330e-02,
6.5,90.0,0.0,850.0,MEAN,5.0,3.37298199e+01,4.23685599e-01,7.50943664e-01,9.80776594e-01,6.88105116e-01,3.20883243e-01,1.06247913e-01,4.52765474e-02,
6.5,90.0,20.0,850.0,MEAN,5.0,8.26254298e+00,1.01687931e-01,1.84304951e-01,2.33691455e-01,1.51254295e-01,7.31214694e-02,3.36810754e-02,1.80360296e-02,
6.5,90.0,50.0,850.0,MEAN,5.0,3.14122757e+00,3.53889262e-02,5.79717463e-02,7.91629373e-02,5.90022993e-02,3.04184064e-02,1.55533459e-02,8.91428258e-03,
6.5,90.0,100.0,850.0,MEAN,5.0,1.47825233e+00,1.48105114e-02,2.10973139e-02,2.98593273e-02,2.76437219e-02,1.54723226e-02,8.52695760e-03,5.11633688e-03,
6.5,90.0,0.0,570.0,MEAN,5.0,4.46963462e+01,5.81779887e-01,1.07360211e+00,1.35063529e+00,8.83970531e-01,3.91600050e-01,1.33560614e-01,6.07456665e-02,
6.5,90.0,20.0,570.0,MEAN,5.0,1.09489313e+01,1.39631824e-01,2.63495379e-01,3.21818371e-01,1.94308015e-01,8.92361059e-02,4.23393269e-02,2.41981932e-02,
6.5,90.0,50.0,570.0,MEAN,5.0,4.16253023e+00,4.85939705e-02,8.28805039e-02,1.09015914e-01,7.57969859e-02,3.71220677e-02,1.95515788e-02,1.19599234e-02,
6.5,90.0,100.0,570.0,MEAN,5.0,1.95887431e+00,2.03369141e-02,3.01622103e-02,4.11195184e-02,3.55123584e-02,1.88821399e-02,1.07189465e-02,6.86437708e-03,
6.5,90.0,0.0,300.0,MEAN,5.0,6.37899149e+01,7.24588944e-01,1.21835923e+00,1.61493145e+00,1.38979193e+00,7.10488477e-01,2.27001856e-01,9.43099038e-02,
6.5,90.0,20.0,300.0,MEAN,5.0,1.56261407e+01,1.73907140e-01,2.99023281e-01,3.84792707e-01,3.05494021e-01,1.61903005e-01,7.19606288e-02,3.75685937e-02,
6.5,90.0,50.0,300.0,MEAN,5.0,5.94069698e+00,6.05222946e-02,9.40555404e-02,1.30348459e-01,1.19169176e-01,6.73513737e-02,3.32301905e-02,1.85682253e-02,
6.5,90.0,100.0,300.0,MEAN,5.0,2.79567428e+00,2.53290006e-02,3.42290751e-02,4.91659030e-02,5.58330709e-02,3.42582766e-02,1.82181009e-02,1.06572004e-02,
6.5,90.0,0.0,150.0,MEAN,5.0,8.09692325e+01,6.93858164e-01,1.07562121e+00,1.55263758e+00,1.61675342e+00,1.24888382e+00,4.27068370e-01,1.79250882e-01,
6.5,90.0,20.0,150.0,MEAN,5.0,1.98344303e+01,1.66531507e-01,2.63990928e-01,3.69949830e-01,3.55383054e-01,2.84590180e-01,1.35382631e-01,7.14050519e-02,
6.5,90.0,50.0,150.0,MEAN,5.0,7.54059126e+00,5.79554638e-02,8.30363753e-02,1.25320437e-01,1.38630228e-01,1.18389029e-01,6.25173890e-02,3.52918477e-02,
6.5,90.0,100.0,150.0,MEAN,5.0,3.54857976e+00,2.42547640e-02,3.02189357e-02,4.72693924e-02,6.49509512e-02,6.02185801e-02,3.42744981e-02,2.02556942e-02,
6.5,-90.0,0.0,850.0,MEAN,5.0,2.94230651e+01,3.31956596e-01,5.91310454e-01,7.53652758e-01,5.49685761e-01,2.94200996e-01,9.95830463e-02,4.58330757e-02,
6.5,-90.0,20.0,850.0,MEAN,5.0,7.20754930e+00,7.96722373e-02,1.45125993e-01,1.79574238e-01,1.20827952e-01,6.70412356e-02,3.15682821e-02,1.82577241e-02,
6.5,-90.0,50.0,850.0,MEAN,5.0,2.74014339e+00,2.77271343e-02,4.56482973e-02,6.08307400e-02,4.71333856e-02,2.78890395e-02,1.45776941e-02,9.02385476e-03,
6.5,-90.0,100.0,850.0,MEAN,5.0,1.28950331e+00,1.16039982e-02,1.66125142e-02,2.29446385e-02,2.20829056e-02,1.41857601e-02,7.99206677e-03,5.17922564e-03,
6.5,-90.0,0.0,570.0,MEAN,5.0,3.89893426e+01,4.55823071e-01,8.45379198e-01,1.03786124e+00,7.06150851e-01,3.59037523e-01,1.25182439e-01,6.14923374e-02,
6.5,-90.0,20.0,570.0,MEAN,5.0,9.55092911e+00,1.09401182e-01,2.07482371e-01,2.47293119e-01,1.55220978e-01,8.18158996e-02,3.96834068e-02,2.44956314e-02,
6.5,-90.0,50.0,570.0,MEAN,5.0,3.63104215e+00,3.80732531e-02,6.52620306e-02,8.37704985e-02,6.05496499e-02,3.40352745e-02,1.83251202e-02,1.21069318e-02,
6.5,-90.0,100.0,570.0,MEAN,5.0,1.70875761e+00,1.59339208e-02,2.37504238e-02,3.15972452e-02,2.83686857e-02,1.73120426e-02,1.00465536e-02,6.94875233e-03,
6.5,-90.0,0.0,300.0,MEAN,5.0,5.56449700e+01,5.67713606e-01,9.59364308e-01,1.24095288e+00,1.11022113e+00,6.51409576e-01,2.12762168e-01,9.54691381e-02,
6.5,-90.0,20.0,300.0,MEAN,5.0,1.36309342e+01,1.36255805e-01,2.35457866e-01,2.95684141e-01,2.44040786e-01,1.48440364e-01,6.74465826e-02,3.80303777e-02,
6.5,-90.0,50.0,300.0,MEAN,5.0,5.18216564e+00,4.74190649e-02,7.40615135e-02,1.00162948e-01,9.51970820e-02,6.17509378e-02,3.11456810e-02,1.87964614e-02,
6.5,-90.0,100.0,300.0,MEAN,5.0,2.43871169e+00,1.98452079e-02,2.69527674e-02,3.77802841e-02,4.46016798e-02,3.14096149e-02,1.70752906e-02,1.07881961e-02,
6.5,-90.0,0.0,150.0,MEAN,5.0,7.06307654e+01,5.43636118e-01,8.46969082e-01,1.19308475e+00,1.29152699e+00,1.14503599e+00,4.00278633e-01,1.81454190e-01,
