rup_mag,rup_rake,dist_rrup,site_vs30,result_type,damping,pga,0.02,0.05,0.10,0.20,0.50,1.00,2.00,3.00,5.00,10.00
4.5,0.0,1.0,1000.0,MEAN,5.0,1.91086593e-01,1.96316213e-01,2.42483710e-01,3.36277170e-01,2.72014724e-01,9.44177696e-02,3.04197815e-02,6.78424852e-03,2.75025604e-03,6.41235097e-04,8.84335676e-05
4.5,0.0,10.0,1000.0,MEAN,5.0,5.76312860e-02,5.92085276e-02,7.92732699e-02,1.04808710e-01,8.71861214e-02,3.15042388e-02,1.09900733e-02,2.56127112e-03,1.01805980e-03,2.62781162e-04,4.01615017e-05
4.5,0.0,20.0,1000.0,MEAN,5.0,2.52945813e-02,2.59868384e-02,3.62653375e-02,4.67636089e-02,3.98320042e-02,1.48428925e-02,5.44135862e-03,1.30653976e-03,5.12635077e-04,1.40233956e-04,2.29609508e-05
4.5,0.0,50.0,1000.0,MEAN,5.0,5.97752457e-03,6.14111628e-03,8.80428701e-03,1.11481684e-02,1.00419227e-02,3.99019865e-03,1.56989513e-03,3.96681302e-04,1.52426269e-04,4.44153018e-05,8.16015913e-06
4.5,0.0,100.0,1000.0,MEAN,5.0,1.58779088e-03,1.63124522e-03,2.20857489e-03,2.87950435e-03,2.80257312e-03,1.20341083e-03,4.90649769e-04,1.29633503e-04,4.90273197e-05,1.41252414e-05,2.85658209e-06
4.5,0.0,1.0,1500.0,MEAN,5.0,1.63534517e-01,1.68010098e-01,2.16132065e-01,2.92925501e-01,2.26761609e-01,7.83522230e-02,2.53082557e-02,5.80922915e-03,2.39395620e-03,5.71758041e-04,7.94725111e-05
4.5,0.0,10.0,1500.0,MEAN,5.0,4.93216420e-02,5.06714669e-02,7.06583361e-02,9.12971399e-02,7.26815992e-02,2.61436714e-02,9.14337877e-03,2.19317008e-03,8.86168611e-04,2.34309137e-04,3.60918989e-05
4.5,0.0,20.0,1500.0,MEAN,5.0,2.16474483e-02,2.22398914e-02,3.23242425e-02,4.07350090e-02,3.32054428e-02,1.23173173e-02,4.52703104e-03,1.11876634e-03,4.46222424e-04,1.25039775e-04,2.06342961e-05
4.5,0.0,50.0,1500.0,MEAN,5.0,5.11564720e-03,5.25565122e-03,7.84749098e-03,9.71098573e-03,8.37132088e-03,3.31125101e-03,1.30610101e-03,3.39671016e-04,1.32679215e-04,3.96029570e-05,7.33328253e-06
4.5,0.0,100.0,1500.0,MEAN,5.0,1.35885313e-03,1.39604195e-03,1.96856049e-03,2.50828878e-03,2.33632937e-03,9.98645846e-04,4.08204438e-04,1.11002821e-04,4.26757560e-05,1.25947884e-05,2.56712194e-06
5.0,0.0,1.0,450.0,MEAN,5.0,4.41808526e-01,4.53899854e-01,4.73226167e-01,7.35618236e-01,7.73992596e-01,3.13797141e-01,1.05905270e-01,2.44175162e-02,1.06337931e-02,2.71489917e-03,4.24983350e-04
5.0,0.0,10.0,450.0,MEAN,5.0,1.42676259e-01,1.46580994e-01,1.66304157e-01,2.47180867e-01,2.65172406e-01,1.12280117e-01,4.11048040e-02,9.91883940e-03,4.22767941e-03,1.20037673e-03,2.08514287e-04
5.0,0.0,20.0,450.0,MEAN,5.0,6.55929150e-02,6.73880490e-02,7.99019704e-02,1.16058720e-01,1.26747237e-01,5.54662329e-02,2.13654815e-02,5.31739736e-03,2.23445276e-03,6.74448696e-04,1.25627391e-04
5.0,0.0,50.0,450.0,MEAN,5.0,1.67792903e-02,1.72385026e-02,2.10937835e-02,3.01885914e-02,3.45201765e-02,1.61688824e-02,6.69837527e-03,1.75749618e-03,7.21739892e-04,2.33278231e-04,4.88333232e-05
5.0,0.0,100.0,450.0,MEAN,5.0,4.77691130e-03,4.90764487e-03,5.69374894e-03,8.41536275e-03,1.03074526e-02,5.23430662e-03,2.25129849e-03,6.18610080e-04,2.49576236e-04,8.01276299e-05,1.84884915e-05
5.0,0.0,1.0,750.0,MEAN,5.0,2.85611217e-01,2.93427769e-01,3.42832661e-01,4.99704181e-01,4.64870250e-01,1.86079149e-01,6.32516971e-02,1.58091383e-02,7.20877232e-03,1.96884189e-03,3.15042067e-04
5.0,0.0,10.0,750.0,MEAN,5.0,9.22343900e-02,9.47586426e-02,1.20480440e-01,1.67909531e-01,1.59266075e-01,6.65811948e-02,2.45497568e-02,6.42195965e-03,2.86599316e-03,8.70511883e-04,1.54572578e-04
5.0,0.0,20.0,750.0,MEAN,5.0,4.24031480e-02,4.35636290e-02,5.78856519e-02,7.88384855e-02,7.61260769e-02,3.28910244e-02,1.27604884e-02,3.44275272e-03,1.51476157e-03,4.89109452e-04,9.31281496e-05
5.0,0.0,50.0,750.0,MEAN,5.0,1.08471277e-02,1.11439898e-02,1.52815682e-02,2.05070573e-02,2.07332773e-02,9.58801556e-03,4.00059038e-03,1.13789216e-03,4.89275886e-04,1.69173116e-04,3.62003619e-05
5.0,0.0,100.0,750.0,MEAN,5.0,3.08807860e-03,3.17259252e-03,4.12488412e-03,5.71654120e-03,6.19079315e-03,3.10390120e-03,1.34458323e-03,4.00519538e-04,1.69190640e-04,5.81084691e-05,1.37056018e-05
5.0,0.0,1.0,1000.0,MEAN,5.0,2.23397125e-01,2.29511013e-01,2.85920864e-01,4.01915134e-01,3.48853348e-01,1.38638989e-01,4.73161062e-02,1.23761434e-02,5.79139158e-03,1.64295011e-03,2.66167146e-04
5.0,0.0,10.0,1000.0,MEAN,5.0,7.21431662e-02,7.41175662e-02,1.00480133e-01,1.35050664e-01,1.19518303e-01,4.96065766e-02,1.83647072e-02,5.02741467e-03,2.30248479e-03,7.26420746e-04,1.30592534e-04
5.0,0.0,20.0,1000.0,MEAN,5.0,3.31665592e-02,3.40742550e-02,4.82763676e-02,6.34102768e-02,5.71274173e-02,2.45055849e-02,9.54561934e-03,2.69515015e-03,1.21693085e-03,4.08149802e-04,7.86804571e-05
5.0,0.0,50.0,1000.0,MEAN,5.0,8.48432065e-03,8.71651786e-03,1.27447576e-02,1.64939518e-02,1.55589074e-02,7.14358806e-03,2.99268427e-03,8.90795962e-04,3.93075009e-04,1.41170803e-04,3.05843188e-05
5.0,0.0,100.0,1000.0,MEAN,5.0,2.41540891e-03,2.48151335e-03,3.44013440e-03,4.59784911e-03,4.64576710e-03,2.31257359e-03,1.00582982e-03,3.13545695e-04,1.35924566e-04,4.84900875e-05,1.15793455e-05
5.0,0.0,1.0,1500.0,MEAN,5.0,1.91186312e-01,1.96418661e-01,2.54848734e-01,3.50101649e-01,2.90817148e-01,1.15049032e-01,3.93654409e-02,1.05974675e-02,5.04110800e-03,1.46493843e-03,2.39196179e-04
5.0,0.0,10.0,1500.0,MEAN,5.0,6.17411074e-02,6.34308258e-02,8.95605672e-02,1.17640408e-01,9.96349103e-02,4.11658268e-02,1.52788311e-02,4.30488414e-03,2.00419439e-03,6.47713927e-04,1.17359470e-04
5.0,0.0,20.0,1500.0,MEAN,5.0,2.83843945e-02,2.91612130e-02,4.30299875e-02,5.52356471e-02,4.76235435e-02,2.03358654e-02,7.94164070e-03,2.30780827e-03,1.05927561e-03,3.63927259e-04,7.07076924e-05
5.0,0.0,50.0,1500.0,MEAN,5.0,7.26099754e-03,7.45971508e-03,1.13597354e-02,1.43676096e-02,1.29704849e-02,5.92807908e-03,2.48981468e-03,7.62772451e-04,3.42151545e-04,1.25875115e-04,2.74851811e-05
5.0,0.0,100.0,1500.0,MEAN,5.0,2.06713995e-03,2.12371303e-03,3.06628165e-03,4.00511058e-03,3.87288455e-03,1.91908030e-03,8.36817258e-04,2.68483500e-04,1.18315332e-04,4.32362445e-05,1.04059995e-05
6.0,0.0,1.0,450.0,MEAN,5.0,6.59627471e-01,6.77680025e-01,7.00423048e-01,1.12284591e+00,1.30943780e+00,6.54214222e-01,2.48728092e-01,7.77878379e-02,4.56632648e-02,1.72905481e-02,3.82971516e-03
6.0,0.0,10.0,450.0,MEAN,5.0,2.44227974e-01,2.50911957e-01,2.84429792e-01,4.38538043e-01,5.12565714e-01,2.69185147e-01,1.11419416e-01,3.65832442e-02,2.09415177e-02,8.89910775e-03,2.19317145e-03
6.0,0.0,20.0,450.0,MEAN,5.0,1.23189218e-01,1.26560636e-01,1.50732997e-01,2.28020955e-01,2.68170170e-01,1.46193962e-01,6.38274749e-02,2.16602184e-02,1.21939802e-02,5.54271574e-03,1.46743309e-03
6.0,0.0,50.0,450.0,MEAN,5.0,3.69262250e-02,3.79368147e-02,4.70537654e-02,7.06120759e-02,8.52402195e-02,5.01108162e-02,2.36293321e-02,8.48419135e-03,4.64805313e-03,2.28633372e-03,6.82396205e-04
6.0,0.0,100.0,450.0,MEAN,5.0,1.20756862e-02,1.24061712e-02,1.47058452e-02,2.29266455e-02,2.91339528e-02,1.86908976e-02,9.18417915e-03,3.46439345e-03,1.85772738e-03,9.16088338e-04,3.02201097e-04
6.0,0.0,1.0,750.0,MEAN,5.0,4.26422294e-01,4.38092535e-01,5.07427345e-01,7.62747264e-01,7.86465764e-01,3.87943706e-01,1.48552324e-01,5.03637912e-02,3.09556595e-02,1.25390865e-02,2.83898506e-03
6.0,0.0,10.0,750.0,MEAN,5.0,1.57883438e-01,1.62204361e-01,2.06057546e-01,2.97898126e-01,3.07853787e-01,1.59624600e-01,6.65450090e-02,2.36858475e-02,1.41964989e-02,6.45362315e-03,1.62580785e-03
6.0,0.0,20.0,750.0,MEAN,5.0,7.96368118e-02,8.18162964e-02,1.09199783e-01,1.54894236e-01,1.61066572e-01,8.66918290e-02,3.81208236e-02,1.40239239e-02,8.26644129e-03,4.01957135e-03,1.08781474e-03
6.0,0.0,50.0,750.0,MEAN,5.0,2.38713005e-02,2.45246056e-02,3.40884945e-02,4.79666597e-02,5.11964098e-02,2.97153059e-02,1.41125683e-02,5.49309575e-03,3.15096940e-03,1.65804670e-03,5.05863373e-04
6.0,0.0,100.0,750.0,MEAN,5.0,7.80643929e-03,8.02008438e-03,1.06537728e-02,1.55740302e-02,1.74982397e-02,1.10835501e-02,5.48523146e-03,2.24302401e-03,1.25937505e-03,6.64346254e-04,2.24023031e-04
6.0,0.0,1.0,1000.0,MEAN,5.0,3.33535620e-01,3.42663757e-01,4.23192073e-01,6.13482297e-01,5.90188799e-01,2.89038958e-01,1.11126149e-01,3.94271649e-02,2.48691924e-02,1.04635591e-02,2.39855127e-03
6.0,0.0,10.0,1000.0,MEAN,5.0,1.23492020e-01,1.26871725e-01,1.71851046e-01,2.39601287e-01,2.31023225e-01,1.18928925e-01,4.97797032e-02,1.85424051e-02,1.14051992e-02,5.38538972e-03,1.37358366e-03
6.0,0.0,20.0,1000.0,MEAN,5.0,6.22896921e-02,6.39944241e-02,9.10721168e-02,1.24582383e-01,1.20869453e-01,6.45900824e-02,2.85166884e-02,1.09785929e-02,6.64110286e-03,3.35423338e-03,9.19053600e-04
6.0,0.0,50.0,1000.0,MEAN,5.0,1.86714652e-02,1.91824622e-02,2.84296478e-02,3.85798782e-02,3.84194062e-02,2.21395036e-02,1.05570571e-02,4.30025594e-03,2.53142932e-03,1.38359917e-03,4.27384863e-04
6.0,0.0,100.0,1000.0,MEAN,5.0,6.10597899e-03,6.27308622e-03,8.88519752e-03,1.25262879e-02,1.31312328e-02,8.25784182e-03,4.10328585e-03,1.75594560e-03,1.01175814e-03,5.54380602e-04,1.89268600e-04
6.0,0.0,1.0,1500.0,MEAN,5.0,2.85444340e-01,2.93256325e-01,3.77202149e-01,5.34394318e-01,4.92003372e-01,2.39857867e-01,9.24532937e-02,3.37607674e-02,2.16473508e-02,9.32984500e-03,2.15550382e-03
6.0,0.0,10.0,1500.0,MEAN,5.0,1.05686158e-01,1.08578556e-01,1.53175326e-01,2.08712732e-01,1.92589568e-01,9.86927113e-02,4.14150725e-02,1.58775257e-02,9.92763834e-03,4.80188918e-03,1.23439714e-03
6.0,0.0,20.0,1500.0,MEAN,5.0,5.33083696e-02,5.47673025e-02,8.11749565e-02,1.08521660e-01,1.00761279e-01,5.35998314e-02,2.37249449e-02,9.40077027e-03,5.78073790e-03,2.99080621e-03,8.25925035e-04
6.0,0.0,50.0,1500.0,MEAN,5.0,1.59792950e-02,1.64166132e-02,2.53400876e-02,3.36062961e-02,3.20278484e-02,1.83723819e-02,8.78312361e-03,3.68223129e-03,2.20347881e-03,1.23368785e-03,3.84077553e-04
6.0,0.0,100.0,1500.0,MEAN,5.0,5.22558025e-03,5.36859290e-03,7.91960863e-03,1.09114429e-02,1.09466849e-02,6.85273827e-03,3.41379860e-03,1.50358442e-03,8.80683334e-04,4.94314126e-04,1.70089835e-04
7.0,0.0,1.0,450.0,MEAN,5.0,1.03171102e+00,1.05994668e+00,1.05125570e+00,1.71695591e+00,2.07947853e+00,1.14761660e+00,4.80333689e-01,1.93253478e-01,1.51910242e-01,8.31836536e-02,2.62656478e-02
7.0,0.0,10.0,450.0,MEAN,5.0,4.37959342e-01,4.49945327e-01,4.92583877e-01,7.75885719e-01,9.22544178e-01,5.36937816e-01,2.45150028e-01,1.03643042e-01,7.90383173e-02,4.89157653e-02,1.71826242e-02
7.0,0.0,20.0,450.0,MEAN,5.0,2.42372396e-01,2.49005596e-01,2.87653518e-01,4.45380820e-01,5.25438143e-01,3.18159098e-01,1.53427019e-01,6.70823111e-02,5.01357922e-02,3.33484563e-02,1.25826794e-02
7.0,0.0,50.0,450.0,MEAN,5.0,8.51316265e-02,8.74614921e-02,1.06004016e-01,1.63337931e-01,1.93104044e-01,1.26572026e-01,6.60739658e-02,3.05979218e-02,2.21218230e-02,1.60543356e-02,6.82748417e-03
7.0,0.0,100.0,450.0,MEAN,5.0,3.19794621e-02,3.28546697e-02,3.83034530e-02,6.14864610e-02,7.49322856e-02,5.37782912e-02,2.93128845e-02,1.42739058e-02,1.00485195e-02,7.36319980e-03,3.46033128e-03
7.0,0.0,1.0,750.0,MEAN,5.0,6.66959153e-01,6.85212359e-01,7.61591000e-01,1.16632515e+00,1.24896247e+00,6.80527298e-01,2.86878274e-01,1.25122102e-01,1.02981724e-01,6.03246941e-02,1.94708427e-02
7.0,0.0,10.0,750.0,MEAN,5.0,2.83122877e-01,2.90871328e-01,3.56856516e-01,5.27057812e-01,5.54092307e-01,3.18399752e-01,1.46415333e-01,6.71037615e-02,5.35809966e-02,3.54736592e-02,1.27375565e-02
7.0,0.0,20.0,750.0,MEAN,5.0,1.56683882e-01,1.60971976e-01,2.08393001e-01,3.02546412e-01,3.15585139e-01,1.88665754e-01,9.16339607e-02,4.34324902e-02,3.39876379e-02,2.41842638e-02,9.32759675e-03
7.0,0.0,50.0,750.0,MEAN,5.0,5.50341292e-02,5.65402924e-02,7.67954975e-02,1.10955171e-01,1.15980858e-01,7.50561808e-02,3.94625355e-02,1.98106463e-02,1.49966417e-02,1.16425865e-02,5.06124470e-03
7.0,0.0,100.0,750.0,MEAN,5.0,2.06734197e-02,2.12392058e-02,2.77492574e-02,4.17676454e-02,4.50053276e-02,3.18900887e-02,1.75070579e-02,9.24165051e-03,6.81200850e-03,5.33978439e-03,2.56515913e-03
7.0,0.0,1.0,1000.0,MEAN,5.0,5.21676839e-01,5.35953988e-01,6.35163393e-01,9.38082459e-01,9.37260964e-01,5.07029494e-01,2.14602351e-01,9.79515174e-02,8.27335727e-02,5.03394728e-02,1.64501798e-02
7.0,0.0,10.0,1000.0,MEAN,5.0,2.21450814e-01,2.27511436e-01,2.97616694e-01,4.23915827e-01,4.15808403e-01,2.37224966e-01,1.09527550e-01,5.25320078e-02,4.30459611e-02,2.96018957e-02,1.07614805e-02
7.0,0.0,20.0,1000.0,MEAN,5.0,1.22553761e-01,1.25907788e-01,1.73798805e-01,2.43339933e-01,2.36825076e-01,1.40566149e-01,6.85477609e-02,3.40010137e-02,2.73050266e-02,2.01811730e-02,7.88053428e-03
7.0,0.0,50.0,1000.0,MEAN,5.0,4.30461602e-02,4.42242390e-02,6.40470919e-02,8.92419235e-02,8.70357064e-02,5.59208977e-02,2.95203703e-02,1.55087137e-02,1.20480188e-02,9.71545192e-03,4.27605453e-03
7.0,0.0,100.0,1000.0,MEAN,5.0,1.61701720e-02,1.66127141e-02,2.31427531e-02,3.35939731e-02,3.37734221e-02,2.37598339e-02,1.30963412e-02,7.23480244e-03,5.47263902e-03,4.45591868e-03,2.16720608e-03
7.0,0.0,1.0,1500.0,MEAN,5.0,4.46458167e-01,4.58676746e-01,5.66137723e-01,8.17148169e-01,7.81335660e-01,4.20756475e-01,1.78542083e-01,8.38741105e-02,7.20153127e-02,4.48852511e-02,1.47832676e-02
7.0,0.0,10.0,1500.0,MEAN,5.0,1.89520632e-01,1.94707396e-01,2.65273533e-01,3.69266090e-01,3.46633377e-01,1.96860226e-01,9.11233120e-02,4.49822070e-02,3.74692914e-02,2.63945657e-02,9.67100959e-03
7.0,0.0,20.0,1500.0,MEAN,5.0,1.04883183e-01,1.07753605e-01,1.54911415e-01,2.11969405e-01,1.97426207e-01,1.16648278e-01,5.70294780e-02,2.91144523e-02,2.37676190e-02,1.79945671e-02,7.08199233e-03
7.0,0.0,50.0,1500.0,MEAN,5.0,3.68394921e-02,3.78477080e-02,5.70868460e-02,7.77371687e-02,7.25562076e-02,4.64057418e-02,2.45599752e-02,1.32798307e-02,1.04871797e-02,8.66279432e-03,3.84275791e-03
7.0,0.0,100.0,1500.0,MEAN,5.0,1.38386542e-02,1.42173877e-02,2.06277404e-02,2.92631563e-02,2.81547830e-02,1.97170068e-02,1.08957243e-02,6.19503031e-03,4.76365032e-03,3.97312522e-03,1.94760106e-03
7.5,0.0,1.0,450.0,MEAN,5.0,1.21178312e+00,1.24494697e+00,1.19691368e+00,1.92714614e+00,2.28356960e+00,1.23374045e+00,5.20432307e-01,2.23991085e-01,1.98237408e-01,1.25403307e-01,4.60425708e-02
7.5,0.0,10.0,450.0,MEAN,5.0,5.50795207e-01,5.65869261e-01,6.01090143e-01,9.30371011e-01,1.06542143e+00,6.05221365e-01,2.78061823e-01,1.25407777e-01,1.07158608e-01,7.66442251e-02,3.11691656e-02
7.5,0.0,20.0,450.0,MEAN,5.0,3.19282819e-01,3.28020888e-01,3.67914484e-01,5.58543254e-01,6.27901528e-01,3.70323296e-01,1.79514633e-01,8.35722511e-02,6.97572725e-02,5.36380537e-02,2.33609252e-02
7.5,0.0,50.0,450.0,MEAN,5.0,1.21396483e-01,1.24718838e-01,1.46927789e-01,2.21152175e-01,2.44637534e-01,1.55638127e-01,8.15243381e-02,4.00686880e-02,3.21735023e-02,2.70035647e-02,1.31889912e-02
7.5,0.0,100.0,450.0,MEAN,5.0,4.88751367e-02,5.02127418e-02,5.69563820e-02,8.90194699e-02,9.99030602e-02,6.93799501e-02,3.78860874e-02,1.95252337e-02,1.51914992e-02,1.28791613e-02,6.92052636e-03
7.5,0.0,1.0,750.0,MEAN,5.0,7.83368435e-01,8.04807508e-01,8.67114145e-01,1.30910700e+00,1.37154228e+00,7.31598042e-01,3.10827089e-01,1.45023188e-01,1.34387450e-01,9.09423401e-02,3.41315647e-02
7.5,0.0,10.0,750.0,MEAN,5.0,3.56066668e-01,3.65811430e-01,4.35464790e-01,6.31999400e-01,6.39906285e-01,3.58891341e-01,1.66071832e-01,8.11953547e-02,7.26440696e-02,5.55823077e-02,2.31058425e-02
7.5,0.0,20.0,750.0,MEAN,5.0,2.06403338e-01,2.12052144e-01,2.66538730e-01,3.79417456e-01,3.77126011e-01,2.19598699e-01,1.07214733e-01,5.41089136e-02,4.72892682e-02,3.88982575e-02,1.73175588e-02
7.5,0.0,50.0,750.0,MEAN,5.0,7.84778818e-02,8.06256489e-02,1.06443067e-01,1.50228286e-01,1.46932558e-01,9.22921418e-02,4.86902375e-02,2.59425007e-02,2.18107923e-02,1.95829554e-02,9.77705845e-03
7.5,0.0,100.0,750.0,MEAN,5.0,3.15957852e-02,3.24604925e-02,4.12625281e-02,6.04707702e-02,6.00031070e-02,4.11417454e-02,2.26273851e-02,1.26416265e-02,1.02984944e-02,9.33995359e-03,5.13021729e-03
7.5,0.0,1.0,1000.0,MEAN,5.0,6.12728931e-01,6.29497976e-01,7.23169211e-01,1.05292278e+00,1.02924873e+00,5.45079950e-01,2.32517516e-01,1.13531031e-01,1.07964340e-01,7.58891450e-02,2.88364702e-02
7.5,0.0,10.0,1000.0,MEAN,5.0,2.78505412e-01,2.86127493e-01,3.63175633e-01,5.08320989e-01,4.80205927e-01,2.67393381e-01,1.24231804e-01,6.35635755e-02,5.83608740e-02,4.63820681e-02,1.95212539e-02
7.5,0.0,20.0,1000.0,MEAN,5.0,1.61442932e-01,1.65861270e-01,2.22292076e-01,3.05167784e-01,2.83007294e-01,1.63612860e-01,8.02031236e-02,4.23590245e-02,3.79913052e-02,3.24596387e-02,1.46309515e-02
7.5,0.0,50.0,1000.0,MEAN,5.0,6.13832093e-02,6.30631329e-02,8.87730290e-02,1.20829531e-01,1.10262841e-01,6.87626170e-02,3.64232511e-02,2.03090202e-02,1.75223787e-02,1.63414944e-02,8.26026750e-03
7.5,0.0,100.0,1000.0,MEAN,5.0,2.47133416e-02,2.53896914e-02,3.44127588e-02,4.86370109e-02,4.50282305e-02,3.06528164e-02,1.69266566e-02,9.89646493e-03,8.27361593e-03,7.79396144e-03,4.33432687e-03
7.5,0.0,1.0,1500.0,MEAN,5.0,5.24381792e-01,5.38732969e-01,6.44579607e-01,9.17183681e-01,8.58020092e-01,4.52332500e-01,1.93446910e-01,9.72145659e-02,9.39773956e-02,6.76666469e-02,2.59144435e-02
7.5,0.0,10.0,1500.0,MEAN,5.0,2.38348737e-01,2.44871818e-01,3.23707928e-01,4.42790036e-01,4.00317553e-01,2.21895369e-01,1.03356767e-01,5.44283386e-02,5.08001341e-02,4.13566264e-02,1.75431469e-02
7.5,0.0,20.0,1500.0,MEAN,5.0,1.38165067e-01,1.41946341e-01,1.98134734e-01,2.65826627e-01,2.35925425e-01,1.35773502e-01,6.67263556e-02,3.62712656e-02,3.30694739e-02,2.89426757e-02,1.31483835e-02
7.5,0.0,50.0,1500.0,MEAN,5.0,5.25325892e-02,5.39702908e-02,7.91257195e-02,1.05252613e-01,9.19192127e-02,5.70623932e-02,3.03029445e-02,1.73902462e-02,1.52523279e-02,1.45709130e-02,7.42324683e-03
7.5,0.0,100.0,1500.0,MEAN,5.0,2.11500154e-02,2.17288449e-02,3.06729908e-02,4.23668986e-02,3.75372106e-02,2.54371218e-02,1.40824204e-02,8.47416370e-03,7.20175642e-03,6.94949504e-03,3.89512546e-03
4.5,90.0,1.0,450.0,MEAN,5.0,4.09383457e-01,4.20587383e-01,4.34759450e-01,6.66743929e-01,6.53777369e-01,2.31505277e-01,7.22973424e-02,1.36553800e-02,5.15186287e-03,1.05961138e-03,1.41199973e-04
4.5,90.0,10.0,450.0,MEAN,5.0,1.23469128e-01,1.26848207e-01,1.42132448e-01,2.07806468e-01,2.09548631e-01,7.72460262e-02,2.61196186e-02,5.15534332e-03,1.90706044e-03,4.34233732e-04,6.41250047e-05
4.5,90.0,20.0,450.0,MEAN,5.0,5.41910501e-02,5.56741400e-02,6.50216799e-02,9.27192063e-02,9.57347548e-02,3.63936572e-02,1.29322351e-02,2.62981180e-03,9.60283543e-04,2.31730135e-04,3.66612556e-05
4.5,90.0,50.0,450.0,MEAN,5.0,1.28062342e-02,1.31567127e-02,1.57855840e-02,2.21037116e-02,2.41353912e-02,9.78366728e-03,3.73109996e-03,7.98442730e-04,2.85529501e-04,7.33942348e-05,1.30291503e-05
4.5,90.0,100.0,450.0,MEAN,5.0,3.40167935e-03,3.49477584e-03,3.95984871e-03,5.70925479e-03,6.73588125e-03,2.95067292e-03,1.16610549e-03,2.60927166e-04,9.18394592e-05,2.33413089e-05,4.56104309e-06
4.5,90.0,1.0,750.0,MEAN,5.0,2.64649731e-01,2.71892613e-01,3.14965126e-01,4.52917985e-01,3.92667386e-01,1.37280744e-01,4.31794340e-02,8.84118551e-03,3.49250789e-03,7.68429007e-04,1.04672174e-04
4.5,90.0,10.0,750.0,MEAN,5.0,7.98177626e-02,8.20021994e-02,1.02969042e-01,1.41162570e-01,1.25857696e-01,4.58062645e-02,1.55998866e-02,3.33783071e-03,1.29281850e-03,3.14905825e-04,4.75361541e-05
4.5,90.0,20.0,750.0,MEAN,5.0,3.50323067e-02,3.59910639e-02,4.71055007e-02,6.29839947e-02,5.74995674e-02,2.15811423e-02,7.72374992e-03,1.70267353e-03,6.50987407e-04,1.68050439e-04,2.71771535e-05
4.5,90.0,50.0,750.0,MEAN,5.0,8.27870885e-03,8.50527892e-03,1.14359986e-02,1.50150126e-02,1.44960370e-02,5.80163502e-03,2.22839152e-03,5.16952316e-04,1.93563777e-04,5.32254183e-05,9.65856768e-06
4.5,90.0,100.0,750.0,MEAN,5.0,2.19904715e-03,2.25923024e-03,2.86874557e-03,3.87828679e-03,4.04565989e-03,1.74972501e-03,6.96454026e-04,1.68937480e-04,6.22590399e-05,1.69270916e-05,3.38112174e-06
4.5,90.0,1.0,1000.0,MEAN,5.0,2.07001635e-01,2.12666815e-01,2.62679468e-01,3.64284710e-01,2.94670033e-01,1.02281549e-01,3.23008358e-02,6.92129943e-03,2.80581490e-03,6.41235097e-04,8.84335676e-05
