rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,pga,0.05,0.1,0.3,0.5,1.0,2.0,5.0
4.5,20.0,200.0,200.0,MEAN,5.0,5.78918462e-04,5.99950189e-04,8.45620501e-04,1.85807163e-03,1.70914615e-03,5.71337589e-04,1.74844860e-04,2.64737498e-05
4.5,20.0,500.0,200.0,MEAN,5.0,2.63427483e-05,1.94010018e-05,2.17900699e-05,1.03717648e-04,1.49531910e-04,7.41583585e-05,3.05154184e-05,4.66791860e-06
4.5,20.0,5.0,360.0,MEAN,5.0,3.97279157e-01,5.66535480e-01,6.34379328e-01,8.26786828e-01,5.92449622e-01,1.08483114e-01,1.64152056e-02,1.81891000e-03
4.5,20.0,20.0,360.0,MEAN,5.0,4.84063782e-02,6.72450315e-02,9.18604471e-02,1.17137004e-01,7.06541188e-02,1.35358900e-02,2.94379935e-03,4.04218054e-04
4.5,20.0,50.0,360.0,MEAN,5.0,1.02893887e-02,1.36210019e-02,2.04289687e-02,2.73250165e-02,1.56262965e-02,3.20794072e-03,8.90859167e-04,1.37321621e-04
4.5,20.0,100.0,360.0,MEAN,5.0,2.71015511e-03,3.35271274e-03,5.21089107e-03,7.78830740e-03,4.51929874e-03,1.01275785e-03,3.40191488e-04,5.64568721e-05
4.5,20.0,200.0,360.0,MEAN,5.0,5.36551013e-04,5.87482603e-04,8.91647325e-04,1.70325171e-03,1.10075237e-03,2.85996696e-04,1.17319275e-04,2.05560164e-05
4.5,20.0,500.0,360.0,MEAN,5.0,2.44148860e-05,1.89978289e-05,2.29760957e-05,9.50755920e-05,9.63039963e-05,3.71217402e-05,2.04755620e-05,3.62448887e-06
4.5,20.0,5.0,570.0,MEAN,5.0,3.97279157e-01,5.66535480e-01,6.34379328e-01,8.26786828e-01,5.92449622e-01,1.08483114e-01,1.64152056e-02,1.81891000e-03
4.5,20.0,20.0,570.0,MEAN,5.0,4.84063782e-02,6.72450315e-02,9.18604471e-02,1.17137004e-01,7.06541188e-02,1.35358900e-02,2.94379935e-03,4.04218054e-04
4.5,20.0,50.0,570.0,MEAN,5.0,1.02893887e-02,1.36210019e-02,2.04289687e-02,2.73250165e-02,1.56262965e-02,3.20794072e-03,8.90859167e-04,1.37321621e-04
4.5,20.0,100.0,570.0,MEAN,5.0,2.71015511e-03,3.35271274e-03,5.21089107e-03,7.78830740e-03,4.51929874e-03,1.01275785e-03,3.40191488e-04,5.64568721e-05
4.5,20.0,200.0,570.0,MEAN,5.0,5.36551013e-04,5.87482603e-04,8.91647325e-04,1.70325171e-03,1.10075237e-03,2.85996696e-04,1.17319275e-04,2.05560164e-05
4.5,20.0,500.0,570.0,MEAN,5.0,2.44148860e-05,1.89978289e-05,2.29760957e-05,9.50755920e-05,9.63039963e-05,3.71217402e-05,2.04755620e-05,3.62448887e-06
4.5,20.0,5.0,800.0,MEAN,5.0,3.14706104e-01,5.08029598e-01,5.89130125e-01,4.95985601e-01,3.80035946e-01,7.44847594e-02,1.13272132e-02,1.35288239e-03
4.5,20.0,20.0,800.0,MEAN,5.0,3.83452854e-02,6.03006652e-02,8.53081970e-02,7.02699481e-02,4.53221740e-02,9.29377362e-03,2.03135091e-03,3.00652307e-04
4.5,20.0,50.0,800.0,MEAN,5.0,8.15077605e-03,1.22143667e-02,1.89718050e-02,1.63921513e-02,1.00237288e-02,2.20257958e-03,6.14731971e-04,1.02138095e-04
4.5,20.0,100.0,800.0,MEAN,5.0,2.14685906e-03,3.00647949e-03,4.83920704e-03,4.67216965e-03,2.89897387e-03,6.95361904e-04,2.34747075e-04,4.19919117e-05
4.5,20.0,200.0,800.0,MEAN,5.0,4.25030802e-04,5.26813520e-04,8.28047631e-04,1.02177284e-03,7.06094581e-04,1.96365999e-04,8.09554549e-05,1.52893066e-05
4.5,20.0,500.0,800.0,MEAN,5.0,1.93403392e-05,1.70359311e-05,2.13372497e-05,5.70354087e-05,6.17756835e-05,2.54878734e-05,1.41290375e-05,2.69584925e-06
4.5,100.0,5.0,200.0,MEAN,5.0,1.32642045e+00,1.86485710e+00,1.87815856e+00,2.89559790e+00,2.24276743e+00,4.84246722e-01,4.76369193e-02,3.52273409e-03
4.5,100.0,20.0,200.0,MEAN,5.0,1.61617363e-01,2.21349552e-01,2.71964229e-01,4.10240768e-01,2.67467057e-01,6.04214801e-02,8.54290440e-03,7.82860461e-04
4.5,100.0,50.0,200.0,MEAN,5.0,3.43538174e-02,4.48360658e-02,6.04824916e-02,9.56985014e-02,5.91546479e-02,1.43195997e-02,2.58527290e-03,2.65954642e-04
4.5,100.0,100.0,200.0,MEAN,5.0,9.04856219e-03,1.10360787e-02,1.54274883e-02,2.72764463e-02,1.71081821e-02,4.52074660e-03,9.87235544e-04,1.09341610e-04
4.5,100.0,200.0,200.0,MEAN,5.0,1.79141599e-03,1.93380846e-03,2.63983232e-03,5.96517977e-03,4.16698985e-03,1.27663151e-03,3.40460483e-04,3.98114145e-05
4.5,100.0,500.0,200.0,MEAN,5.0,8.15154873e-05,6.25348941e-05,6.80235765e-05,3.32976621e-04,3.64566806e-04,1.65703954e-04,5.94200717e-05,7.01964942e-06
4.5,100.0,5.0,360.0,MEAN,5.0,1.22934797e+00,1.82610344e+00,1.98038606e+00,2.65432827e+00,1.44442391e+00,2.42401279e-01,3.19639299e-02,2.73528988e-03
4.5,100.0,20.0,360.0,MEAN,5.0,1.49789591e-01,2.16749679e-01,2.86767145e-01,3.76058316e-01,1.72258526e-01,3.02454171e-02,5.73220942e-03,6.07866004e-04
4.5,100.0,50.0,360.0,MEAN,5.0,3.18396747e-02,4.39043260e-02,6.37745322e-02,8.77246243e-02,3.80977477e-02,7.16801816e-03,1.73469408e-03,2.06505237e-04
4.5,100.0,100.0,360.0,MEAN,5.0,8.38635408e-03,1.08067376e-02,1.62672010e-02,2.50036936e-02,1.10182924e-02,2.26296784e-03,6.62425870e-04,8.49002485e-05
4.5,100.0,200.0,360.0,MEAN,5.0,1.66031337e-03,1.89362192e-03,2.78351746e-03,5.46814366e-03,2.68369323e-03,6.39048441e-04,2.28445818e-04,3.09122847e-05
4.5,100.0,500.0,360.0,MEAN,5.0,7.55498747e-05,6.12353542e-05,7.17260756e-05,3.05232042e-04,2.34794301e-04,8.29470778e-05,3.98703156e-05,5.45053232e-06
4.5,100.0,5.0,570.0,MEAN,5.0,1.22934797e+00,1.82610344e+00,1.98038606e+00,2.65432827e+00,1.44442391e+00,2.42401279e-01,3.19639299e-02,2.73528988e-03
4.5,100.0,20.0,570.0,MEAN,5.0,1.49789591e-01,2.16749679e-01,2.86767145e-01,3.76058316e-01,1.72258526e-01,3.02454171e-02,5.73220942e-03,6.07866004e-04
4.5,100.0,50.0,570.0,MEAN,5.0,3.18396747e-02,4.39043260e-02,6.37745322e-02,8.77246243e-02,3.80977477e-02,7.16801816e-03,1.73469408e-03,2.06505237e-04
4.5,100.0,100.0,570.0,MEAN,5.0,8.38635408e-03,1.08067376e-02,1.62672010e-02,2.50036936e-02,1.10182924e-02,2.26296784e-03,6.62425870e-04,8.49002485e-05
4.5,100.0,200.0,570.0,MEAN,5.0,1.66031337e-03,1.89362192e-03,2.78351746e-03,5.46814366e-03,2.68369323e-03,6.39048441e-04,2.28445818e-04,3.09122847e-05
4.5,100.0,500.0,570.0,MEAN,5.0,7.55498747e-05,6.12353542e-05,7.17260756e-05,3.05232042e-04,2.34794301e-04,8.29470778e-05,3.98703156e-05,5.45053232e-06
4.5,100.0,5.0,800.0,MEAN,5.0,9.73832385e-01,1.63752250e+00,1.83912848e+00,1.59231928e+00,9.26547991e-01,1.66433284e-01,2.20565162e-02,2.03447422e-03
4.5,100.0,20.0,800.0,MEAN,5.0,1.18656360e-01,1.94366030e-01,2.66312531e-01,2.25595647e-01,1.10497888e-01,2.07665740e-02,3.95547638e-03,4.52123092e-04
4.5,100.0,50.0,800.0,MEAN,5.0,2.52219121e-02,3.93703445e-02,5.92256028e-02,5.26255971e-02,2.44383878e-02,4.92157799e-03,1.19701514e-03,1.53595999e-04
4.5,100.0,100.0,800.0,MEAN,5.0,6.64328035e-03,9.69073031e-03,1.51068891e-02,1.49996004e-02,7.06785357e-03,1.55375900e-03,4.57102959e-04,6.31477375e-05
4.5,100.0,200.0,800.0,MEAN,5.0,1.31522317e-03,1.69806838e-03,2.58497387e-03,3.28031414e-03,1.72149641e-03,4.38772150e-04,1.57637653e-04,2.29921687e-05
4.5,100.0,500.0,800.0,MEAN,5.0,5.98471032e-05,5.49116048e-05,6.66099762e-05,1.83107293e-04,1.50612425e-04,5.69516571e-05,2.75122697e-05,4.05403741e-06
4.5,150.0,5.0,200.0,MEAN,5.0,1.88793553e+00,2.68836830e+00,2.68060310e+00,4.16906428e+00,2.96302458e+00,6.22562816e-01,5.86658670e-02,4.00177262e-03
4.5,150.0,20.0,200.0,MEAN,5.0,2.30035026e-01,3.19096363e-01,3.88161133e-01,5.90662168e-01,3.53363194e-01,7.76797552e-02,1.05207663e-02,8.89317638e-04
4.5,150.0,50.0,200.0,MEAN,5.0,4.88968581e-02,6.46354393e-02,8.63236780e-02,1.37786122e-01,7.81519623e-02,1.84097278e-02,3.18381790e-03,3.02120449e-04
4.5,150.0,100.0,200.0,MEAN,5.0,1.28791004e-02,1.59095537e-02,2.20188933e-02,3.92724619e-02,2.26024168e-02,5.81201401e-03,1.21580132e-03,1.24210415e-04
4.5,150.0,200.0,200.0,MEAN,5.0,2.54977817e-03,2.78776822e-03,3.76770250e-03,8.58862963e-03,5.50520450e-03,1.64127763e-03,4.19284239e-04,4.52251645e-05
4.5,150.0,500.0,200.0,MEAN,5.0,1.16023532e-04,9.01499780e-05,9.70866966e-05,4.79417718e-04,4.81646198e-04,2.13034215e-04,7.31770668e-05,7.97421552e-06
4.5,150.0,5.0,360.0,MEAN,5.0,1.74976925e+00,2.63250122e+00,2.82650737e+00,3.82168574e+00,1.90829575e+00,3.11638709e-01,3.93642513e-02,3.10724791e-03
4.5,150.0,20.0,360.0,MEAN,5.0,2.13200190e-01,3.12465210e-01,4.09288606e-01,5.41446481e-01,2.27578767e-01,3.88844595e-02,7.05933634e-03,6.90526583e-04
4.5,150.0,50.0,360.0,MEAN,5.0,4.53184006e-02,6.32922479e-02,9.10222451e-02,1.26305382e-01,5.03327101e-02,9.21542960e-03,2.13631221e-03,2.34586825e-04
4.5,150.0,100.0,360.0,MEAN,5.0,1.19365589e-02,1.55789367e-02,2.32173739e-02,3.60001663e-02,1.45567796e-02,2.90934263e-03,8.15791378e-04,9.64453976e-05
4.5,150.0,200.0,360.0,MEAN,5.0,2.36317573e-03,2.72983551e-03,3.97277721e-03,7.87300006e-03,3.54555220e-03,8.21580775e-04,2.81335825e-04,3.51158877e-05
4.5,150.0,500.0,360.0,MEAN,5.0,1.07532490e-04,8.82765682e-05,1.02371091e-04,4.39471242e-04,3.10197694e-04,1.06639372e-04,4.91011314e-05,6.19172223e-06
4.5,150.0,5.0,570.0,MEAN,5.0,1.74976925e+00,2.63250122e+00,2.82650737e+00,3.82168574e+00,1.90829575e+00,3.11638709e-01,3.93642513e-02,3.10724791e-03
4.5,150.0,20.0,570.0,MEAN,5.0,2.13200190e-01,3.12465210e-01,4.09288606e-01,5.41446481e-01,2.27578767e-01,3.88844595e-02,7.05933634e-03,6.90526583e-04
4.5,150.0,50.0,570.0,MEAN,5.0,4.53184006e-02,6.32922479e-02,9.10222451e-02,1.26305382e-01,5.03327101e-02,9.21542960e-03,2.13631221e-03,2.34586825e-04
4.5,150.0,100.0,570.0,MEAN,5.0,1.19365589e-02,1.55789367e-02,2.32173739e-02,3.60001663e-02,1.45567796e-02,2.90934263e-03,8.15791378e-04,9.64453976e-05
4.5,150.0,200.0,570.0,MEAN,5.0,2.36317573e-03,2.72983551e-03,3.97277721e-03,7.87300006e-03,3.54555220e-03,8.21580775e-04,2.81335825e-04,3.51158877e-05
4.5,150.0,500.0,570.0,MEAN,5.0,1.07532490e-04,8.82765682e-05,1.02371091e-04,4.39471242e-04,3.10197694e-04,1.06639372e-04,4.91011314e-05,6.19172223e-06
4.5,150.0,5.0,800.0,MEAN,5.0,1.38608596e+00,2.36064392e+00,2.62489739e+00,2.29261163e+00,1.22410573e+00,2.13971865e-01,2.71630631e-02,2.31113193e-03
4.5,150.0,20.0,800.0,MEAN,5.0,1.68887293e-01,2.80197058e-01,3.80094743e-01,3.24811244e-01,1.45983909e-01,2.66981606e-02,4.87125227e-03,5.13604991e-04
4.5,150.0,50.0,800.0,MEAN,5.0,3.58991330e-02,5.67560839e-02,8.45297826e-02,7.57700154e-02,3.22866931e-02,6.32733546e-03,1.47414930e-03,1.74482731e-04
4.5,150.0,100.0,800.0,MEAN,5.0,9.45558782e-03,1.39701064e-02,2.15613179e-02,2.15963336e-02,9.33767075e-03,1.99756144e-03,5.62931898e-04,7.17348742e-05
4.5,150.0,200.0,800.0,MEAN,5.0,1.87199810e-03,2.44792654e-03,3.68940574e-03,4.72297639e-03,2.27434914e-03,5.64099277e-04,1.94134082e-04,2.61187558e-05
4.5,150.0,500.0,800.0,MEAN,5.0,8.51822458e-05,7.91602838e-05,9.50691345e-05,2.63636769e-04,1.98981094e-04,7.32188416e-05,3.38819382e-05,4.60532516e-06
5.0,5.0,5.0,200.0,MEAN,5.0,5.16816681e-01,6.44969350e-01,6.54385580e-01,1.11905628e+00,1.35297110e+00,4.13333887e-01,5.67081397e-02,5.03485892e-03
5.0,5.0,20.0,200.0,MEAN,5.0,6.69330685e-02,8.21646295e-02,1.03594497e-01,1.69496778e-01,1.68984572e-01,5.31757223e-02,1.04515973e-02,1.17930724e-03
5.0,5.0,50.0,200.0,MEAN,5.0,1.44319309e-02,1.69300184e-02,2.35691249e-02,4.01927759e-02,3.77665674e-02,1.26854751e-02,3.18143450e-03,4.05483897e-04
5.0,5.0,100.0,200.0,MEAN,5.0,3.82008753e-03,4.19214005e-03,6.06055442e-03,1.15219467e-02,1.09617804e-02,4.01377479e-03,1.21729813e-03,1.67397463e-04
5.0,5.0,200.0,200.0,MEAN,5.0,7.58189469e-04,7.36805763e-04,1.04132620e-03,2.52716386e-03,2.67477727e-03,1.13473614e-03,4.20218502e-04,6.10774130e-05
5.0,5.0,500.0,200.0,MEAN,5.0,3.45524611e-05,2.38704522e-05,2.69004552e-05,1.41317065e-04,2.34270649e-04,1.47385602e-04,7.33840723e-05,1.07829545e-05
5.0,5.0,5.0,360.0,MEAN,5.0,4.78994075e-01,6.31566219e-01,6.90003555e-01,1.02581326e+00,8.71362663e-01,2.06904164e-01,3.80506345e-02,3.90940624e-03
5.0,5.0,20.0,360.0,MEAN,5.0,6.20346527e-02,8.04571634e-02,1.09233109e-01,1.55373814e-01,1.08832219e-01,2.66183797e-02,7.01292463e-03,9.15694193e-04
5.0,5.0,50.0,360.0,MEAN,5.0,1.33757474e-02,1.65781951e-02,2.48519840e-02,3.68437971e-02,2.43230449e-02,6.35001798e-03,2.13471297e-03,3.14845222e-04
5.0,5.0,100.0,360.0,MEAN,5.0,3.54051903e-03,4.10502304e-03,6.39042824e-03,1.05619047e-02,7.05978581e-03,2.00919098e-03,8.16795725e-04,1.29978753e-04
5.0,5.0,200.0,360.0,MEAN,5.0,7.02702287e-04,7.21494176e-04,1.09800521e-03,2.31659323e-03,1.72265398e-03,5.68019318e-04,2.81962707e-04,4.74246495e-05
5.0,5.0,500.0,360.0,MEAN,5.0,3.20237809e-05,2.33743995e-05,2.83646374e-05,1.29542116e-04,1.50878830e-04,7.37773885e-05,4.92400301e-05,8.37261782e-06
5.0,5.0,5.0,570.0,MEAN,5.0,4.78994075e-01,6.31566219e-01,6.90003555e-01,1.02581326e+00,8.71362663e-01,2.06904164e-01,3.80506345e-02,3.90940624e-03
5.0,5.0,20.0,570.0,MEAN,5.0,6.20346527e-02,8.04571634e-02,1.09233109e-01,1.55373814e-01,1.08832219e-01,2.66183797e-02,7.01292463e-03,9.15694193e-04
5.0,5.0,50.0,570.0,MEAN,5.0,1.33757474e-02,1.65781951e-02,2.48519840e-02,3.68437971e-02,2.43230449e-02,6.35001798e-03,2.13471297e-03,3.14845222e-04
5.0,5.0,100.0,570.0,MEAN,5.0,3.54051903e-03,4.10502304e-03,6.39042824e-03,1.05619047e-02,7.05978581e-03,2.00919098e-03,8.16795725e-04,1.29978753e-04
5.0,5.0,200.0,570.0,MEAN,5.0,7.02702287e-04,7.21494176e-04,1.09800521e-03,2.31659323e-03,1.72265398e-03,5.68019318e-04,2.81962707e-04,4.74246495e-05
5.0,5.0,500.0,570.0,MEAN,5.0,3.20237809e-05,2.33743995e-05,2.83646374e-05,1.29542116e-04,1.50878830e-04,7.37773885e-05,4.92400301e-05,8.37261782e-06
5.0,5.0,5.0,800.0,MEAN,5.0,3.79436869e-01,5.66344639e-01,6.40786770e-01,6.15380639e-01,5.58949017e-01,1.42060882e-01,2.62566098e-02,2.90776721e-03
5.0,5.0,20.0,800.0,MEAN,5.0,4.91409718e-02,7.21483857e-02,1.01441696e-01,9.32080337e-02,6.98121053e-02,1.82762416e-02,4.83922615e-03,6.81081828e-04
5.0,5.0,50.0,800.0,MEAN,5.0,1.05956461e-02,1.48661718e-02,2.30793341e-02,2.21024238e-02,1.56023922e-02,4.35993716e-03,1.47304575e-03,2.34177918e-04
5.0,5.0,100.0,800.0,MEAN,5.0,2.80463480e-03,3.68109903e-03,5.93460982e-03,6.33603785e-03,4.52860848e-03,1.37951521e-03,5.63624942e-04,9.66765626e-05
5.0,5.0,200.0,800.0,MEAN,5.0,5.56648128e-04,6.46985774e-04,1.01968636e-03,1.38971358e-03,1.10502296e-03,3.90003389e-04,1.94566658e-04,3.52738581e-05
5.0,5.0,500.0,800.0,MEAN,5.0,2.53677525e-05,2.09605350e-05,2.63414359e-05,7.77117175e-05,9.67835524e-05,5.06557271e-05,3.39777845e-05,6.22744787e-06
5.0,20.0,5.0,200.0,MEAN,5.0,5.54622792e-01,6.93917305e-01,7.02641461e-01,1.20368264e+00,1.43046989e+00,4.34634613e-01,5.91199102e-02,5.16489879e-03
5.0,20.0,20.0,200.0,MEAN,5.0,7.18293483e-02,8.84002600e-02,1.11233791e-01,1.82314627e-01,1.78664085e-01,5.59160772e-02,1.08960989e-02,1.20976627e-03
5.0,20.0,50.0,200.0,MEAN,5.0,1.54876537e-02,1.82148698e-02,2.53071658e-02,4.32322730e-02,3.99298534e-02,1.33392077e-02,3.31673941e-03,4.15956697e-04
5.0,20.0,100.0,200.0,MEAN,5.0,4.09953411e-03,4.51028956e-03,6.50747349e-03,1.23932706e-02,1.15896761e-02,4.22062044e-03,1.26906925e-03,1.71720989e-04
5.0,20.0,200.0,200.0,MEAN,5.0,8.13652453e-04,7.92723358e-04,1.11811596e-03,2.71827550e-03,2.82798972e-03,1.19321357e-03,4.38090197e-04,6.26549147e-05
5.0,20.0,500.0,200.0,MEAN,5.0,3.70800386e-05,2.56820264e-05,2.88841560e-05,1.52003881e-04,2.47689778e-04,1.54980964e-04,7.65050624e-05,1.10614556e-05
5.0,20.0,5.0,360.0,MEAN,5.0,5.14033392e-01,6.79496985e-01,7.40885987e-01,1.10338830e+00,9.21274710e-01,2.17566752e-01,3.96689100e-02,4.01037802e-03
5.0,20.0,20.0,360.0,MEAN,5.0,6.65726041e-02,8.65632111e-02,1.17288206e-01,1.67123643e-01,1.15066178e-01,2.79901299e-02,7.31118101e-03,9.39344656e-04
5.0,20.0,50.0,360.0,MEAN,5.0,1.43542085e-02,1.78363459e-02,2.66846258e-02,3.96300344e-02,2.57162799e-02,6.67725947e-03,2.22550130e-03,3.22977015e-04
5.0,20.0,100.0,360.0,MEAN,5.0,3.79951465e-03,4.41656107e-03,6.86167296e-03,1.13606273e-02,7.46417354e-03,2.11273252e-03,8.51533663e-04,1.33335832e-04
5.0,20.0,200.0,360.0,MEAN,5.0,7.54106280e-04,7.76249746e-04,1.17897462e-03,2.49178089e-03,1.82132838e-03,5.97291595e-04,2.93954449e-04,4.86495289e-05
5.0,20.0,500.0,360.0,MEAN,5.0,3.43663807e-05,2.51483273e-05,3.04563103e-05,1.39338476e-04,1.59521238e-04,7.75794285e-05,5.13341855e-05,8.58886501e-06
5.0,20.0,5.0,570.0,MEAN,5.0,5.14033392e-01,6.79496985e-01,7.40885987e-01,1.10338830e+00,9.21274710e-01,2.17566752e-01,3.96689100e-02,4.01037802e-03
5.0,20.0,20.0,570.0,MEAN,5.0,6.65726041e-02,8.65632111e-02,1.17288206e-01,1.67123643e-01,1.15066178e-01,2.79901299e-02,7.31118101e-03,9.39344656e-04
5.0,20.0,50.0,570.0,MEAN,5.0,1.43542085e-02,1.78363459e-02,2.66846258e-02,3.96300344e-02,2.57162799e-02,6.67725947e-03,2.22550130e-03,3.22977015e-04
5.0,20.0,100.0,570.0,MEAN,5.0,3.79951465e-03,4.41656107e-03,6.86167296e-03,1.13606273e-02,7.46417354e-03,2.11273252e-03,8.51533663e-04,1.33335832e-04
5.0,20.0,200.0,570.0,MEAN,5.0,7.54106280e-04,7.76249746e-04,1.17897462e-03,2.49178089e-03,1.82132838e-03,5.97291595e-04,2.93954449e-04,4.86495289e-05
5.0,20.0,500.0,570.0,MEAN,5.0,3.43663807e-05,2.51483273e-05,3.04563103e-05,1.39338476e-04,1.59521238e-04,7.75794285e-05,5.13341855e-05,8.58886501e-06
5.0,20.0,5.0,800.0,MEAN,5.0,4.07193389e-01,6.09325615e-01,6.88039844e-01,6.61917550e-01,5.90965870e-01,1.49381839e-01,2.73732910e-02,2.98286875e-03
5.0,20.0,20.0,800.0,MEAN,5.0,5.27357262e-02,7.76238644e-02,1.08922237e-01,1.00256702e-01,7.38109742e-02,1.92180885e-02,5.04503616e-03,6.98672746e-04
5.0,20.0,50.0,800.0,MEAN,5.0,1.13707376e-02,1.59943939e-02,2.47812567e-02,2.37738747e-02,1.64961043e-02,4.58462193e-03,1.53569369e-03,2.40226244e-04
5.0,20.0,100.0,800.0,MEAN,5.0,3.00979911e-03,3.96046466e-03,6.37224145e-03,6.81518784e-03,4.78800922e-03,1.45060708e-03,5.87595645e-04,9.91735158e-05
