rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,pga
7.0,20.0,135.550,600.0,MEAN,0.06812412
7.0,20.0,150.500,600.0,MEAN,0.05596907
7.0,20.0,165.450,600.0,MEAN,0.04635024
7.0,20.0,180.400,600.0,MEAN,0.03864287
7.0,20.0,195.350,600.0,MEAN,0.03240225
7.0,20.0,210.300,600.0,MEAN,0.02730428
7.0,20.0,225.250,600.0,MEAN,0.02310799
7.0,20.0,240.200,600.0,MEAN,0.01963117
7.0,20.0,255.150,600.0,MEAN,0.01673382
7.0,20.0,270.100,600.0,MEAN,0.01430713
7.0,20.0,285.050,600.0,MEAN,0.01226553
7.0,20.0,300.000,600.0,MEAN,0.01054102
7.0,50.0,1.000,600.0,MEAN,1.93124679
7.0,50.0,15.950,600.0,MEAN,0.96079511
7.0,50.0,30.900,600.0,MEAN,0.59827243
7.0,50.0,45.850,600.0,MEAN,0.41202149
7.0,50.0,60.800,600.0,MEAN,0.30054807
7.0,50.0,75.750,600.0,MEAN,0.22755208
7.0,50.0,90.700,600.0,MEAN,0.17684113
7.0,50.0,105.650,600.0,MEAN,0.14011153
7.0,50.0,120.600,600.0,MEAN,0.11267399
7.0,50.0,135.550,600.0,MEAN,0.09168548
7.0,50.0,150.500,600.0,MEAN,0.07532647
7.0,50.0,165.450,600.0,MEAN,0.06238094
7.0,50.0,180.400,600.0,MEAN,0.05200790
7.0,50.0,195.350,600.0,MEAN,0.04360887
7.0,50.0,210.300,600.0,MEAN,0.03674773
7.0,50.0,225.250,600.0,MEAN,0.03110015
7.0,50.0,240.200,600.0,MEAN,0.02642082
7.0,50.0,255.150,600.0,MEAN,0.02252138
7.0,50.0,270.100,600.0,MEAN,0.01925540
7.0,50.0,285.050,600.0,MEAN,0.01650770
7.0,50.0,300.000,600.0,MEAN,0.01418673
7.0,70.0,1.000,600.0,MEAN,2.35416923
7.0,70.0,15.950,600.0,MEAN,1.17119909
7.0,70.0,30.900,600.0,MEAN,0.72928861
7.0,70.0,45.850,600.0,MEAN,0.50225041
7.0,70.0,60.800,600.0,MEAN,0.36636492
7.0,70.0,75.750,600.0,MEAN,0.27738391
7.0,70.0,90.700,600.0,MEAN,0.21556773
7.0,70.0,105.650,600.0,MEAN,0.17079447
7.0,70.0,120.600,600.0,MEAN,0.13734841
7.0,70.0,135.550,600.0,MEAN,0.11176376
7.0,70.0,150.500,600.0,MEAN,0.09182227
7.0,70.0,165.450,600.0,MEAN,0.07604171
7.0,70.0,180.400,600.0,MEAN,0.06339709
7.0,70.0,195.350,600.0,MEAN,0.05315877
7.0,70.0,210.300,600.0,MEAN,0.04479511
7.0,70.0,225.250,600.0,MEAN,0.03791075
7.0,70.0,240.200,600.0,MEAN,0.03220670
7.0,70.0,255.150,600.0,MEAN,0.02745335
7.0,70.0,270.100,600.0,MEAN,0.02347214
7.0,70.0,285.050,600.0,MEAN,0.02012271
7.0,70.0,300.000,600.0,MEAN,0.01729350
