rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,pga
6.0,20.0,225.250,600.0,MEAN,0.00473792
6.0,20.0,240.200,600.0,MEAN,0.00401304
6.0,20.0,255.150,600.0,MEAN,0.00341171
6.0,20.0,270.100,600.0,MEAN,0.00291005
6.0,20.0,285.050,600.0,MEAN,0.00248947
6.0,20.0,300.000,600.0,MEAN,0.00213535
6.0,50.0,1.000,600.0,MEAN,1.06553075
6.0,50.0,15.950,600.0,MEAN,0.29120721
6.0,50.0,30.900,600.0,MEAN,0.15476677
6.0,50.0,45.850,600.0,MEAN,0.09894385
6.0,50.0,60.800,600.0,MEAN,0.06911397
6.0,50.0,75.750,600.0,MEAN,0.05086343
6.0,50.0,90.700,600.0,MEAN,0.03874396
6.0,50.0,105.650,600.0,MEAN,0.03024265
6.0,50.0,120.600,600.0,MEAN,0.02404166
6.0,50.0,135.550,600.0,MEAN,0.01938456
6.0,50.0,150.500,600.0,MEAN,0.01580719
6.0,50.0,165.450,600.0,MEAN,0.01300949
6.0,50.0,180.400,600.0,MEAN,0.01078946
6.0,50.0,195.350,600.0,MEAN,0.00900652
6.0,50.0,210.300,600.0,MEAN,0.00756010
6.0,50.0,225.250,600.0,MEAN,0.00637658
6.0,50.0,240.200,600.0,MEAN,0.00540100
6.0,50.0,255.150,600.0,MEAN,0.00459168
6.0,50.0,270.100,600.0,MEAN,0.00391652
6.0,50.0,285.050,600.0,MEAN,0.00335049
6.0,50.0,300.000,600.0,MEAN,0.00287388
7.0,10.0,1.000,600.0,MEAN,0.80137956
7.0,10.0,15.950,600.0,MEAN,0.39868626
7.0,10.0,30.900,600.0,MEAN,0.24825586
7.0,10.0,45.850,600.0,MEAN,0.17097018
7.0,10.0,60.800,600.0,MEAN,0.12471370
7.0,10.0,75.750,600.0,MEAN,0.09442371
7.0,10.0,90.700,600.0,MEAN,0.07338099
7.0,10.0,105.650,600.0,MEAN,0.05813987
7.0,10.0,120.600,600.0,MEAN,0.04675456
7.0,10.0,135.550,600.0,MEAN,0.03804529
7.0,10.0,150.500,600.0,MEAN,0.03125704
7.0,10.0,165.450,600.0,MEAN,0.02588524
7.0,10.0,180.400,600.0,MEAN,0.02158091
7.0,10.0,195.350,600.0,MEAN,0.01809568
7.0,10.0,210.300,600.0,MEAN,0.01524862
7.0,10.0,225.250,600.0,MEAN,0.01290513
7.0,10.0,240.200,600.0,MEAN,0.01096343
7.0,10.0,255.150,600.0,MEAN,0.00934533
7.0,10.0,270.100,600.0,MEAN,0.00799011
7.0,10.0,285.050,600.0,MEAN,0.00684993
7.0,10.0,300.000,600.0,MEAN,0.00588684
7.0,20.0,1.000,600.0,MEAN,0.88478549
7.0,20.0,15.950,600.0,MEAN,0.44018075
7.0,20.0,30.900,600.0,MEAN,0.27409410
7.0,20.0,45.850,600.0,MEAN,0.18876460
7.0,20.0,60.800,600.0,MEAN,0.13769373
7.0,20.0,75.750,600.0,MEAN,0.10425127
7.0,20.0,90.700,600.0,MEAN,0.08101842
7.0,20.0,105.650,600.0,MEAN,0.06419096
7.0,20.0,120.600,600.0,MEAN,0.05162068
7.0,20.0,135.550,600.0,MEAN,0.04200501
7.0,20.0,150.500,600.0,MEAN,0.03451025
7.0,20.0,165.450,600.0,MEAN,0.02857932
7.0,20.0,180.400,600.0,MEAN,0.02382701
7.0,20.0,195.350,600.0,MEAN,0.01997906
7.0,20.0,210.300,600.0,MEAN,0.01683568
7.0,20.0,225.250,600.0,MEAN,0.01424827
7.0,20.0,240.200,600.0,MEAN,0.01210448
7.0,20.0,255.150,600.0,MEAN,0.01031799
7.0,20.0,270.100,600.0,MEAN,0.00882171
7.0,20.0,285.050,600.0,MEAN,0.00756287
7.0,20.0,300.000,600.0,MEAN,0.00649954
7.0,50.0,1.000,600.0,MEAN,1.19079825
7.0,50.0,15.950,600.0,MEAN,0.59242207
7.0,50.0,30.900,600.0,MEAN,0.36889217
7.0,50.0,45.850,600.0,MEAN,0.25405065
7.0,50.0,60.800,600.0,MEAN,0.18531662
7.0,50.0,75.750,600.0,MEAN,0.14030762
7.0,50.0,90.700,600.0,MEAN,0.10903948
7.0,50.0,105.650,600.0,MEAN,0.08639215
7.0,50.0,120.600,600.0,MEAN,0.06947425
7.0,50.0,135.550,600.0,MEAN,0.05653283
7.0,50.0,150.500,600.0,MEAN,0.04644594
7.0,50.0,165.450,600.0,MEAN,0.03846379
7.0,50.0,180.400,600.0,MEAN,0.03206783
7.0,50.0,195.350,600.0,MEAN,0.02688901
7.0,50.0,210.300,600.0,MEAN,0.02265846
7.0,50.0,225.250,600.0,MEAN,0.01917619
7.0,50.0,240.200,600.0,MEAN,0.01629095
7.0,50.0,255.150,600.0,MEAN,0.01388657
7.0,50.0,270.100,600.0,MEAN,0.01187279
7.0,50.0,285.050,600.0,MEAN,0.01017856
7.0,50.0,300.000,600.0,MEAN,0.00874747
