rlzi,sid,eid,gmv_PGA,gmv_SA(0.3),gmv_SA(1.0)
0,6,24,0.216,0.266,1.257
0,0,25,0.137,0.315,0.195
0,1,25,0.257,0.320,0.116
0,2,25,0.194,0.683,0.261
0,3,25,0.750,0.751,0.619
0,4,25,0.716,0.757,0.587
0,5,25,0.602,1.435,0.474
0,6,25,0.245,0.477,0.593
0,0,26,0.035,0.124,0.079
0,1,26,0.248,0.591,0.231
0,2,26,0.442,0.233,0.532
0,3,26,0.723,1.062,0.513
0,4,26,0.518,1.750,0.561
0,5,26,0.376,1.695,0.416
0,6,26,0.188,0.492,0.081
0,0,27,0.090,0.076,0.081
0,1,27,0.454,0.914,0.343
0,2,27,0.252,0.718,0.553
0,3,27,0.813,1.115,0.946
0,4,27,1.423,2.808,0.669
0,5,27,0.632,0.604,1.052
0,6,27,0.483,0.499,0.683
0,0,28,0.065,0.083,0.212
0,1,28,0.052,0.806,0.611
0,2,28,0.260,0.843,0.408
0,3,28,0.351,1.935,1.053
0,4,28,0.212,1.181,3.305
0,5,28,0.124,2.166,2.021
0,6,28,0.054,0.449,0.881
0,0,29,0.024,0.092,0.113
0,1,29,0.160,0.350,0.283
0,2,29,0.192,0.227,0.612
0,3,29,0.322,0.318,0.841
0,4,29,0.229,0.736,0.755
0,5,29,0.501,0.641,0.806
0,6,29,0.101,0.211,0.577
0,0,30,0.064,0.187,0.067
0,1,30,0.150,0.300,0.184
0,2,30,0.245,1.128,0.121
0,3,30,0.404,1.481,0.616
0,4,30,0.249,0.628,1.067
0,5,30,0.463,0.452,0.824
0,6,30,0.182,0.465,0.335
0,0,31,0.056,0.081,0.119
0,1,31,0.179,0.360,0.694
0,2,31,0.251,0.358,0.513
0,3,31,0.782,0.857,1.291
0,4,31,0.795,0.865,0.982
0,5,31,2.278,0.242,1.357
0,6,31,0.625,0.131,0.438
0,0,32,0.037,0.207,0.080
0,1,32,0.127,0.521,1.352
0,2,32,0.235,0.560,0.369
0,3,32,0.201,1.339,0.728
0,4,32,0.385,1.182,1.100
0,5,32,1.394,1.209,0.882
0,6,32,0.211,0.955,0.388
0,0,33,0.164,0.273,0.059
0,1,33,0.183,0.485,0.321
0,2,33,0.210,0.750,0.174
0,3,33,0.305,1.603,0.440
0,4,33,0.250,3.140,0.305
0,5,33,0.397,1.592,1.872
0,6,33,0.152,1.317,0.278
0,0,34,0.161,0.244,0.108
0,1,34,0.447,0.188,0.220
0,2,34,0.146,0.504,0.161
0,3,34,0.252,1.031,0.709
0,4,34,0.312,0.776,0.837
0,5,34,0.611,0.921,1.923
0,6,34,0.089,0.447,0.234
0,0,35,0.149,0.095,0.072
0,1,35,0.234,0.814,0.193
0,2,35,0.374,0.576,0.329
0,3,35,0.363,1.967,0.364
0,4,35,0.673,1.267,0.433
0,5,35,1.283,2.053,0.625
0,6,35,0.274,0.613,0.091
0,0,36,0.051,0.129,0.177
0,1,36,0.201,0.418,0.102
0,2,36,0.149,0.241,0.200
0,3,36,0.674,0.605,0.782
0,4,36,0.292,0.509,0.806
0,5,36,0.596,0.397,0.402
0,6,36,0.183,0.513,0.232
0,0,37,0.047,0.080,0.113
0,1,37,0.340,0.260,0.898
0,2,37,0.106,0.316,0.672
0,3,37,0.580,1.248,1.569
0,4,37,1.037,0.545,1.566
0,5,37,0.533,1.001,1.600
0,6,37,0.223,0.232,0.699
0,0,38,0.087,0.408,0.097
0,1,38,0.174,0.296,0.157
0,2,38,0.240,0.735,0.121
0,3,38,0.506,1.068,0.428
0,4,38,0.592,0.571,1.125
0,5,38,0.447,0.429,0.361
0,6,38,0.169,0.149,0.201
0,0,39,0.061,0.318,0.141
0,1,39,0.505,0.401,0.437
0,2,39,0.145,0.289,0.312
0,3,39,0.304,0.436,1.022
0,4,39,0.344,0.586,0.705
0,5,39,0.275,1.427,0.348
0,6,39,0.126,0.239,0.366
0,0,40,0.039,0.194,0.044
0,1,40,0.489,0.931,0.318
0,2,40,0.511,0.498,0.451
0,3,40,0.918,0.665,1.598
0,4,40,0.472,2.174,1.796
0,5,40,1.088,2.492,0.850
0,6,40,0.101,0.978,1.283
0,0,41,0.062,0.178,0.098
0,1,41,0.133,0.448,0.281
0,2,41,0.403,0.299,0.398
0,3,41,0.578,0.639,0.675
0,4,41,1.062,0.874,0.949
0,5,41,0.588,0.819,0.663
0,6,41,0.237,0.138,0.169
0,0,42,0.034,0.108,0.076
0,1,42,0.241,0.476,0.486
0,2,42,0.489,0.308,0.326
0,3,42,0.550,1.176,1.193
0,4,42,0.513,1.006,1.590
0,5,42,0.374,1.080,1.901
0,6,42,0.157,0.430,0.651
0,0,43,0.139,0.164,0.235
0,1,43,0.170,0.124,0.534
0,2,43,0.176,0.418,0.402
0,3,43,0.426,0.992,1.073
0,4,43,0.394,0.358,1.644
0,5,43,0.518,0.457,1.338
0,6,43,0.156,0.931,0.430
0,0,44,0.043,0.112,0.119
0,1,44,0.131,0.612,0.431
0,2,44,0.058,1.610,1.162
0,3,44,0.222,3.313,1.476
0,4,44,0.467,3.121,1.876
0,5,44,0.449,1.773,2.073
0,6,44,0.101,1.660,1.214
0,0,45,0.123,0.250,0.103
0,1,45,0.123,0.515,0.118
0,2,45,0.530,0.356,0.369
0,3,45,0.868,1.073,1.218
0,4,45,1.058,1.564,0.749
0,5,45,0.554,2.000,0.627
0,6,45,0.609,0.611,0.235
0,0,46,0.052,0.093,0.075
0,1,46,0.224,0.168,0.278
0,2,46,0.184,0.240,0.316
0,3,46,0.560,0.658,1.315
0,4,46,1.318,0.345,0.627
0,5,46,0.362,0.653,0.711
0,6,46,0.316,0.140,0.460
0,0,47,0.075,0.232,0.471
0,1,47,0.220,0.303,0.828
0,2,47,0.539,0.256,0.166
0,3,47,0.392,0.460,0.982
0,4,47,0.653,0.936,0.598
0,5,47,0.643,0.748,0.764
0,6,47,0.293,0.578,0.470
0,0,48,0.106,0.249,0.068
0,1,48,0.134,0.737,0.405
0,2,48,0.635,0.999,0.435
0,3,48,0.740,1.371,1.368
0,4,48,0.466,1.477,1.671
0,5,48,0.519,1.242,2.280
0,6,48,0.360,0.627,0.939
0,0,49,0.049,0.112,0.147
0,1,49,0.169,0.140,0.490
0,2,49,0.367,0.285,0.156
0,3,49,0.740,0.511,1.185
0,4,49,0.302,0.239,1.341
0,5,49,0.555,0.637,0.483
0,6,49,0.194,0.104,0.512
0,0,50,0.133,0.063,0.091
0,1,50,0.320,0.515,0.714
0,2,50,0.136,0.373,1.177
0,3,50,0.429,0.558,2.760
0,4,50,0.723,0.945,2.813
0,5,50,0.497,0.864,3.061
0,6,50,0.115,0.217,0.946
0,0,51,0.156,0.166,0.179
0,1,51,0.228,0.430,0.529
0,2,51,0.262,1.021,0.449
0,3,51,1.042,1.184,1.779
0,4,51,0.790,1.218,1.305
0,5,51,1.088,0.812,1.184
0,6,51,0.372,1.055,0.564
0,0,52,0.168,0.117,0.102
0,1,52,0.142,0.148,0.311
0,2,52,0.360,0.765,1.044
0,3,52,0.735,1.222,1.975
0,4,52,0.463,0.479,0.708
0,5,52,0.476,0.951,0.842
0,6,52,0.248,0.462,0.703
0,0,53,0.119,0.171,0.328
0,1,53,0.195,0.427,1.175
0,2,53,0.152,1.036,0.968
0,3,53,0.281,2.266,2.618
0,4,53,0.712,3.036,1.342
0,5,53,0.536,2.631,1.900
0,6,53,0.285,1.505,0.665
0,0,54,0.061,0.086,0.060
0,1,54,0.477,1.536,0.268
0,2,54,0.120,1.311,1.191
0,3,54,0.241,8.510,1.535
0,4,54,0.318,4.974,1.081
0,5,54,0.678,1.072,0.753
0,6,54,0.134,1.887,0.171
0,0,55,0.179,0.256,0.057
0,1,55,0.193,0.553,0.251
0,2,55,0.270,0.252,0.238
0,3,55,0.712,1.606,0.889
0,4,55,0.582,1.411,0.684
0,5,55,0.487,0.670,1.128
0,6,55,0.155,0.474,0.613
0,0,56,0.039,0.233,0.050
0,1,56,0.278,1.691,0.413
0,2,56,0.500,1.074,0.604
0,3,56,0.368,2.756,0.792
0,4,56,0.210,2.431,0.673
0,5,56,0.232,1.107,1.556
0,6,56,0.104,0.795,0.458
0,0,57,0.048,0.077,0.104
0,1,57,0.304,0.302,0.151
0,2,57,0.295,0.292,0.276
0,3,57,0.724,0.646,1.122
0,4,57,0.641,0.632,0.681
0,5,57,0.229,0.544,0.610
0,6,57,0.186,0.258,0.401
0,0,58,0.042,0.136,0.173
0,1,58,0.197,0.242,0.321
0,2,58,0.298,0.745,0.476
0,3,58,1.275,1.379,1.884
0,4,58,0.373,1.102,0.621
0,5,58,0.668,0.898,0.673
0,6,58,0.296,0.389,0.272
0,0,59,0.070,0.107,0.080
0,1,59,0.351,0.371,0.774
0,2,59,0.145,0.486,0.707
0,3,59,0.575,1.391,0.738
0,4,59,0.429,1.014,1.486
0,5,59,0.618,1.162,1.601
0,6,59,0.235,0.391,0.650
0,0,60,0.047,0.096,0.153
0,1,60,0.137,0.241,0.170
0,2,60,0.183,0.381,0.553
0,3,60,0.358,0.399,1.375
0,4,60,0.220,0.257,0.568
0,5,60,0.372,0.536,1.185
0,6,60,0.110,0.256,0.301
0,0,61,0.046,0.148,0.087
0,1,61,0.219,0.763,0.350
0,2,61,0.593,0.586,0.925
0,3,61,0.926,1.177,0.778
0,4,61,0.692,1.332,1.167
0,5,61,0.337,1.334,0.570
0,6,61,0.607,0.567,0.420
0,0,62,0.096,0.283,0.153
0,1,62,0.217,0.204,0.345
0,2,62,0.109,0.224,0.677
0,3,62,0.354,1.040,1.089
0,4,62,0.591,1.139,0.838
0,5,62,0.279,0.716,1.118
0,6,62,0.203,0.773,0.242
0,0,63,0.070,0.151,0.089
0,1,63,0.262,0.452,0.274
0,2,63,0.259,0.486,0.279
0,3,63,0.664,0.961,0.982
0,4,63,0.700,0.995,0.764
0,5,63,0.222,1.656,0.838
0,6,63,0.171,0.437,0.392
0,0,64,0.033,0.583,0.137
0,1,64,0.067,0.292,0.384
0,2,64,0.210,1.455,0.444
0,3,64,0.660,1.766,0.737
0,4,64,0.634,0.492,0.374
0,5,64,0.276,0.755,1.048
0,6,64,0.113,0.426,1.085
0,0,65,0.079,0.171,0.118
0,1,65,0.364,0.234,0.300
0,2,65,0.332,0.652,0.487
0,3,65,0.648,1.019,1.490
0,4,65,0.607,1.017,0.512
0,5,65,0.616,1.964,0.399
0,6,65,0.156,0.490,0.134
0,0,66,0.050,0.072,0.079
0,1,66,0.198,0.472,0.581
0,2,66,0.315,0.140,0.318
0,3,66,1.364,0.391,1.579
0,4,66,0.555,0.511,1.214
0,5,66,0.458,0.835,1.439
0,6,66,0.199,0.291,1.196
0,0,67,0.147,0.355,0.048
0,1,67,0.189,0.481,0.189
0,2,67,0.350,0.286,0.129
0,3,67,1.217,0.778,0.452
0,4,67,1.109,0.762,0.512
0,5,67,0.647,0.543,1.001
0,6,67,0.246,0.465,0.216
0,0,68,0.031,0.072,0.226
0,1,68,0.078,0.342,0.476
0,2,68,0.138,0.221,0.358
0,3,68,0.229,0.592,0.349
0,4,68,0.197,0.509,0.924
0,5,68,0.509,0.942,0.642
0,6,68,0.090,0.218,0.536
0,0,69,0.271,0.294,0.257
0,1,69,0.322,0.481,0.373
0,2,69,0.215,0.743,0.279
0,3,69,0.335,0.570,0.648
0,4,69,1.239,0.808,0.668
0,5,69,0.655,0.842,0.563
0,6,69,0.245,0.407,0.412
0,0,70,0.076,0.144,0.105
0,1,70,0.199,0.484,0.509
0,2,70,0.250,0.831,0.323
0,3,70,0.291,0.574,1.123
0,4,70,0.153,1.355,1.446
0,5,70,0.273,1.523,2.707
0,6,70,0.068,0.280,0.580
0,0,71,0.061,0.378,0.062
0,1,71,0.095,0.957,0.615
0,2,71,0.358,0.421,0.219
0,3,71,0.246,2.153,1.905
0,4,71,0.733,1.932,2.032
0,5,71,0.782,0.752,0.666
0,6,71,0.467,0.558,0.613
0,0,72,0.015,0.321,0.172
0,1,72,0.151,1.062,0.654
0,2,72,0.269,0.586,0.205
0,3,72,0.278,1.135,1.041
0,4,72,0.170,1.070,1.839
0,5,72,0.236,0.781,2.211
0,6,72,0.058,0.451,0.984
0,0,73,0.105,0.233,0.146
0,1,73,0.140,1.129,0.359
0,2,73,0.369,0.855,0.176
0,3,73,0.724,1.705,0.578
0,4,73,0.791,2.883,0.433
0,5,73,0.567,2.593,0.833
0,6,73,0.276,0.907,0.264
0,0,74,0.116,0.267,0.033
0,1,74,0.323,0.819,0.110
0,2,74,0.277,0.775,0.795
0,3,74,0.374,1.241,1.066
0,4,74,0.620,2.525,0.548
0,5,74,0.998,1.060,0.388
0,6,74,0.234,1.458,0.222
0,0,75,0.074,0.099,0.046
0,1,75,0.104,0.301,0.179
0,2,75,0.152,0.402,0.218
0,3,75,0.286,1.861,0.580
0,4,75,0.833,1.713,0.315
0,5,75,0.920,1.655,0.766
0,6,75,0.589,0.664,0.244
0,0,76,0.085,0.062,0.084
0,1,76,0.230,0.514,0.237
0,2,76,0.278,0.469,0.181
0,3,76,0.866,0.784,0.717
0,4,76,0.317,0.710,0.441
0,5,76,0.227,0.637,0.436
0,6,76,0.094,0.462,0.291
0,0,77,0.040,0.166,0.161
0,1,77,0.207,0.525,0.188
0,2,77,0.289,0.573,0.484
0,3,77,0.270,1.222,0.547
0,4,77,0.479,1.206,1.707
0,5,77,0.972,1.476,1.065
0,6,77,0.199,0.560,0.673
0,0,78,0.069,0.088,0.047
0,1,78,0.526,0.306,0.398
0,2,78,0.363,0.318,0.277
0,3,78,1.254,1.457,1.198
0,4,78,2.178,2.742,0.675
0,5,78,0.929,1.623,0.706
0,6,78,1.044,0.831,0.496
0,0,79,0.043,0.252,0.081
0,1,79,0.132,1.008,0.445
0,2,79,0.319,0.680,0.935
0,3,79,0.450,2.649,1.561
0,4,79,0.437,2.824,1.177
0,5,79,0.326,1.754,1.103
0,6,79,0.316,0.413,0.432
0,0,80,0.141,0.158,0.063
0,1,80,0.204,0.226,0.240
0,2,80,0.434,0.682,0.440
0,3,80,0.449,0.791,1.879
0,4,80,0.587,0.344,1.019
0,5,80,0.506,0.593,0.465
0,6,80,0.346,0.227,0.548
0,0,81,0.086,0.589,0.134
0,1,81,0.121,1.294,0.523
0,2,81,0.162,1.263,0.188
0,3,81,0.510,3.434,0.621
0,4,81,0.521,1.169,1.193
0,5,81,1.117,0.948,0.853
0,6,81,0.187,0.501,0.216
0,0,82,0.048,0.269,0.044
0,1,82,0.363,0.641,0.207
0,2,82,0.171,0.805,0.333
0,3,82,0.585,1.609,0.945
0,4,82,0.601,1.496,0.835
0,5,82,0.489,0.585,1.957
0,6,82,0.139,0.566,0.447
0,0,83,0.030,0.241,0.060
0,1,83,0.330,0.545,0.177
0,2,83,0.109,0.667,0.617
0,3,83,0.681,1.267,1.928
0,4,83,0.746,2.215,0.316
0,5,83,0.441,0.985,0.402
0,6,83,0.282,0.264,0.085
0,0,84,0.044,0.073,0.363
0,1,84,0.120,0.500,1.086
0,2,84,0.175,0.244,1.849
0,3,84,0.507,0.480,1.758
0,4,84,0.419,0.912,1.768
0,5,84,0.417,1.139,2.246
0,6,84,0.337,0.222,0.620
0,0,85,0.080,0.292,0.051
0,1,85,0.365,0.990,0.264
0,2,85,0.128,0.510,0.258
0,3,85,0.762,0.702,1.314
0,4,85,1.389,1.315,0.827
0,5,85,0.622,2.755,0.536
0,6,85,0.395,0.400,0.266
0,0,86,0.102,0.303,0.168
0,1,86,0.360,0.528,0.589
0,2,86,0.233,0.126,0.545
0,3,86,0.491,0.854,1.637
0,4,86,0.318,0.583,0.770
0,5,86,0.236,1.483,1.376
0,6,86,0.170,0.873,0.374
0,0,87,0.080,0.161,0.074
0,1,87,0.216,0.581,0.322
0,2,87,0.213,0.349,0.213
0,3,87,0.348,1.045,0.364
0,4,87,0.360,1.461,0.574
0,5,87,0.246,1.754,0.425
0,6,87,0.121,0.451,0.304
0,0,88,0.128,0.204,0.056
0,1,88,0.223,0.239,0.247
0,2,88,0.160,0.667,1.121
0,3,88,0.617,1.082,1.082
0,4,88,1.102,1.388,0.368
0,5,88,0.364,1.654,1.432
0,6,88,0.376,0.573,0.259
0,0,89,0.105,0.258,0.097
0,1,89,0.228,0.550,0.728
0,2,89,0.342,1.893,0.338
0,3,89,1.083,2.841,1.443
0,4,89,1.260,1.345,0.796
0,5,89,0.499,1.486,0.964
0,6,89,0.265,0.419,0.372
0,0,90,0.030,0.084,0.185
0,1,90,0.082,0.238,0.707
0,2,90,0.058,0.196,1.081
0,3,90,0.574,0.913,0.950
0,4,90,0.325,1.135,1.143
0,5,90,0.186,0.659,0.808
0,6,90,0.119,0.483,0.308
0,0,91,0.100,0.118,0.422
0,1,91,0.431,0.506,1.076
0,2,91,0.104,0.326,1.027
0,3,91,0.419,0.544,2.652
0,4,91,0.756,1.996,1.498
0,5,91,0.736,2.134,0.898
0,6,91,0.228,0.392,0.574
0,0,92,0.102,0.127,0.133
0,1,92,0.414,0.447,0.201
0,2,92,0.376,0.696,0.296
0,3,92,0.686,1.440,0.557
0,4,92,0.570,0.769,0.618
0,5,92,0.359,1.121,0.375
0,6,92,0.217,0.285,0.170
0,0,93,0.083,0.065,0.068
0,1,93,0.273,0.440,0.289
0,2,93,0.198,0.228,0.266
0,3,93,0.759,0.430,0.778
0,4,93,0.453,0.782,0.888
0,5,93,0.408,0.864,0.693
0,6,93,0.156,0.322,0.157
0,0,94,0.060,0.176,0.176
0,1,94,0.103,0.250,0.391
0,2,94,0.069,0.612,0.310
0,3,94,0.190,1.685,0.450
0,4,94,0.240,0.845,1.228
0,5,94,0.449,0.571,0.900
0,6,94,0.068,0.147,0.456
0,0,95,0.095,0.061,0.081
0,1,95,0.236,0.192,0.202
0,2,95,0.285,0.524,0.228
0,3,95,1.253,1.110,1.130
0,4,95,0.653,1.118,0.560
0,5,95,0.582,0.808,1.107
0,6,95,0.337,0.144,0.415
0,0,96,0.108,0.041,0.073
0,1,96,0.424,0.464,0.643
0,2,96,0.473,0.425,0.237
0,3,96,1.561,2.142,1.950
0,4,96,1.150,1.289,0.882
0,5,96,1.007,0.871,0.773
0,6,96,0.332,0.322,0.412
0,0,97,0.068,0.050,0.143
0,1,97,0.416,0.122,0.144
0,2,97,0.167,0.153,0.144
0,3,97,0.517,0.213,0.999
0,4,97,0.381,0.426,0.333
0,5,97,0.317,0.858,0.315
0,6,97,0.190,0.093,0.184
0,0,98,0.031,0.445,0.024
0,1,98,0.424,0.240,0.553
0,2,98,0.308,0.382,0.413
0,3,98,1.004,0.432,1.264
0,4,98,1.934,1.038,1.206
0,5,98,0.582,1.068,0.916
0,6,98,0.263,0.239,0.317
0,0,99,0.056,0.180,0.085
0,1,99,0.438,0.153,0.515
0,2,99,0.165,0.665,0.458
0,3,99,0.835,0.790,0.777
0,4,99,2.236,0.608,1.491
0,5,99,0.474,0.677,1.738
0,6,99,0.428,0.304,0.905
1,0,0,0.044,0.077,0.124
1,1,0,0.110,1.679,0.353
1,2,0,0.269,1.801,0.317
1,3,0,0.288,3.585,0.510
1,4,0,0.213,2.120,1.128
1,5,0,0.457,3.757,0.479
1,6,0,0.106,2.140,0.256
1,0,1,0.069,0.078,0.054
1,1,1,0.202,0.483,0.189
1,2,1,0.091,0.734,0.458
1,3,1,0.348,0.524,2.231
1,4,1,0.671,0.743,0.423
1,5,1,0.482,1.129,1.414
1,6,1,0.159,0.210,0.255
1,0,2,0.059,0.064,0.055
1,1,2,0.185,0.387,0.177
1,2,2,0.140,0.402,0.459
1,3,2,0.463,1.692,1.354
1,4,2,0.473,2.283,0.288
1,5,2,0.389,0.862,0.214
1,6,2,0.139,0.555,0.089
1,0,3,0.041,0.066,0.093
1,1,3,0.193,0.429,0.507
1,2,3,0.342,0.323,0.627
1,3,3,0.719,0.463,2.596
1,4,3,0.728,0.639,1.170
1,5,3,0.728,1.159,1.119
1,6,3,0.154,0.141,0.686
1,0,4,0.020,0.068,0.076
1,1,4,0.306,0.710,0.422
1,2,4,0.210,0.634,0.708
1,3,4,0.686,2.670,4.145
1,4,4,0.482,1.569,1.502
1,5,4,0.538,2.609,1.459
1,6,4,0.124,1.036,0.777
1,0,5,0.058,0.089,0.117
1,1,5,0.341,0.241,0.901
1,2,5,0.155,0.636,0.643
1,3,5,1.477,0.874,1.087
1,4,5,1.730,1.177,1.951
1,5,5,0.774,0.822,2.407
1,6,5,0.526,0.832,0.607
1,0,6,0.021,0.028,0.211
1,1,6,0.196,0.394,0.900
1,2,6,0.122,0.423,0.765
1,3,6,0.428,2.361,1.646
1,4,6,0.421,1.104,2.049
1,5,6,0.815,1.492,2.033
1,6,6,0.152,0.337,1.080
1,0,7,0.106,0.162,0.197
1,1,7,0.463,0.371,0.447
1,2,7,0.421,0.328,0.868
1,3,7,0.837,0.980,2.214
1,4,7,0.367,1.561,1.287
1,5,7,0.897,2.527,1.745
1,6,7,0.217,0.972,0.879
1,0,8,0.047,0.044,0.095
1,1,8,0.152,0.406,0.406
1,2,8,0.064,0.217,0.383
1,3,8,0.408,0.675,1.430
1,4,8,0.692,0.439,0.929
1,5,8,1.026,0.529,0.902
1,6,8,0.257,0.185,0.510
1,0,9,0.073,0.088,0.063
1,1,9,0.152,0.550,0.541
1,2,9,0.167,0.233,0.620
1,3,9,0.389,0.618,1.020
1,4,9,0.267,1.034,3.940
1,5,9,0.567,3.102,2.967
1,6,9,0.225,0.831,1.556
1,0,10,0.023,0.177,0.364
1,1,10,0.229,0.302,0.809
1,2,10,0.310,0.592,0.483
