rup_mag,rup_hypo_depth,dist_rhypo,site_vs30,site_xvf,result_type,damping,pga,0.1,0.2,0.5,1.0,2.0,5.0
6.5,90.0,120.0,900.0,60.0,MEAN,5,4.33287060e-02,1.01757540e-01,1.01018862e-01,5.37265105e-02,2.43198977e-02,7.60118805e-03,1.24344942e-03
6.5,90.0,180.0,900.0,-0.0,MEAN,5,1.08002299e-02,2.16917019e-02,2.47067229e-02,1.84496168e-02,1.06197712e-02,3.87787121e-03,6.48139667e-04
6.5,90.0,240.0,900.0,-60.0,MEAN,5,2.16960782e-03,3.36383152e-03,4.77279811e-03,5.77655668e-03,4.68315963e-03,2.23201741e-03,3.94476710e-04
6.5,90.0,300.0,900.0,-120.0,MEAN,5,8.95108352e-04,1.26302508e-03,1.93985759e-03,2.86846203e-03,2.65577196e-03,1.40849607e-03,2.43100142e-04
6.5,135.0,60.0,300.0,120.0,MEAN,5,2.82454217e-01,4.99392135e-01,6.31703083e-01,4.33054166e-01,1.94833522e-01,5.01340228e-02,5.47895508e-03
6.5,135.0,120.0,300.0,60.0,MEAN,5,9.27601748e-02,1.79685617e-01,2.27712970e-01,1.68993426e-01,8.37601190e-02,2.23689236e-02,2.42944354e-03
6.5,135.0,180.0,300.0,-0.0,MEAN,5,2.47017594e-02,4.29114802e-02,6.13062090e-02,6.03832301e-02,3.72552592e-02,1.14440578e-02,1.26633114e-03
6.5,135.0,240.0,300.0,-60.0,MEAN,5,5.05609904e-03,6.87524097e-03,1.21673341e-02,1.91144015e-02,1.65124640e-02,6.59205446e-03,7.70726075e-04
6.5,135.0,300.0,300.0,-120.0,MEAN,5,2.09185666e-03,2.59418498e-03,4.96535378e-03,9.50716413e-03,9.37112131e-03,4.16034160e-03,4.74967505e-04
6.5,135.0,60.0,600.0,120.0,MEAN,5,2.61508540e-01,5.70001482e-01,6.27885554e-01,3.07402292e-01,1.18503572e-01,3.01103614e-02,3.62479844e-03
6.5,135.0,120.0,600.0,60.0,MEAN,5,7.43564034e-02,1.63432415e-01,1.78925444e-01,1.05972082e-01,4.80685731e-02,1.33158129e-02,1.60728515e-03
6.5,135.0,180.0,600.0,-0.0,MEAN,5,1.88122044e-02,3.58657268e-02,4.44310949e-02,3.63906810e-02,2.09901068e-02,6.79328112e-03,8.37786599e-04
6.5,135.0,240.0,600.0,-60.0,MEAN,5,3.79463662e-03,5.60696839e-03,8.61903810e-03,1.13938861e-02,9.25632189e-03,3.91006325e-03,5.09901365e-04
6.5,135.0,300.0,600.0,-120.0,MEAN,5,1.56649943e-03,2.10780224e-03,3.50530434e-03,5.65785665e-03,5.24916553e-03,2.46741298e-03,3.14231719e-04
6.5,135.0,60.0,900.0,120.0,MEAN,5,2.35826621e-01,5.67611730e-01,5.47810791e-01,2.26759086e-01,8.44035406e-02,2.21806800e-02,2.84664606e-03
6.5,135.0,120.0,900.0,60.0,MEAN,5,6.39956666e-02,1.49868551e-01,1.48755981e-01,7.81716115e-02,3.42365864e-02,9.80904145e-03,1.26224175e-03
