rup_mag,dist_rrup,site_vs30,site_xvf,result_type,damping,pga,0.1,0.2,0.5,1.0,2.0,5.0
8.5,80.0,600.0,70.0,MEAN,5,1.12244608e-01,2.04545194e-01,2.54005810e-01,2.24600936e-01,1.60707265e-01,7.16603043e-02,2.00869304e-02
8.5,120.0,600.0,30.0,MEAN,5,5.35998860e-02,9.77913701e-02,1.22510000e-01,1.19385231e-01,9.48838639e-02,4.50133389e-02,1.27810730e-02
8.5,150.0,600.0,-0.0,MEAN,5,3.27290139e-02,5.96401880e-02,7.55526892e-02,7.83549962e-02,6.65721961e-02,3.28426523e-02,9.33238866e-03
8.5,250.0,600.0,-100.0,MEAN,5,3.37471734e-03,4.32129621e-03,6.43793017e-03,1.42382508e-02,2.51227634e-02,1.72931265e-02,4.78529298e-03
8.5,300.0,600.0,-150.0,MEAN,5,1.47182263e-03,1.76702275e-03,2.74651635e-03,7.28501116e-03,1.51718269e-02,1.12083535e-02,3.03069238e-03
8.5,30.0,900.0,120.0,MEAN,5,3.37122189e-01,6.71604869e-01,7.36851992e-01,4.61367494e-01,2.65008943e-01,1.09497426e-01,3.09544088e-02
8.5,50.0,900.0,100.0,MEAN,5,1.92915080e-01,3.81568844e-01,4.20698123e-01,2.91617456e-01,1.82370863e-01,7.92768111e-02,2.31044962e-02
8.5,80.0,900.0,70.0,MEAN,5,9.75641746e-02,1.90921740e-01,2.13329484e-01,1.65679646e-01,1.14462898e-01,5.27882828e-02,1.57747754e-02
8.5,120.0,900.0,30.0,MEAN,5,4.58779670e-02,8.87889098e-02,1.01280661e-01,8.80659856e-02,6.75805291e-02,3.31589001e-02,1.00373004e-02
8.5,150.0,900.0,-0.0,MEAN,5,2.78573387e-02,5.36028313e-02,6.21040754e-02,5.77995279e-02,4.74156937e-02,2.41934114e-02,7.32896127e-03
8.5,250.0,900.0,-100.0,MEAN,5,2.84953010e-03,3.82770418e-03,5.24906073e-03,1.05030211e-02,1.78935551e-02,1.27389140e-02,3.75801182e-03
8.5,300.0,900.0,-150.0,MEAN,5,1.24212240e-03,1.56369308e-03,2.23813762e-03,5.37387820e-03,1.08060533e-02,8.25658979e-03,2.38007952e-03
