id,lon,lat,number,nonstructural,structural,night,taxonomy,NAME_1,NAME_2,NAME_3,NAME_4,policy
a5885,84.96382,27.36117,207,19845,11340,1010,Stone-Masonry,Central,Narayani,Parsa,Royal Chitawan Natio,p_Central_Parsa
a5886,86.31382,27.36117,207,19845,11340,1010,Stone-Masonry,East,Sagarmatha,Okhaldhunga,Bilandu,p_East
a5887,83.46382,28.03617,207,19845,11340,1010,Stone-Masonry,West,Lumbini,Gulmi,Hansara,p_West
a5888,87.88882,27.36117,207,19845,11340,1010,Stone-Masonry,East,Mechi,Taplejung,Mehele,p_East
a5889,82.18882,27.96117,207,19845,11340,1010,Stone-Masonry,Mid-Western,Bheri,Banke,Khaskusma,p_Mid-Western
a5890,82.03882,29.31117,208,19845,11340,1015,Stone-Masonry,Mid-Western,Karnali,Jumla,Shanigaun,p_Mid-Western
a5891,86.46382,27.21117,208,19845,11340,1015,Stone-Masonry,East,Sagarmatha,Okhaldhunga,Manebhanjyang,p_East
a5892,83.08882,28.48617,209,19845,11340,1020,Stone-Masonry,West,Dhaualagiri,Baglung,Arjewa,p_West
a5893,81.66382,28.26117,210,19845,11340,1025,Stone-Masonry,Mid-Western,Bheri,Banke,Naubasta,p_Mid-Western
a5894,83.98882,27.88617,210,19845,11340,1025,Stone-Masonry,West,Gandaki,Tanahu,Gajarkot,p_West
a5895,83.01382,28.26117,211,19845,11340,1030,Stone-Masonry,Mid-Western,Rapti,Pyuthan,Rajbara,p_Mid-Western
a5896,86.01382,27.58617,211,19845,11340,1030,Stone-Masonry,Central,Janakpur,Dolakha,Sailungeswor,p_Central_Dolakha
a5897,87.28882,27.51117,211,19845,11340,1030,Stone-Masonry,East,Koshi,Sankhuwasabha,Matsyapokhari,p_East
a5898,82.11382,28.11117,212,19845,11340,1035,Stone-Masonry,Mid-Western,Rapti,Dang,Goltakuri,p_Mid-Western
a5899,87.73882,27.43617,212,19845,11340,1035,Stone-Masonry,East,Mechi,Taplejung,Linkhim,p_East
a5900,83.38882,27.96117,212,19845,11340,1035,Stone-Masonry,West,Lumbini,Gulmi,Digam,p_West
a5901,81.58882,28.78617,212,19845,11340,1035,Stone-Masonry,Mid-Western,Bheri,Dailekh,Malika,p_Mid-Western
a5902,84.88882,28.11117,213,19845,11340,1039,Stone-Masonry,West,Gandaki,Gorkha,Manbu,p_West
a5903,84.43882,27.58617,213,19845,11340,1039,Stone-Masonry,Central,Narayani,Chitawan,BharatpurN.P.,p_Central_Chitawan
a5904,81.58882,28.26117,213,19845,11340,1039,Stone-Masonry,Mid-Western,Bheri,Bardiya,Belawa,p_Mid-Western
a5905,82.41382,28.63617,213,19845,11340,1039,Stone-Masonry,Mid-Western,Rapti,Rukum,Chhiwang,p_Mid-Western
a5906,81.58882,29.16117,214,19845,11340,1044,Stone-Masonry,Mid-Western,Karnali,Kalikot,Kotbada,p_Mid-Western
a5908,81.21382,28.78617,215,19845,11340,1049,Stone-Masonry,Far-Western,Seti,Kailali,Sugarkhal,p_Far-Western
a5909,80.53882,29.46117,216,19845,11340,1054,Stone-Masonry,Far-Western,Mahakali,Baitadi,Patan,p_Far-Western
a5910,85.78882,27.51117,216,19845,11340,1054,Stone-Masonry,Central,Bagmati,Kavrepalanchok,ThuloParsel,p_Central_Kavrepalanchok
a5911,86.53882,27.36117,217,19845,11340,1059,Stone-Masonry,East,Sagarmatha,Okhaldhunga,Barnalu,p_East
a5912,83.01382,28.18617,217,19845,11340,1059,Stone-Masonry,Mid-Western,Rapti,Pyuthan,Khung,p_Mid-Western
a5913,82.26382,28.48617,218,19845,11340,1064,Stone-Masonry,Mid-Western,Rapti,Salyan,Tharmare,p_Mid-Western
a5914,87.21382,27.43617,218,19845,11340,1064,Stone-Masonry,East,Koshi,Sankhuwasabha,KhandbariN.P.,p_East
a5915,82.48882,28.26117,218,19845,11340,1064,Stone-Masonry,Mid-Western,Rapti,Rolpa,Nuwagaun,p_Mid-Western
a5916,81.81382,28.86117,218,19845,11340,1064,Stone-Masonry,Mid-Western,Bheri,Dailekh,Chauratha,p_Mid-Western
a5917,82.03882,28.63617,219,19845,11340,1069,Stone-Masonry,Mid-Western,Rapti,Salyan,Bame,p_Mid-Western
a5918,85.71382,27.58617,219,19845,11340,1069,Stone-Masonry,Central,Bagmati,Kavrepalanchok,Koshidekha,p_Central_Kavrepalanchok
a5919,80.68882,29.08617,219,19845,11340,1069,Stone-Masonry,Far-Western,Seti,Doti,LaxmiNagar,p_Far-Western
a5920,87.73882,26.76117,219,19845,11340,1069,Stone-Masonry,East,Mechi,Ilam,Bajho,p_East
a5921,87.43882,27.28617,219,19845,11340,1069,Stone-Masonry,East,Koshi,Sankhuwasabha,Mawadin,p_East
a5922,85.11382,27.21117,219,19845,11340,1069,Stone-Masonry,Central,Narayani,Bara,Nijgadh,p_Central_Bara
a5923,81.73882,28.03617,220,19845,11340,1074,Stone-Masonry,Mid-Western,Bheri,Banke,Phatepur,p_Mid-Western
a5924,86.83882,26.46117,220,19845,11340,1074,Stone-Masonry,East,Sagarmatha,Saptari,GobarGada,p_East
a5925,81.96382,28.03617,220,19845,11340,1074,Stone-Masonry,Mid-Western,Bheri,Banke,Kanchanapur,p_Mid-Western
a5926,81.96382,28.63617,221,19845,11340,1078,Stone-Masonry,Mid-Western,Bheri,Surkhet,Ghoreta,p_Mid-Western
a5927,81.06382,29.23617,222,19845,11340,1083,Stone-Masonry,Far-Western,Seti,Doti,Ganjari,p_Far-Western
a5928,83.31382,28.26117,222,19845,11340,1083,Stone-Masonry,West,Dhaualagiri,Baglung,Gwalichaur,p_West
a5929,87.28882,27.58617,222,19845,11340,1083,Stone-Masonry,East,Koshi,Sankhuwasabha,Makalu,p_East
a5930,81.21382,29.16117,223,19845,11340,1088,Stone-Masonry,Far-Western,Seti,Achham,Chandika,p_Far-Western
a5931,81.66382,29.53617,223,19845,11340,1088,Stone-Masonry,Far-Western,Seti,Bajura,Kolti,p_Far-Western
a5932,85.26382,27.58617,224,19845,11340,1093,Stone-Masonry,Central,Bagmati,Kathmandu,Chhaimale,p_Central_Kathmandu
a5933,82.48882,28.48617,224,19845,11340,1093,Stone-Masonry,Mid-Western,Rapti,Rolpa,Eriwang,p_Mid-Western
a5934,82.41382,28.48617,225,19845,11340,1098,Stone-Masonry,Mid-Western,Rapti,Rolpa,Pakhapani,p_Mid-Western
a5935,83.68882,27.88617,225,19845,11340,1098,Stone-Masonry,West,Lumbini,Palpa,Foksingkot,p_West
a5936,82.41382,28.18617,225,19845,11340,1098,Stone-Masonry,Mid-Western,Rapti,Rolpa,Jhenam,p_Mid-Western
a5937,86.53882,27.21117,227,19845,11340,1108,Stone-Masonry,East,Sagarmatha,Okhaldhunga,Moli,p_East
a5938,87.21382,27.06117,227,19845,11340,1108,Stone-Masonry,East,Koshi,Dhankuta,Falate,p_East
a5939,85.56382,27.51117,227,19845,11340,1108,Stone-Masonry,Central,Bagmati,Kavrepalanchok,MahankalChaur,p_Central_Kavrepalanchok
a5940,85.11382,27.43617,228,19845,11340,1113,Stone-Masonry,Central,Narayani,Makwanpur,Ambhanjyang,p_Central_Makwanpur
a5941,83.83882,27.66117,230,19845,11340,1122,Stone-Masonry,West,Lumbini,Nawalparasi,Benimanipur,p_West
a5942,84.73882,27.58617,230,19845,11340,1122,Stone-Masonry,Central,Narayani,Makwanpur,Manahari,p_Central_Makwanpur
a5943,83.53882,27.66117,231,19845,11340,1127,Stone-Masonry,West,Lumbini,Rupandehi,Devadaha,p_West
a5944,83.46382,28.48617,231,19845,11340,1127,Stone-Masonry,West,Dhaualagiri,Myagdi,Malkwang,p_West
a5945,87.66382,26.91117,232,19845,11340,1132,Stone-Masonry,East,Mechi,Panchthar,Rabi,p_East
a5946,80.61382,29.91117,233,19845,11340,1137,Stone-Masonry,Far-Western,Mahakali,Darchula,Hikila,p_Far-Western
