rup_mag,dist_rhypo,site_vs30,result_type,damping,PGA,0.05,0.1,0.2,0.5,1.0,2.0,10.0
6,10,500,TOTAL_STDDEV,5,0.675566559089874,0.695103369489817,0.697100021997664,0.750679991144774,0.822551234940529,0.865951099697206,0.933878432093229,0.969872026969977
6,20,500,TOTAL_STDDEV,5,0.675566559089874,0.695103369489817,0.697100021997664,0.750679991144774,0.822551234940529,0.865951099697206,0.933878432093229,0.969872026969977
6,50,500,TOTAL_STDDEV,5,0.675566559089874,0.695103369489817,0.697100021997664,0.750679991144774,0.822551234940529,0.865951099697206,0.933878432093229,0.969872026969977
6,100,500,TOTAL_STDDEV,5,0.675566559089874,0.695103369489817,0.697100021997664,0.750679991144774,0.822551234940529,0.865951099697206,0.933878432093229,0.969872026969977
6,150,500,TOTAL_STDDEV,5,0.675566559089874,0.695103369489817,0.697100021997664,0.750679991144774,0.822551234940529,0.865951099697206,0.933878432093229,0.969872026969977
6,200,500,TOTAL_STDDEV,5,0.675566559089874,0.695103369489817,0.697100021997664,0.750679991144774,0.822551234940529,0.865951099697206,0.933878432093229,0.969872026969977
7,10,500,TOTAL_STDDEV,5,0.674554834492013,0.694198033864588,0.696317378645024,0.749740774096519,0.820953582172908,0.863755515507214,0.931497767803454,0.967185418980612
7,20,500,TOTAL_STDDEV,5,0.674554834492013,0.694198033864588,0.696317378645024,0.749740774096519,0.820953582172908,0.863755515507214,0.931497767803454,0.967185418980612
7,50,500,TOTAL_STDDEV,5,0.674554834492013,0.694198033864588,0.696317378645024,0.749740774096519,0.820953582172908,0.863755515507214,0.931497767803454,0.967185418980612
7,100,500,TOTAL_STDDEV,5,0.674554834492013,0.694198033864588,0.696317378645024,0.749740774096519,0.820953582172908,0.863755515507214,0.931497767803454,0.967185418980612
7,150,500,TOTAL_STDDEV,5,0.674554834492013,0.694198033864588,0.696317378645024,0.749740774096519,0.820953582172908,0.863755515507214,0.931497767803454,0.967185418980612
7,200,500,TOTAL_STDDEV,5,0.674554834492013,0.694198033864588,0.696317378645024,0.749740774096519,0.820953582172908,0.863755515507214,0.931497767803454,0.967185418980612
8,10,500,TOTAL_STDDEV,5,0.674049178052836,0.693745616660199,0.695926326449004,0.749271443657332,0.82015481359604,0.86265731219696,0.930306977423288,0.965841374040544
8,20,500,TOTAL_STDDEV,5,0.674049178052836,0.693745616660199,0.695926326449004,0.749271443657332,0.82015481359604,0.86265731219696,0.930306977423288,0.965841374040544
8,50,500,TOTAL_STDDEV,5,0.674049178052836,0.693745616660199,0.695926326449004,0.749271443657332,0.82015481359604,0.86265731219696,0.930306977423288,0.965841374040544
8,100,500,TOTAL_STDDEV,5,0.674049178052836,0.693745616660199,0.695926326449004,0.749271443657332,0.82015481359604,0.86265731219696,0.930306977423288,0.965841374040544
8,150,500,TOTAL_STDDEV,5,0.674049178052836,0.693745616660199,0.695926326449004,0.749271443657332,0.82015481359604,0.86265731219696,0.930306977423288,0.965841374040544
8,200,500,TOTAL_STDDEV,5,0.674049178052836,0.693745616660199,0.695926326449004,0.749271443657332,0.82015481359604,0.86265731219696,0.930306977423288,0.965841374040544
4,10,900,TOTAL_STDDEV,5,0.678094259002831,0.697366036612546,0.699056663288273,0.753027546815626,0.826539729546706,0.871426659509896,0.939815420498811,0.976569418718331
4,20,900,TOTAL_STDDEV,5,0.678094259002831,0.697366036612546,0.699056663288273,0.753027546815626,0.826539729546706,0.871426659509896,0.939815420498811,0.976569418718331
4,50,900,TOTAL_STDDEV,5,0.678094259002831,0.697366036612546,0.699056663288273,0.753027546815626,0.826539729546706,0.871426659509896,0.939815420498811,0.976569418718331
4,100,900,TOTAL_STDDEV,5,0.678094259002831,0.697366036612546,0.699056663288273,0.753027546815626,0.826539729546706,0.871426659509896,0.939815420498811,0.976569418718331
4,150,900,TOTAL_STDDEV,5,0.678094259002831,0.697366036612546,0.699056663288273,0.753027546815626,0.826539729546706,0.871426659509896,0.939815420498811,0.976569418718331
4,200,900,TOTAL_STDDEV,5,0.678094259002831,0.697366036612546,0.699056663288273,0.753027546815626,0.826539729546706,0.871426659509896,0.939815420498811,0.976569418718331
5,10,900,TOTAL_STDDEV,5,0.677235992398597,0.696597637514519,0.698392092178977,0.752230286117867,0.825185950853841,0.869569038726882,0.93780127950997,0.974297716888422
5,20,900,TOTAL_STDDEV,5,0.677235992398597,0.696597637514519,0.698392092178977,0.752230286117867,0.825185950853841,0.869569038726882,0.93780127950997,0.974297716888422
5,50,900,TOTAL_STDDEV,5,0.677235992398597,0.696597637514519,0.698392092178977,0.752230286117867,0.825185950853841,0.869569038726882,0.93780127950997,0.974297716888422
5,100,900,TOTAL_STDDEV,5,0.677235992398597,0.696597637514519,0.698392092178977,0.752230286117867,0.825185950853841,0.869569038726882,0.93780127950997,0.974297716888422
5,150,900,TOTAL_STDDEV,5,0.677235992398597,0.696597637514519,0.698392092178977,0.752230286117867,0.825185950853841,0.869569038726882,0.93780127950997,0.974297716888422
5,200,900,TOTAL_STDDEV,5,0.677235992398597,0.696597637514519,0.698392092178977,0.752230286117867,0.825185950853841,0.869569038726882,0.93780127950997,0.974297716888422
6,10,900,TOTAL_STDDEV,5,0.675566559089874,0.695103369489817,0.697100021997664,0.750679991144774,0.822551234940529,0.865951099697206,0.933878432093229,0.969872026969977
6,20,900,TOTAL_STDDEV,5,0.675566559089874,0.695103369489817,0.697100021997664,0.750679991144774,0.822551234940529,0.865951099697206,0.933878432093229,0.969872026969977
6,50,900,TOTAL_STDDEV,5,0.675566559089874,0.695103369489817,0.697100021997664,0.750679991144774,0.822551234940529,0.865951099697206,0.933878432093229,0.969872026969977
6,100,900,TOTAL_STDDEV,5,0.675566559089874,0.695103369489817,0.697100021997664,0.750679991144774,0.822551234940529,0.865951099697206,0.933878432093229,0.969872026969977
6,150,900,TOTAL_STDDEV,5,0.675566559089874,0.695103369489817,0.697100021997664,0.750679991144774,0.822551234940529,0.865951099697206,0.933878432093229,0.969872026969977
6,200,900,TOTAL_STDDEV,5,0.675566559089874,0.695103369489817,0.697100021997664,0.750679991144774,0.822551234940529,0.865951099697206,0.933878432093229,0.969872026969977
7,10,900,TOTAL_STDDEV,5,0.674554834492013,0.694198033864588,0.696317378645024,0.749740774096519,0.820953582172908,0.863755515507214,0.931497767803454,0.967185418980612
7,20,900,TOTAL_STDDEV,5,0.674554834492013,0.694198033864588,0.696317378645024,0.749740774096519,0.820953582172908,0.863755515507214,0.931497767803454,0.967185418980612
7,50,900,TOTAL_STDDEV,5,0.674554834492013,0.694198033864588,0.696317378645024,0.749740774096519,0.820953582172908,0.863755515507214,0.931497767803454,0.967185418980612
7,100,900,TOTAL_STDDEV,5,0.674554834492013,0.694198033864588,0.696317378645024,0.749740774096519,0.820953582172908,0.863755515507214,0.931497767803454,0.967185418980612
7,150,900,TOTAL_STDDEV,5,0.674554834492013,0.694198033864588,0.696317378645024,0.749740774096519,0.820953582172908,0.863755515507214,0.931497767803454,0.967185418980612
7,200,900,TOTAL_STDDEV,5,0.674554834492013,0.694198033864588,0.696317378645024,0.749740774096519,0.820953582172908,0.863755515507214,0.931497767803454,0.967185418980612
