rup_mag,dist_repi,rup_hypo_depth,result_type,mmi 
4.5,200,15,MEAN,2.579
4.5,200,20,MEAN,2.819
4.5,200,30,MEAN,3.163
4.5,200,40,MEAN,3.411
4.5,224,5,MEAN,1.514
4.5,224,10,MEAN,2.074
4.5,224,15,MEAN,2.408
4.5,224,20,MEAN,2.649
4.5,224,30,MEAN,2.994
4.5,224,40,MEAN,3.244
4.5,250,5,MEAN,1.338
4.5,250,10,MEAN,1.899
4.5,250,15,MEAN,2.233
4.5,250,20,MEAN,2.474
4.5,250,30,MEAN,2.82
4.5,250,40,MEAN,3.071
4.6,1.00E-01,5,MEAN,5.346
4.6,1.00E-01,10,MEAN,5.346
4.6,1.00E-01,15,MEAN,5.346
4.6,1.00E-01,20,MEAN,5.346
4.6,1.00E-01,30,MEAN,5.346
4.6,1.00E-01,40,MEAN,5.346
4.6,1,5,MEAN,5.33
4.6,1,10,MEAN,5.342
4.6,1,15,MEAN,5.344
4.6,1,20,MEAN,5.345
4.6,1,30,MEAN,5.345
4.6,1,40,MEAN,5.346
4.6,2,5,MEAN,5.286
4.6,2,10,MEAN,5.33
4.6,2,15,MEAN,5.338
4.6,2,20,MEAN,5.342
4.6,2,30,MEAN,5.344
4.6,2,40,MEAN,5.345
4.6,3,5,MEAN,5.222
4.6,3,10,MEAN,5.31
4.6,3,15,MEAN,5.329
4.6,3,20,MEAN,5.336
4.6,3,30,MEAN,5.341
4.6,3,40,MEAN,5.343
4.6,4,5,MEAN,5.147
4.6,4,10,MEAN,5.285
4.6,4,15,MEAN,5.317
4.6,4,20,MEAN,5.329
4.6,4,30,MEAN,5.338
4.6,4,40,MEAN,5.341
4.6,5,5,MEAN,5.066
4.6,5,10,MEAN,5.254
4.6,5,15,MEAN,5.302
4.6,5,20,MEAN,5.32
4.6,5,30,MEAN,5.334
4.6,5,40,MEAN,5.339
4.6,6,5,MEAN,4.986
4.6,6,10,MEAN,5.219
4.6,6,15,MEAN,5.284
4.6,6,20,MEAN,5.309
4.6,6,30,MEAN,5.328
4.6,6,40,MEAN,5.336
4.6,7,5,MEAN,4.907
4.6,7,10,MEAN,5.182
4.6,7,15,MEAN,5.263
4.6,7,20,MEAN,5.296
4.6,7,30,MEAN,5.322
4.6,7,40,MEAN,5.332
4.6,8,5,MEAN,4.832
4.6,8,10,MEAN,5.142
4.6,8,15,MEAN,5.241
4.6,8,20,MEAN,5.282
4.6,8,30,MEAN,5.315
4.6,8,40,MEAN,5.328
4.6,9,5,MEAN,4.76
4.6,9,10,MEAN,5.101
4.6,9,15,MEAN,5.216
4.6,9,20,MEAN,5.267
4.6,9,30,MEAN,5.307
4.6,9,40,MEAN,5.323
4.6,10,5,MEAN,4.692
4.6,10,10,MEAN,5.059
4.6,10,15,MEAN,5.191
4.6,10,20,MEAN,5.25
4.6,10,30,MEAN,5.299
4.6,10,40,MEAN,5.318
4.6,11,5,MEAN,4.628
4.6,11,10,MEAN,5.018
4.6,11,15,MEAN,5.164
4.6,11,20,MEAN,5.232
4.6,11,30,MEAN,5.29
4.6,11,40,MEAN,5.312
4.6,12,5,MEAN,4.568
4.6,12,10,MEAN,4.976
4.6,12,15,MEAN,5.137
4.6,12,20,MEAN,5.214
4.6,12,30,MEAN,5.28
4.6,12,40,MEAN,5.306
