rup_mag,rup_rake,dist_rjb,site_vs30,result_type,damping,0.04,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.25,1.5,1.75,2,2.5,2.75,4,pga,pgv
6.9000000E+00,0.0000000E+00,3.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689317E-01,7.4603433E-01,7.5525124E-01,7.3222449E-01,7.3682859E-01,7.0919813E-01,6.6775111E-01,6.5163331E-01,6.4241689E-01,6.5393365E-01,6.5162919E-01,6.5162946E-01,6.5163209E-01,6.5393872E-01,6.5853818E-01,6.5163278E-01,6.6774785E-01,6.9768167E-01,7.0228870E-01,7.0919788E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6775140E-01,6.2169949E-01
4.0000000E+00,0.0000000E+00,6.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689321E-01,7.4603761E-01,7.5524619E-01,7.3222057E-01,7.3682953E-01,7.0919561E-01,6.6775202E-01,6.5163456E-01,6.4242276E-01,6.5393048E-01,6.5163229E-01,6.5163148E-01,6.5163140E-01,6.5393486E-01,6.5854030E-01,6.5163509E-01,6.6775239E-01,6.9768235E-01,7.0228924E-01,7.0919662E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774899E-01,6.2169617E-01
4.5000000E+00,0.0000000E+00,6.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0688743E-01,7.4603848E-01,7.5525012E-01,7.3222340E-01,7.3682882E-01,7.0919736E-01,6.6774974E-01,6.5163234E-01,6.4242165E-01,6.5393614E-01,6.5163543E-01,6.5162948E-01,6.5163129E-01,6.5393288E-01,6.5853875E-01,6.5163291E-01,6.6775125E-01,6.9768494E-01,7.0229135E-01,7.0919842E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774657E-01,6.2169695E-01
5.0000000E+00,0.0000000E+00,6.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689420E-01,7.4603766E-01,7.5524440E-01,7.3222120E-01,7.3682806E-01,7.0919305E-01,6.6775075E-01,6.5163190E-01,6.4242276E-01,6.5393342E-01,6.5163073E-01,6.5162975E-01,6.5163199E-01,6.5393114E-01,6.5854267E-01,6.5163275E-01,6.6774786E-01,6.9768647E-01,7.0228743E-01,7.0919576E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6775191E-01,6.2170244E-01
5.5000000E+00,0.0000000E+00,6.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689427E-01,7.4603767E-01,7.5524881E-01,7.3222097E-01,7.3682558E-01,7.0919175E-01,6.6774964E-01,6.5163398E-01,6.4241958E-01,6.5393685E-01,6.5163151E-01,6.5162889E-01,6.5163230E-01,6.5393468E-01,6.5854027E-01,6.5163208E-01,6.6774957E-01,6.9768219E-01,7.0229064E-01,7.0920033E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6775377E-01,6.2169906E-01
6.0000000E+00,0.0000000E+00,6.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689656E-01,7.4603562E-01,7.5524932E-01,7.3222407E-01,7.3682842E-01,7.0919696E-01,6.6774734E-01,6.5163224E-01,6.4241943E-01,6.5393392E-01,6.5163207E-01,6.5162924E-01,6.5163581E-01,6.5393975E-01,6.5854431E-01,6.5163554E-01,6.6774927E-01,6.9768298E-01,7.0228871E-01,7.0919735E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6775058E-01,6.2169933E-01
6.5000000E+00,0.0000000E+00,6.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689310E-01,7.4603745E-01,7.5524866E-01,7.3221999E-01,7.3682811E-01,7.0919646E-01,6.6775042E-01,6.5163262E-01,6.4242014E-01,6.5393411E-01,6.5163195E-01,6.5163211E-01,6.5163263E-01,6.5393356E-01,6.5853755E-01,6.5163198E-01,6.6775074E-01,6.9768287E-01,7.0228386E-01,7.0919474E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774704E-01,6.2169645E-01
6.9000000E+00,0.0000000E+00,6.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689321E-01,7.4603703E-01,7.5524791E-01,7.3222211E-01,7.3682486E-01,7.0919618E-01,6.6774828E-01,6.5163364E-01,6.4242287E-01,6.5393407E-01,6.5163375E-01,6.5162786E-01,6.5163466E-01,6.5392992E-01,6.5853796E-01,6.5163102E-01,6.6775015E-01,6.9768467E-01,7.0228632E-01,7.0919802E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774885E-01,6.2169759E-01
4.0000000E+00,0.0000000E+00,1.0000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689137E-01,7.4603592E-01,7.5524683E-01,7.3222116E-01,7.3682753E-01,7.0919418E-01,6.6774900E-01,6.5162948E-01,6.4241982E-01,6.5393319E-01,6.5163049E-01,6.5163225E-01,6.5163457E-01,6.5393208E-01,6.5854039E-01,6.5163332E-01,6.6775059E-01,6.9768148E-01,7.0228496E-01,7.0919508E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774851E-01,6.2170053E-01
4.5000000E+00,0.0000000E+00,1.0000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689254E-01,7.4603677E-01,7.5524757E-01,7.3222166E-01,7.3682623E-01,7.0919644E-01,6.6775018E-01,6.5163489E-01,6.4242009E-01,6.5392972E-01,6.5163081E-01,6.5163227E-01,6.5163148E-01,6.5393402E-01,6.5853744E-01,6.5163278E-01,6.6774961E-01,6.9768213E-01,7.0228854E-01,7.0919652E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774949E-01,6.2169881E-01
